Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200094181,1,202305,Barclaycard - Global Commercial Payments,203.20 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200094467,1,202305,Barclaycard - Global Commercial Payments,157.42 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200094745,1,202305,Barclaycard - Global Commercial Payments,63.15 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200094843,1,202305,Barclaycard - Global Commercial Payments,7.64 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200094874,1,202305,Barclaycard - Global Commercial Payments,26.95 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200094875,1,202305,Barclaycard - Global Commercial Payments,10.00 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200094876,1,202305,Barclaycard - Global Commercial Payments,10.00 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200094994,1,202305,Barclaycard - Global Commercial Payments,20.00 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200095156,1,202305,Barclaycard - Global Commercial Payments,42.15 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200096459,1,202305,Barclaycard - Global Commercial Payments,10.00 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200098393,1,202305,Barclaycard - Global Commercial Payments,10.00 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200098394,1,202305,Barclaycard - Global Commercial Payments,10.00 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099793,1,202305,Barclaycard - Global Commercial Payments,40.21 ,01/08/2023
