Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310861-I-24-4351336,"£15,388.80",ESSENTIAL CARE & SUPPORT LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310862-I-24-4351598,"£85,672.80",ESSENTIAL CARE & SUPPORT LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,05/09/2024,4310863-I-24-4351115,"£34,965.36",ETHICARE (DURHAM) LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310863-I-24-4351161,"£13,430.40",ETHICARE (DURHAM) LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310863-I-24-4351171,"£11,192.16",ETHICARE (DURHAM) LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310863-I-24-4351196,"£14,039.04",ETHICARE (DURHAM) LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472101,Purchase of Care,05/09/2024,4310865-I-24-4351215,"£35,266.25",EXCELLENCE HOME CARE LTD T/A EXCELLENCE HOME CARE.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310866-I-24-4351501,"£14,383.80",EXEMPLAR LTD T/A WYKEWOOD CARE HOME.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310867-I-24-4351388,"£3,384.92",FAIRHAVEN CARE HOME LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,05/09/2024,4310868-I-24-4351304,"£7,526.00",FIVE ACRES COMMUNITY GARDEN LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310869-I-24-4351144,"£24,796.80",FLEXIBLE SUPPORT OPTIONS LTD.,,,,,,
Adult and Health Services,Commissioning inc Supporting People,Third Party Payments,442002,Supporting People E442,05/09/2024,4310870-7448955,"£31,282.72",FOUNDATION UK.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310871-I-24-4351367,"£87,643.19",FOUR SEASONS HOMES NO 1 LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310872-I-24-4351544,"£100,270.83",GAINFORD CARE HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310873-I-24-4351452,"£118,653.44",GAINFORD CARE HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310874-I-24-4351493,"£123,481.91",GAINFORD CARE HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310875-I-24-4351421,"£9,849.72",GAINFORD CARE HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310876-I-24-4351530,"£115,599.86",GAINFORD CARE HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310877-I-24-4351448,"£28,711.36",GAINFORD CARE HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310878-I-24-4351381,"£51,403.54",GAINFORD CARE HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310878-I-24-4351642,"£91,309.22",GAINFORD CARE HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310879-I-24-4351620,"£2,805.60",GALANOS HOUSE CARE HOME.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,05/09/2024,4310880-I-24-4351185,"£45,979.79",GAPPS DAY SERVICES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,05/09/2024,4310881-I-24-4351084,"£2,659.05",GATESHEAD COUNCIL.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310885-I-24-4351392,"£3,208.00",GREATHAM HOSPITAL BROTHER HOUSE.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310886-I-24-4351628,"£2,721.60",GREEN CARE HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,05/09/2024,4310887-I-24-4351025,"£10,533.08",GROWING TOGETHER DURHAM LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310888-I-24-4351556,"£14,243.72",HADRIAN HEALTHCARE (WHICKHAM) LTD.,,,,,,
Adult and Health Services,Commissioning inc Supporting People,Third Party Payments,442002,Supporting People E442,05/09/2024,4310889-7448255,"£111,405.84",HARBOUR SUPPORT SERVICES.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310890-I-24-4351459,"£140,729.70",HC-ONE BEAMISH LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310891-I-24-4351385,"£102,842.07",HC-ONE BEAMISH LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310892-I-24-4351538,"£125,732.39",HC-ONE BEAMISH LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310893-I-24-4351360,"£80,118.78",HC-ONE BEAMISH LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310894-I-24-4351603,"£99,163.20",HC-ONE BEAMISH LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310895-I-24-4351357,"£3,358.92",HC-ONE BEAMISH LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310896-I-24-4351349,"£4,130.00",HC-ONE LTD T/A FALSTONE COURT CARE HOME.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310897-I-24-4351471,"£1,592.00",HC-ONE LTD T/A SILVERWOOD CARE HOME.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310898-I-24-4351618,"£99,543.84",HC-ONE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310899-I-24-4351497,"£84,335.59",HC-ONE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310900-I-24-4351535,"£83,998.03",HC-ONE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310901-I-24-4351532,"£84,666.72",HC-ONE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310902-I-24-4351524,"£86,368.66",HC-ONE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310903-I-24-4351466,"£115,844.13",HC-ONE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310904-I-24-4351637,"£93,738.60",HC-ONE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310905-I-24-4351558,"£54,048.89",HC-ONE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310906-I-24-4351515,"£3,277.56",HC-ONE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310908-I-24-4351500,"£26,934.48",HC-ONE LTD..,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310909-I-24-4351573,"£12,250.60",HEALTHCARE IRELAND GROUP LTD T/A BOHILL BUNGALOWS.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310910-I-24-4351487,"£2,120.64",HENDON PIF LTD T/A ASHWOOD COURT CARE HOME.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310912-I-24-4146177,"£7,940.00",HIGHGATE CARE SERVICES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310912-I-24-4351626,"£4,780.00",HIGHGATE CARE SERVICES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310913-I-24-4351009,"£14,160.00",HIGHLEA CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310914-I-24-4351015,"£1,361.96",HIGHLEA CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310914-I-24-4351017,"£9,479.60",HIGHLEA CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310914-I-24-4351022,"£6,912.00",HIGHLEA CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310914-I-24-4351066,"£10,321.92",HIGHLEA CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310914-I-24-4351067,"£27,591.60",HIGHLEA CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310914-I-24-4351116,"£22,904.97",HIGHLEA CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310914-I-24-4351187,"£98,637.42",HIGHLEA CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310914-I-24-4351205,"£9,446.40",HIGHLEA CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310914-I-24-4351240,"£16,694.40",HIGHLEA CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310914-I-24-4351241,"£18,289.00",HIGHLEA CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310914-I-24-4351300,"£1,536.00",HIGHLEA CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310914-I-24-4351322,"£18,997.36",HIGHLEA CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310915-I-24-4351506,"£101,140.19",HILL CARE 3 LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310916-I-24-4351440,"£100,084.08",HILL CARE 3 LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472101,Purchase of Care,05/09/2024,4310917-I-24-4351306,"£1,300.00",HMW CARE LTD T/A BLUEBIRD CARE STOCKTON & HARTLEPOOL.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310918-I-21-1308992,"£1,988.20",HOME GROUP LTD FORMERLY STONHAM HOUSING ASSOCIATION LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310918-I-21-1476899,"£1,988.20",HOME GROUP LTD FORMERLY STONHAM HOUSING ASSOCIATION LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310918-I-21-2836941,"£1,988.20",HOME GROUP LTD FORMERLY STONHAM HOUSING ASSOCIATION LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310918-I-22-5490541,"£2,122.84",HOME GROUP LTD FORMERLY STONHAM HOUSING ASSOCIATION LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310918-I-22-5840430,"£1,061.42",HOME GROUP LTD FORMERLY STONHAM HOUSING ASSOCIATION LTD.,,,,,,
Adult and Health Services,Commissioning inc Supporting People,Third Party Payments,441001,Supporting People E441,05/09/2024,4310919-3933435,"£351,671.60",HOME GROUP LTD FORMERLY STONHAM HOUSING ASSOCIATION LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,05/09/2024,4310920-I-24-4351299,"£1,950.08",HOME GROUP LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472110,Purchase of Care,05/09/2024,4310921-I-24-4351094,"£1,406.78",HOME GROUP LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,05/09/2024,4310922-I-24-4351193,"£4,200.00",HOME ON THE RANGE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310923-I-24-4351133,"£2,654.40",HOMEMORE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310924-I-24-4351404,"£8,220.88",HOMES TOGETHER LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472110,Purchase of Care,05/09/2024,4310925-I-24-4351137,"£77,132.47",HOUSING 21.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472110,Purchase of Care,05/09/2024,4310926-I-24-4351131,"£1,280.94",HOUSING 21.,,,,,,
Adult and Health Services,Commissioning inc Supporting People,Third Party Payments,442002,Supporting People E442,05/09/2024,4310927-7449568,"£34,116.20",HUMANKIND CHARITY.,,,,,,
Adult and Health Services,Central/Other,Long Term Debtors,924029,LTD Deferred Payment Agreements (Loan),05/09/2024,4310929-7750264,"£2,300.00",IDA BLENKINSOPP.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310930-I-24-4351660,"£65,115.96",IDEAL CARE (NORTH) LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472101,Purchase of Care,05/09/2024,4310931-I-24-4351169,"£12,321.54",INCLUDE `IN` AUTISM.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310932-I-24-4351351,"£1,782.04",INDIGO CARE SERVICES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310933-I-24-4145957,"£25,247.33",INDIGO CARE SERVICES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310933-I-24-4351407,"£26,107.17",INDIGO CARE SERVICES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310933-I-24-4351596,"£8,118.29",INDIGO CARE SERVICES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472101,Purchase of Care,05/09/2024,4310934-I-24-4351267,"£8,744.40",INFINITE HOMECARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,05/09/2024,4310940-I-24-4351056,"£21,800.34",JOURNEY ENTERPRISES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472101,Purchase of Care,05/09/2024,4310944-I-24-4351212,"£236,396.97",KELLY PARK LTD..,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472101,Purchase of Care,05/09/2024,4310945-I-24-4351222,"£8,777.44",KEYFORT GROUP LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310946-I-24-4351447,"£92,433.04",KINGSWAY CARE HOME LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310947-I-24-4351472,"£3,301.60",LAKEVIEW REST HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310948-I-24-4145997,"£37,236.32",LAMBTON HOUSE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310948-I-24-4351449,"£37,236.32",LAMBTON HOUSE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310949-I-24-4351365,"£67,204.43",LANGLEY HOUSE CARE HOME LTD (ASCOT CARE NORTH EAST).,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,05/09/2024,4310950-I-24-4351229,"£1,100.00",LAWNMOWERS INDEPENDENT THEATRE COMPANY LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310951-I-24-4351569,"£91,255.26",LEAZES HALL CARE HOME LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310952-I-24-4351352,"£7,746.24",LENORE CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310953-I-24-4351561,"£91,532.62",LEONARD CHESHIRE DISABILITY.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310955-I-24-4351648,"£16,839.76",LIFESTYLE (ABBEY CARE) LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310956-I-24-4351616,"£3,125.20",LIFESTYLE CARE (NORTH EAST) OPCO LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310957-I-24-4351422,"£9,988.00",LIFEWAYS COMMUNITY CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310958-I-24-4351432,"£7,063.68",LIFEWAYS COMMUNITY CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,05/09/2024,4310961-I-24-4351173,"£11,165.20",LION MOUTH COMMUNITY INTEREST COMPANY.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310963-I-24-4351438,"£18,640.26",LITTLEDALE HALL THERAPEUTIC COMMUNITY LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310964-I-24-4351594,"£4,090.72",LIVING AMBITIONS T/A WHITWOOD GRANGE.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310965-I-24-4351460,"£2,580.00",LONGWOOD LODGE CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310966-I-24-4351541,"£57,562.85",LOTUS CARE BRANDON LODGE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310967-I-24-4351514,"£6,320.00",LUXE MANOR CARE GROUP LTD (EASTBOURNE CARE HOME),,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310968-I-24-3571253,"£1,615.56",LUXE MANOR CARE GROUP LTD (HERRINGTON MEWS).,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310968-I-24-3571353,£807.78,LUXE MANOR CARE GROUP LTD (HERRINGTON MEWS).,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310968-I-24-4351553,"£2,432.67",LUXE MANOR CARE GROUP LTD (HERRINGTON MEWS).,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310969-I-24-4351520,"£3,072.44",LUXE MANOR CARE GROUP LTD (PRIMROSE HOUSE).,,,,,,
Adult and Health Services,Commissioning inc Supporting People,Third Party Payments,479102,Purchase of Care,05/09/2024,4310971-14730,"£11,757.00",MAIN - TAKING AUTISM PERSONALLY.,,,,,,
Adult and Health Services,Commissioning inc Supporting People,Third Party Payments,479102,Purchase of Care,05/09/2024,4310971-14810,"£12,084.00",MAIN - TAKING AUTISM PERSONALLY.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310973-I-24-4351403,"£20,381.20",MALHOTRA CARE HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310974-I-24-4351411,"£120,676.73",MALHOTRA CARE HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310975-I-24-4351595,"£1,471.36",MALHOTRA CARE HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310976-I-24-4351619,"£6,616.24",MALHOTRA CARE HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310977-I-24-4351361,"£79,077.58",MARIA MALLABAND CARE GROUP LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310978-I-24-4351608,"£4,555.52",MARIA MALLABAND CARE GROUP LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310980-I-24-4351536,"£62,674.47",MARIPOSA CARE GROUP LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310981-I-24-4351467,"£3,824.64",MARIPOSA CARE GROUP LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310982-I-24-4351640,"£108,593.56",MARIPOSA CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310983-I-24-4351363,"£11,300.00",MARTON CARE HOMES LTD T/A GROSVENOR PARK CARE HOME.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310985-I-24-4351510,"£3,208.00",MARTON CARE HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310986-I-24-4351565,"£18,595.56",MARTON CARE HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310987-I-24-4351607,"£91,523.12",MARTON CARE HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310988-I-24-4351359,"£104,719.82",MARTON CARE HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310989-I-24-4351537,"£23,666.00",MEADOW VIEW.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310990-I-24-4351151,"£18,516.48",MEARS EXTRA CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310991-I-24-4351592,"£2,784.28",MEMORY LANE CARE HOMES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310992-I-24-4351062,"£3,571.20",MENCAP.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472101,Purchase of Care,05/09/2024,4310992-I-24-4351145,"£8,274.00",MENCAP.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4310992-I-24-4351316,"£12,630.00",MENCAP.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,474101,Purchase of Care,05/09/2024,4310993-I-24-4351354,"£53,599.36",MERRYWELL CARE (BELMONT GRANGE) LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310994-I-24-3772983,"£3,336.00",METHODIST HOMES.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310994-I-24-3959739,"£3,336.00",METHODIST HOMES.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310994-I-24-4145985,"£3,336.00",METHODIST HOMES.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4310994-I-24-4351437,"£3,336.00",METHODIST HOMES.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472101,Purchase of Care,05/09/2024,4310996-I-24-4351340,"£14,311.50",MIDDLETON CARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472101,Purchase of Care,05/09/2024,4310998-I-24-4351269,"£15,981.00",MMAB CONSULTING LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472101,Purchase of Care,05/09/2024,4310999-I-24-4403804,"£52,531.50",MOONRISE 24HR RECRUITMENT LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311000-I-24-4351575,"£30,616.89",MOORLANDS HOLDINGS (NE) LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,05/09/2024,4311001-I-24-4351024,"£2,036.00",MOVEABLE FEASTS ARTS.,,,,,,
Adult and Health Services,Commissioning inc Supporting People,Third Party Payments,442002,Supporting People E442,05/09/2024,4311002-7450750,"£2,627.68",MOVING ON HOUSING.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311024-I-24-4351049,"£149,302.24",MY HOMECARE ASSISTANCE LTD T/A MY HOMECARE.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311024-I-24-4351122,"£79,411.08",MY HOMECARE ASSISTANCE LTD T/A MY HOMECARE.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311024-I-24-4351272,"£18,301.20",MY HOMECARE ASSISTANCE LTD T/A MY HOMECARE.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311024-I-24-4351307,"£33,936.00",MY HOMECARE ASSISTANCE LTD T/A MY HOMECARE.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478101,Purchase of Care,05/09/2024,4311024-I-24-4351345,"£65,428.60",MY HOMECARE ASSISTANCE LTD T/A MY HOMECARE.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472101,Purchase of Care,05/09/2024,4311025-I-24-4351242,"£16,476.53",MYCHOICE HOMECARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,05/09/2024,4311026-I-24-4351032,"£3,626.20",NEUROACTIVE UK.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,473101,Purchase of Care,05/09/2024,4311027-I-24-4351329,"£15,161.34",NEW STEPS CARE IN THE COMMUNITY LLP.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,472101,Purchase of Care,05/09/2024,4311028-I-24-4351170,"£40,124.06",NEW VISION CARE SERVICES LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,470101,Purchase of Care,05/09/2024,4311029-I-24-4351368,"£24,164.28",NEWLIFE CARE SERVICES LTD.,,,,,,
