Local authority department which incurred the expenditure,Service Division,Cost Centre,Summary of the Purpose of Expenditure,Expense Type,Expense Code,Detailed Expense Type,Date of Transaction,Transaction Number,Beneficiary,Merchant Category Number,Merchant Category,Gross Amount,VAT,Net Amount
Children and Young Peoples Services,Head of Childrens Social Care,085317,Children in Care Team 6,Supplies and Services,338045,Services,04-Dec-2024,000010320672782,SUNDERLAND CC,9399,Legal expenses 338045,12.50,0.00,12.50
Children and Young Peoples Services,Head of Education and Skills,071801,Selby Cottage Childcare Centre,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320672794,AMZNMktplace KS0LH10L5,5999,Other consumables,47.52,7.92,39.60
Children and Young Peoples Services,Head of Education and Skills,071801,Selby Cottage Childcare Centre,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320672794 - 1,AMZNMktplace KS0LH10L5,5999,Other consumables,0.08,,0.08
Children and Young Peoples Services,Head of Education and Skills,071801,Selby Cottage Childcare Centre,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320672800,AMZNMktplace 7I6CU9E65,5999,Other consumables,7.88,1.31,6.57
Children and Young Peoples Services,Head of Education and Skills,071801,Selby Cottage Childcare Centre,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320672802,AMZNMktplace AZ0IR3RZ5,5999,Other consumables,15.24,2.54,12.70
Children and Young Peoples Services,Head of Education and Skills,071801,Selby Cottage Childcare Centre,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320672802 - 1,AMZNMktplace AZ0IR3RZ5,5999,Other consumables,0.05,,0.05
Children and Young Peoples Services,Head of Education and Skills,071801,Selby Cottage Childcare Centre,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320672808,AMZNMktplace XW2J45MS5,5999,Other consumables,5.96,0.99,4.97
Children and Young Peoples Services,Head of Education and Skills,071801,Selby Cottage Childcare Centre,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320672814,AMZNMktplace ZA8AX4UJ5,5999,Other consumables,7.18,1.20,5.98
Children and Young Peoples Services,Head of Education and Skills,071801,Selby Cottage Childcare Centre,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320672822,TESCO STORES 2278,5411,Catering costs - provisions,24.00,0.00,24.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235057,Public Transport,04-Dec-2024,000010320672830,UBER TRIP,4121,Staff travelling,27.18,0.00,27.18
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235057,Public Transport,04-Dec-2024,000010320672838,UBER TRIP,4121,Staff travelling,16.58,0.00,16.58
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,04-Dec-2024,000010320672844,TRAVELODGE,3615,Conferencesseminars fees etc,626.62,0.00,626.62
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,04-Dec-2024,000010320672846,TRAVELODGE,3615,Conferencesseminars fees etc,615.22,0.00,615.22
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,04-Dec-2024,000010320672852,TRAVELODGE,3615,Conferencesseminars fees etc,661.18,0.00,661.18
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,04-Dec-2024,000010320672856,TRAVELODGE,3615,Conferencesseminars fees etc,491.58,0.00,491.58
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,04-Dec-2024,000010320672864,TRAVELODGE,3615,Conferencesseminars fees etc,-615.22,0.00,-615.22
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,04-Dec-2024,000010320672908,HARROWGATE HILL LODGE,7011,Conferencesseminars fees etc,400.00,0.00,400.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,04-Dec-2024,000010320672924,Park Head Hotel,7011,Conferencesseminars fees etc,100.00,0.00,100.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,04-Dec-2024,000010320672928,Park Head Hotel,7011,Conferencesseminars fees etc,762.50,0.00,762.50
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,04-Dec-2024,000010320672934,Park Head Hotel,7011,Conferencesseminars fees etc,757.50,0.00,757.50
Adult and Health Services,Head of Adults,055302,Durham Pathways,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320672986,HOME BARGAINS DURHAM 2,5399,Catering costs - provisions,1.47,0.00,1.47
Adult and Health Services,Head of Adults,055302,Durham Pathways,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320672990,SAINSBURYS S/MKTS,5411,Catering costs - provisions,11.31,0.00,11.31
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,071447,Peterlee CYPS,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320673000,ASDA GEORGE COM LEEDS,5411,Catering costs - provisions,95.50,0.00,95.50
Neighbourhoods and Climate Change,Environmental Services,010383,C&G - South Street Cleansing,Supplies and Services,304221,Equipment and Materials,04-Dec-2024,000010320673010,CARRS BILLINGTON SPENN,5599,Direct materials,34.75,0.00,34.75
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320673052,ASDA SUPERSTORE 4987,5411,Catering costs - provisions,57.95,0.00,57.95
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,304999,Equipment and Materials,04-Dec-2024,000010320673058,ASDA STORES,5411,Misc equipment tools and materials,36.00,0.00,36.00
Regeneration Economy and Growth,Planning & Housing,031634,P&H-Hsg Acc-Ind Liv-DCC Dispersed Supp Housing,Premises,120037,Energy Costs,04-Dec-2024,000010320673246,OCTOPUS ENERGY LTD,4900,Other fuels,303.02,0.00,303.02
Resources BK0010,Procurement Sales & Business Services,065503,Business Support - Spectrum,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673312,AMZNMktplace 9U6QX69K5,5999,Other consumables,4.48,0.75,3.73
Resources BK0010,Procurement Sales & Business Services,065503,Business Support - Spectrum,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673316,AMZNMktplace VO2VG30B5,5999,Other consumables,25.97,4.33,21.64
Resources BK0010,Procurement Sales & Business Services,065503,Business Support - Spectrum,Supplies and Services,384999,Miscellaneous Expenses,04-Dec-2024,000010320673322,Hobbycraft Trading Lim,5970,Other expenses,34.50,0.00,34.50
Resources BK0010,Procurement Sales & Business Services,065503,Business Support - Spectrum,Supplies and Services,328041,Clothing uniforms and laundry E328,04-Dec-2024,000010320673328,WWW.THEWORKS.CO.UK,5310,Clothing uniforms and laundry,21.49,0.00,21.49
Adult and Health Services,Head of Adults,055844,Positive Journeys Barnard Castle,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320673378,HOME BARGAINS BARNARD,5399,Catering costs - provisions,5.43,0.00,5.43
Children and Young Peoples Services,Head of Childrens Social Care,085380,Service Manager CLA Fostering,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673446,AMZNMktplace CZ9CI13W5,5999,Other consumables,22.99,3.83,19.16
Children and Young Peoples Services,Head of Childrens Social Care,085380,Service Manager CLA Fostering,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673456,AMZNMktplace 4D8AN5AY5,5999,Other consumables,65.88,10.98,54.90
Children and Young Peoples Services,Head of Childrens Social Care,085380,Service Manager CLA Fostering,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673456 - 1,AMZNMktplace 4D8AN5AY5,5999,Other consumables,0.06,,0.06
Children and Young Peoples Services,Head of Childrens Social Care,085380,Service Manager CLA Fostering,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673462,AMZNMktplace AQ7C07UZ5,5999,Other consumables,36.99,6.17,30.82
Children and Young Peoples Services,Head of Childrens Social Care,085380,Service Manager CLA Fostering,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673466,AMZNMktplace GL4UB4GF5,5999,Other consumables,14.28,2.38,11.90
Children and Young Peoples Services,Head of Childrens Social Care,085380,Service Manager CLA Fostering,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673466 - 1,AMZNMktplace GL4UB4GF5,5999,Other consumables,35.62,,35.62
Children and Young Peoples Services,Head of Childrens Social Care,085380,Service Manager CLA Fostering,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673474,AMZNMktplace L59EM3Y15,5999,Other consumables,14.28,2.38,11.90
Children and Young Peoples Services,Head of Childrens Social Care,085380,Service Manager CLA Fostering,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673474 - 1,AMZNMktplace L59EM3Y15,5999,Other consumables,35.62,,35.62
Children and Young Peoples Services,Head of Childrens Social Care,085380,Service Manager CLA Fostering,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673478,AMZNMktplace T58UM1114,5999,Other consumables,36.99,6.17,30.82
Children and Young Peoples Services,Head of Childrens Social Care,085380,Service Manager CLA Fostering,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673488,AMZNMktplace 123D307S5,5999,Other consumables,26.58,4.66,21.92
Children and Young Peoples Services,Head of Childrens Social Care,085380,Service Manager CLA Fostering,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673496,AMZNMktplace 7U99R4R05,5999,Other consumables,13.28,2.22,11.06
Neighbourhoods and Climate Change,Community Protection,011293,Horden Together,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673530,AMZNMktplace SJ2EI8JQ5,5999,Other consumables,128.95,0.00,128.95
Neighbourhoods and Climate Change,Community Protection,011293,Horden Together,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673536,AMZNMktplace SO5449WO5,5999,Other consumables,36.84,0.00,36.84
Neighbourhoods and Climate Change,Community Protection,011293,Horden Together,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673540,AMZNMktplace ZA2N94CV5,5999,Other consumables,18.42,0.00,18.42
Neighbourhoods and Climate Change,Community Protection,011293,Horden Together,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673546,AMZNMktplace ZX7ZR7925,5999,Other consumables,36.84,0.00,36.84
Neighbourhoods and Climate Change,Community Protection,011293,Horden Together,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673550,AMZNMktplace 626IP0IB5,5999,Other consumables,36.84,0.00,36.84
Neighbourhoods and Climate Change,Community Protection,011293,Horden Together,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673558,AMZNMktplace RH9SA0H15,5999,Other consumables,55.26,0.00,55.26
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,04-Dec-2024,000010320673568,Park Head Hotel,7011,Conferencesseminars fees etc,327.50,0.00,327.50
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,04-Dec-2024,000010320673578,Park Head Hotel,7011,Conferencesseminars fees etc,450.00,0.00,450.00
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,071446,Seaham CYPS,Supplies and Services,304259,Equipment and Materials,04-Dec-2024,000010320673660,GEN REGISTER OFFICE,9399,Equipment-purchase and rental,12.50,0.00,12.50
Neighbourhoods and Climate Change,Environmental Services,026591,C&G - Hardwick Park,Supplies and Services,304259,Equipment and Materials,04-Dec-2024,000010320673676,AMZNMktplace NG5CG33A5,5999,Equipment-purchase and rental,6.13,1.02,5.11
Neighbourhoods and Climate Change,Environmental Services,011060,C&G - Hardwick Park Catering,Supplies and Services,304083,Equipment and Materials,04-Dec-2024,000010320673684,AMZNMktplace DG5QD04L5,5999,Catering equipment,95.05,15.85,79.20
Children and Young Peoples Services,Head of Childrens Social Care,085348,Solo Home Hudson House,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673852,AMZNMktplace GH07A9UB5,5999,Other consumables,24.19,4.03,20.16
Children and Young Peoples Services,Head of Childrens Social Care,085348,Solo Home Hudson House,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673862,AMZNMktplace 394RX5BE5,5999,Other consumables,8.41,1.40,7.01
Children and Young Peoples Services,Head of Childrens Social Care,085348,Solo Home Hudson House,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673864,AMZNMktplace JI93L9EN5,5999,Other consumables,25.00,4.17,20.83
Children and Young Peoples Services,Head of Childrens Social Care,085348,Solo Home Hudson House,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673872,AMZNMktplace KE8MR8QL5,5999,Other consumables,17.69,2.95,14.74
Children and Young Peoples Services,Head of Childrens Social Care,085348,Solo Home Hudson House,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673876,AMZNMktplace L65Q06JF5,5999,Other consumables,18.99,3.17,15.82
Children and Young Peoples Services,Head of Childrens Social Care,085348,Solo Home Hudson House,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673884,AMZNMktplace 1N57B34S5,5999,Other consumables,19.68,3.28,16.40
Children and Young Peoples Services,Head of Childrens Social Care,085348,Solo Home Hudson House,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673884 - 1,AMZNMktplace 1N57B34S5,5999,Other consumables,0.04,,0.04
Children and Young Peoples Services,Head of Childrens Social Care,085348,Solo Home Hudson House,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673890,AMZNMktplace 2X9BD79Z5,5999,Other consumables,36.96,6.17,30.79
Children and Young Peoples Services,Head of Childrens Social Care,085348,Solo Home Hudson House,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673900,AMZNMktplace CB3TS3CT5,5999,Other consumables,38.83,6.47,32.36
Children and Young Peoples Services,Head of Childrens Social Care,085348,Solo Home Hudson House,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673906,AMZNMktplace J39911HD5,5999,Other consumables,15.98,2.66,13.32
Children and Young Peoples Services,Head of Childrens Social Care,085348,Solo Home Hudson House,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673914,AMZNMktplace T165V8P95,5999,Other consumables,119.89,19.98,99.91
Children and Young Peoples Services,Head of Childrens Social Care,085348,Solo Home Hudson House,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320673920,AMZNMktplace 5546D7YA5,5999,Other consumables,25.00,4.17,20.83
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235057,Public Transport,04-Dec-2024,000010320673948,UBER TRIP,4121,Staff travelling,73.99,0.00,73.99
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235057,Public Transport,04-Dec-2024,000010320673952,UBER TRIP,4121,Staff travelling,50.99,0.00,50.99
Children and Young Peoples Services,Head of Education and Skills,071732,Dean Bank Childcare,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320673992,AMAZON 500P49SN5,5399,Catering costs - provisions,4.99,0.00,4.99
Children and Young Peoples Services,Head of Education and Skills,071732,Dean Bank Childcare,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320674004,AMAZON 7096Y7LT5,5399,Catering costs - provisions,95.39,0.00,95.39
Adult and Health Services,Head of Adults,055302,Durham Pathways,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320674018,AMAZON 7J9R48DK5,5399,Catering costs - provisions,7.99,1.33,6.66
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085812,CDYJS - Independent Visitor,Supplies and Services,384871,Miscellaneous Expenses,04-Dec-2024,000010320674052,ATGTICKETS.COM,7922,Training-other activities,95.95,0.00,95.95
Children and Young Peoples Services,Head of Childrens Social Care,085341,High Etherley Satelite Home,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320674130,ICELAND FOODS,5411,Catering costs - provisions,185.55,0.00,185.55
Children and Young Peoples Services,Head of Childrens Social Care,085341,High Etherley Satelite Home,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320674134,AMZNMktplace DG9Y59HC5,5999,Other consumables,36.99,6.17,30.82
Children and Young Peoples Services,Head of Childrens Social Care,085521,Adolescent Safeguarding and Exploitation Team - ASET,Supplies and Services,384999,Miscellaneous Expenses,04-Dec-2024,000010320674160,allbeauty,5977,Other expenses,30.30,0.00,30.30
Children and Young Peoples Services,Head of Childrens Social Care,085521,Adolescent Safeguarding and Exploitation Team - ASET,Supplies and Services,328041,Clothing uniforms and laundry E328,04-Dec-2024,000010320674166,Footasylum Limited,5651,Clothing uniforms and laundry,70.00,0.00,70.00
Children and Young Peoples Services,Head of Childrens Social Care,085521,Adolescent Safeguarding and Exploitation Team - ASET,Supplies and Services,384999,Miscellaneous Expenses,04-Dec-2024,000010320674176,Lush Global Digital Lt,5977,Other expenses,9.45,0.00,9.45
Children and Young Peoples Services,Head of Childrens Social Care,085521,Adolescent Safeguarding and Exploitation Team - ASET,Supplies and Services,384999,Miscellaneous Expenses,04-Dec-2024,000010320674178,E.L.F. BEAUTY UK LIMIT,5977,Other expenses,60.40,0.00,60.40
Children and Young Peoples Services,Head of Childrens Social Care,085517,Supporting Solutions Service (Edge of Care),Third Party Payments,430100,Rendered by Private Contractors,04-Dec-2024,000010320674188,AAA COMMERCIAL LTD,7399,Payments to sub-contractors,93.00,0.00,93.00
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Transport,235057,Public Transport,04-Dec-2024,000010320674212,PRINCE BISHOPS CAR PAR,7523,Staff travelling,2.30,0.00,2.30
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320674218,TESCO CAFE SCREENS 237,5411,Catering costs - provisions,6.95,0.00,6.95
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320674224,TESCO CAFE SCREENS 237,5411,Catering costs - provisions,7.00,0.00,7.00
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Supplies and Services,348037,Subsistence E348,04-Dec-2024,000010320674226,STARBUCKS,5814,Subsistence,3.70,0.00,3.70
Regeneration Economy and Growth,Planning & Housing,060472,P&H-Strat & Del-Humanitarian Support programme,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320674260,LIDL GB DURHAM,5411,Catering costs - provisions,46.90,0.00,46.90
Regeneration Economy and Growth,Planning & Housing,060472,P&H-Strat & Del-Humanitarian Support programme,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320674268,DURHAM HALAL SUPERSTOR,5499,Catering costs - provisions,74.92,0.00,74.92
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235057,Public Transport,04-Dec-2024,000010320674324,UBER TRIP,4121,Staff travelling,48.97,0.00,48.97
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235057,Public Transport,04-Dec-2024,000010320674336,BOOKING #24153894,4121,Staff travelling,4.50,0.00,4.50
Children and Young Peoples Services,Head of Education and Skills,070169,Durham SSP,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320674402,AMZNMktplace OX9JC8HX5,5999,Other consumables,39.37,0.00,39.37
Neighbourhoods and Climate Change,Environmental Services,026591,C&G - Hardwick Park,Supplies and Services,304259,Equipment and Materials,04-Dec-2024,000010320674424,S&A BUILDERS MERCHANTS,5039,Equipment-purchase and rental,13.15,2.19,10.96
Neighbourhoods and Climate Change,Environmental Services,026591,C&G - Hardwick Park,Supplies and Services,304259,Equipment and Materials,04-Dec-2024,000010320674430,THE RANGE,5719,Equipment-purchase and rental,15.98,0.00,15.98
Regeneration Economy and Growth,Culture Sport and Tourism,054812,Gala Theatre - Catering etc,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320674454,AMAZON YU28C2M25,5399,Catering costs - provisions,49.12,0.00,49.12
Resources BK0010,HR & Employee Services,066897,Apprenticeship Development,Third Party Payments,430100,Rendered by Private Contractors,04-Dec-2024,000010320674500,SQ THE UK CAREERS FAI,7399,Payments to sub-contractors,474.00,79.00,395.00
Children and Young Peoples Services,Head of Childrens Social Care,085336,Elderhurst Childrens Home Meadowfield,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320674510,AMAZON 2G64D7HV5,5399,Catering costs - provisions,24.98,0.00,24.98
Children and Young Peoples Services,Head of Childrens Social Care,085336,Elderhurst Childrens Home Meadowfield,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320674514,AMAZON 4U0QU8OG5,5399,Catering costs - provisions,32.37,0.00,32.37
Neighbourhoods and Climate Change,Environmental Services,031238,North Pennines - Tees Swale,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320674548,AMZNMktplace 7D3JC1UN5,5999,Other consumables,38.88,6.48,32.40
Neighbourhoods and Climate Change,Environmental Services,031238,North Pennines - Tees Swale,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320674548 - 1,AMZNMktplace 7D3JC1UN5,5999,Other consumables,0.06,,0.06
Children and Young Peoples Services,Head of Childrens Social Care,085331,New Lea Childrens Home,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320674576,AMAZON NK35H30S5,5399,Catering costs - provisions,21.99,0.00,21.99
Children and Young Peoples Services,Head of Childrens Social Care,085331,New Lea Childrens Home,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320674584,AMZNMktplace EH8BN4AL5,5999,Other consumables,4.89,0.00,4.89
Children and Young Peoples Services,Head of Childrens Social Care,085331,New Lea Childrens Home,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320674592,AMZNMktplace 7F97P92S5,5999,Other consumables,8.99,0.00,8.99
Children and Young Peoples Services,Head of Childrens Social Care,085331,New Lea Childrens Home,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320674600,CARD FACTORY,5947,Other consumables,13.52,0.00,13.52
Children and Young Peoples Services,Head of Childrens Social Care,085331,New Lea Childrens Home,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320674604,B&M 519 - CONSETT,5399,Catering costs - provisions,23.99,0.00,23.99
Children and Young Peoples Services,Head of Childrens Social Care,085331,New Lea Childrens Home,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320674610,AMAZON CV07N4835,5399,Catering costs - provisions,44.28,0.00,44.28
Children and Young Peoples Services,Head of Childrens Social Care,085331,New Lea Childrens Home,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320674618,ASDA STORES,5411,Catering costs - provisions,19.00,0.00,19.00
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Employees,040149,Recruitment Instruction and Training,04-Dec-2024,000010320674632,CITIZENCARD,8699,Training-all costs,18.00,0.00,18.00
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085965,Barnard,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320674764,TESCO STORES 4358,5411,Catering costs - provisions,8.05,0.00,8.05
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,04-Dec-2024,000010320674774,TRAVELODGE,3615,Conferencesseminars fees etc,578.93,0.00,578.93
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235057,Public Transport,04-Dec-2024,000010320674776,PRINCE BISHOPS CAR PAR,7523,Staff travelling,2.30,0.00,2.30
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320674786,TESCO STORES 6029,5411,Catering costs - provisions,4.95,0.00,4.95
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,304259,Equipment and Materials,04-Dec-2024,000010320674794,GEN REGISTER OFFICE,9399,Equipment-purchase and rental,42.00,0.00,42.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,304259,Equipment and Materials,04-Dec-2024,000010320674798,GEN REGISTER OFFICE,9399,Equipment-purchase and rental,16.00,0.00,16.00
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235057,Public Transport,04-Dec-2024,000010320674856,UBER TRIP,4121,Staff travelling,19.12,0.00,19.12
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235057,Public Transport,04-Dec-2024,000010320674862,PRINCE BISHOPS CAR PAR,7523,Staff travelling,3.50,0.00,3.50
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085956,Lumley,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320674882,AMZNMktplace EH7H46N05,5999,Other consumables,13.95,0.00,13.95
Adult and Health Services,Head of Adults,055643,Hawthorn House LD Respite Unit,Supplies and Services,324117,Provisions E324,04-Dec-2024,000010320674920,AMAZON GJ0PD97O5,5399,Catering costs - provisions,12.74,2.12,10.62
Adult and Health Services,Head of Adults,055643,Hawthorn House LD Respite Unit,Supplies and Services,304403,Equipment and Materials,04-Dec-2024,000010320674926,AMZNMktplace 2H1QT2HA5,5999,Other consumables,12.74,2.12,10.62
Regeneration Economy and Growth,Planning & Housing,031634,P&H-Hsg Acc-Ind Liv-DCC Dispersed Supp Housing,Premises,120037,Energy Costs,04-Dec-2024,000010320675004,WWW.OVOENERGY.COM,4900,Other fuels,20.00,0.00,20.00
Regeneration Economy and Growth,Planning & Housing,031634,P&H-Hsg Acc-Ind Liv-DCC Dispersed Supp Housing,Premises,120037,Energy Costs,04-Dec-2024,000010320675010,OVO ENERGY,4900,Other fuels,20.00,0.00,20.00
Children and Young Peoples Services,Head of Childrens Social Care,085329,Care Leavers UASC Team,Supplies and Services,384504,Miscellaneous Expenses,04-Dec-2024,000010320675026,AMAZON VU8S36Y25,5399,Assistance to asylum seekers,479.98,0.00,479.98
Children and Young Peoples Services,Head of Childrens Social Care,085369,Care Leavers Team 1,Supplies and Services,384302,Miscellaneous Expenses,04-Dec-2024,000010320675032,AMAZON FH8HU0AJ5,5399,Activity expenses,13.66,2.28,11.38
Children and Young Peoples Services,Head of Childrens Social Care,085369,Care Leavers Team 1,Supplies and Services,384302,Miscellaneous Expenses,04-Dec-2024,000010320675036,AMAZON OO39T6ZI5,5399,Activity expenses,12.99,2.17,10.82
Children and Young Peoples Services,Head of Childrens Social Care,085369,Care Leavers Team 1,Supplies and Services,364354,Grants to Voluntary Organisations,04-Dec-2024,000010320675046,AMAZON OJ99X8W65,5399,Supervised Spend - Setting Up Home Allowance,67.14,11.19,55.95
Children and Young Peoples Services,Head of Childrens Social Care,085369,Care Leavers Team 1,Supplies and Services,364354,Grants to Voluntary Organisations,04-Dec-2024,000010320675046 - 1,AMAZON OJ99X8W65,5399,Supervised Spend - Setting Up Home Allowance,0.04,,0.04
