Body Name,Service Area Categorisation,Name,TransNo,Date ,Amount,,Category,Narrative
Police and Crime Commissioner for Derbyshire ,Police Services,Cintra Limited,7171380,45387,10758.13,Interpreters,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Agilent Technologies LDA UK,7171353,45390,10398.24,Materials - Consumable,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7171987,45411,10244.99,Insurance X/S,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,South Derbyshire District Council-General Account,7172096,45408,10150,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Cyber Resiliance Centre ,9034313,45385,10000,Misc Expenditure,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,The OPCC for Leicestershire,7171202,45384,10000,Software Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,SoftwareONE UK Ltd,7171201,45384,9842.16,Productivity Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Make Consulting Limited,7171664,45397,9743,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Softcat Ltd,7171499,45391,9674.55,Medical Statements,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Europa Electrical Limited,7171158,45384,9412.23,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Purosearch Limited,7171331,45397,8850,Recruitment & Selection,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7171878,45401,8716.89,Hardware Purchase,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Mitie Landscapes Ltd,7171027,45384,8684.9,Grounds - Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Colliers International,7171424,45390,8620.37,Rents General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7171304,45385,8465.32,Insurance X/S,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Supporting Victims of Sexual Violence Ltd,7172011,45406,8325.62,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7171879,45401,8214.8,Hardware Purchase,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Child Action Northwest,7171660,45397,8141.61,Appropriate Adult Service,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,United Kingdom Accreditation Service,7171868,45401,8023.25,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,United Kingdom Accreditation Service,7171867,45401,8023.25,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Police & Crime Commisioner for Humberside,7171398,45387,8000,Dog Section - Misc,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Zellis UK Limited,7171206,45385,7878.86,Software Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Bolsover District Council,7172103,45409,7853,Partnerships,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,NECSWS Public Safety,7170371,45385,7797,Hardware Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Amber Valley Borough Council,7171726,45408,7726.44,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Mazars LLP,7171154,45384,7500,Financial Contracts,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Corstorphine & Wright Ltd,7171276,45384,7500,General Design Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Corstorphine & Wright Ltd,7171277,45384,7500,General Design Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Castle Water Limited,7171264,45395,7401.33,Water Charges,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,ACS Business Supplies Ltd,7171832,45406,7331.5,Printing and Stationery - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Eagle Security Systems Ltd,7171644,45394,7252.8,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Cloudbreak Analysis Limited,7171243,45384,7000,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Ultimat Defence Limited,7166798,45384,7000,Equipment General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7171795,45408,6970.34,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,AMP Clean Energy,7172112,45411,6940.55,Bio Mass Boiler,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,The OPCC for Leicestershire,7170791,45384,6891.69,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,The OPCC for Leicestershire,7171616,45394,6865.57,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Tour Construction Ltd,7171190,45385,6600,Buildings - Fire Precaution Work,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,European Asbestos Services Limited,7171439,45390,6572.1,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Nottinghamshire Office of the Police & Crime Commissioner,7170813,45390,6301.99,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Gallagher Bassett,7170943,45384,6144,Insurances,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Boots Hearingcare,7171338,45397,6089.64,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Pro Tect Safety Signs,7171581,45392,6041.5,Vehicle Equipment,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,PRgloo Ltd,7171217,45394,6000,Subscriptions General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7172076,45407,5868,Equipment General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Clarity Travel Limited,7171690,45398,5862.27,Financial Contracts,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Abbott Toxicology Ltd,7172234,45412,5823.78,Other Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,JML Software Soluitions Limited,7171026,45391,5680,Repair & Maintenance - Buildings.,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Experian Limited,7171222,45384,5623.18,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,UK Telematics Ltd,7171844,45401,5620.66,Software Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7171303,45385,5543.95,Insurance X/S,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Child Action Northwest,7171656,45397,5321.13,Appropriate Adult Service,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire Fire and Rescue Service,7171903,45401,5296.81,Other Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,PHS Compliance Ltd,7171274,45397,5259.09,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Lexica Health and Life Sciences Consultancy Limited,7171846,45401,5250.5,Consultants Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,The OPCC for Leicestershire,7171200,45385,5197.5,Software Rental & Licences,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Virgin Media Business,7172130,45412,5040,Circuits,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Abbott Toxicology Ltd,7171119,45384,5038.8,Other Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Chesterfield Street Pastors,7170279,45386,5000,Partnerships,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Quadient Finance UK Limited,3067658,45405,5000,Postages,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Remedi-Restorative Services,7172166,45412,5000,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Quadient Finance UK Limited,3067564,45385,5000,Postages,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Point South Limited,7171553,45392,4660,Firearms,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,AMP Clean Energy,7171905,45411,4652.88,Bio Mass Boiler,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Star Traq (UK) Limited,7170690,45398,4647.42,Software Rental & Licences,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Mike O'Dwyer Ltd,7171700,45397,4632,Furniture,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Star Traq (UK) Limited,7172007,45407,4405.63,Misc Expenditure,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,EDF Energy 1 Limited,7171411,45395,4400.14,Electricity,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Heating & Process Engineering Services Ltd,7171564,45393,4001,Repairs & Maintenance - Mechanical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Tour Construction Ltd,7171155,45385,3970,Repair & Maintenance - Buildings.,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,D S West Motors,7171357,45386,140,Recovery of Vehicles,A,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category A
Police and Crime Commissioner for Derbyshire ,Police Services,D S West Motors,7171357,45386,2950,Vehicle Recovery - Scrapped,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,D S West Motors,7171357,45386,684,Vehicle Recovery - Auctioned,A,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category A
Police and Crime Commissioner for Derbyshire ,Police Services,Shared Services Connected Limited,7170843,45384,3674,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,The Police and Crime Commissioner for West Midlands,7170757,45384,3600,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,EU Supply Limited,7171983,45406,3600,Software Purchase,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Western Underwood Parish Council,7171711,45397,3500,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Shottle & Postern Parish Council,7171710,45397,3500,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Adecco UK Ltd,7171019,45386,3420.53,Agency Staff,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Remedi-Restorative Services,7172164,45412,3325,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Batcheller Monkhouse,7171763,45401,3315.29,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,The OPCC for Leicestershire,7171530,45392,3255.8,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,ACS Business Supplies Ltd,7171272,45385,3234.0400000000004,Printing and Stationery - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Drug Expert Witness & Valuation Ass,7171546,45392,3200,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Police & Crime Commissioner for Greater Manchester,7171374,45387,3176.74,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,QA Limited,7170607,45405,3150,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Sonic Communications International Ltd,7171757,45398,3139.5,Uniforms,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Nottingham Pest Control Ltd,7172189,45411,3124.82,Pest Control,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Royal Mail Group Ltd,7172198,45412,3002.16,Postages,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Fire Service College,7171659,45401,2995,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,University of Leicester,7171822,45399,2991.94,Pathologists Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,University of Leicester,7171824,45399,2991.94,Pathologists Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,University of Leicester,7171823,45399,2991.94,Pathologists Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,SAS Water Ltd,7171337,45390,2941.66,Repairs & Maintenance - Mechanical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Child Action Northwest,7171655,45397,2939.55,Appropriate Adult Service,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Adecco UK Ltd,7171488,45394,2848.95,Agency Staff,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Spanset Ltd,7171406,45397,2837.7,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Abbott Toxicology Ltd,7171639,45397,2835,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,CPOSA,7171348,45404,2800,Insurances,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,CPOSA,7171940,45411,2800,Insurances,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,CPOSA,7171384,45404,2800,Insurances,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,CPOSA,7171351,45404,2800,Insurances,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,HTK Limited,7171345,45386,2795.53,Mobile Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Anexsys Limited,7171431,45406,2795,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Royal Mail Group Ltd,7171179,45383,2776.02,Postages,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Konica Minolta Business Solutions,7171801,45406,2767.71,Photocopiers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Recognition Express,7170663,45392,2684.2,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Heating & Process Engineering Services Ltd,7171341,45386,2681,Repairs & Maintenance - Mechanical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Royal Mail Group Ltd,7171689,45398,2652.77,Postages,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,QA Limited,7170608,45405,2611.6,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Orchid Cellmark Ltd,7171737,45404,2601.5,Forensic Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,South Yorkshire MCA - Police,7172208,45412,2600,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,AMP Clean Energy,7171906,45411,2528.4,Bio Mass Boiler,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Association of Police and Crime Commissioners,7171209,45384,2500,Subscriptions General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Crich Youth Club,7171712,45397,2500,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Darley Moor Motor Cycle Road Racing Club Ltd,7171205,45384,2500,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Gamma Telecom Ltd,7171547,45393,2475.75,Voice Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Allstar Business Solutions Ltd,7171306,45385,2471.04,Police Vehicle Fuel,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Unipar Services,7172148,45408,2420,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Police and Crime Commissioner for Merseyside,7172196,45412,2401.41,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,QA Limited,7171433,45396,2400,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Lyon Equipment Ltd,7172210,45412,2400,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Orchid Cellmark Ltd,7171818,45404,2377.1,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Foster & Freeman Limited,7171548,45398,2371.42,Materials - Consumable,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Imperial Laundry Ltd,7171256,45384,2364.55,Laundry,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Orchid Cellmark Ltd,7171498,45397,2349.25,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7171226,45384,2332.98,Hardware Purchase,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,National Monitoring,7171173,45384,2328,Temporary Alarms,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Orchid Cellmark Ltd,7171500,45404,2322,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Enterprise Rent A Car UK Limited,7171749,45399,2308.24,Hire of Vehicles,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,CORITY SOFTWARE INC,7171748,45398,2278.33,Software Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Bolsover District Council,7171559,45395,2268.99,Rates,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,College of Policing,7171328,45394,2253.9,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7169643,45385,1125,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7169643,45385,1125,Subscriptions General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Vodafone Limited,7171937,45405,2242,Infrastructure Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Royal Mail Group Ltd,7171418,45391,2228.02,Postages,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Orchid Cellmark Ltd,7172059,45407,2112,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,ADT Fire & Security Plc,7171453,45390,2108.25,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7170926,45392,2103.15,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
