BODY,EXPENSE AREA,SUPPLIER,EXPENSE TYPE,REFERENCE,DATE,AMOUNT
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Tudor (Uk) Ltd,Landscaping,11759531,45301,475.53
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Finance & Customer Services,Insight Direct (Uk) Ltd,Technology,11759594,45309,167.04
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Children & Young Peoples Serv,Arrow Commercial Centre Huddersfield Ltd,Fleet Hire And Purchase Financing,11759617,45301,64.75
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Industrial Door Solutions Limited,Repair And Maintenance,11759710,45300,165.5
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Industrial Door Solutions Limited,Repair And Maintenance,11759711,45300,165.5
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11761596,45296,397.8
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Industrial Door Solutions Limited,Repair And Maintenance,11761661,45321,645.5
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Storm Environmental Ltd,Waste Disposal Inc Skip Hire,11762137,45313,16165.1
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11762162,45316,952.07
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Children & Young Peoples Serv,The Tavistock Institute Of Medical,Training Services,11762194,45324,2500
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,"Adult Care, Housing & Public Health",Rotherham Nhs Foundation Trust,Public Health & Care Services,11762724,45322,17813.8
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762757,45301,857.11
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Reed Talent Solutions Ltd,Agency Staff Services,11762758,45301,728.54
