BODY,EXPENSE AREA,NAME,EXPENSE TYPE,REFERENCE,DATE,AMOUNT
Rotherham Metropolitan Borough Council,Regeneration & Environment,CONSTRUCTION TESTING SOLUTIONS LTD,Ppe Tools And Janitorial Supplies,11587255,45113,48.71
Rotherham Metropolitan Borough Council,Regeneration & Environment,NG BAILEY FACILITIES SERVICES LIMITED,Repair And Maintenance,11587348,45124,1690.88
Rotherham Metropolitan Borough Council,Regeneration & Environment,NG BAILEY FACILITIES SERVICES LIMITED,Repair And Maintenance,11587349,45124,1690.88
Rotherham Metropolitan Borough Council,Regeneration & Environment,NG BAILEY FACILITIES SERVICES LIMITED,Repair And Maintenance,11587350,45124,1690.88
Rotherham Metropolitan Borough Council,Regeneration & Environment,NG BAILEY FACILITIES SERVICES LIMITED,Repair And Maintenance,11587351,45124,1690.88
Rotherham Metropolitan Borough Council,Regeneration & Environment,NG BAILEY FACILITIES SERVICES LIMITED,Repair And Maintenance,11587352,45124,1690.88
Rotherham Metropolitan Borough Council,Regeneration & Environment,HINE LABELS LTD,Printing Services,11587688,45124,812.12
Rotherham Metropolitan Borough Council,Regeneration & Environment,RIGHTMOVE,Rent Lease & Property Management,11588807,45113,570
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,THE APPLE TREE CENTRE (SOUTH YORKSHIRE),Supporting People - Mental Health,11588814,45125,770
Rotherham Metropolitan Borough Council,Regeneration & Environment,IPL PLASTICS (UK) LTD,Waste Disposal Inc Skip Hire,11588843,45125,2875
Rotherham Metropolitan Borough Council,Regeneration & Environment,RODGERS PLANT HIRE LTD,Plant Hire,11588909,45135,119.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,RODGERS PLANT HIRE LTD,Plant Hire,11588911,45135,299
Rotherham Metropolitan Borough Council,Regeneration & Environment,W J NORTH LTD,Road Markings And Traffic Management,11589169,45127,1658.75
Rotherham Metropolitan Borough Council,Regeneration & Environment,JAMES BURRELL LTD,Building Materials,11589170,45119,1400.65
Rotherham Metropolitan Borough Council,Regeneration & Environment,W J NORTH LTD,Road Markings And Traffic Management,11589171,45119,23384.41
Rotherham Metropolitan Borough Council,Regeneration & Environment,W J NORTH LTD,Road Markings And Traffic Management,11589177,45113,650.68
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11590735,45113,90
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11590736,45113,96
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11590737,45113,42
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11590740,45113,32
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11590741,45113,336
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11590742,45113,850
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11590743,45113,32
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,DA LANGUAGES LTD,Translation & Interpretation,11590996,45131,254.43
Rotherham Metropolitan Borough Council,Adult Care & Housing,DA LANGUAGES LTD,Translation & Interpretation,11591009,45138,152.46
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Respite Care Services,11591019,45118,840.5
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Respite Care Services,11591020,45118,327
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11591069,45113,64
Rotherham Metropolitan Borough Council,Regeneration & Environment,RUSSELLS (KIRBYMOORSIDE) LTD,Landscaping,11591080,45113,24.15
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11591084,45113,90
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11591086,45113,64
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11591087,45113,74
Rotherham Metropolitan Borough Council,Regeneration & Environment,RIVERSIDE TRUCK RENTAL LTD,Fleet Hire And Purchase Financing,11591092,45121,5657
Rotherham Metropolitan Borough Council,Regeneration & Environment,DIRECT TRAFFIC MANAGEMENT LTD,Road Markings And Traffic Management,11591102,45117,2887.08
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11591596,45134,437.51
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11591598,45134,437.51
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11591599,45134,434.72
Rotherham Metropolitan Borough Council,Regeneration & Environment,SRCL LTD,Waste Disposal Inc Skip Hire,11591603,45141,3303
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11591606,45134,611.32
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11591608,45134,658.83
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11591609,45134,597.72
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11591610,45134,536.62
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11591611,45134,434.72
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11591612,45134,455.12
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11591613,45134,455.12
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11591615,45134,434.72
Rotherham Metropolitan Borough Council,Regeneration & Environment,THE HEAVENLY COFFEE COMPANY,Food And Drink,11591628,45121,643.39
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11591706,45134,713.23
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11591773,45134,258.21
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Respite Care Services,11591791,45118,419.5
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Respite Care Services,11591792,45119,840.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,NG BAILEY FACILITIES SERVICES LIMITED,Repair And Maintenance,11591845,45121,335.28
Rotherham Metropolitan Borough Council,Regeneration & Environment,INTERNATIONAL PARKING SYSTEMS (UK) LTD,Technology,11591856,45126,2075.42
Rotherham Metropolitan Borough Council,Regeneration & Environment,CONSTANT SECURITY SERVICES LTD,Security,11591879,45138,2640
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11591929,45113,6316.05
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11591935,45113,42.64
Rotherham Metropolitan Borough Council,Regeneration & Environment,KCM WASTE MANAGEMENT LTD,Waste Disposal Inc Skip Hire,11592476,45121,144
Rotherham Metropolitan Borough Council,Regeneration & Environment,KCM WASTE MANAGEMENT LTD,Waste Disposal Inc Skip Hire,11592481,45133,3509.49
Rotherham Metropolitan Borough Council,Regeneration & Environment,SOUTH YORKSHIRE MAYORAL,Waste Disposal Inc Skip Hire,11592543,45132,10670.58
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,100.79
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,355.79
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,232.69
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,176.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,138.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,377.68
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,736.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,161.59
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,127.18
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,361.17
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,338.38
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,247.13
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,507.45
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,96.78
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,365.79
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,225.52
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,284.19
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,480.74
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,575.41
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,410.44
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,285.82
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,388.91
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,210.01
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,279.15
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,-7.01
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,138.48
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,185.26
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,384.86
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,533.63
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,489.21
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,838.05
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,610.96
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,688.22
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,358.31
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,655.81
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,270.17
Rotherham Metropolitan Borough Council,Regeneration & Environment,HOPWELLS LTD,Food And Drink,11592614,45117,605.12
Rotherham Metropolitan Borough Council,Regeneration & Environment,BRYTONE LTD,Catering Equipment,11592632,45141,172.75
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,IANSYST LTD,Training Services,11592650,45117,1892
Rotherham Metropolitan Borough Council,Regeneration & Environment,TERBERG MATEC U.K. LTD,Vehicle Recovery Maintenance Repair,11592701,45131,238.88
Rotherham Metropolitan Borough Council,Regeneration & Environment,TERBERG MATEC U.K. LTD,Vehicle Recovery Maintenance Repair,11592702,45131,198.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,NPOWER,Energy,11592783,45141,215
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,CARTRIDGE ROTHERHAM PLUS,Stationery Furniture & It Consumables,11592958,45141,115
Rotherham Metropolitan Borough Council,Regeneration & Environment,INDEPENDENT CONTRACTOR SECURITY LTD(ICS),Security,11593270,45114,110.56
Rotherham Metropolitan Borough Council,Regeneration & Environment,KCM WASTE MANAGEMENT LTD,Waste Disposal Inc Skip Hire,11593287,45121,132.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,MAUN MOTORS SELF DRIVE,Fleet Hire And Purchase Financing,11593365,45118,2451
Rotherham Metropolitan Borough Council,Regeneration & Environment,MAUN MOTORS SELF DRIVE,Fleet Hire And Purchase Financing,11593365,45118,-551
Rotherham Metropolitan Borough Council,Regeneration & Environment,AECOM INFRASTRUCTURE & ENVIRONMENT UK,Consultancy,11593371,45119,2527.98
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,HSL COMPLIANCE LTD,Repair And Maintenance,11593398,45125,240.4
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,HSL COMPLIANCE LTD,Repair And Maintenance,11593403,45125,80
Rotherham Metropolitan Borough Council,Regeneration & Environment,HSL COMPLIANCE LTD,Repair And Maintenance,11593409,45121,337
Rotherham Metropolitan Borough Council,Regeneration & Environment,BIOWISE LTD,Waste Disposal Inc Skip Hire,11593446,45113,114962.83
Rotherham Metropolitan Borough Council,Adult Care & Housing,SAFE FIRE DIRECT,Fire Prevention,11593496,45128,1200
Rotherham Metropolitan Borough Council,Regeneration & Environment,DIRECT TRAFFIC MANAGEMENT LTD,Road Markings And Traffic Management,11594089,45117,3188.08
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,CYGNET (NW) LTD,Supporting People - Mental Health,11594163,45117,2715
Rotherham Metropolitan Borough Council,Regeneration & Environment,BRYTONE LTD,Catering Equipment,11594226,45132,90
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11594454,45113,76
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11594455,45113,44
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11594456,45113,152
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11594458,45113,32
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11594459,45113,604
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11594460,45113,160
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,TLC LIVE,Specialized Educational Services,11594478,45119,1056
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11594484,45113,128
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11594485,45141,86
Rotherham Metropolitan Borough Council,Regeneration & Environment,DIRECT TRAFFIC MANAGEMENT LTD,Road Markings And Traffic Management,11594489,45114,879.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11597770,45113,320
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11597771,45113,100
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11597772,45113,128
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11597773,45113,195
