BODY,EXPENSE AREA,NAME,EXPENSE TYPE,REFERENCE,DATE,AMOUNT
Rotherham Metropolitan Borough Council,Regeneration & Environment,Sharrock Ltd,Landscaping,11668405,45181,56.65
Rotherham Metropolitan Borough Council,Regeneration & Environment,Riverside Truck Rental Ltd,Fleet Hire And Purchase Financing,11668409,45182,-956
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Nas Services Limited,Supporting People - Learning Disabilities,11668430,45175,24730.33
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Nas Services Limited,Supporting People - Learning Disabilities,11668431,45175,26956
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Nas Services Limited,Supporting People - Learning Disabilities,11668432,45175,24730.33
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Nas Services Limited,Supporting People - Learning Disabilities,11668433,45175,26956
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Nas Services Limited,Supporting People - Learning Disabilities,11668434,45175,26956
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Freshways,Food And Drink,11668442,45183,417.8
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,J W Young (Butchers) Ltd,Food And Drink,11668498,45183,413.32
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11668874,45176,652
Rotherham Metropolitan Borough Council,Regeneration & Environment,Ycg,Landscaping,11668884,45176,420
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11668909,45184,729.3
Rotherham Metropolitan Borough Council,Regeneration & Environment,Ycg,Landscaping,11668945,45176,1150
Rotherham Metropolitan Borough Council,Finance & Customer Services,Ricoh Uk Ltd,Photocopiers And Mfds,11669078,45197,6000
Rotherham Metropolitan Borough Council,Regeneration & Environment,Bright Box Makerspace,Sporting Entertainment & Culture,11669094,45191,1440
Rotherham Metropolitan Borough Council,Regeneration & Environment,The Heavenly Coffee Company,Food And Drink,11669110,45176,104.2
