BODY,EXPENSE AREA,SUPPLIER,EXPENSE TYPE,REFERENCE,DATE,VALUE
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Prism Medical Uk Ltd,Lifts And Adaptation,11747845,45250,2862.86
Rotherham Metropolitan Borough Council,Regeneration & Environment,H W Martin Waste Ltd,Waste Disposal Inc Skip Hire,11747846,45245,4373.58
Rotherham Metropolitan Borough Council,Regeneration & Environment,H W Martin Waste Ltd,Waste Disposal Inc Skip Hire,11747847,45245,87313.91
Rotherham Metropolitan Borough Council,Regeneration & Environment,Gap Group Ltd,Plant Hire,11747848,45237,110
Rotherham Metropolitan Borough Council,Regeneration & Environment,Gap Group Ltd,Plant Hire,11747849,45237,96.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,Gap Group Ltd,Plant Hire,11747850,45237,11.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,Gap Group Ltd,Plant Hire,11747851,45237,144.32
Rotherham Metropolitan Borough Council,Regeneration & Environment,Gap Group Ltd,Plant Hire,11747852,45237,82.28
Rotherham Metropolitan Borough Council,Regeneration & Environment,Gap Group Ltd,Plant Hire,11747853,45237,11.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,Gap Group Ltd,Plant Hire,11747854,45237,14.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,Batleys Foodservice,Food And Drink,11747856,45252,167.49
Rotherham Metropolitan Borough Council,Regeneration & Environment,Imperial Civil Enforcement Solutions,Technology,11747858,45253,1417.47
Rotherham Metropolitan Borough Council,Regeneration & Environment,Tiffin Sandwiches Ltd,Food And Drink,11747860,45252,162.98
Rotherham Metropolitan Borough Council,Regeneration & Environment,Parish Elite Private Hire Ltd,Taxi Mini Bus Coach Operations,11747862,45246,1190
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Parish Elite Private Hire Ltd,Taxi Mini Bus Coach Operations,11747862,45246,40
Rotherham Metropolitan Borough Council,Regeneration & Environment,G Turner,Taxi Mini Bus Coach Operations,11747863,45246,2652
Rotherham Metropolitan Borough Council,Regeneration & Environment,G Turner,Taxi Mini Bus Coach Operations,11747863,45246,748
Rotherham Metropolitan Borough Council,Regeneration & Environment,Econ Engineering Ltd,Training Services,11747864,45252,500
Rotherham Metropolitan Borough Council,Regeneration & Environment,Yorkshire Water,Water Services,11747870,45238,1578.84
Rotherham Metropolitan Borough Council,Regeneration & Environment,R Burkinshaw & Sons Ltd,Plant Hire,11747871,45243,532
Rotherham Metropolitan Borough Council,Regeneration & Environment,Yorkshire Water,Water Services,11747872,45238,886.99
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kier Construction North And Scotland,New Build & Major Refurb Trades,11747873,45239,45350
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",British Gas,Energy,11747874,45257,104.72
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",British Gas,Energy,11747876,45257,167.69
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Equans Regeneration Ltd,New Build & Major Refurb Trades,11747879,45238,505.7
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Equans Regeneration Ltd,New Build & Major Refurb Trades,11747879,45238,1543.72
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Equans Regeneration Ltd,New Build & Major Refurb Trades,11747879,45238,33269.84
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F Blakemore And Son Ltd,Food And Drink,11747881,45237,-272.09
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Nec Software Solutions Uk Limited,Technology,11747883,45254,21000
Rotherham Metropolitan Borough Council,Regeneration & Environment,Reed Specialist Recruitment Ltd,Agency Staff Services,11747884,45243,3511.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,Reed Specialist Recruitment Ltd,Agency Staff Services,11747885,45253,877.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,Reed Specialist Recruitment Ltd,Agency Staff Services,11747886,45253,877.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,Reed Specialist Recruitment Ltd,Agency Staff Services,11747887,45253,1170.4
Rotherham Metropolitan Borough Council,Regeneration & Environment,Reed Specialist Recruitment Ltd,Agency Staff Services,11747888,45253,877.8
Rotherham Metropolitan Borough Council,Finance & Customer Services,Datatank Ltd,Consultancy,11747889,45238,44892
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",J W Young (Butchers) Ltd,Food And Drink,11747890,45246,304.85
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Michelle Schofield,Supporting People - Mental Health,11747891,45238,460
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Michelle Schofield,Supporting People - Mental Health,11747892,45238,230
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Michelle Schofield,Supporting People - Mental Health,11747893,45238,230
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Michelle Schofield,Supporting People - Mental Health,11747894,45238,460
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Michelle Schofield,Supporting People - Mental Health,11747895,45238,345
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Michelle Schofield,Supporting People - Mental Health,11747896,45238,115
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Michelle Schofield,Supporting People - Mental Health,11747897,45238,805
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Michelle Schofield,Supporting People - Mental Health,11747898,45238,805
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",We Are With You,Public Health & Care Services,11747899,45238,268583.33
Rotherham Metropolitan Borough Council,Regeneration & Environment,Artistic Spectrum Ltd,Art And Print Design Services,11747920,45237,2884.33
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",We Are With You,Public Health & Care Services,11747922,45238,34937.5
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Rotherham United Community Trust,Sporting Entertainment & Culture,11747923,45237,20950.2
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,The Fun Hub Cic,Funding Contributions Or Grant,11747924,45237,6028.5
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Footballerz Ltd,Funding Contributions Or Grant,11747925,45237,1722
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747933,45251,20
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Redacted,Supporting People - Foster Care,11747937,45237,110
Rotherham Metropolitan Borough Council,Regeneration & Environment,Cotswold Roller Hire Ltd,Plant Hire,11747942,45243,119
Rotherham Metropolitan Borough Council,Regeneration & Environment,Cotswold Roller Hire Ltd,Plant Hire,11747944,45243,217
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Chrysalis Associates Ltd,Supporting People - Mental Health,11747945,45237,1200
Rotherham Metropolitan Borough Council,Regeneration & Environment,Cotswold Roller Hire Ltd,Plant Hire,11747946,45243,217
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11747951,45240,21600
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11747952,45257,540
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Redacted,Funding Contributions Or Grant,11747954,45232,540
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Equans Regeneration Ltd,New Build & Major Refurb Trades,11747959,45238,625.01
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Equans Regeneration Ltd,New Build & Major Refurb Trades,11747959,45238,43026.46
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Equans Regeneration Ltd,New Build & Major Refurb Trades,11747960,45238,175689.97
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Equans Regeneration Ltd,New Build & Major Refurb Trades,11747960,45238,2670.49
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Equans Regeneration Ltd,New Build & Major Refurb Trades,11747960,45238,8152.02
Rotherham Metropolitan Borough Council,Regeneration & Environment,Grant Stewart Construction Ltd,Repair And Maintenance,11747962,45251,1480
Rotherham Metropolitan Borough Council,Regeneration & Environment,Sure Maintenance Ltd,Repair And Maintenance,11747967,45240,9920.14
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Five Rivers Child Care Ltd,Supporting People - Foster Care,11747971,45238,17200
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Five Rivers Child Care Ltd,Supporting People - Foster Care,11747972,45238,6240
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Five Rivers Child Care Ltd,Supporting People - Foster Care,11747973,45238,803.2
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Five Rivers Child Care Ltd,Supporting People - Foster Care,11747974,45238,13200
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Wycliff Danda,Supporting People - Mental Health,11747977,45244,2267.75
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747981,45251,1645.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747983,45251,420
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747984,45252,1937.31
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747984,45252,1585.08
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747985,45252,2816.91
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747985,45252,989.73
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747986,45252,2150.94
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747986,45252,836.47
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747987,45252,1206.31
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747987,45252,670.18
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747987,45252,1474.38
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747988,45252,2150.57
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747988,45252,836.33
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747989,45252,1524.69
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747989,45252,1039.56
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747989,45252,450.48
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747989,45252,450.47
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747990,45252,2172.25
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747990,45252,803.43
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747991,45252,2319.3
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747991,45252,857.83
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747992,45252,1178.15
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747992,45252,996.9
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747992,45252,845.85
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747993,45252,2079.33
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747993,45252,808.63
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747994,45252,59.36
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747994,45252,1840.29
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747994,45252,1068.55
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747995,45252,2285.51
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747995,45252,682.69
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747996,45252,386.93
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747996,45252,190.57
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747997,45252,1201.36
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747997,45252,577.57
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747997,45252,531.37
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747998,45252,2521.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747998,45252,1825.98
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747999,45252,1229.63
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11747999,45252,526.98
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11748000,45252,2775.52
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11748001,45252,708.06
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11748001,45252,289.21
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11748002,45252,2756.26
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11748002,45252,1019.44
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11748003,45252,535.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11748004,45252,1566.08
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11748004,45252,550.25
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11748005,45252,627.64
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11748006,45251,662.78
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11748006,45251,1546.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11748007,45251,903.86
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11748007,45251,2324.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11748008,45251,2385.78
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11748008,45251,712.64
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11748009,45251,2829.02
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11748009,45251,893.38
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11748010,45251,2754.92
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11748010,45251,918.31
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11748011,45251,2542.31
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Community Transport Ltd,Taxi Mini Bus Coach Operations,11748011,45251,940.31
Rotherham Metropolitan Borough Council,Regeneration & Environment,Lyreco Uk Ltd,Stationery Furniture & It Consumables,11748013,45257,16.18
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748018,45237,-411.38
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748019,45237,-434.06
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748020,45237,-1068.38
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748021,45237,-495.6
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748022,45237,-550.67
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748023,45237,-592.78
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748024,45237,-408.14
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748025,45237,306.13
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748026,45237,306.13
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748027,45237,396.07
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748028,45237,306.13
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748029,45237,306.13
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748030,45237,306.08
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748031,45237,306.08
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748032,45237,306.13
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748033,45237,306.13
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11748034,45237,2010.37
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748035,45237,306.13
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11748036,45237,1262.4
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748037,45237,359.69
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748038,45237,710.56
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11748039,45237,958.15
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11748040,45237,958.15
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11748041,45237,1262.4
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748042,45237,1508.91
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11748043,45237,2477.63
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11748044,45237,1858.5
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748045,45237,1494.45
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11748046,45237,2110.11
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11748047,45237,1156.97
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748048,45237,311.2
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748049,45237,230.22
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11748050,45237,2151.24
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748051,45237,154.35
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748052,45237,351.76
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748053,45237,175.52
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748054,45237,322.59
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748055,45237,526.56
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748056,45237,438.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11748057,45237,559.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11748058,45237,1147.41
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11748059,45237,1776.14
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748060,45237,845.69
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748061,45237,416.16
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748062,45237,778.38
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748063,45237,2159.71
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748064,45237,1078.9
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748065,45237,435.7
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748066,45237,2673.23
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748067,45237,225
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748068,45237,407.36
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748069,45237,160.8
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748070,45237,127.25
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748071,45237,1623.66
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748072,45237,1355.48
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748073,45237,1437.18
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748074,45237,1493.95
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11748075,45237,2407.8
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748076,45237,293.07
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748077,45237,1203.32
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11748078,45237,569.71
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748079,45237,1406.42
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748080,45237,1355.73
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11748081,45237,2711.74
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11748082,45237,2113.3
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748083,45237,1374.42
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748084,45237,1360.46
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748085,45237,1607.48
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11748086,45237,2010.04
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748087,45237,1439.02
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748088,45237,160.97
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748089,45237,1433.63
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11748090,45237,2454.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11748091,45237,1222.32
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11748092,45237,1242.58
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11748093,45237,1638.9
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Matrix Scm Ltd,Agency Staff Services,11748094,45237,1508.91
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Matrix Scm Ltd,Agency Staff Services,11748095,45237,1456.68
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11748096,45237,2909.14
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11748097,45237,1998.44
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11748098,45237,1660.82
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11748099,45237,2388.72
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11748100,45237,447.84
