Portfolio,Directorate,Division,Service Area,Type of Expenditure,Payee,Payment Date,Amount (£)
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Hexagon Care Services Limited,45257,25889.96
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Early Years Provision Ltd T/A Ladybirds Educational Nursery Ltd,45278,25881.9
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Golden Petals Pre-school Ltd,45278,25881.9
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Acorn Care & Education SSC Limited (Belmont School),45218,25833.34
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Next Stage 4 Life Ltd,45208,25769.99
Place,Economy,Economy,Facilities Management,Catering - Food,T C Meats Ltd,45204,25745.37
People,Children´s Services,Schools,Schools,Catering - Milk,Creamline Dairies Ltd,45238,25663.11
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Invigor Adolescent Care Limited,45217,25500
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Travel Line Minibus Service Ltd,45264,25498
Place,Strategic Highways,Capital - Transport,Capital - Trans - Minor Works,Construction - Main Contractor,C P Y Excavations Ltd,45252,25395.89
Place,Strategic Highways,Capital - Transport,Capital - Trans - Minor Works,Construction - Main Contractor,C P Y Excavations Ltd,45237,25395.88
Place,Environmental Services,Environmental Services,Fleet Management,Fuel & Oil,Standard Fuel Oils Ltd,45229,25288.04
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Ambrose Nursery Ltd,45278,25267.28
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Panda Pre School Group,45278,25267.28
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Hopscotch Care Limited,45237,25257.9
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Services - Professional Fees,Housing 21,45212,25247.38
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Services - Professional Fees,Housing 21,45275,25247.38
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Services - Professional Fees,Housing 21,45275,25247.38
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Minibuses Ltd,45264,25178.56
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Domalo Ltd TA Hillside Nursery,45278,25159.16
People,Children´s Services,Children´s Social Care,Children in Care,Secure - Remand,Shared Services Connected Ltd,45282,25020
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Asset Mgt - Asset Management,Construction - Main Contractor,JLA HVAC Ltd,45243,24963
Place,Environmental Services,Environmental Services,Highways,Services - Payments To Contractors,Rhodes & Sons Construction Ltd,45237,24885.06
Place,Environmental Services,Environmental Services,Highways,Services - Payments To Contractors,Rhodes & Sons Construction Ltd,45237,24883.5
Place,Environmental Services,Environmental Services,Highways,Services - Payments To Contractors,Rhodes & Sons Construction Ltd,45202,24805.31
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Proactive Care (Manchester) Ltd t/a Proactive Care,45237,24800
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Multimedia Expenses,Xerox (UK) Ltd,45237,24704.65
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Baytree Park Private Day Nursery,45278,24651
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Brighter Beginnings Day Nursery Ltd,45278,24651
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Stepping Stones Childrens Homes,45267,24642.85
Place,Environmental Services,Environmental Services,Highways,Services - Payments To Contractors,Rhodes & Sons Construction Ltd,45211,24614.8
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Pure Care Homes Ltd,45282,24578.66
Place,Environmental Services,Environmental Services,Highways,Services - Payments To Contractors,Rhodes & Sons Construction Ltd,45211,24483.65
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Invigor Adolescent Care Limited,45233,24357.01
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Rhodes & Sons Construction Ltd,45260,24325.4
Place,Environmental Services,Environmental Services,Highways,Services - Payments To Contractors,Rhodes & Sons Construction Ltd,45201,24321.4
Place,Environmental Services,Environmental Services,Highways,Services - Payments To Contractors,Rhodes & Sons Construction Ltd,45231,24223.4
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Giggle And Grow Ltd Glodwick,45231,24196.55
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,County Minibuses Ltd,45231,24037
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Age UK Oldham Ltd,45247,24035
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Heathcot Pre School Ltd,45278,24034.73
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,The Green Dome Academy Limited T/A Westwood High,45278,24034.73
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Proactive Care (Manchester) Ltd t/a Proactive Care,45209,24000
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,HCRG Care Services Ltd,45229,24000
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Proactive Care (Manchester) Ltd t/a Proactive Care,45265,24000
Place,Environmental Services,Environmental Services,Highways,Services - Payments To Contractors,Rhodes & Sons Construction Ltd,45211,23981.95
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Oasis Academy Limeside,45231,23956.8
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Asset Mgt - Asset Management,Construction - Main Contractor,Rowan Ashworth Ltd,45238,23870
Corporate Services,Corporate Services,Finance,Finance,Click Travel - Consolidated Invoice Account,TravelPerk UK IRL Ltd,45244,23836.37
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Raise the Youth Foundation C.I.C.,45215,23791.74
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Pure Care Homes Ltd,45223,23785.8
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Pure Care Homes Ltd,45250,23785.8
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Cambian Childcare Limited,45208,23692.86
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Cambian Childcare Limited,45244,23692.86
Place,Environmental Services,Environmental Services,Street Lighting,Operational Materials,Christmas Plus Ltd,45271,23611
Corporate Services,Corporate Services,Finance,Finance,Click Travel - Consolidated Invoice Account,TravelPerk UK IRL Ltd,45279,23578.96
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Invigor Adolescent Care Limited,45217,23571.3
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,S Lord ta Kidz Matter Ltd,45278,23529
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Services - Professional Fees,POINT Parents of Oldham in Touch,45218,23460
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Sunny Smiles Day Nursery,45278,23418.45
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Tulip Community Care,45251,23310
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Purchase Of Software,Capita Business Services Ltd,45219,23200
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Moorside Stars Nursery Ltd,45278,23165
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Raise the Youth Foundation C.I.C.,45215,23122.04
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Mahmood Hussain,45264,23105
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Willowpark Primary Academy,45231,23058.42
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,North Chadderton School,45258,23041.99
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Cambian Childcare Limited,45251,22928.7
Place,Environmental Services,Environmental Services,Fleet Management,Fuel & Oil,Standard Fuel Oils Ltd,45229,22915.49
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Yew Tree Pre School,45278,22802.18
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Appledore Private Day Nursery Ltd,45278,22802.18
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Meadows Care Limited,45218,22785.18
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Meadows Care Limited,45266,22785.18
Place,Economy,Economy,Facilities Management,Catering - Food,T C Meats Ltd,45232,22707.98
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Pure Care Homes Ltd,45223,22572.34
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Parklane Minibuses Ltd,45205,22499.74
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,East Crompton St James s Childcare Village Ltd,45278,22352.55
Place,Economy,Economy,Property Management,Services - Professional Fees,Savills UK Limited,45212,22297.29
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Transport For Greater Manchester,45252,22289.18
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Zahid Rajput,45211,22230
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Meadows Care Limited,45238,22050.17
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Focus Academy Trust (UK) Ltd TA Lyndhurst Primary School,45231,21976
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Focus Academy Trust (UK) Ltd TA Lyndhurst Primary School,45258,21976
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Cambian Childcare Limited,45208,21921.43
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Parkwood Care Limited,45257,21921.43
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Cambian Childcare Limited,45260,21921.43
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Pure Care Homes Ltd,45250,21844.2
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Broadway Day Nursery Ltd,45231,21781.2
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Giggle & Grow Day Nursery Limited,45231,21599.62
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Supporting Futures Ltd,45238,21589.33
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Dalepeak Ltd,45208,21536.01
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Dalepeak Ltd,45264,21536.01
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,East Crompton St James s Childcare Village Ltd,45231,21473.55
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Parklane Minibuses Ltd,45238,21418.81
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,HM Courts & Tribunals Service (London),45260,21418
People,Children´s Services,Children´s Social Care,Children in Care,Payments To Other Local Authorities,Rochdale Borough Council Debt Recovery,45231,21394.29
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Pure Care Homes Ltd,45223,21383.49
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Pure Care Homes Ltd,45282,21383.49
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Cornerhouse Day Nursery Ltd,45278,21364.2
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Esland Care,45223,21359.93
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Rainbow Kabin Pre School,45278,21283.05
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Forget Me Not Children´s Hospice Limited,45250,21250
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Meadows Care Limited,45209,21235
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Meadows Care Limited,45209,21235
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Meadows Care Limited,45209,21235
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Meadows Care Limited,45209,21235
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Meadows Care Limited,45209,21235
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Meadows Care Limited,45209,21235
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Meadows Care Limited,45266,21235
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Meadows Care Limited,45266,21235
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Meadows Care Limited,45266,21235
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Meadows Care Limited,45266,21235
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Meadows Care Limited,45266,21235
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Parkwood Care Limited,45224,21214.29
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Cambian Childcare Limited,45230,21214.29
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Multimedia Expenses,Xerox (UK) Ltd,45208,21213.13
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Training Expenses,The University Of Sheffield,45264,21210
People,Children´s Services,Schools,Schools,Services - Payments To Contractors,Seashell Trust,45233,21177.28
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Holyrood Nursery,45278,21176.1
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Smart Start Oldham Ltd T/A Smart Start Nursery,45278,21176.1
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,A-Star Kids Ltd,45278,21176.1
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Asset Mgt - Asset Management,Construction - Main Contractor,Saddleworth Plant Hire Ltd (SPH Ltd),45217,21168.76
Place,Environmental Services,Environmental Services,Highways,Services - Payments To Contractors,Rhodes & Sons Construction Ltd,45237,21132.39
Place,Environmental Services,Environmental Services,Highways,Services - Payments To Contractors,Rhodes & Sons Construction Ltd,45217,21074.76
Place,"Economic Development, Enterprise and Skills",Capital - Boroughwide,Capital - Boroughwide Developments,Fees - Agency,Bloom Procurement Services Ltd,45232,21000
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Jelly Babies Pre School Learning Alliance,45278,20953.35
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Zahid Rajput,45237,20915
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Supporting Futures Ltd,45226,20892.9
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Supporting Futures Ltd,45268,20892.9
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Transportation Direct Ltd,45278,20887.64
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Travel Line Minibus Service Ltd,45205,20862
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Transportation Direct Ltd,45205,20857.98
Place,Environmental Services,Environmental Services,Highways,Services - Payments To Contractors,Rhodes & Sons Construction Ltd,45230,20850.2
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Dalepeak Ltd,45233,20841.3
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Sunshine Nursery TA Sunshine Nursery Chadderton Ltd,45278,20830.1
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Birtenshaw School,45217,20815.33
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Birtenshaw School,45237,20815.33
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Birtenshaw School,45265,20815.33
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Pure Care Homes Ltd,45250,20693.7
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Inspira Care,45232,20637.14
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Shooting Stars Nursery TA The Daycare Ltd,45278,20617.8
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Minibuses Ltd,45205,20600.64
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Timeout Children´s Homes Ltd,45218,20600
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Timeout Children´s Homes Ltd,45218,20600
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Timeout Children´s Homes Ltd,45247,20600
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Timeout Children´s Homes Ltd,45247,20600
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Timeout Children´s Homes Ltd,45280,20600
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Timeout Children´s Homes Ltd,45280,20600
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Meadows Care Limited,45238,20550
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Meadows Care Limited,45238,20550
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Meadows Care Limited,45238,20550
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Meadows Care Limited,45238,20550
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Meadows Care Limited,45238,20550
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Internet,British Telecommunications plc,45251,20404.86
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Fogarty Care Services Limited T/A Nightingales Homecare,45203,20398.14
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Fogarty Care Services Limited T/A Nightingales Homecare,45232,20398.14
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Fogarty Care Services Limited T/A Nightingales Homecare,45257,20398.14
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Fogarty Care Services Limited T/A Nightingales Homecare,45282,20398.14
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Courtyard Care Limited,45217,20303.45
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Courtyard Care Limited,45217,20303.45
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Courtyard Care Limited,45217,20303.45
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Courtyard Care Limited,45232,20303.45
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Age UK Oldham Ltd,45265,20232.31
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Onextra Care Ltd,45237,20150
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Internet,British Telecommunications plc,45280,20030.62
Corporate Services,Corporate Services,"Customer, Digital and Transformation",Transformation and Reform,Computing - Purchase Of Software,QA Ltd,45239,20000
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Tulip Community Care,45237,19980
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Cripps Builders,45261,19950
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Services - Professional Fees,Housing 21,45272,19935.02
People,Community Health and Adult Social Care,Community Health & Social Care,Community Health & Social Care,Legal Expenses,Adam Fullwood,45267,19750
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Oldham Hulme Kindergarten,45278,19720.8
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Age UK Oldham Ltd,45204,19685.43
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Courtyard Care Limited,45212,19648.5
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Courtyard Care Limited,45217,19648.5
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Courtyard Care Limited,45217,19648.5
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Courtyard Care Limited,45264,19648.5
Place,Economy,Economy,Creating a Better Place,Services - Professional Fees,CBRE Ltd,45261,19541.67
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Onextra Care Ltd,45208,19500
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Multimedia Expenses,Civica Uk Ltd,45223,19500
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Onextra Care Ltd,45265,19500
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Care Today Limited,45266,19443.3
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Keys PCE Ltd,45230,19435.1
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Travel Line Minibus Service Ltd,45230,19425.5
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Minibuses Ltd,45238,19352.26
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Internet,British Telecommunications plc,45218,19331.28
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,County Minibuses Ltd,45204,19188
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Smart Start Oldham Ltd T/A Smart Start Nursery,45278,19104.53
Place,Environmental Services,Capital - Environment,Capital - Env - Parks,Construction - Main Contractor,Landscape Engineering Ltd,45280,18980.15
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Care Today Childrens Services Ltd,45238,18971.07
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Services - Professional Fees,Prospero Recruitment Ltd,45236,18897.5
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Daisy Chains Pre School,45278,18823.2
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,The Together Trust,45233,18821.34
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,The Together Trust,45233,18821.34
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Keys PCE Ltd,45257,18808.16
Place,Economy,Economy,Strategic Housing,Nightly Provision Accommodation,CarePoint HC Limited,45251,18755
Place,Environmental Services,Environmental Services,Public Protection,Operational Materials,Synectics Security Limited,45265,18728.8
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Care Today Limited,45238,18724.62
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,GMX Cars Ltd,45261,18631.56
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Bright Futures Autism Ltd,45275,18624
Place,Environmental Services,Environmental Services,Environmental Management,Services - Payments To Contractors,R C Solutions CCTV & Pitch Care Limited,45260,18518
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,GMIS (Greater Manchester Independent School)(Teenage Works ),45257,18499.33
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Channings Childcare Ltd,45278,18488.25
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Butterflies - The Oldham College Day Nursery,45278,18488.25
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Tiddleywinks Nursery School Ltd,45278,18488.25
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Timeout Children´s Homes Ltd,45226,18400
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Timeout Children´s Homes Ltd,45257,18400
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Meadows Care Limited,45244,18375.14
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Care Today Childrens Services Ltd,45209,18359.1
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Care Today Childrens Services Ltd,45266,18359.1
People,Community Health and Adult Social Care,Commissioning,Commissioning,Occupational Therapy Service,Northern Care Alliance NHS Foundation Trust,45231,18254.5
People,Community Health and Adult Social Care,Commissioning,Commissioning,Occupational Therapy Service,Northern Care Alliance NHS Foundation Trust,45252,18254.5
People,Community Health and Adult Social Care,Commissioning,Commissioning,Occupational Therapy Service,Northern Care Alliance NHS Foundation Trust,45279,18254.5
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Sphere Care Solutions,45232,18250
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Sphere Care Solutions,45245,18250
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Tao Adventure Therapies Ltd,45274,18240
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,The Together Trust,45208,18214.2
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,The Together Trust,45208,18214.2
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,The Together Trust,45264,18214.2
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,The Together Trust,45264,18214.2
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Raise the Youth Foundation C.I.C.,45219,18201.6
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Diggle Dandelions Pre School CIC,45278,18200.66
Place,Economy,Economy,Strategic Housing,PRS Advance Payment,CarePoint HC Limited,45209,18150
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Age UK Oldham Ltd,45224,18150
Place,Economy,Economy,Strategic Housing,Nightly Provision Accommodation,CarePoint HC Limited,45274,18150
Place,Environmental Services,Environmental Services,Highways,Services - Payments To Contractors,Rhodes & Sons Construction Ltd,45230,18144.8
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,S Lord ta Kidz Matter Ltd,45231,18141.75
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Care Today Limited,45208,18120.6
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Bright Futures Autism Ltd,45275,18021
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Bright Futures Autism Ltd,45275,18021
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Sphere Care Solutions,45226,17902.95
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,GMX Cars Ltd,45232,17880
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Rises Private Day Nursery,45278,17871.98
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,A-Star Kids Ltd,45278,17871.98
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Lifetime Opportunities Ltd,45218,17704.5
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Lifetime Opportunities Ltd,45218,17704.5
