Portfolio,Directorate,Division,Service Area,Type of Expenditure,Payee,Payment Date,Amount (£)
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Moving Forward Care Ltd,45124,4268.8
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Fusion Care Ltd,45195,4264.28
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Cathmor Limited,45138,4264.2
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Cathmor Limited,45138,4264.2
Place,Economy,Economy,Estates,Water Services,"Water Plus, Water PLC + Severn Trent",45112,4262.13
Place,Environmental Services,Environmental Services,Highways,Services - Payments To Contractors,Rhodes & Sons Construction Ltd,45159,4258.9
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Cathmor Limited,45138,4251.6
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Foster Care Associates Limited (FCA),45190,4248.89
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Platinum Stairlifts Ltd,45121,4246.25
Place,Economy,Economy,Strategic Housing,HSF Payments - Homelessness,Let Alliance Limited TA Rent on Time,45112,4236.48
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Family Hubs - Parent-Infant Relationship & Perinatal Mental Health,Hello Creative,45146,4231
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Transport For Greater Manchester,45174,4228.62
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Publications,J S Peters & Son Ltd t/a Peters Bookselling Services Ltd,45154,4227.26
Place,Youth & Communities,Youth Services Client,Youth Services Client,Educational Curriculum Equipment,Oldham Athletic Community Trust,45146,4224
Place,Economy,Economy,Creating a Better Place,Services - Professional Fees,Turner & Townsend Group Limited,45152,4223
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Boroughwide Developments,Fees - Other,Turner & Townsend Group Limited,45184,4216
Place,Economy,Economy,Estates,Services - Professional Fees,Royal Mail Group PLC,45173,4209.42
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Northern Community Pathways Limited,45152,4207.14
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Northern Community Pathways Limited,45175,4207.14
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Personal Budgets,PERSONAL DETAILS REDACTED,45132,4203.72
Place,Youth & Communities,Community Services,Community Safety,Services - Professional Fees,Greater Manchester Police,45110,4200
People,Community Health and Adult Social Care,Community Health & Social Care,Clusters,Agency Staff,Reed Specialist Recruitment Limited,45180,4200
People,Children´s Services,Capital - Schools,Capital - Schools New Build,Fees - Agency,Bloom Procurement Services Ltd,45127,4200
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Radical Services,45138,4200
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Radical Services,45149,4200
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Radical Services,45155,4200
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Radical Services,45182,4200
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Direct Payments,PERSONAL DETAILS REDACTED,45134,4199.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Direct Payments,PERSONAL DETAILS REDACTED,45162,4199.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Direct Payments,PERSONAL DETAILS REDACTED,45190,4199.88
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Safehouses North Ltd,45160,4193.27
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Safehouses North Ltd,45180,4193.27
Place,Environmental Services,Environmental Services,Fleet Management,Tyres,ProFit Tyre Group Ltd,45154,4191
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Cathmor Limited,45152,4185
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Cathmor Limited,45177,4185
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Direct Payments,PERSONAL DETAILS REDACTED,45119,4182.99
Place,Environmental Services,Environmental Services,Fleet Management,Hire Of Other Vehicles,Dawson Rentals Sweepers Ltd,45134,4180
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,ISW Care (ISW Care Limited),45182,4179.51
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Safehouses North Ltd,45135,4175.57
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Safehouses North Ltd,45153,4175.57
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,Brabners LLP t/a Brabners Chaffe Street Solicitors,45175,4175
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Personal Budgets,PERSONAL DETAILS REDACTED,45196,4172.98
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,The Together Trust,45152,4161.75
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,The Together Trust,45176,4161.75
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Comms Expenses,Daisy Corporate Services Trading Limited,45138,4145.5
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Comms Expenses,Daisy Corporate Services Trading Limited,45159,4145.5
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Comms Expenses,Daisy Corporate Services Trading Limited,45184,4145.5
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,IDL Engineering Services Limited,45191,4122
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Foster Care Associates Limited (FCA),45190,4111.83
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45154,4104
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,The Greater Manchester Combined Authority,45196,4103.13
Place,Environmental Services,Environmental Services,Highways,Hired Moveable Plant,Rhodes & Sons Construction Ltd,45125,4103.05
Corporate Services,Corporate Services,Strategy and Performance,Strategy and Performance,Services - Professional Fees,Co-operative Press Ltd,45113,4100
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Safehouses North Ltd,45135,4092
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Safehouses North Ltd,45153,4092
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,The Fostering Team/Care 4 Children,45149,4085.18
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,The Fostering Team/Care 4 Children,45149,4085.18
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,The Fostering Team/Care 4 Children,45174,4085.18
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,The Fostering Team/Care 4 Children,45174,4085.18
Place,Strategic Highways,Capital - Transport,Capital - Trans - Minor Works,Construction - Main Contractor,Rowan Ashworth Ltd,45128,4079.06
Corporate Services,Corporate Services,Capital - IT,Capital - IT,IT Consultancy,Softcat Limited,45152,4076.5
Place,Environmental Services,Environmental Services,Waste Management Service,Operational Materials,Rushton Electronic Solutions Ltd,45161,4071.88
Corporate Services,Corporate Services,Capital - IT,Capital - IT,IT Consultancy,T.E.W. Software Solutions Ltd,45183,4066.5
Corporate Services,Corporate Services,HR & Organisational Development,HR Strategy,Training Expenses,Early Years Alliance,45196,4055
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Changes Support Ltd,45145,4053.6
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,JLA HVAC Ltd,45181,4052.65
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Services - Professional Fees,Sunny Smiles Day Nursery,45176,4050
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Cathmor Limited,45138,4050
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Believe and Achieve Support,45149,4049.84
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Believe and Achieve Support,45174,4049.84
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Assistance To Families Grants,GMX Cars Ltd,45145,4048.89
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,ISW Care (ISW Care Limited),45182,4041.06
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Safehouses North Ltd,45160,4040.87
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Safehouses North Ltd,45180,4040.87
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Direct Payments,PERSONAL DETAILS REDACTED,45160,4040.62
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Other,Bridget Baker Consulting,45140,4039
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Other,Bridget Baker Consulting,45156,4039
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Fostering Solutions Ltd,45142,4034.65
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Fostering Solutions Ltd,45154,4034.65
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Fostering Solutions Ltd,45154,4034.65
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Foster Careline Ltd,45182,4032.44
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,The Together Trust,45133,4027.5
Place,Economy,Economy,Facilities Management,Services - Payments To Contractors,NSL Ltd,45138,4012
Place,Economy,Economy,Creating a Better Place,Services - Professional Fees,Lambert Smith Hampton Group Ltd,45126,4000
Corporate Services,Corporate Services,Chief Executive,Partnership Support (Borough and GM),AGMA Services - OMBC Contribution,The Greater Manchester Combined Authority,45196,4000
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Publications,Bolinda UK Ltd,45194,4000
Place,Economy,Economy,Creating a Better Place,Agency Staff,Vivid Resourcing Ltd,45187,4000
Place,Economy,Economy,Creating a Better Place,Services - Professional Fees,Social Value Portal Ltd,45159,4000
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Joanne Oakes c/o Nine St John Street,45128,4000
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,OMBC Pre-payment card: Emergency 5 team,45131,4000
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,OMBC Pre-payment card: Emergency 5 team,45194,4000
Corporate Services,Corporate Services,Legal Services,Legal,Legal Expenses,Timothy Straker c/o 4-5 Gray's Inn Square,45170,4000
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Britannia Education Trust,45182,4000
Corporate Services,Corporate Services,Capital - IT,Capital - IT,IT Consultancy,Capita Resourcing Limited,45177,4000
Place,Environmental Services,Environmental Services,Building Control,Services - Professional Fees,Sweco UK Ltd,45181,4000
Place,Economy,Economy,Creating a Better Place,Services - Professional Fees,PBA Applied Ecology Ltd,45117,3995.58
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Jem Mercer,45161,3992.8
Place,Environmental Services,Environmental Services,Fleet Management,Hire Of Other Vehicles,Dawson Rentals Sweepers Ltd,45153,3990
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,GMIS (Greater Manchester Independent School)(Teenage Works ),45127,3988.64
Place,Economy,Economy,Strategic Housing,HSF Payments - Homelessness,First Choice Homes Ltd (FCHO),45131,3988.45
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,The Fostering Team/Care 4 Children,45138,3985.67
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Olive Branch Fostering Ltd,45152,3981.02
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Olive Branch Fostering Ltd,45152,3981.02
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Olive Branch Fostering Ltd,45174,3981.02
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Olive Branch Fostering Ltd,45174,3981.02
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Cathmor Limited,45152,3963.66
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Cathmor Limited,45177,3963.66
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Alpha Plus Fostering Ltd,45153,3962.42
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Alpha Plus Fostering Ltd,45177,3962.42
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Alpha Plus Fostering Ltd,45153,3962.11
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Alpha Plus Fostering Ltd,45177,3961.8
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Safehouses North Ltd,45180,3960
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Safehouses North Ltd,45135,3954.21
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,The Fostering Team/Care 4 Children,45128,3953.4
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,The Fostering Team/Care 4 Children,45128,3953.4
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Wonde Ltd,45112,3950.7
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Wonde Ltd,45112,3950.7
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Wonde Ltd,45112,3950.7
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Wonde Ltd,45112,3950.7
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Wonde Ltd,45118,3950.7
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Wonde Ltd,45125,3950.7
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Wonde Ltd,45131,3950.7
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Wonde Ltd,45145,3950.7
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Wonde Ltd,45173,3950.7
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Wonde Ltd,45173,3950.7
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Wonde Ltd,45180,3950.7
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Wonde Ltd,45194,3950.7
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Cambian Childcare Limited,45174,3950
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Operational Materials,Alec Graham T/A Splinter Scenery Ltd,45138,3950
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,Heritage Conservation Restoration Ltd,45187,3950
Corporate Services,Corporate Services,HR & Organisational Development,HR Strategy,Training Expenses,Schools with Schools (Kingfisher) Limited,45168,3945.49
Corporate Services,Corporate Services,Finance,Revenues and Benefits,Services - Professional Fees,Financial Data Management,45110,3944.82
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Direct Payments,PERSONAL DETAILS REDACTED,45134,3938.83
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Direct Payments,PERSONAL DETAILS REDACTED,45162,3938.83
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Direct Payments,PERSONAL DETAILS REDACTED,45190,3938.83
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,CWD Community Independent Care,Pennine Social Care Ltd,45152,3937.5
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Edstart Specialist Education Limited,45127,3933.33
Place,Environmental Services,Environmental Services,Highways,Agency Staff,XAIS Asset Management Ltd,45176,3931.2
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Quayside Medical Practice,45141,3925
Place,Environmental Services,Environmental Services,Public Protection,Operational Materials,Killgerm Chemicals Ltd,45195,3921.36
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Sunbeam Fostering Agency,45162,3920.3
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Believe and Achieve Support,45128,3919.2
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Believe and Achieve Support,45196,3919.2
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,ISW Care (ISW Care Limited),45182,3910.71
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Keys PCE Ltd,45149,3910.43
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Keys PCE Ltd,45180,3910.43
Place,Environmental Services,Environmental Services,Fleet Management,Hire Of Other Vehicles,Dawson Rentals Sweepers Ltd,45176,3910
Place,Economy,Economy,Facilities Management,Services - Payments To Contractors,NSL Ltd,45188,3905
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Fostering Solutions Ltd,45142,3904.5
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Fostering Solutions Ltd,45177,3904.5
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Fostering Solutions Ltd,45177,3904.5
Corporate Services,Corporate Services,Finance,Audit,Services - Professional Fees,CIPFA Business Limited,45109,3900
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Minibuses Ltd,45111,3900
Place,Environmental Services,Environmental Services,Environmental Management,Operational Materials,Tidy Bee Ltd,45148,3895
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Safehouses North Ltd,45153,3881.73
Corporate Services,Corporate Services,HR & Organisational Development,HR Strategy,Services - Professional Fees,Vivup,45154,3876.6
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,CWD Community Independent Care,Pennine Social Care Ltd,45152,3875
Place,Strategic Highways,Capital - Transport,Capital - Trans - Bridges & Structures,Construction - Main Contractor,XEIAD Ltd,45160,3859.63
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Olive Branch Fostering Ltd,45128,3852.6
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Olive Branch Fostering Ltd,45128,3852.6
People,Children´s Services,"Education, Skills & Early Years",Learning Services,Services - Professional Fees,The Foresight Foundation,45146,3852
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Saddleworth Environmental Education,45194,3850
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Saddleworth Environmental Education,45194,3850
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Howarth Housing Group Ltd,45110,3850
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Howarth Housing Group Ltd,45138,3850
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Action for Children Services Ltd,45142,3848.96
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Action for Children Services Ltd,45196,3848.96
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,Corlett Electrical Engineering Co (1981) Ltd,45180,3848
People,Children´s Services,Schools,Schools,Contribution From Other Local Authorities,Crompton House School,45159,3840
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Platinum Stairlifts Ltd,45156,3837
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Payments To Contractors,Portakabin Ltd,45155,3836.68
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Cathmor Limited,45138,3835.8
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Rainbow Fostering Services Ltd,45146,3835.71
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Alpha Plus Fostering Ltd,45138,3834.6
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Alpha Plus Fostering Ltd,45138,3834.3
Place,Economy,Economy,Estates,Corporate Security,Capricorn Media Protection Ltd,45187,3832
People,Children´s Services,"Education, Skills & Early Years",Learning Services,Educational Curriculum Equipment,LAMDA Limited,45152,3824
People,Children´s Services,Schools,Schools,Services - Payments To Contractors,Tameside College,45140,3809.58
People,Children´s Services,Children´s Social Care,Children in Care,Agency Staff,Baltimore Consulting Ltd,45111,3802.5
People,Children´s Services,Children´s Social Care,Children in Care,Agency Staff,Baltimore Consulting Ltd,45126,3802.5
People,Children´s Services,Children´s Social Care,Children in Care,Agency Staff,Baltimore Consulting Ltd,45140,3802.5
People,Children´s Services,Children´s Social Care,Children in Care,Agency Staff,Baltimore Consulting Ltd,45148,3802.5
People,Children´s Services,Children´s Social Care,Children in Care,Agency Staff,Baltimore Consulting Ltd,45153,3802.5
People,Children´s Services,Children´s Social Care,Children in Care,Agency Staff,Baltimore Consulting Ltd,45153,3802.5
People,Children´s Services,Children´s Social Care,Children in Care,Agency Staff,Baltimore Consulting Ltd,45153,3802.5
People,Children´s Services,Children´s Social Care,Children in Care,Agency Staff,Baltimore Consulting Ltd,45161,3802.5
People,Children´s Services,Children´s Social Care,Children in Care,Agency Staff,Baltimore Consulting Ltd,45170,3802.5
People,Children´s Services,Children´s Social Care,Children in Care,Agency Staff,Baltimore Consulting Ltd,45195,3802.5
People,Children´s Services,Children´s Social Care,Children in Care,Agency Staff,Baltimore Consulting Ltd,45195,3802.5
Corporate Services,Corporate Services,Capital - IT,Capital - IT,IT Consultancy,4C Strategies,45177,3800
Corporate Services,Corporate Services,Capital - IT,Capital - IT,IT Consultancy,4C Strategies,45177,3800
Place,Environmental Services,Environmental Services,Environmental Management,Services - Payments To Contractors,Tidy Bee Ltd,45148,3800
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Sunbeam Fostering Agency,45141,3793.84
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Three Circles Fostering Ltd,45135,3789.79
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Keys PCE Ltd,45126,3784.29
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Keys PCE Ltd,45196,3784.29
Place,Economy,Economy,Property Management,General Provision - Repairs & Maintenance,Fulwood Roofing Services (Northern) Ltd,45145,3780
Capital Treasury and Technical Accounting,Capital Treasury and Technical Accounting,Corporate Expenses,Corporate Expenses,Services - Professional Fees,Arbiant Ltd,45197,3780
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Foster Care Associates Limited (FCA),45190,3779.7
Corporate Services,Corporate Services,HR & Organisational Development,HR Strategy,Training Expenses,Schools with Schools (Kingfisher) Limited,45168,3776.23
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Fostering Solutions Ltd,45140,3774.35
Place,Economy,Economy,Property Management,General Provision - Repairs & Maintenance,Corlett Electrical Engineering Co (1981) Ltd,45194,3764.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Payments To Carers/Volunteers/Providers,Pennine Social Care Ltd,45176,3762.5
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Safehouses North Ltd,45135,3762.29
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Safehouses North Ltd,45153,3762.29
Place,Environmental Services,Environmental Services,Highways,Services - Payments To Contractors,Rhodes & Sons Construction Ltd,45139,3761.75
Place,Environmental Services,Environmental Services,Waste Management Service,Agency Staff,JSL Drive Limited t/a Driver Hire Ltd (Manchester North/Oldham),45188,3753.66
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Safehouses North Ltd,45135,3750.42
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Safehouses North Ltd,45153,3750.42
People,Children´s Services,Children´s Social Care,Childrens Safeguarding,Grants,Action Together CIO,45139,3750
Place,Economy,Economy,Estates,Agency Staff,Vivid Resourcing Ltd,45119,3750
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Assistance To Families Grants,LH Assessments Ltd,45148,3750
Place,Environmental Services,Environmental Services,Fleet Management,Hire Of Other Vehicles,Dawson Rentals Sweepers Ltd,45135,3740
Place,Economy,Economy,Estates,Services - Professional Fees,Royal Mail Group PLC,45168,3739.03
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,ISW Care (ISW Care Limited),45187,3737.3
Place,Environmental Services,Environmental Services,Fleet Management,Hire Of Other Vehicles,Dawson Rentals Sweepers Ltd,45134,3736.91
Place,Environmental Services,Environmental Services,Fleet Management,Hire Of Other Vehicles,Dawson Rentals Sweepers Ltd,45160,3736.91
Place,Environmental Services,Environmental Services,Fleet Management,Hire Of Other Vehicles,Dawson Rentals Sweepers Ltd,45177,3736.91
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Abul Azad,45112,3732
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Action for Children Services Ltd,45149,3724.8
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Action for Children Services Ltd,45191,3724.8
Place,Environmental Services,Environmental Services,Strategic Transport,General Provision - Repairs & Maintenance,Transport For Greater Manchester,45118,3724.63
Place,Economy,Economy,Facilities Management,Services - Payments To Contractors,NSL Ltd,45154,3724
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Internet,Zen Internet Ltd,45141,3723.71
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Internet,Zen Internet Ltd,45173,3723.71
Place,Environmental Services,Environmental Services,Highways,Hired Moveable Plant,Rhodes & Sons Construction Ltd,45110,3721
Place,Environmental Services,Environmental Services,Highways,Hired Moveable Plant,Rhodes & Sons Construction Ltd,45118,3721
Place,Environmental Services,Environmental Services,Highways,Hired Moveable Plant,Rhodes & Sons Construction Ltd,45124,3721
Place,Environmental Services,Environmental Services,Highways,Hired Moveable Plant,Rhodes & Sons Construction Ltd,45141,3721
Place,Environmental Services,Environmental Services,Highways,Hired Moveable Plant,Rhodes & Sons Construction Ltd,45153,3721
Place,Environmental Services,Environmental Services,Highways,Hired Moveable Plant,Rhodes & Sons Construction Ltd,45160,3721
Place,Environmental Services,Environmental Services,Highways,Hired Moveable Plant,Rhodes & Sons Construction Ltd,45167,3721
Place,Environmental Services,Environmental Services,Highways,Hired Moveable Plant,Rhodes & Sons Construction Ltd,45187,3721
Place,Environmental Services,Environmental Services,Highways,Hired Moveable Plant,Rhodes & Sons Construction Ltd,45194,3721
Place,Economy,Economy,Estates,Hygiene Services,PHS Group Ltd,45121,3715.81
Place,Economy,Economy,Facilities Management,Services - Payments To Contractors,NSL Ltd,45133,3706.69
People,Children´s Services,"Education, Skills & Early Years",School Support Services,Subscriptions,National Governors Association,45140,3706
People,Leisure Services,Leisure Services,Leisure Services,Hire Of Other Vehicles,Matthews Travel,45190,3705
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,The Fostering Team/Care 4 Children,45149,3701.71
People,Children´s Services,"Education, Skills & Early Years",Learning Services,Services - Professional Fees,Giggle & Grow Day Nursery Limited,45135,3700
Corporate Services,Corporate Services,Finance,Revenues and Benefits,Agency Staff,Meritec Limited,45167,3695.62
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Safehouses North Ltd,45135,3687.01
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Safehouses North Ltd,45153,3687.01
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Safehouses North Ltd,45135,3683.73
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Safehouses North Ltd,45153,3683.73
