Body Name,Date Paid,Transaction Number,Amount,Invoice Date,Supplier Name,Supplier Type,Invoice Number,Account,Transaction Type,Transaction Type Description,Supplier Reporting,Expense Area,Cost Centre Description ,Service Area Categorisation,Service Division Categorisation,Expense Type
West Northamptonshire Council,26-May-23,51400307284,"£4,000.00",23-May-23,The Ridings,CARE ESTABLISHMENT,WN15443 P134676-00002,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,24-May-23,51400306424,"£4,000.00",23-May-23,SHRUBBERY RESIDENTIAL HOME,CARE ESTABLISHMENT,N2211421 P134651-00002,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,24-May-23,51400306429,"£4,000.00",23-May-23,SHRUBBERY RESIDENTIAL HOME,CARE ESTABLISHMENT,N2310525 P134651-00007,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,05-May-23,51400298147,"£4,000.00",04-May-23,B & M CARE  (Templemore),CARE ESTABLISHMENT,N1379726 P134038-00001,E7140,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Support with Memory & Cognition Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Rehabilitation And Respite Care
West Northamptonshire Council,24-May-23,51400306865,"£4,000.00",23-May-23,B & M CARE  (Templemore),CARE ESTABLISHMENT,N2025820 P134626-00017,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,24-May-23,51400306986,"£4,000.00",23-May-23,HC-ONE LIMITED,CARE ESTABLISHMENT,NT893099 P134648-00027,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,24-May-23,51400306584,"£4,000.00",23-May-23,BARCHESTER HEALTH JUNIPER HOUSE,CARE ESTABLISHMENT,N2210301 P134695-00011,E7130,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Nursing Care
West Northamptonshire Council,24-May-23,51400307086,"£4,000.00",23-May-23,Acacia Lodge Care Home,CARE ESTABLISHMENT,N2211936 P134775-00002,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,24-May-23,51400307110,"£4,000.00",23-May-23,Banbury Heights Ltd t/a Banbury Heights Nursing Home,CARE ESTABLISHMENT,N1520513 P134686-00003,E7140,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Support with Memory & Cognition Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Rehabilitation And Respite Care
West Northamptonshire Council,24-May-23,51400306960,"£4,000.00",23-May-23,HC-ONE LIMITED,CARE ESTABLISHMENT,N0039487 P134648-00001,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,24-May-23,51400306980,"£4,000.00",23-May-23,HC-ONE LIMITED,CARE ESTABLISHMENT,N2210732 P134648-00021,E7130,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Nursing Care
West Northamptonshire Council,24-May-23,51400306983,"£4,000.00",23-May-23,HC-ONE LIMITED,CARE ESTABLISHMENT,N2310375 P134648-00024,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,24-May-23,51400306874,"£4,000.00",23-May-23,B & M CARE  (Templemore),CARE ESTABLISHMENT,N2212341 P134626-00026,E7140,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Support with Memory & Cognition Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Rehabilitation And Respite Care
West Northamptonshire Council,24-May-23,51400306427,"£4,000.00",23-May-23,SHRUBBERY RESIDENTIAL HOME,CARE ESTABLISHMENT,N2310290 P134651-00005,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,24-May-23,51400307071,"£4,000.00",23-May-23,KENROYAL NURSING AND RESIDENTIAL CARE HOME,CARE ESTABLISHMENT,N2212033 P134664-00010,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
