element level code 02 + description,version,nominal,nominal description,group,group description,category,category description
COUNCIL  CUMBERLAND COUNCIL,1,10216,OVERTIME LEARN SUPP TCHNG,A,employee costs,2,overtime
COUNCIL  CUMBERLAND COUNCIL,2,10216,OVERTIME LEARN SUPP TCHNG,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10216,OVERTIME LEARN SUPP TCHNG,A,employee costs,18,education support staff
COUNCIL  CUMBERLAND COUNCIL,4,10216,OVERTIME LEARN SUPP TCHNG,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10217,OVERTIME LEARN SUPP NON-TEACH,A,employee costs,2,overtime
COUNCIL  CUMBERLAND COUNCIL,2,10217,OVERTIME LEARN SUPP NON-TEACH,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10217,OVERTIME LEARN SUPP NON-TEACH,A,employee costs,18,education support staff
COUNCIL  CUMBERLAND COUNCIL,4,10217,OVERTIME LEARN SUPP NON-TEACH,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10218,OVERTIME SCHOOL GOVNERS CLERK,A,employee costs,2,overtime
COUNCIL  CUMBERLAND COUNCIL,2,10218,OVERTIME SCHOOL GOVNERS CLERK,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10218,OVERTIME SCHOOL GOVNERS CLERK,A,employee costs,32,admin & clerical staff
COUNCIL  CUMBERLAND COUNCIL,4,10218,OVERTIME SCHOOL GOVNERS CLERK,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10228,OVERTIME NON TEACH ASSTS,A,employee costs,2,overtime
COUNCIL  CUMBERLAND COUNCIL,2,10228,OVERTIME NON TEACH ASSTS,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10228,OVERTIME NON TEACH ASSTS,A,employee costs,18,education support staff
COUNCIL  CUMBERLAND COUNCIL,4,10228,OVERTIME NON TEACH ASSTS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10229,OVERTIME OUT OF SCHL STFF,A,employee costs,2,overtime
COUNCIL  CUMBERLAND COUNCIL,2,10229,OVERTIME OUT OF SCHL STFF,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10229,OVERTIME OUT OF SCHL STFF,A,employee costs,50,other staff
COUNCIL  CUMBERLAND COUNCIL,4,10229,OVERTIME OUT OF SCHL STFF,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10253,OVERTIME CARER DAYS,A,employee costs,2,overtime
COUNCIL  CUMBERLAND COUNCIL,2,10253,OVERTIME CARER DAYS,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10253,OVERTIME CARER DAYS,A,employee costs,56,non cfr direct empee costs
COUNCIL  CUMBERLAND COUNCIL,4,10253,OVERTIME CARER DAYS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10256,OVERTIME MID-DAY SUPERVISOR,A,employee costs,2,overtime
COUNCIL  CUMBERLAND COUNCIL,2,10256,OVERTIME MID-DAY SUPERVISOR,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10256,OVERTIME MID-DAY SUPERVISOR,A,employee costs,50,other staff
COUNCIL  CUMBERLAND COUNCIL,4,10256,OVERTIME MID-DAY SUPERVISOR,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10260,OVERTIME PREMISES STFF,A,employee costs,2,overtime
COUNCIL  CUMBERLAND COUNCIL,2,10260,OVERTIME PREMISES STFF,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10260,OVERTIME PREMISES STFF,A,employee costs,24,premises staff
COUNCIL  CUMBERLAND COUNCIL,4,10260,OVERTIME PREMISES STFF,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10261,OVERTIME CATERING STFF,A,employee costs,2,overtime
COUNCIL  CUMBERLAND COUNCIL,2,10261,OVERTIME CATERING STFF,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10261,OVERTIME CATERING STFF,A,employee costs,42,catering staff
COUNCIL  CUMBERLAND COUNCIL,4,10261,OVERTIME CATERING STFF,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10262,OVERTIME CATERING STFF ASSISTN,A,employee costs,2,overtime
COUNCIL  CUMBERLAND COUNCIL,2,10262,OVERTIME CATERING STFF ASSISTN,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10262,OVERTIME CATERING STFF ASSISTN,A,employee costs,42,catering staff
COUNCIL  CUMBERLAND COUNCIL,4,10262,OVERTIME CATERING STFF ASSISTN,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10263,OVERTIME DRIVERS AND ESCORTS,A,employee costs,2,overtime
COUNCIL  CUMBERLAND COUNCIL,2,10263,OVERTIME DRIVERS AND ESCORTS,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10263,OVERTIME DRIVERS AND ESCORTS,A,employee costs,50,other staff
COUNCIL  CUMBERLAND COUNCIL,4,10263,OVERTIME DRIVERS AND ESCORTS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10264,OVERTIME OPERTNAL STFF GENRAL,A,employee costs,2,overtime
COUNCIL  CUMBERLAND COUNCIL,2,10264,OVERTIME OPERTNAL STFF GENRAL,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10264,OVERTIME OPERTNAL STFF GENRAL,A,employee costs,50,other staff
COUNCIL  CUMBERLAND COUNCIL,4,10264,OVERTIME OPERTNAL STFF GENRAL,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10302,REDCTN MANAGERS,A,employee costs,3,reductions
COUNCIL  CUMBERLAND COUNCIL,2,10302,REDCTN MANAGERS,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10302,REDCTN MANAGERS,A,employee costs,32,admin & clerical staff
COUNCIL  CUMBERLAND COUNCIL,4,10302,REDCTN MANAGERS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10304,REDCTN ADMIN & CLERCL,A,employee costs,3,reductions
COUNCIL  CUMBERLAND COUNCIL,2,10304,REDCTN ADMIN & CLERCL,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10304,REDCTN ADMIN & CLERCL,A,employee costs,32,admin & clerical staff
COUNCIL  CUMBERLAND COUNCIL,4,10304,REDCTN ADMIN & CLERCL,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10310,REDCTN TEACHERS F/T,A,employee costs,3,reductions
COUNCIL  CUMBERLAND COUNCIL,2,10310,REDCTN TEACHERS F/T,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10310,REDCTN TEACHERS F/T,A,employee costs,2,teaching staff - full time
COUNCIL  CUMBERLAND COUNCIL,4,10310,REDCTN TEACHERS F/T,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10311,REDCTN TEACHERS P/T,A,employee costs,3,reductions
COUNCIL  CUMBERLAND COUNCIL,2,10311,REDCTN TEACHERS P/T,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10311,REDCTN TEACHERS P/T,A,employee costs,6,teaching staff - part time
COUNCIL  CUMBERLAND COUNCIL,4,10311,REDCTN TEACHERS P/T,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10317,REDCTN LEARN SUPP NON-TEACH,A,employee costs,3,reductions
COUNCIL  CUMBERLAND COUNCIL,2,10317,REDCTN LEARN SUPP NON-TEACH,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10317,REDCTN LEARN SUPP NON-TEACH,A,employee costs,18,education support staff
COUNCIL  CUMBERLAND COUNCIL,4,10317,REDCTN LEARN SUPP NON-TEACH,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10328,REDCTN NON TEACH ASSTS,A,employee costs,3,reductions
