element level code 02 + description,version,nominal,nominal description,group,group description,category,category description
COUNCIL  CUMBERLAND COUNCIL,2,A4235,Management Fee Car Parks Inc,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,A4235,Management Fee Car Parks Inc,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,A4235,Management Fee Car Parks Inc,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A4236,Excess Charges Car Parks Inc,K,income (excluding grants),29,misc charges
COUNCIL  CUMBERLAND COUNCIL,2,A4236,Excess Charges Car Parks Inc,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,A4236,Excess Charges Car Parks Inc,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,A4236,Excess Charges Car Parks Inc,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A4237,Ticket Sales Public Ent Inc,K,income (excluding grants),29,misc charges
COUNCIL  CUMBERLAND COUNCIL,2,A4237,Ticket Sales Public Ent Inc,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,A4237,Ticket Sales Public Ent Inc,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,A4237,Ticket Sales Public Ent Inc,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A4239,Pre-Planning Advice,K,income (excluding grants),29,misc charges
COUNCIL  CUMBERLAND COUNCIL,2,A4239,Pre-Planning Advice,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,A4239,Pre-Planning Advice,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,A4239,Pre-Planning Advice,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A4240,Car Parks - Banking Variances,K,income (excluding grants),29,misc charges
COUNCIL  CUMBERLAND COUNCIL,2,A4240,Car Parks - Banking Variances,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,A4240,Car Parks - Banking Variances,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,A4240,Car Parks - Banking Variances,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A4241,Lic Certificates Permits Inc,K,income (excluding grants),29,misc charges
COUNCIL  CUMBERLAND COUNCIL,2,A4241,Lic Certificates Permits Inc,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,A4241,Lic Certificates Permits Inc,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,A4241,Lic Certificates Permits Inc,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A4242,Trade Refuse Charges Income,K,income (excluding grants),29,misc charges
COUNCIL  CUMBERLAND COUNCIL,2,A4242,Trade Refuse Charges Income,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,A4242,Trade Refuse Charges Income,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,A4242,Trade Refuse Charges Income,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A4245,Market Stalls,K,income (excluding grants),29,misc charges
COUNCIL  CUMBERLAND COUNCIL,2,A4245,Market Stalls,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,A4245,Market Stalls,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,A4245,Market Stalls,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A4281,Ground Rents Income,K,income (excluding grants),29,misc charges
COUNCIL  CUMBERLAND COUNCIL,2,A4281,Ground Rents Income,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,A4281,Ground Rents Income,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,A4281,Ground Rents Income,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A4282,Industrial Land Buildings Inc,K,income (excluding grants),29,misc charges
COUNCIL  CUMBERLAND COUNCIL,2,A4282,Industrial Land Buildings Inc,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,A4282,Industrial Land Buildings Inc,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,A4282,Industrial Land Buildings Inc,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A4283,Other Land and Buildings Inc,K,income (excluding grants),29,misc charges
COUNCIL  CUMBERLAND COUNCIL,2,A4283,Other Land and Buildings Inc,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,A4283,Other Land and Buildings Inc,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,A4283,Other Land and Buildings Inc,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A4284,Grazing Land Income,K,income (excluding grants),29,misc charges
COUNCIL  CUMBERLAND COUNCIL,2,A4284,Grazing Land Income,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,A4284,Grazing Land Income,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,A4284,Grazing Land Income,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A4285,Easements Wayleaves Inc,K,income (excluding grants),29,misc charges
COUNCIL  CUMBERLAND COUNCIL,2,A4285,Easements Wayleaves Inc,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,A4285,Easements Wayleaves Inc,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,A4285,Easements Wayleaves Inc,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A4286,Dwellings Income,K,income (excluding grants),29,misc charges
COUNCIL  CUMBERLAND COUNCIL,2,A4286,Dwellings Income,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,A4286,Dwellings Income,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,A4286,Dwellings Income,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A4287,Camping Site Lease Income,K,income (excluding grants),29,misc charges
COUNCIL  CUMBERLAND COUNCIL,2,A4287,Camping Site Lease Income,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,A4287,Camping Site Lease Income,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,A4287,Camping Site Lease Income,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A4288,General Rent Income,K,income (excluding grants),29,misc charges
COUNCIL  CUMBERLAND COUNCIL,2,A4288,General Rent Income,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,A4288,General Rent Income,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,A4288,General Rent Income,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A4401,Rent Allow Overpayments Income,L,income grants,40,benefits income
COUNCIL  CUMBERLAND COUNCIL,2,A4401,Rent Allow Overpayments Income,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,A4401,Rent Allow Overpayments Income,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,A4401,Rent Allow Overpayments Income,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A4403,Gen Recovery Other Costs Inc,K,income (excluding grants),77,contribtns frm extrnl agencies
COUNCIL  CUMBERLAND COUNCIL,2,A4403,Gen Recovery Other Costs Inc,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,A4403,Gen Recovery Other Costs Inc,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,A4403,Gen Recovery Other Costs Inc,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A4404,Allerale Waste Services Income,K,income (excluding grants),29,misc charges
COUNCIL  CUMBERLAND COUNCIL,2,A4404,Allerale Waste Services Income,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,A4404,Allerale Waste Services Income,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,A4404,Allerale Waste Services Income,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A4405,Recovery Building Running Exps,K,income (excluding grants),29,misc charges
COUNCIL  CUMBERLAND COUNCIL,2,A4405,Recovery Building Running Exps,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,A4405,Recovery Building Running Exps,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,A4405,Recovery Building Running Exps,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6102,Playground Equipment,B,premises,6,repairs & maintenance
COUNCIL  CUMBERLAND COUNCIL,1,A6104,Electrical Repairs and Service,B,premises,6,repairs & maintenance
COUNCIL  CUMBERLAND COUNCIL,2,A6104,Electrical Repairs and Service,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,A6104,Electrical Repairs and Service,L,other non-cfr costs,2,non cfr premises
COUNCIL  CUMBERLAND COUNCIL,4,A6104,Electrical Repairs and Service,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6105,Plumbing and Heating Maint,B,premises,6,repairs & maintenance
COUNCIL  CUMBERLAND COUNCIL,2,A6105,Plumbing and Heating Maint,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,A6105,Plumbing and Heating Maint,L,other non-cfr costs,2,non cfr premises
COUNCIL  CUMBERLAND COUNCIL,4,A6105,Plumbing and Heating Maint,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6106,Inspections and Services,B,premises,6,repairs & maintenance
COUNCIL  CUMBERLAND COUNCIL,2,A6106,Inspections and Services,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,A6106,Inspections and Services,L,other non-cfr costs,2,non cfr premises
COUNCIL  CUMBERLAND COUNCIL,4,A6106,Inspections and Services,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6107,Legionella Inspection and Serv,B,premises,6,repairs & maintenance
COUNCIL  CUMBERLAND COUNCIL,2,A6107,Legionella Inspection and Serv,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,A6107,Legionella Inspection and Serv,L,other non-cfr costs,2,non cfr premises
COUNCIL  CUMBERLAND COUNCIL,4,A6107,Legionella Inspection and Serv,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6108,General-Building Expenses,B,premises,6,repairs & maintenance
COUNCIL  CUMBERLAND COUNCIL,2,A6108,General-Building Expenses,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,A6108,General-Building Expenses,L,other non-cfr costs,2,non cfr premises
COUNCIL  CUMBERLAND COUNCIL,4,A6108,General-Building Expenses,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6162,Window Cleaning,B,premises,24,cleaning & domestic supplies
COUNCIL  CUMBERLAND COUNCIL,2,A6162,Window Cleaning,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,A6162,Window Cleaning,L,other non-cfr costs,2,non cfr premises
COUNCIL  CUMBERLAND COUNCIL,4,A6162,Window Cleaning,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6211,General-Council Vehicles,C,transport,6,veh & plant running costs
COUNCIL  CUMBERLAND COUNCIL,2,A6211,General-Council Vehicles,X,revenue,30,transport
COUNCIL  CUMBERLAND COUNCIL,3,A6211,General-Council Vehicles,L,other non-cfr costs,8,non cfr transport
COUNCIL  CUMBERLAND COUNCIL,4,A6211,General-Council Vehicles,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6311,Entertainment Of Visitors,D,supplies and services,36,miscellaneous expenses
COUNCIL  CUMBERLAND COUNCIL,2,A6311,Entertainment Of Visitors,X,revenue,40,supplies & services
COUNCIL  CUMBERLAND COUNCIL,3,A6311,Entertainment Of Visitors,L,other non-cfr costs,14,non cfr supplies & services
COUNCIL  CUMBERLAND COUNCIL,4,A6311,Entertainment Of Visitors,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6340,Public Entertainment,D,supplies and services,36,miscellaneous expenses
COUNCIL  CUMBERLAND COUNCIL,2,A6340,Public Entertainment,X,revenue,40,supplies & services
COUNCIL  CUMBERLAND COUNCIL,3,A6340,Public Entertainment,L,other non-cfr costs,14,non cfr supplies & services
COUNCIL  CUMBERLAND COUNCIL,4,A6340,Public Entertainment,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6341,Disposal of Waste,D,supplies and services,40,waste disposal
COUNCIL  CUMBERLAND COUNCIL,2,A6341,Disposal of Waste,X,revenue,40,supplies & services
COUNCIL  CUMBERLAND COUNCIL,3,A6341,Disposal of Waste,L,other non-cfr costs,14,non cfr supplies & services
COUNCIL  CUMBERLAND COUNCIL,4,A6341,Disposal of Waste,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6342,Land Registry Fees,D,supplies and services,18,services - financial charges
COUNCIL  CUMBERLAND COUNCIL,2,A6342,Land Registry Fees,X,revenue,40,supplies & services
COUNCIL  CUMBERLAND COUNCIL,3,A6342,Land Registry Fees,L,other non-cfr costs,14,non cfr supplies & services
COUNCIL  CUMBERLAND COUNCIL,4,A6342,Land Registry Fees,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6343,Searches,D,supplies and services,18,services - financial charges
COUNCIL  CUMBERLAND COUNCIL,2,A6343,Searches,X,revenue,40,supplies & services
COUNCIL  CUMBERLAND COUNCIL,3,A6343,Searches,L,other non-cfr costs,14,non cfr supplies & services
COUNCIL  CUMBERLAND COUNCIL,4,A6343,Searches,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6344,All Pay Transaction Costs,D,supplies and services,26,computing
COUNCIL  CUMBERLAND COUNCIL,2,A6344,All Pay Transaction Costs,X,revenue,40,supplies & services
COUNCIL  CUMBERLAND COUNCIL,3,A6344,All Pay Transaction Costs,L,other non-cfr costs,14,non cfr supplies & services
COUNCIL  CUMBERLAND COUNCIL,4,A6344,All Pay Transaction Costs,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6346,Advertising,D,supplies and services,36,miscellaneous expenses
COUNCIL  CUMBERLAND COUNCIL,2,A6346,Advertising,X,revenue,40,supplies & services
COUNCIL  CUMBERLAND COUNCIL,3,A6346,Advertising,L,other non-cfr costs,14,non cfr supplies & services
COUNCIL  CUMBERLAND COUNCIL,4,A6346,Advertising,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6347,General Promotions,D,supplies and services,36,miscellaneous expenses
COUNCIL  CUMBERLAND COUNCIL,2,A6347,General Promotions,X,revenue,40,supplies & services
COUNCIL  CUMBERLAND COUNCIL,3,A6347,General Promotions,L,other non-cfr costs,14,non cfr supplies & services
COUNCIL  CUMBERLAND COUNCIL,4,A6347,General Promotions,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6348,Removal of Vehicles,D,supplies and services,18,services - financial charges
COUNCIL  CUMBERLAND COUNCIL,2,A6348,Removal of Vehicles,X,revenue,40,supplies & services
COUNCIL  CUMBERLAND COUNCIL,3,A6348,Removal of Vehicles,L,other non-cfr costs,14,non cfr supplies & services
COUNCIL  CUMBERLAND COUNCIL,4,A6348,Removal of Vehicles,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6352,Security of Cash Movements,D,supplies and services,36,miscellaneous expenses
COUNCIL  CUMBERLAND COUNCIL,2,A6352,Security of Cash Movements,X,revenue,40,supplies & services
COUNCIL  CUMBERLAND COUNCIL,3,A6352,Security of Cash Movements,L,other non-cfr costs,14,non cfr supplies & services
COUNCIL  CUMBERLAND COUNCIL,4,A6352,Security of Cash Movements,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6353,Franking Machine Costs,D,supplies and services,14,print/stat/office expenses
COUNCIL  CUMBERLAND COUNCIL,2,A6353,Franking Machine Costs,X,revenue,40,supplies & services
COUNCIL  CUMBERLAND COUNCIL,3,A6353,Franking Machine Costs,L,other non-cfr costs,14,non cfr supplies & services
COUNCIL  CUMBERLAND COUNCIL,4,A6353,Franking Machine Costs,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6354,Franking Machine refills,D,supplies and services,14,print/stat/office expenses
COUNCIL  CUMBERLAND COUNCIL,2,A6354,Franking Machine refills,X,revenue,40,supplies & services
COUNCIL  CUMBERLAND COUNCIL,3,A6354,Franking Machine refills,L,other non-cfr costs,14,non cfr supplies & services
COUNCIL  CUMBERLAND COUNCIL,4,A6354,Franking Machine refills,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6356,Installation Costs,D,supplies and services,26,computing
COUNCIL  CUMBERLAND COUNCIL,2,A6356,Installation Costs,X,revenue,40,supplies & services
COUNCIL  CUMBERLAND COUNCIL,3,A6356,Installation Costs,L,other non-cfr costs,14,non cfr supplies & services
COUNCIL  CUMBERLAND COUNCIL,4,A6356,Installation Costs,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6358,Enforcement,D,supplies and services,36,miscellaneous expenses
COUNCIL  CUMBERLAND COUNCIL,2,A6358,Enforcement,X,revenue,40,supplies & services
COUNCIL  CUMBERLAND COUNCIL,3,A6358,Enforcement,L,other non-cfr costs,14,non cfr supplies & services
COUNCIL  CUMBERLAND COUNCIL,4,A6358,Enforcement,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6359,General-Service Related Fees,D,supplies and services,36,miscellaneous expenses
COUNCIL  CUMBERLAND COUNCIL,2,A6359,General-Service Related Fees,X,revenue,40,supplies & services
COUNCIL  CUMBERLAND COUNCIL,3,A6359,General-Service Related Fees,L,other non-cfr costs,14,non cfr supplies & services
COUNCIL  CUMBERLAND COUNCIL,4,A6359,General-Service Related Fees,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6391,Reimbursement,D,supplies and services,36,miscellaneous expenses
COUNCIL  CUMBERLAND COUNCIL,2,A6391,Reimbursement,X,revenue,40,supplies & services
COUNCIL  CUMBERLAND COUNCIL,3,A6391,Reimbursement,L,other non-cfr costs,14,non cfr supplies & services
COUNCIL  CUMBERLAND COUNCIL,4,A6391,Reimbursement,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6401,Other Local Authorities,E,third party payments,13,other third party payments
COUNCIL  CUMBERLAND COUNCIL,2,A6401,Other Local Authorities,X,revenue,50,third party payments
COUNCIL  CUMBERLAND COUNCIL,3,A6401,Other Local Authorities,L,other non-cfr costs,20,non cfr other expenditure
COUNCIL  CUMBERLAND COUNCIL,4,A6401,Other Local Authorities,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6402,Recycling Disposal costs,E,third party payments,13,other third party payments
COUNCIL  CUMBERLAND COUNCIL,2,A6402,Recycling Disposal costs,X,revenue,50,third party payments
COUNCIL  CUMBERLAND COUNCIL,3,A6402,Recycling Disposal costs,L,other non-cfr costs,20,non cfr other expenditure
COUNCIL  CUMBERLAND COUNCIL,4,A6402,Recycling Disposal costs,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6404,General Partnership Serv Fees,E,third party payments,13,other third party payments
COUNCIL  CUMBERLAND COUNCIL,2,A6404,General Partnership Serv Fees,X,revenue,50,third party payments
COUNCIL  CUMBERLAND COUNCIL,3,A6404,General Partnership Serv Fees,L,other non-cfr costs,20,non cfr other expenditure
COUNCIL  CUMBERLAND COUNCIL,4,A6404,General Partnership Serv Fees,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6411,Parks & Open Spaces Contract,E,third party payments,13,other third party payments
COUNCIL  CUMBERLAND COUNCIL,2,A6411,Parks & Open Spaces Contract,X,revenue,50,third party payments
COUNCIL  CUMBERLAND COUNCIL,3,A6411,Parks & Open Spaces Contract,L,other non-cfr costs,20,non cfr other expenditure
COUNCIL  CUMBERLAND COUNCIL,4,A6411,Parks & Open Spaces Contract,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6412,Street Cleansing Contract,E,third party payments,13,other third party payments
COUNCIL  CUMBERLAND COUNCIL,2,A6412,Street Cleansing Contract,X,revenue,50,third party payments
COUNCIL  CUMBERLAND COUNCIL,3,A6412,Street Cleansing Contract,L,other non-cfr costs,20,non cfr other expenditure
COUNCIL  CUMBERLAND COUNCIL,4,A6412,Street Cleansing Contract,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6413,Domestic Refuse Collection,E,third party payments,13,other third party payments
COUNCIL  CUMBERLAND COUNCIL,2,A6413,Domestic Refuse Collection,X,revenue,50,third party payments
COUNCIL  CUMBERLAND COUNCIL,3,A6413,Domestic Refuse Collection,L,other non-cfr costs,20,non cfr other expenditure
COUNCIL  CUMBERLAND COUNCIL,4,A6413,Domestic Refuse Collection,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6511,Private Individuals,F,transfer payments,40,benefits expenditure
COUNCIL  CUMBERLAND COUNCIL,2,A6511,Private Individuals,X,revenue,55,transfer payments
COUNCIL  CUMBERLAND COUNCIL,3,A6511,Private Individuals,L,other non-cfr costs,20,non cfr other expenditure
COUNCIL  CUMBERLAND COUNCIL,4,A6511,Private Individuals,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6512,General Grants,F,transfer payments,40,benefits expenditure
COUNCIL  CUMBERLAND COUNCIL,2,A6512,General Grants,X,revenue,55,transfer payments
COUNCIL  CUMBERLAND COUNCIL,3,A6512,General Grants,L,other non-cfr costs,20,non cfr other expenditure
COUNCIL  CUMBERLAND COUNCIL,4,A6512,General Grants,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6521,Discretionary Housing Payments,F,transfer payments,40,benefits expenditure
COUNCIL  CUMBERLAND COUNCIL,2,A6521,Discretionary Housing Payments,X,revenue,55,transfer payments
COUNCIL  CUMBERLAND COUNCIL,3,A6521,Discretionary Housing Payments,L,other non-cfr costs,20,non cfr other expenditure
COUNCIL  CUMBERLAND COUNCIL,4,A6521,Discretionary Housing Payments,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6522,Rent Allowance Private Tenants,F,transfer payments,40,benefits expenditure
COUNCIL  CUMBERLAND COUNCIL,2,A6522,Rent Allowance Private Tenants,X,revenue,55,transfer payments
COUNCIL  CUMBERLAND COUNCIL,3,A6522,Rent Allowance Private Tenants,L,other non-cfr costs,20,non cfr other expenditure
COUNCIL  CUMBERLAND COUNCIL,4,A6522,Rent Allowance Private Tenants,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A6531,Parish Precepts,F,transfer payments,38,precepts paid
COUNCIL  CUMBERLAND COUNCIL,2,A6531,Parish Precepts,X,revenue,55,transfer payments
COUNCIL  CUMBERLAND COUNCIL,3,A6531,Parish Precepts,L,other non-cfr costs,20,non cfr other expenditure
COUNCIL  CUMBERLAND COUNCIL,4,A6531,Parish Precepts,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A9101,General Income Suspense,Y,system control a/cs -revenue,2,system control a/cs - revenue
COUNCIL  CUMBERLAND COUNCIL,2,A9101,General Income Suspense,X,revenue,9,system control a/cs - revenue
COUNCIL  CUMBERLAND COUNCIL,3,A9101,General Income Suspense,Y,system control a/cs -revenue,2,system control a/cs -revenue
COUNCIL  CUMBERLAND COUNCIL,4,A9101,General Income Suspense,D,sm general fund balance,2,sm general fund balance
COUNCIL  CUMBERLAND COUNCIL,1,A9102,Remittance Suspense,Y,system control a/cs -revenue,2,system control a/cs - revenue
COUNCIL  CUMBERLAND COUNCIL,2,A9102,Remittance Suspense,X,revenue,9,system control a/cs - revenue
COUNCIL  CUMBERLAND COUNCIL,3,A9102,Remittance Suspense,Y,system control a/cs -revenue,2,system control a/cs -revenue
COUNCIL  CUMBERLAND COUNCIL,4,A9102,Remittance Suspense,D,sm general fund balance,2,sm general fund balance
COUNCIL  CUMBERLAND COUNCIL,1,A9103,Disbursement Suspense,Y,system control a/cs -revenue,2,system control a/cs - revenue
COUNCIL  CUMBERLAND COUNCIL,2,A9103,Disbursement Suspense,X,revenue,9,system control a/cs - revenue
COUNCIL  CUMBERLAND COUNCIL,3,A9103,Disbursement Suspense,Y,system control a/cs -revenue,2,system control a/cs -revenue
COUNCIL  CUMBERLAND COUNCIL,4,A9103,Disbursement Suspense,D,sm general fund balance,2,sm general fund balance
COUNCIL  CUMBERLAND COUNCIL,1,A9201,Ground Rents,K,income (excluding grants),10,letting income
COUNCIL  CUMBERLAND COUNCIL,2,A9201,Ground Rents,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,A9201,Ground Rents,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,A9201,Ground Rents,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A9203,HB Overpayments,L,income grants,40,benefits income
COUNCIL  CUMBERLAND COUNCIL,2,A9203,HB Overpayments,X,revenue,80,income
COUNCIL  CUMBERLAND COUNCIL,3,A9203,HB Overpayments,N,income,66,non cfr income
COUNCIL  CUMBERLAND COUNCIL,4,A9203,HB Overpayments,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,A9412,Lesiure Centre Subscription,Y,system control a/cs -revenue,6,system control a/cs - payroll
COUNCIL  CUMBERLAND COUNCIL,2,A9412,Lesiure Centre Subscription,X,revenue,9,system control a/cs - revenue
COUNCIL  CUMBERLAND COUNCIL,3,A9412,Lesiure Centre Subscription,Y,system control a/cs -revenue,2,system control a/cs -revenue
COUNCIL  CUMBERLAND COUNCIL,4,A9412,Lesiure Centre Subscription,D,sm general fund balance,2,sm general fund balance
COUNCIL  CUMBERLAND COUNCIL,1,A9413,Paymemts on Account,Y,system control a/cs -revenue,6,system control a/cs - payroll
COUNCIL  CUMBERLAND COUNCIL,2,A9413,Paymemts on Account,X,revenue,9,system control a/cs - revenue
COUNCIL  CUMBERLAND COUNCIL,3,A9413,Paymemts on Account,Y,system control a/cs -revenue,2,system control a/cs -revenue
COUNCIL  CUMBERLAND COUNCIL,4,A9413,Paymemts on Account,D,sm general fund balance,2,sm general fund balance
COUNCIL  CUMBERLAND COUNCIL,1,A9415,N.I. Employers,Y,system control a/cs -revenue,6,system control a/cs - payroll
COUNCIL  CUMBERLAND COUNCIL,2,A9415,N.I. Employers,X,revenue,9,system control a/cs - revenue
COUNCIL  CUMBERLAND COUNCIL,3,A9415,N.I. Employers,Y,system control a/cs -revenue,2,system control a/cs -revenue
COUNCIL  CUMBERLAND COUNCIL,4,A9415,N.I. Employers,D,sm general fund balance,2,sm general fund balance
COUNCIL  CUMBERLAND COUNCIL,1,A9416,Superannuation Employers,Y,system control a/cs -revenue,6,system control a/cs - payroll
COUNCIL  CUMBERLAND COUNCIL,2,A9416,Superannuation Employers,X,revenue,9,system control a/cs - revenue
COUNCIL  CUMBERLAND COUNCIL,3,A9416,Superannuation Employers,Y,system control a/cs -revenue,2,system control a/cs -revenue
COUNCIL  CUMBERLAND COUNCIL,4,A9416,Superannuation Employers,D,sm general fund balance,2,sm general fund balance
