"Invoices Paid for Factor Suppliers, Sub-Contractors, Trade Suppliers for Westmorland & Furness",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Company,Supplier Number,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Cost Centre,Cost Centre Description,Expenditure Description,Type of Expenditure,Line Number,Line Amount,
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,15/09/2023,154736,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00039,BA00 Parks and open spaces    ,GROUNDS MAINTENANCE,Revenue,1,"1,897.87",
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,15/09/2023,154736,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00039,BA00 Parks and open spaces    ,GROUNDS MAINTENANCE,Revenue,2,736.95,
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,15/09/2023,154736,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00039,BA00 Parks and open spaces    ,GROUNDS MAINTENANCE,Revenue,3,"2,728.55",
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,15/09/2023,154736,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00038,BA00 Barrow park              ,GROUNDS MAINTENANCE,Revenue,4,"25,829.09",
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,15/09/2023,154736,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00039,BA00 Parks and open spaces    ,GROUNDS MAINTENANCE,Revenue,5,"32,737.71",
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,15/09/2023,154736,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00039,BA00 Parks and open spaces    ,GROUNDS MAINTENANCE,Revenue,6,"27,933.34",
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,15/09/2023,154736,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00036,BA00 Sports development and co,BBC Grass pitches,Revenue,7,148.02,
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,15/09/2023,154736,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00038,BA00 Barrow park              ,GROUNDS MAINTENANCE,Revenue,8,120.17,
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,15/09/2023,154736,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00040,BA00 Playground               ,GROUNDS MAINTENANCE,Revenue,9,231.94,
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,15/09/2023,154736,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00038,BA00 Barrow park              ,GAS (INCL LPG),Revenue,10,606.25,
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,15/09/2023,154736,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00038,BA00 Barrow park              ,ELECTRICITY,Revenue,11,215.02,
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,15/09/2023,154736,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00038,BA00 Barrow park              ,GROUNDS MAINTENANCE,Revenue,12,-435.00,
WF,SU000115    ,SU161679,CONTRACT FLOORING (CUMBRIA) LTD,25/09/2023,161997,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,695.00,
WF,SU000126    ,SU177123,CUBBY CONSTRUCTION LTD,13/09/2023,153164,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QEDHTBS,H&T Bridges & Struct Eden     ,HIGHWAYS: CONTRACTOR,Capital,1,"2,409.53",
WF,SU000126    ,SU177123,CUBBY CONSTRUCTION LTD,13/09/2023,153164,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QEDHTBS,H&T Bridges & Struct Eden     ,HIGHWAYS: CONTRACTOR,Capital,2,126.82,
WF,SU000126    ,SU177123,CUBBY CONSTRUCTION LTD,13/09/2023,153164,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QEDHTBS,H&T Bridges & Struct Eden     ,WIP RETENTIONS,Capital,3,-126.82,
WF,SU000126    ,SU177123,CUBBY CONSTRUCTION LTD,22/09/2023,161267,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QEDHTBS,H&T Bridges & Struct Eden     ,HIGHWAYS: CONTRACTOR,Capital,1,"1,186.31",
WF,SU000126    ,SU177123,CUBBY CONSTRUCTION LTD,22/09/2023,161267,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QEDHTBS,H&T Bridges & Struct Eden     ,HIGHWAYS: CONTRACTOR,Capital,2,62.44,
WF,SU000126    ,SU177123,CUBBY CONSTRUCTION LTD,22/09/2023,161267,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QEDHTBS,H&T Bridges & Struct Eden     ,WIP RETENTIONS,Capital,3,-62.44,
WF,SU000126    ,SU177123,CUBBY CONSTRUCTION LTD,26/09/2023,162691,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QEDHTBS,H&T Bridges & Struct Eden     ,HIGHWAYS: CONTRACTOR,Capital,1,"47,155.49",
WF,SU000126    ,SU177123,CUBBY CONSTRUCTION LTD,26/09/2023,162691,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QEDHTBS,H&T Bridges & Struct Eden     ,HIGHWAYS: CONTRACTOR,Capital,2,"2,481.87",
WF,SU000126    ,SU177123,CUBBY CONSTRUCTION LTD,26/09/2023,162691,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QEDHTBS,H&T Bridges & Struct Eden     ,WIP RETENTIONS,Capital,3,"-2,481.87",
WF,SU000133    ,SU186951,CUMBRIA MECHANICAL & PLUMBING LTD,07/09/2023,147224,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1522101,BEACONSIDE PRIMARY SCHOOL     ,BUILDING REPAIRS,Revenue,1,"4,000.00",
WF,SU000134    ,SU188355,CUMBRIA ROOFING (ULVERSTON),19/09/2023,156058,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1250201,BRISBANE PARK COUNTY INFANT SC,CLEANING SERVICES,Revenue,1,475.00,
WF,SU000169    ,SU237495,R FORREST LTD,12/09/2023,149713,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1251401,BARROW VICTORIA INF SCHOOL    ,SCHOOLS ONLY BLDING WK CAPITAL,Revenue,1,"9,553.00",
WF,SU000212    ,SU297867,ROLAND HILL (PARSONBY) LTD,12/09/2023,149658,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1312201,CONISTON C OF E SCHOOL        ,REPAIRS & MAINTENANCE,Revenue,1,270.00,
