OrganisationNameLabel,OrganisationURI,EffectiveDate,Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,ServiceCategoryURI,Supplier,SupplierRegisteredCompany Number,PaymentDate,TransactionNumber,NetAmount,IrrecoverableVAT,PurposeOfSpend,ProcurementClassification:ProclassLabel,ProcrementClassification:ProClassCode
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Case Management People,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,ADECCO UK LIMITED,593232,12/04/2023,189122,814,0,Agency contract to allow DEF work to be,261400,HR Temporary & Agency Staff
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Westmorland Centre Parking Office,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,ADECCO UK LIMITED,593232,12/04/2023,189123,162.38,0,Agency staff working cash collecting,261400,HR Temporary & Agency Staff
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Delivery Commercial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,THE SIGN MAN,5748839,12/04/2023,189124,2895,0,Supply & Install new Council Logo as,102400,Building Signage
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Delivery Commercial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,J S Cleaning Services,,12/04/2023,189125,805,0,Cleaning services at North Lonsdael Road,131010,Cleaning & Janitorial Cleaning Materials
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Case Management Account Mgmt,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,J S Cleaning Services,,12/04/2023,189126,35,0,Cleaning of the chapel 2022-23,131010,Cleaning & Janitorial Cleaning Materials
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Case Management,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,NEWSQUEST MEDIA GROUP LTD,3102566,12/04/2023,189127,352.82,0,Newspaper Adverts for Planning,191000,Facilities Advertising
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Business Support Community Services,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,EK MOTOR FACTORS LTD,838524,12/04/2023,189128,5.95,0,Parts,381400,Vehicle Mgt Maintenance
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Human Resources,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,CUMBRIA COUNTY COUNCIL,,12/04/2023,189129,54,0,DBS certificate,908000,Public Bodies Council support services
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Assets and Commercial Services,External Trading Accounts,,Thomas Graham & Sons Ltd (Cleaning Supp),,12/04/2023,189130,124.95,0,99PH010 C-Fold hand towels,131010,Cleaning & Janitorial Cleaning Materials
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Assets and Commercial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,THOMAS GRAHAM & SONS LTD,656879,12/04/2023,189131,68.32,0,99SR092 clear plastic recycling sacs,101400,Building General Materials
