Transaction Number,Service - Fund ,Service  - Function ,Service - Cost Centre,Expense Type ,Expense Description,Supplier Name,Supplier Post Code (first 4 digits),Payment Date,Amount £,,,,
95447234,Highways Inspections & Maintenance,Highway Operations and Car Parking,Streetlighting,Supplies and Services,Materials,STREET LIGHTING SUPPLIES & CO LTD,FK3 ,17/07/2023,"8,704.80",,,,
95447234,Highways Inspections & Maintenance,Highway Operations and Car Parking,Streetlighting,Supplies and Services,Materials,STREET LIGHTING SUPPLIES & CO LTD,FK3 ,17/07/2023,"3,071.00",,,,
97055233,Highways Inspections & Maintenance,Highway Operations and Car Parking,Streetlighting,Supplies and Services,Materials,STREET LIGHTING SUPPLIES & CO LTD,FK3 ,28/07/2023,794.00,,,,
96340233,Social Care,"Children, Families and Community Health Services",Children's Resource and Home Finding Team,3rd Party Payments,Residential Care,STRIVE AND SUCCEED LTD,HA1 ,21/07/2023,"26,000.00",,,,
95266233,Learning Disabilities,Adults,Learning Disability 18 - 64,Income,Client Contribution - Residential,STROUD CARE HOMES,GL10,14/07/2023,-548.50,,,,
95266233,Learning Disabilities,Adults,Learning Disability 18 - 64,3rd Party Payments,Residential Care,STROUD CARE HOMES,GL10,14/07/2023,"13,238.10",,,,
95255233,Learning Disabilities,Adults,Learning Disability 18 - 64,Income,Client Contribution - Residential,STROUD COURT COMMUNITY,GL6 ,14/07/2023,-604.00,,,,
95255233,Learning Disabilities,Adults,Learning Disability 18 - 64,Income,Client Contribution - Residential,STROUD COURT COMMUNITY,GL6 ,14/07/2023,"-1,691.20",,,,
95255233,Learning Disabilities,Adults,Learning Disability 18 - 64,Income,Client Contribution - Residential,STROUD COURT COMMUNITY,GL6 ,14/07/2023,"1,480.50",,,,
95255233,Learning Disabilities,Adults,Learning Disability 18 - 64,3rd Party Payments,Residential Care,STROUD COURT COMMUNITY,GL6 ,14/07/2023,"10,879.55",,,,
95255233,Learning Disabilities,Adults,Learning Disability 18 - 64,Income,Client Contribution - Residential,STROUD COURT COMMUNITY,GL6 ,14/07/2023,-86.29,,,,
95255233,Learning Disabilities,Adults,Learning Disability 18 - 64,Income,Client Contribution - Residential,STROUD COURT COMMUNITY,GL6 ,14/07/2023,75.54,,,,
96852233,Planned Maintenance Programme,HRA Capital Financing,Contingent Major Repairs,Capital,Contractor Payments,STRUCTA LLP,HP2 ,26/07/2023,500.00,,,,
95162257,Streetsmart,Streetsmart,Waterside Fleet Hires,Transport Costs,Vehicle Hire / Contract,SUNBELT RENTALS LTD,WA3 ,14/07/2023,"1,034.00",,,,
94972447,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,SUNRISE NURSERY SCHOOL LTD,SN2 ,12/07/2023,"2,433.44",,,,
94972446,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - two year olds,3rd Party Payments,Contracts - Child Care,SUNRISE NURSERY SCHOOL LTD,SN2 ,12/07/2023,"1,465.23",,,,
97607381,Social Care,"Children, Families and Community Health Services",Placement Adoption Service,3rd Party Payments,Adoption Allowances,REDACTED PERSONAL DATA,SN3 ,31/07/2023,901.65,,,,
95559372,Social Care,"Children, Families and Community Health Services",Placement Adoption Service,3rd Party Payments,Adoption Allowances,REDACTED PERSONAL DATA,SN3 ,17/07/2023,901.65,,,,
93406450,Social Care,"Children, Families and Community Health Services",Placement Adoption Service,3rd Party Payments,Adoption Allowances,REDACTED PERSONAL DATA,SN3 ,03/07/2023,901.65,,,,
95000247,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,Transfer Payments,Personal Budget - Direct Payments - Other,REDACTED PERSONAL DATA,SN2 ,14/07/2023,"9,021.87",,,,
97448233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN25,31/07/2023,171.43,,,,
97448233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Advanced,REDACTED PERSONAL DATA,SN25,31/07/2023,370.00,,,,
93368233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN25,03/07/2023,328.00,,,,
95467264,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN25,17/07/2023,352.00,,,,
93368233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN25,03/07/2023,352.00,,,,
93368233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Advanced,REDACTED PERSONAL DATA,SN25,03/07/2023,370.00,,,,
95467264,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN25,17/07/2023,506.00,,,,
95467264,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN25,17/07/2023,328.00,,,,
97448233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN25,31/07/2023,361.43,,,,
97448233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN25,31/07/2023,234.29,,,,
97448233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN25,31/07/2023,251.43,,,,
93368233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN25,03/07/2023,506.00,,,,
95467264,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Advanced,REDACTED PERSONAL DATA,SN25,17/07/2023,370.00,,,,
93755276,Social Care,"Children, Families and Community Health Services",Children's Resource and Home Finding Team,3rd Party Payments,Independent Fostering Agency Placements,SWIIS FOSTER CARE LTD,W1G ,05/07/2023,"4,789.50",,,,
94626233,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,SWINDON ACADEMY,SN2 ,12/07/2023,"21,496.72",,,,
94625233,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - two year olds,3rd Party Payments,Contracts - Child Care,SWINDON ACADEMY,SN2 ,12/07/2023,"8,622.31",,,,
95416316,High Needs Block,DSG Skills and Attainment,SEN Resourcing Assessment Panel,3rd Party Payments,Top up funding - Academies and Free Schools Pre 16,SWINDON ACADEMY,SN2 ,14/07/2023,"22,203.32",,,,
95382233,"Volutary Sector, Equipment and Carers",Adults,Voluntary Sector Adults,3rd Party Payments,Contracts - Social Care,SWINDON ADVOCACY MOVEMENT,SN1 ,14/07/2023,"12,500.00",,,,
93862233,Routes to Employment,"Education, Inclusion and Skills",Multiply,Supplies and Services,Grants to Organisations,SWINDON ADVOCACY MOVEMENT,SN1 ,07/07/2023,"7,375.00",,,,
95686234,Physical Support,Adults,Physical Support 18 - 64,Income,Charges for Services Provided,SWINDON ADVOCACY MOVEMENT,SN1 ,19/07/2023,760.00,,,,
Corporate Card Transaction,Homelessness and Travellers,Housing Services,Bed and Breakfast Accommodation,Transfer Payments,Payment of Costs,Swindon Apartments,,25/07/2023,560.00,,,,
Corporate Card Transaction,Homelessness and Travellers,Housing Services,Bed and Breakfast Accommodation,Transfer Payments,Payment of Costs,Swindon Apartments,,18/07/2023,560.00,,,,
Corporate Card Transaction,Homelessness and Travellers,Housing Services,Bed and Breakfast Accommodation,Transfer Payments,Payment of Costs,Swindon Apartments,,11/07/2023,560.00,,,,
Corporate Card Transaction,Homelessness and Travellers,Housing Services,Bed and Breakfast Accommodation,Transfer Payments,Payment of Costs,Swindon Apartments,,04/07/2023,560.00,,,,
Corporate Card Transaction,Homelessness and Travellers,Housing Services,Bed and Breakfast Accommodation,Transfer Payments,Payment of Costs,Swindon Apartments,,27/06/2023,560.00,,,,
95383233,"Volutary Sector, Equipment and Carers",Adults,Voluntary Sector Adults,3rd Party Payments,Contracts - Social Care,SWINDON ADVOCACY MOVEMENT,SN1 ,14/07/2023,"106,091.22",,,,
95440233,Voluntary & Third Sector,"Children, Families and Community Health Services",Voluntary Sector Children,3rd Party Payments,Carers,SWINDON CARERS CENTRE,SN1 ,14/07/2023,"37,312.50",,,,
95441234,"Volutary Sector, Equipment and Carers",Adults,Voluntary Sector Adults,3rd Party Payments,Carers,SWINDON CARERS CENTRE,SN1 ,14/07/2023,"104,290.00",,,,
95439233,"Volutary Sector, Equipment and Carers",Adults,Voluntary Sector Adults,3rd Party Payments,Carers,SWINDON CARERS CENTRE,SN1 ,14/07/2023,"5,000.00",,,,
94655233,School Transport,"Education, Inclusion and Skills",Special Educational Needs Transport,Transport Costs,Home to School Transport,SWINDON COMMUNITY ACTION,SN2 ,12/07/2023,"72,705.70",,,,
94656248,School Transport,"Education, Inclusion and Skills",Special Educational Needs Transport,Transport Costs,Home to School Transport,SWINDON COMMUNITY ACTION,SN2 ,12/07/2023,"50,840.83",,,,
96613233,Public Health,Public Health,DAAT,3rd Party Payments,Contract Payments,SWINDON DISPENSARY LIMITED,SN2 ,26/07/2023,"5,726.00",,,,
96857236,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,SWINDON DOOR SERVICES LTD,SN1 ,26/07/2023,"1,186.90",,,,
96558233,Early Help,Early Intervention & Prevention,"Holiday, Activities & Food Grant",3rd Party Payments,Contracts - Child Care,SWINDON FENCING CLUB,SN3 ,26/07/2023,"2,070.00",,,,
94806233,Public Health,Public Health,DAAT,3rd Party Payments,Contract Payments,SWINDON HEALTH CENTRE PHARMACY T/A ISM PHARMA LTD,SN1 ,12/07/2023,878.00,,,,
96583233,Public Health,Public Health,DAAT,3rd Party Payments,Contract Payments,SWINDON HEALTH CENTRE PHARMACY T/A ISM PHARMA LTD,SN1 ,26/07/2023,982.00,,,,
96612233,Public Health,Public Health,DAAT,3rd Party Payments,Contract Payments,SWINDON HEALTH CENTRE PHARMACY T/A ISM PHARMA LTD,SN1 ,26/07/2023,942.00,,,,
96559233,Early Help,Early Intervention & Prevention,"Holiday, Activities & Food Grant",3rd Party Payments,Contracts - Child Care,SWINDON LIGHTNING CHEERLEADING CLUB,SN2 ,26/07/2023,"2,052.00",,,,
94209233,Streetsmart,Streetsmart,Waste - Disposal,3rd Party Payments,Contract Payments,SWINDON METAL RECYCLING LTD,SN1 ,10/07/2023,"1,141.00",,,,
94228233,Streetsmart,Streetsmart,Waste - Disposal,Premises Costs,Waste,SWINDON METAL RECYCLING LTD,SN1 ,10/07/2023,"1,600.00",,,,
94213233,Streetsmart,Streetsmart,Waste - Disposal,Premises Costs,Waste,SWINDON METAL RECYCLING LTD,SN1 ,10/07/2023,525.00,,,,
94215233,Streetsmart,Streetsmart,Waste - Disposal,3rd Party Payments,Contract Payments,SWINDON METAL RECYCLING LTD,SN1 ,10/07/2023,"1,251.82",,,,
94221233,Streetsmart,Streetsmart,Waste - Disposal,3rd Party Payments,Contract Payments,SWINDON METAL RECYCLING LTD,SN1 ,10/07/2023,"3,456.30",,,,
94227233,Streetsmart,Streetsmart,Waste - Disposal,3rd Party Payments,Contract Payments,SWINDON METAL RECYCLING LTD,SN1 ,10/07/2023,"1,501.50",,,,
94224233,Streetsmart,Streetsmart,Waste - Disposal,Premises Costs,Waste,SWINDON METAL RECYCLING LTD,SN1 ,10/07/2023,"1,600.00",,,,
94218233,Streetsmart,Streetsmart,Waste - Disposal,Premises Costs,Waste,SWINDON METAL RECYCLING LTD,SN1 ,10/07/2023,"1,600.00",,,,
96369233,Landlord Services,Supervision & Management,Estate Management,Premises Costs,Waste,SWINDON METAL RECYCLING LTD,SN1 ,21/07/2023,450.00,,,,
94220233,Streetsmart,Streetsmart,Waste - Disposal,Premises Costs,Waste,SWINDON METAL RECYCLING LTD,SN1 ,10/07/2023,"1,600.00",,,,
94297233,Streetsmart,Streetsmart,Waste - Disposal,Premises Costs,Waste,SWINDON METAL RECYCLING LTD,SN1 ,10/07/2023,"1,600.00",,,,
94295233,Streetsmart,Streetsmart,Waste - Disposal,Premises Costs,Waste,SWINDON METAL RECYCLING LTD,SN1 ,10/07/2023,"3,516.64",,,,
96560233,Early Help,Early Intervention & Prevention,"Holiday, Activities & Food Grant",3rd Party Payments,Contracts - Child Care,REDACTED PERSONAL DATA,SN1 ,26/07/2023,"10,224.00",,,,
95808233,Homelessness and Travellers,Housing Services,Bed and Breakfast Accommodation,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,19/07/2023,"3,675.00",,,,
93694242,Homelessness and Travellers,Housing Services,Bed and Breakfast Accommodation,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,05/07/2023,"3,450.00",,,,
95202233,Homelessness and Travellers,Housing Services,Bed and Breakfast Accommodation,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,14/07/2023,"3,600.00",,,,
96839233,Homelessness and Travellers,Housing Services,Bed and Breakfast Accommodation,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,"3,600.00",,,,
87284233,Responsive Repairs,Repairs,Responsive Repairs,Supplies and Services,Materials,SWINDON PLUMBING SUPPLIES LTD,SN2 ,05/07/2023,518.46,,,,
95363233,Public Health,Public Health,Healthy Weight (Obesity & Physical),3rd Party Payments,Contract Payments,SWINDON TOWN FC COMMUNITY FOUNDATION,SN1 ,14/07/2023,"10,000.00",,,,
93049240,Adults - Staffing and Supporting People,Adults,Supported Housing,3rd Party Payments,Supported Housing,SWINDON WOMENS AID,SN5 ,10/07/2023,"27,891.33",,,,
94627233,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,REDACTED PERSONAL DATA,SN1 ,12/07/2023,614.10,,,,
96519233,Public Health,Public Health,Disabled Facilities Grants,Capital,Grant Payments,T & G DOBBIN COMPLETE BUILDING SERVICES,SN12,26/07/2023,"5,380.59",,,,
96744239,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,800.00,,,,
96744333,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,26/07/2023,900.00,,,,
97458233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN25,31/07/2023,382.86,,,,
97458233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Advanced,REDACTED PERSONAL DATA,SN25,31/07/2023,264.29,,,,
94628233,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,TADPOLE FARM CHURCH OF ENGLAND PRIMARY ACADEMY,SN25,12/07/2023,"7,805.00",,,,
95416326,High Needs Block,DSG Skills and Attainment,SEN Resourcing Assessment Panel,3rd Party Payments,Top up funding - Academies and Free Schools Pre 16,TADPOLE FARM CHURCH OF ENGLAND PRIMARY ACADEMY,SN25,14/07/2023,"10,941.25",,,,
93707233,Revenues & Benefits,Revenues & Benefits,Benefits,Supplies and Services,Interpretation,TAMESIDE MBC ----- GMPF,OL6 ,05/07/2023,71.43,,,,
93707233,Internal Audit,Internal Audit,Internal Audit,Supplies and Services,Materials,TAMESIDE MBC ----- GMPF,OL6 ,05/07/2023,166.37,,,,
93707233,Public Protection,Regulatory Services,Trading Standards,Supplies and Services,Subscriptions,TAMESIDE MBC ----- GMPF,OL6 ,05/07/2023,166.37,,,,
93707233,Revenues & Benefits,Revenues & Benefits,Benefits,Supplies and Services,Interpretation,TAMESIDE MBC ----- GMPF,OL6 ,05/07/2023,94.93,,,,
96837233,Highways Inspections & Maintenance,Highway Operations and Car Parking,Highway Maintenance,Supplies and Services,Materials,TARMAC TRADING LTD,B37 ,26/07/2023,488.59,,,,
96840233,Highways Inspections & Maintenance,Highway Operations and Car Parking,Highway Maintenance,Supplies and Services,Materials,TARMAC TRADING LTD,B37 ,26/07/2023,457.36,,,,
96318233,Highways Inspections & Maintenance,Highway Operations and Car Parking,Highway Maintenance,Supplies and Services,Materials,TARMAC TRADING LTD,B37 ,21/07/2023,"1,061.96",,,,
96332254,Highways Inspections & Maintenance,Highway Operations and Car Parking,Highway Maintenance,Supplies and Services,Materials,TARMAC TRADING LTD,B37 ,21/07/2023,981.64,,,,
96840234,Highways Inspections & Maintenance,Highway Operations and Car Parking,Highway Maintenance,Supplies and Services,Materials,TARMAC TRADING LTD,B37 ,26/07/2023,719.20,,,,
96841233,Highways Inspections & Maintenance,Highway Operations and Car Parking,Highway Maintenance,Supplies and Services,Materials,TARMAC TRADING LTD,B37 ,26/07/2023,718.38,,,,
96325233,Highways Inspections & Maintenance,Highway Operations and Car Parking,Highway Maintenance,Supplies and Services,Materials,TARMAC TRADING LTD,B37 ,21/07/2023,606.83,,,,
96838234,Highways Inspections & Maintenance,Highway Operations and Car Parking,Highway Maintenance,Supplies and Services,Materials,TARMAC TRADING LTD,B37 ,26/07/2023,841.08,,,,
96838233,Highways Inspections & Maintenance,Highway Operations and Car Parking,Highway Maintenance,Supplies and Services,Materials,TARMAC TRADING LTD,B37 ,26/07/2023,499.75,,,,
95322233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,TAS CARE LTD (T/A ROSE COTTAGE NURSING HOME),SN25,14/07/2023,"3,584.15",,,,
95322233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Residential Care,TAS CARE LTD (T/A ROSE COTTAGE NURSING HOME),SN25,14/07/2023,"3,584.15",,,,
95322233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Residential,TAS CARE LTD (T/A ROSE COTTAGE NURSING HOME),SN25,14/07/2023,-948.25,,,,
95322233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Residential Care,TAS CARE LTD (T/A ROSE COTTAGE NURSING HOME),SN25,14/07/2023,"3,584.15",,,,
95322233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,TAS CARE LTD (T/A ROSE COTTAGE NURSING HOME),SN25,14/07/2023,"-1,112.90",,,,
95322233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,TAS CARE LTD (T/A ROSE COTTAGE NURSING HOME),SN25,14/07/2023,"-1,120.15",,,,
95322233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,TAS CARE LTD (T/A ROSE COTTAGE NURSING HOME),SN25,14/07/2023,"-1,328.65",,,,
95322233,Physical Support,Adults,Physical Support 18 - 64,Income,Client Contribution - Residential,TAS CARE LTD (T/A ROSE COTTAGE NURSING HOME),SN25,14/07/2023,-516.45,,,,
95322233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,TAS CARE LTD (T/A ROSE COTTAGE NURSING HOME),SN25,14/07/2023,"-1,059.20",,,,
95322233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,TAS CARE LTD (T/A ROSE COTTAGE NURSING HOME),SN25,14/07/2023,"-1,026.80",,,,
95322233,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Nursing Care,TAS CARE LTD (T/A ROSE COTTAGE NURSING HOME),SN25,14/07/2023,"3,584.15",,,,
95322233,Mental Health,Adults,Mental Health 65 and over,Income,Client Contribution - Nursing,TAS CARE LTD (T/A ROSE COTTAGE NURSING HOME),SN25,14/07/2023,-772.65,,,,
95322233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,TAS CARE LTD (T/A ROSE COTTAGE NURSING HOME),SN25,14/07/2023,"-1,040.05",,,,
95322233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,TAS CARE LTD (T/A ROSE COTTAGE NURSING HOME),SN25,14/07/2023,"6,598.55",,,,
95322233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,TAS CARE LTD (T/A ROSE COTTAGE NURSING HOME),SN25,14/07/2023,"6,348.55",,,,
95322233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Residential,TAS CARE LTD (T/A ROSE COTTAGE NURSING HOME),SN25,14/07/2023,"-1,141.05",,,,
95322233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,TAS CARE LTD (T/A ROSE COTTAGE NURSING HOME),SN25,14/07/2023,"4,750.00",,,,
94082233,Sheltered Accomodation,Special Services,Sheltered Housing Management General,Supplies and Services,Equipment,TEAL FURNITURE LTD,BB3 ,07/07/2023,"1,177.60",,,,
93833234,Vehicles & Equipment,HRA Capital Financing,Homeline Upgrade,Capital,"Equipment, Fixtures & Fittings",TELEALARM EUROPE GMBH,,07/07/2023,"3,150.00",,,,
93404272,Highways Inspections & Maintenance,Highway Operations and Car Parking,Streetlighting,Supplies and Services,Materials,TELENSA LIMITED,CB22,03/07/2023,"2,400.00",,,,
96284233,Customer Strategy & Operations,"People, Culture and Organisational Resilience",Cemeteries & Crematoria,Supplies and Services,Equipment,TELESHORE (UK) LTD,NP12,21/07/2023,"7,716.00",,,,
94750254,Streetsmart,Streetsmart,Waterside Fleet Hires,Transport Costs,Repairs & Maintenance - Vehicles,TELETRAC NAVMAN (UK) LIMITED,MK7 ,12/07/2023,"1,512.00",,,,
94750253,Streetsmart,Streetsmart,Waterside Fleet Hires,Transport Costs,Repairs & Maintenance - Vehicles,TELETRAC NAVMAN (UK) LIMITED,MK7 ,12/07/2023,"4,542.00",,,,
93343233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN5 ,03/07/2023,506.00,,,,
93343233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Advanced,REDACTED PERSONAL DATA,SN5 ,03/07/2023,370.00,,,,
97426233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN5 ,31/07/2023,361.43,,,,
97426233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN5 ,31/07/2023,251.43,,,,
93343233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN5 ,03/07/2023,352.00,,,,
95467240,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN5 ,17/07/2023,352.00,,,,
95467240,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Advanced,REDACTED PERSONAL DATA,SN5 ,17/07/2023,370.00,,,,
97426233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Carers Skills Payments - Advanced,REDACTED PERSONAL DATA,SN5 ,31/07/2023,370.00,,,,
97426233,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN5 ,31/07/2023,171.43,,,,
95467240,Social Care,"Children, Families and Community Health Services",Placement Fostering Service,3rd Party Payments,Foster Care Basic Payments,REDACTED PERSONAL DATA,SN5 ,17/07/2023,506.00,,,,
95605236,Other Repairs,Repairs,Asbestos Services,3rd Party Payments,Contract Payments,TERSUS CONSULTANCY LIMITED,RM13,17/07/2023,88.17,,,,
95605235,Void Repairs,Supervision & Management,Void Property Repairs,3rd Party Payments,Contract Payments,TERSUS CONSULTANCY LIMITED,RM13,17/07/2023,106.97,,,,
93549233,Sheltered Accomodation,Special Services,Middi Haines Court,Premises Costs,Water,THAMES WATER UTILITIES LTD,SN38,05/07/2023,"1,044.02",,,,
93332233,Sheltered Accomodation,Special Services,George Selman Gardens,Premises Costs,Water,THAMES WATER UTILITIES LTD,SN38,03/07/2023,"5,558.97",,,,
95662233,Sheltered Accomodation,Special Services,George Tweed Gardens,Premises Costs,Water,THAMES WATER UTILITIES LTD,SN38,19/07/2023,"3,955.97",,,,
95476241,Sheltered Accomodation,Special Services,Lilian Lock Gardens,Premises Costs,Water,THAMES WATER UTILITIES LTD,SN38,17/07/2023,947.99,,,,
95458233,Sheltered Accomodation,Special Services,Cockram Court,Premises Costs,Water,THAMES WATER UTILITIES LTD,SN38,17/07/2023,"1,332.11",,,,
93550233,Sheltered Accomodation,Special Services,Middi Haines Court,Premises Costs,Water,THAMES WATER UTILITIES LTD,SN38,05/07/2023,"1,044.02",,,,
95465233,Sheltered Accomodation,Special Services,Lilian Lock Gardens,Premises Costs,Water,THAMES WATER UTILITIES LTD,SN38,17/07/2023,"1,290.95",,,,
95481235,Sheltered Accomodation,Special Services,Lilian Lock Gardens,Premises Costs,Water,THAMES WATER UTILITIES LTD,SN38,17/07/2023,947.99,,,,
95475234,Sheltered Accomodation,Special Services,Lilian Lock Gardens,Premises Costs,Water,THAMES WATER UTILITIES LTD,SN38,17/07/2023,947.99,,,,
95480233,Sheltered Accomodation,Special Services,Lilian Lock Gardens,Premises Costs,Water,THAMES WATER UTILITIES LTD,SN38,17/07/2023,947.99,,,,
93545233,Sheltered Accomodation,Special Services,Middi Haines Court,Premises Costs,Water,THAMES WATER UTILITIES LTD,SN38,05/07/2023,"1,044.02",,,,
93502233,Sheltered Accomodation,Special Services,Middi Haines Court,Premises Costs,Water,THAMES WATER UTILITIES LTD,SN38,05/07/2023,"1,044.02",,,,
95364233,Sheltered Accomodation,Special Services,Gladys Plumley Gardens,Premises Costs,Water,THAMES WATER UTILITIES LTD,SN38,14/07/2023,"2,082.56",,,,
95460233,Sheltered Accomodation,Special Services,Cockram Court,Premises Costs,Water,THAMES WATER UTILITIES LTD,SN38,17/07/2023,"1,332.11",,,,
95459233,Sheltered Accomodation,Special Services,Cockram Court,Premises Costs,Water,THAMES WATER UTILITIES LTD,SN38,17/07/2023,"1,332.11",,,,
95461233,Sheltered Accomodation,Special Services,Cockram Court,Premises Costs,Water,THAMES WATER UTILITIES LTD,SN38,17/07/2023,"1,332.11",,,,
93544233,Sheltered Accomodation,Special Services,Middi Haines Court,Premises Costs,Water,THAMES WATER UTILITIES LTD,SN38,05/07/2023,"1,044.02",,,,
93502234,Sheltered Accomodation,Special Services,Middi Haines Court,Premises Costs,Water,THAMES WATER UTILITIES LTD,SN38,05/07/2023,"1,044.02",,,,
95477234,Sheltered Accomodation,Special Services,Lilian Lock Gardens,Premises Costs,Water,THAMES WATER UTILITIES LTD,SN38,17/07/2023,"1,290.95",,,,
93548233,Sheltered Accomodation,Special Services,Middi Haines Court,Premises Costs,Water,THAMES WATER UTILITIES LTD,SN38,05/07/2023,"1,044.02",,,,
95363234,Sheltered Accomodation,Special Services,Gladys Plumley Gardens,Premises Costs,Water,THAMES WATER UTILITIES LTD,SN38,14/07/2023,"1,183.84",,,,
95473234,Town Centre,"Economy, Growth and Place",Kimmerfields enabling works,Capital,Contractor Payments,THAMES WATER UTILITIES LTD,RG1 ,17/07/2023,"1,000.00",,,,
97379233,Sheltered Accomodation,Special Services,Elsie Hazell Court,Premises Costs,Water,THAMES WATER UTILITIES LTD,SN38,31/07/2023,"1,591.28",,,,
95464233,Sheltered Accomodation,Special Services,Lilian Lock Gardens,Premises Costs,Water,THAMES WATER UTILITIES LTD,SN38,17/07/2023,"1,290.95",,,,
