Transaction Number,Service - Fund ,Service  - Function ,Service - Cost Centre,Expense Type ,Expense Description,Supplier Name,Supplier Post Code (first 4 digits),Payment Date,Amount £,,,,
94007233,School Transport,"Education, Inclusion and Skills",Special Educational Needs Transport,Transport Costs,Home to School Transport,AKCESS CIC,SN2 ,07/07/2023,"6,323.63",,,,
94008233,School Transport,"Education, Inclusion and Skills",Special Educational Needs Transport,Employees,Temporary / Agency - by Accounts Payable,AKCESS CIC,SN2 ,07/07/2023,"13,566.00",,,,
93884233,Physical Support,Adults,Physical Support 65 and over,Transport Costs,Home to Centre Transport,AKCESS CIC,SN2 ,07/07/2023,"2,968.29",,,,
93884233,Learning Disabilities,Adults,Learning Disability 18 - 64,Transport Costs,Home to Centre Transport,AKCESS CIC,SN2 ,07/07/2023,"20,778.01",,,,
93884233,Learning Disabilities,Adults,Learning Disability 18 - 64,Transport Costs,Home to Centre Transport,AKCESS CIC,SN2 ,07/07/2023,"5,934.71",,,,
94006233,School Transport,"Education, Inclusion and Skills",Mainstream School Transport,Transport Costs,Home to School Transport,AKCESS CIC,SN2 ,07/07/2023,"2,165.63",,,,
94294233,Travel,Highways & Transport,Public Transport,3rd Party Payments,Contract Payments,AKCESS CIC,SN2 ,10/07/2023,"15,023.18",,,,
93884233,Physical Support,Adults,Physical Support 65 and over,Transport Costs,Home to Centre Transport,AKCESS CIC,SN2 ,07/07/2023,"5,934.71",,,,
97037233,Senior Management Team,"Children, Families and Community Health Services",Family Safeguarding Model,Supplies and Services,Services,ALASDAIR CANT & ASSOCIATES LIMITED,CB2 ,28/07/2023,575.00,,,,
97036234,Senior Management Team,"Children, Families and Community Health Services",Family Safeguarding Model,Supplies and Services,Services,ALASDAIR CANT & ASSOCIATES LIMITED,CB2 ,28/07/2023,"4,053.67",,,,
95738234,Learning Disabilities,Adults,Learning Disability 18 - 64,3rd Party Payments,Supported Accommodation Scheme,REDACTED PERSONAL DATA,SN2 ,21/07/2023,"2,280.00",,,,
95000234,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,Transfer Payments,Personal Budget - Direct Payments - Other,REDACTED PERSONAL DATA,SN1 ,14/07/2023,"1,646.00",,,,
97349627,Learning Disabilities,Adults,Learning Disability 18 - 64,Transfer Payments,Personal Budget - Direct Payments - Domiciliary Care,REDACTED PERSONAL DATA,SN25,31/07/2023,"1,135.30",,,,
94528233,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,ALFRESCO CHILDCARE,SN6 ,12/07/2023,"7,495.21",,,,
96532233,Early Help,Early Intervention & Prevention,"Holiday, Activities & Food Grant",3rd Party Payments,Contracts - Child Care,ALFRESCO CHILDCARE,SN6 ,26/07/2023,"1,206.00",,,,
95861233,Learning Disabilities,Adults,Learning Disability 18 - 64,3rd Party Payments,Supported Accommodation Scheme,REDACTED PERSONAL DATA,SN1 ,21/07/2023,"2,666.00",,,,
97349720,Learning Disabilities,Adults,Learning Disability 18 - 64,Transfer Payments,Personal Budget - Direct Payments - Domiciliary Care,REDACTED PERSONAL DATA,SN4 ,31/07/2023,"7,944.44",,,,
95862233,Learning Disabilities,Adults,Learning Disability 18 - 64,3rd Party Payments,Supported Accommodation Scheme,REDACTED PERSONAL DATA,SN2 ,21/07/2023,"1,480.00",,,,
95862233,Learning Disabilities,Adults,Learning Disability 18 - 64,3rd Party Payments,Supported Accommodation Scheme,REDACTED PERSONAL DATA,SN2 ,21/07/2023,"2,226.00",,,,
95862233,Learning Disabilities,Adults,Learning Disability 18 - 64,3rd Party Payments,Supported Accommodation Scheme,REDACTED PERSONAL DATA,SN2 ,21/07/2023,"1,840.00",,,,
97349327,Learning Disabilities,Adults,Learning Disability 18 - 64,Transfer Payments,Personal Budget - Direct Payments - Domiciliary Care,REDACTED PERSONAL DATA,SN5 ,31/07/2023,"9,929.70",,,,
94972235,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - two year olds,3rd Party Payments,Contracts - Child Care,REDACTED PERSONAL DATA,SN25,12/07/2023,507.19,,,,
94972236,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,REDACTED PERSONAL DATA,SN25,12/07/2023,"1,464.22",,,,
94530233,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,REDACTED PERSONAL DATA,SN1 ,12/07/2023,"1,623.96",,,,
97349504,Learning Disabilities,Adults,Learning Disability 18 - 64,Transfer Payments,Personal Budget - Direct Payments - Domiciliary Care,REDACTED PERSONAL DATA,SN5 ,31/07/2023,"3,844.76",,,,
95173258,Streetsmart,Streetsmart,Waterside Fleet Workshops,Supplies and Services,Equipment,ALLIANCE AUTOMOTIVE UK T/A BRAYMARC,BD4 ,14/07/2023,695.00,,,,
94748234,Streetsmart,Streetsmart,Waterside Fleet Workshops,Supplies and Services,Materials,ALLIANCE AUTOMOTIVE UK T/A BRAYMARC,BD4 ,12/07/2023,421.28,,,,
95173258,Streetsmart,Streetsmart,Waterside Fleet Workshops,Supplies and Services,Materials,ALLIANCE AUTOMOTIVE UK T/A BRAYMARC,BD4 ,14/07/2023,220.00,,,,
95253233,Landlord Services,Supervision & Management,Estate Management Team,Supplies and Services,Contracts,ALLPAY-NET LIMITED,HR1 ,14/07/2023,"1,924.52",,,,
93791233,Treasury,Corporate Finance,Treasury,Supplies and Services,Bank Charges,ALLPAY-NET LIMITED,HR1 ,05/07/2023,"1,229.58",,,,
94972239,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,ALPHA PRE-SCHOOL,SN5 ,12/07/2023,"1,368.18",,,,
94972238,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - two year olds,3rd Party Payments,Contracts - Child Care,ALPHA PRE-SCHOOL,SN5 ,12/07/2023,"-1,239.81",,,,
96813233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,26/07/2023,"1,080.00",,,,
96817234,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,26/07/2023,"1,080.00",,,,
95829233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,19/07/2023,720.00,,,,
95824234,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,19/07/2023,"1,440.00",,,,
94365233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,10/07/2023,"1,740.00",,,,
93796233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,07/07/2023,"1,440.00",,,,
93795233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,07/07/2023,"1,800.00",,,,
93695233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,05/07/2023,"2,160.00",,,,
96815233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,26/07/2023,"1,440.00",,,,
95825233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,19/07/2023,"1,080.00",,,,
93799233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,07/07/2023,"1,080.00",,,,
