,,Body Name,Organisation Code,Service Label,Service Code,Organisation Unit,Expenditure Category,Expenditure Code,Narrative,Date,Transaction No,Net Amount,Supplier ID,Amended Supplier Name
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,DAY CARE CENTRES,4250,,11/12/2023,23390007,821.16,24665,ABILITIES DEVELOPEMENT LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,RESIDENTIAL HOMES EXTERNAL,4220,,11/12/2023,23390138,1980,28839,ABS UK LTD T/A LOTUS COMMUNITY CARE SERVICES
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,RESIDENTIAL HOMES EXTERNAL,4220,,11/12/2023,23390138,2856,28839,ABS UK LTD T/A LOTUS COMMUNITY CARE SERVICES
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,RESIDENTIAL HOMES EXTERNAL,4220,,11/12/2023,23390138,396,28839,ABS UK LTD T/A LOTUS COMMUNITY CARE SERVICES
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,SUPPORTED LIVING,4236,,11/12/2023,23390138,2560,28839,ABS UK LTD T/A LOTUS COMMUNITY CARE SERVICES
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,SUPPORTED LIVING,4236,,11/12/2023,23390138,3060,28839,ABS UK LTD T/A LOTUS COMMUNITY CARE SERVICES
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,SUPPORTED LIVING,4236,,11/12/2023,23390138,3104,28839,ABS UK LTD T/A LOTUS COMMUNITY CARE SERVICES
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,SUPPORTED LIVING,4236,,11/12/2023,23390252,3104,28839,ABS UK LTD T/A LOTUS COMMUNITY CARE SERVICES
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,RESIDENTIAL HOMES EXTERNAL,4220,,11/12/2023,23390252,1120,28839,ABS UK LTD T/A LOTUS COMMUNITY CARE SERVICES
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,RESIDENTIAL HOMES EXTERNAL,4220,,11/12/2023,23390138,600,28839,ABS UK LTD T/A LOTUS COMMUNITY CARE SERVICES
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,SUPPORTED LIVING,4236,,11/12/2023,23390138,2309.32,28839,ABS UK LTD T/A LOTUS COMMUNITY CARE SERVICES
