Authority,Service Area,Description,Payment,Amount,Supplier
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£19,439.80",Hartington House
Bolton BMC,Adult Services,Clients Aids & Adaptations,01-Jun-23,"£1,410.90",Harvest Healthcare Limited
Bolton BMC,Adult Services,Clients Aids & Adaptations,14-Jun-23,"£1,112.64",Harvest Healthcare Limited
Bolton BMC,Adult Services,Clients - Taxi Fares,01-Jun-23,£660.00,Hastings Cars NW Limited
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£10,170.00",Hazelbrook Christian Nursing Home
Bolton BMC,Adult Services,Contracted Services,07-Jun-23,"£4,724.84",Hearten House
Bolton BMC,Adult Services,Contracted Services,09-Jun-23,"£4,617.40",Hearten House
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£28,962.10",Heaton Vale
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£11,839.90",HF Trust Limited Honeysuckle House
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£10,505.00",Hollands Nursing Home
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,£724.00,Hollands Nursing Home
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£24,696.00",Hollands Nursing Home
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£3,620.00",Hollands Nursing Home
Bolton BMC,Adult Services,Contracted Services,19-Jun-23,"£12,154.92",Homecare For You Ltd#BLACKBURN
Bolton BMC,Adult Services,Contracted Services,19-Jun-23,"£1,029.85",Homecare For You Ltd#BLACKBURN
Bolton BMC,Adult Services,Contracted Services,19-Jun-23,"£6,704.51",Homecare For You Ltd#BLACKBURN
Bolton BMC,Adult Services,Contracted Services,23-Jun-23,"£2,739.26",Homecare Team Limited
Bolton BMC,Adult Services,Contracted Services,23-Jun-23,"£8,623.92",Homecare Team Limited
Bolton BMC,Adult Services,Clients Aids & Adaptations,19-Jun-23,£590.00,Hospital Direct (Marketing) Limited
Bolton BMC,Adult Services,Clients Aids & Adaptations,19-Jun-23,£572.00,Hospital Direct (Marketing) Limited
Bolton BMC,Adult Services,Clients Aids & Adaptations,19-Jun-23,£555.50,Hospital Direct (Marketing) Limited
Bolton BMC,Adult Services,Clients Aids & Adaptations,19-Jun-23,£693.00,Hospital Direct (Marketing) Limited
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£3,620.00",Hyde Lea
Bolton BMC,Adult Services,Contracted Services,05-Jun-23,"£1,249.25",ICRIT Healthcare#Limited
Bolton BMC,Adult Services,Contracted Services,05-Jun-23,"£2,019.89",ICRIT Healthcare#Limited
Bolton BMC,Adult Services,Contracted Services,05-Jun-23,"£1,954.99",ICRIT Healthcare#Limited
Bolton BMC,Adult Services,Contracted Services,05-Jun-23,"£1,277.64",ICRIT Healthcare#Limited
Bolton BMC,Adult Services,Contracted Services,05-Jun-23,£634.76,ICRIT Healthcare#Limited
Bolton BMC,Adult Services,Contracted Services,05-Jun-23,£744.28,ICRIT Healthcare#Limited
