Authority,Service Area,Description,Supplier,Payment,Amount
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,679.86"
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,£568.91
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,871.82"
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,614.74"
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,891.01"
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,182.60"
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,182.60"
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£2,009.40"
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£4,189.82"
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,598.07"
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,£510.29
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,£512.72
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,£656.46
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,£627.51
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,£559.91
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,£579.22
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,£719.21
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,£729.20
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,£729.20
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,£729.20
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,£729.20
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,£790.48
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,£790.48
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,£790.48
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,£790.48
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,£583.20
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,£719.28
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,£583.20
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,£893.93
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,21-Jul-23,"£1,470.01"
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,"£1,470.01"
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,£558.38
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,£544.80
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,01-Jul-23,£565.95
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,£558.38
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,28-Jul-23,£539.45
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,07-Jul-23,£539.45
Bolton MBC,Chief Executives,Agency Staff - Other,Reed#Reed Specialist Recruitment Limited,14-Jul-23,£539.45
Bolton MBC,Chief Executives,Promoting Events,RML Rhodes Media Live Limited,01-Jul-23,"£7,725.00"
Bolton MBC,Chief Executives,Consultancy Fees,Robertson Facilities Management Limited,12-Jul-23,"£4,328.10"
Bolton MBC,Chief Executives,Day To Day Maintenance,Robertson Facilities Management Limited,01-Jul-23,"£2,049.43"
Bolton MBC,Chief Executives,Day To Day Maintenance,Robertson Facilities Management Limited,12-Jul-23,"£7,349.21"
Bolton MBC,Chief Executives,Day To Day Maintenance,Robertson Facilities Management Limited,12-Jul-23,£572.50
Bolton MBC,Chief Executives,Day To Day Maintenance,Robertson Facilities Management Limited,12-Jul-23,"£1,920.17"
Bolton MBC,Chief Executives,Day To Day Maintenance,Robertson Facilities Management Limited,12-Jul-23,"£10,126.38"
Bolton MBC,Chief Executives,Non-Scheduled Work,Robertson Facilities Management Limited,01-Jul-23,"£2,091.25"
Bolton MBC,Chief Executives,Property Surveys,Robertson Facilities Management Limited,12-Jul-23,"£103,050.00"
Bolton MBC,Chief Executives,Reactive Maintenance,Robertson Facilities Management Limited,05-Jul-23,"£166,655.77"
Bolton MBC,Chief Executives,Reactive Maintenance,Robertson Facilities Management Limited,12-Jul-23,"£3,729.45"
Bolton MBC,Chief Executives,Work in Progress Additions,Robertson Facilities Management Limited,01-Jul-23,"£26,526.61"
Bolton MBC,Chief Executives,Postages Direct Costs,Royal Mail Group Limited,03-Jul-23,"£1,489.63"
Bolton MBC,Chief Executives,Postages Direct Costs,Royal Mail Group Limited,10-Jul-23,£605.94
Bolton MBC,Chief Executives,Postages Direct Costs,Royal Mail Group Limited,24-Jul-23,£553.57
Bolton MBC,Chief Executives,Postages Direct Costs,Royal Mail Group Limited,03-Jul-23,"£3,528.50"
Bolton MBC,Chief Executives,Postages Direct Costs,Royal Mail Group Limited,10-Jul-23,"£3,463.62"
Bolton MBC,Chief Executives,Postages Direct Costs,Royal Mail Group Limited,17-Jul-23,"£1,364.74"
Bolton MBC,Chief Executives,Postages Direct Costs,Royal Mail Group Limited,24-Jul-23,"£1,566.43"
Bolton MBC,Chief Executives,Postages Direct Costs,Royal Mail Group Limited,03-Jul-23,£604.97
Bolton MBC,Chief Executives,Postages Direct Costs,Royal Mail Group Limited,10-Jul-23,"£2,301.10"
Bolton MBC,Chief Executives,Postages Direct Costs,Royal Mail Group Limited,17-Jul-23,"£1,267.64"
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£886.44
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,"£1,181.37"
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,"£1,856.52"
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,"£2,007.27"
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,"£2,603.95"
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,"£2,929.49"
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,"£7,778.89"
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,18-Jul-23,"£2,210.95"
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,"£2,968.92"
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,"£1,054.44"
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£810.72
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£762.88
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,"£1,163.30"
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£908.26
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£963.77
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,"£1,032.33"
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£955.33
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£999.91
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,"£1,129.87"
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£941.24
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,18-Jul-23,£654.41
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,18-Jul-23,"£4,251.14"
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£631.22
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£504.78
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£536.67
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£575.23
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£641.51
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£725.52
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£749.91
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£782.22
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£717.98
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£919.80
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,18-Jul-23,£514.14
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£555.20
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£697.96
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£752.16
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£851.29
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£840.77
Bolton MBC,Chief Executives,Electricity - General,Scottish & Southern Energy plc#SSE,01-Jul-23,£909.40
Bolton MBC,Chief Executives,Marketing,Showmed,01-Jul-23,"£1,025.50"
Bolton MBC,Chief Executives,Catering - General,Simon Wood Cooks Limited,20-Jul-23,"£2,500.00"
Bolton MBC,Chief Executives,Disclosure Monitoring,SME HCI Limited,01-Jul-23,£789.10
Bolton MBC,Chief Executives,Staff Subsistence Expenses,SME HCI Limited,01-Jul-23,"£3,453.44"
Bolton MBC,Chief Executives,Staff Subsistence Expenses,SME HCI Limited,01-Jul-23,"£1,116.99"
Bolton MBC,Chief Executives,Promoting Events,Songsmith Records Ltd,02-Jul-23,"£1,650.00"
Bolton MBC,Chief Executives,Other Recruitment Expenditure,Spacehouse Limited,27-Jul-23,"£1,550.00"
Bolton MBC,Chief Executives,Agilisys - Inter/Intranet Svs,The Audience Agency,01-Jul-23,"£1,200.00"
Bolton MBC,Chief Executives,Consultation Costs,The Consultation Institute,01-Jul-23,£795.00
Bolton MBC,Chief Executives,Op Equip Furniture Purchase,The Cosy Company Limited,01-Jul-23,£574.50
Bolton MBC,Chief Executives,Agency Staff - Full-time,The ExcluSec Group Limited T/As ExcluSec Security,01-Jul-23,"£3,946.80"
Bolton MBC,Chief Executives,Agency Staff - Full-time,The ExcluSec Group Limited T/As ExcluSec Security,31-Jul-23,"£1,390.35"
Bolton MBC,Chief Executives,Inter Agency Fees,The ExcluSec Group Limited T/As ExcluSec Security,01-Jul-23,"£1,801.20"
Bolton MBC,Chief Executives,Marketing,The ExcluSec Group Limited T/As ExcluSec Security,01-Jul-23,£843.75
Bolton MBC,Chief Executives,Inter Agency Fees,The Lowry Centre Limited,10-Jul-23,"£1,698.81"
Bolton MBC,Chief Executives,Inter Agency Fees,The Lowry Centre Limited,10-Jul-23,"£1,876.88"
Bolton MBC,Chief Executives,Promoting Events,The Lowry Centre Limited,01-Jul-23,"£2,809.33"
Bolton MBC,Chief Executives,Promoting Events,The Lowry Centre Limited,01-Jul-23,"£2,417.33"
Bolton MBC,Chief Executives,Promoting Events,The Lowry Centre Limited,01-Jul-23,£875.00
Bolton MBC,Chief Executives,Promoting Events,The Lowry Centre Limited,01-Jul-23,"£6,586.67"
Bolton MBC,Chief Executives,Election Expenses,The Mandhata Hitvardhak Mandal#Krishna Temple,01-Jul-23,£750.00
Bolton MBC,Chief Executives,Contracted Services,The Midcounties Co-operative,06-Jul-23,£714.20
Bolton MBC,Chief Executives,Contracted Services,The Midcounties Co-operative,06-Jul-23,£670.06
Bolton MBC,Chief Executives,Marketing,The Purple Company (UK) Ltd T/a Silk Group,01-Jul-23,"£3,245.00"
Bolton MBC,Chief Executives,Corporate Training,The Wellness Project CIC,01-Jul-23,£600.00
Bolton MBC,Chief Executives,Corporate Training,TLC Learning Academy#Limited,13-Jul-23,£620.00
Bolton MBC,Chief Executives,Corporate Training,TLC Learning Academy#Limited,17-Jul-23,£620.00
Bolton MBC,Chief Executives,General Publicity,Tonic Consultancy#Limited,03-Jul-23,"£10,950.00"
Bolton MBC,Chief Executives,Vehicle Purchase,Tusker,01-Jul-23,"£7,584.90"
Bolton MBC,Chief Executives,Vehicle Purchase,Tusker,01-Jul-23,"£5,432.46"
Bolton MBC,Chief Executives,Vehicle Purchase,Tusker,01-Jul-23,£803.27
Bolton MBC,Chief Executives,Book Fund Expenditure,Ulverscroft Large Print Books Limited#Ulverscroft Limited,01-Jul-23,£855.24
Bolton MBC,Chief Executives,Miscellaneous Grants,Urban Outreach (Bolton),01-Jul-23,"£33,225.00"
Bolton MBC,Chief Executives,Staff Training Courses,Vanguard Consulting Limited,04-Jul-23,"£1,225.00"
Bolton MBC,Chief Executives,Staff Training Courses,Vanguard Consulting Limited,04-Jul-23,£745.00
Bolton MBC,Chief Executives,Marketing,Vivienne Clore,18-Jul-23,"£5,000.00"
Bolton MBC,Chief Executives,Mobile Telephone Purchase,Vodafone Limited,25-Jul-23,"£80,642.80"
Bolton MBC,Chief Executives,Mobile Telephone Purchase,Vodafone Limited,01-Jul-23,"£1,822.00"
Bolton MBC,Chief Executives,Mobile Telephone Purchase,Vodafone Limited,17-Jul-23,£522.00
Bolton MBC,Chief Executives,Mobile Telephone Purchase,Vodafone Limited,21-Jul-23,£522.00
Bolton MBC,Chief Executives,Mobile Telephone Purchase,Vodafone Limited,01-Jul-23,£722.97
Bolton MBC,Chief Executives,Planned Maintenance,Walker Sime Limited,01-Jul-23,"£3,000.00"
Bolton MBC,Chief Executives,Planned Maintenance,Walker Sime Limited,01-Jul-23,"£3,000.00"
Bolton MBC,Chief Executives,Marketing,Watt Plastics Limited,01-Jul-23,"£6,620.00"
Bolton MBC,Chief Executives,Promoting Events,Wigan Warriors Community Foundation,19-Jul-23,"£22,000.00"
Bolton MBC,Chief Executives,Catering Provisions-Food,Wilds#WLG Limited,12-Jul-23,"£1,049.25"
Bolton MBC,Chief Executives,Miscellaneous Grants,Wolfpack Adventures Limited,28-Jul-23,"£1,500.00"
Bolton MBC,Chief Executives,Sport Activities,Wolfpack Adventures Limited,28-Jul-23,"£1,500.00"
Bolton MBC,Chief Executives,Sport Activities,Wolfpack Adventures Limited,28-Jul-23,"£1,250.00"
Bolton MBC,Chief Executives,Sport Activities,Wolfpack Adventures Limited,28-Jul-23,"£1,250.00"
Bolton MBC,Chief Executives,Private Contracted Services,Wonde Limited,03-Jul-23,"£950,000.00"
Bolton MBC,Chief Executives,Other Fees,Working on Wellbeing Ltd T/A Optima Health,13-Jul-23,£665.00
Bolton MBC,Chief Executives,Other Fees,Working on Wellbeing Ltd T/A Optima Health,13-Jul-23,£633.44
Bolton MBC,Chief Executives,Other Fees,Working on Wellbeing Ltd T/A Optima Health,13-Jul-23,£936.25
Bolton MBC,Chief Executives,Other Fees,Working on Wellbeing Ltd T/A Optima Health,13-Jul-23,£520.02
Bolton MBC,Chief Executives,Other Fees,Working on Wellbeing Ltd T/A Optima Health,13-Jul-23,"£4,909.16"
Bolton MBC,Chief Executives,Other Fees,Working on Wellbeing Ltd T/A Optima Health,13-Jul-23,"£1,187.70"
Bolton MBC,Chief Executives,Other Fees,Working on Wellbeing Ltd T/A Optima Health,13-Jul-23,"£1,460.55"
Bolton MBC,Chief Executives,Other Fees,Working on Wellbeing Ltd T/A Optima Health,13-Jul-23,"£1,701.30"
Bolton MBC,Chief Executives,Other Fees,Working on Wellbeing Ltd T/A Optima Health,13-Jul-23,£560.00
Bolton MBC,Chief Executives,Other Fees,Working on Wellbeing Ltd T/A Optima Health,25-Jul-23,£633.44
Bolton MBC,Chief Executives,Other Fees,Working on Wellbeing Ltd T/A Optima Health,25-Jul-23,£936.25
Bolton MBC,Chief Executives,Other Fees,Working on Wellbeing Ltd T/A Optima Health,25-Jul-23,£520.02
Bolton MBC,Chief Executives,Other Fees,Working on Wellbeing Ltd T/A Optima Health,25-Jul-23,"£4,909.16"
Bolton MBC,Chief Executives,Other Fees,Working on Wellbeing Ltd T/A Optima Health,25-Jul-23,"£1,187.70"
Bolton MBC,Chief Executives,Other Fees,Working on Wellbeing Ltd T/A Optima Health,25-Jul-23,"£1,460.55"
Bolton MBC,Chief Executives,Other Fees,Working on Wellbeing Ltd T/A Optima Health,25-Jul-23,"£1,701.30"
Bolton MBC,Chief Executives,Other Fees,Working on Wellbeing Ltd T/A Optima Health,25-Jul-23,£560.00
Bolton MBC,Chief Executives,Computer Purchase,xlprint software,04-Jul-23,"£3,933.69"
Bolton MBC,Chief Executives,Corporate Training,Yourbestlife,04-Jul-23,£750.00
Bolton MBC,Chief Executives,Staff Subsistence Expenses,Zebra Training Services Limited,01-Jul-23,"£3,450.00"
Bolton MBC,Children's Services,Legal Fees,18 St John Street Chamber,01-Jul-23,"£5,350.00"
Bolton MBC,Children's Services,Legal Fees,18 St John Street Chamber,06-Jul-23,"£1,590.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,24/7 Minibuses,31-Jul-23,"£4,080.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,24/7 Minibuses,01-Jul-23,"£5,440.00"
Bolton MBC,Children's Services,Vol Assoc Grants - General,4 Pure Heart Limited,01-Jul-23,"£20,693.70"
Bolton MBC,Children's Services,Clients - Taxi Fares,A K Private Hire,31-Jul-23,"£1,350.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,A K Private Hire,01-Jul-23,"£1,710.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,AB Minibuses,31-Jul-23,"£2,210.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,AB Minibuses,01-Jul-23,"£3,400.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Abacus Minibuses Ltd,31-Jul-23,"£3,375.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Abacus Minibuses Ltd,01-Jul-23,"£4,500.00"
Bolton MBC,Children's Services,Contracted Services,Achieve Training,01-Jul-23,"£2,420.00"
Bolton MBC,Children's Services,Contracted Services,Acorn Psychology Support Services#Acorn Psychology Ltd,01-Jul-23,£640.00
Bolton MBC,Children's Services,Staff Subsistence Expenses,ADCS#The Association Of Directors Of Childrens Services Limited,01-Jul-23,"£2,795.00"
Bolton MBC,Children's Services,Contracted Services,ADHD Direct Limited,12-Jul-23,"£1,566.48"
Bolton MBC,Children's Services,Security Systems - Repairs,ADT Fire & Security plc,01-Jul-23,"£1,514.41"
Bolton MBC,Children's Services,Legal Fees,Advanced Child Care Assessments Limited,05-Jul-23,"£1,264.00"
Bolton MBC,Children's Services,Legal Fees,Advanced Child Care Assessments Limited,06-Jul-23,"£1,630.35"
Bolton MBC,Children's Services,Legal Fees,Advanced Child Care Assessments Limited,01-Jul-23,"£2,951.60"
Bolton MBC,Children's Services,Legal Fees,Advanced Child Care Assessments Limited,01-Jul-23,"£2,545.40"
Bolton MBC,Children's Services,Carer Additional Costs,Alcedo Orange Limited,03-Jul-23,"£1,513.40"
Bolton MBC,Children's Services,Horticultural Materials,All Seasons Landscapes and Grounds Maintenance Limited,01-Jul-23,"£1,200.00"
Bolton MBC,Children's Services,Horticultural Materials,All Seasons Landscapes and Grounds Maintenance Limited,20-Jul-23,"£2,000.00"
Bolton MBC,Children's Services,Horticultural Materials,All Seasons Landscapes and Grounds Maintenance Limited,20-Jul-23,"£1,200.00"
Bolton MBC,Children's Services,Legal Fees,Alpha Biolabs Limited,01-Jul-23,"£1,049.40"
Bolton MBC,Children's Services,Clients - Taxi Fares,Alpha Luxury Minibuses Limited,31-Jul-23,"£7,610.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Alpha Luxury Minibuses Limited,31-Jul-23,"£7,367.50"
Bolton MBC,Children's Services,Clients - Taxi Fares,Alpha Luxury Minibuses Limited,01-Jul-23,"£10,000.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Alpha Luxury Minibuses Limited,01-Jul-23,"£10,085.00"
Bolton MBC,Children's Services,Vol Assoc Grants - General,AMJ Support Services Ltd,04-Jul-23,"£5,633.04"
Bolton MBC,Children's Services,Vol Assoc Grants - General,AMJ Support Services Ltd,04-Jul-23,"£14,940.00"
Bolton MBC,Children's Services,Fees/Expenses Schools,Andy Buck Leadership Services Limited,01-Jul-23,"£2,031.80"
Bolton MBC,Children's Services,Legal Fees,Aspire Family Assessment Services Limited,01-Jul-23,"£2,042.40"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Aspris Childrens Services#Priory NES Limited#Oliver House,09-Jul-23,"£75,049.56"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Aspris Childrens Services#Priory NES Limited#Oliver House,09-Jul-23,"£24,085.28"
Bolton MBC,Children's Services,Contract Cleaning,Associated Cleaning Contractors#Champion Cleaning Services Ltd,18-Jul-23,£757.60
Bolton MBC,Children's Services,Contract Cleaning,Associated Cleaning Contractors#Champion Cleaning Services Ltd,09-Jul-23,"£4,828.93"
Bolton MBC,Children's Services,Clients - Taxi Fares,Atlas Minibuses Limited,31-Jul-23,"£2,700.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Atlas Minibuses Limited,01-Jul-23,"£3,600.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Auto Travel Limited,31-Jul-23,"£1,725.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Auto Travel Limited,01-Jul-23,"£1,725.00"
Bolton MBC,Children's Services,Contracted Services,Backup North West#BYPHS,01-Jul-23,"£58,726.75"
Bolton MBC,Children's Services,Contracted Services,Backup North West#BYPHS,01-Jul-23,"£9,787.80"
Bolton MBC,Children's Services,Contracted Services,Backup North West#BYPHS,01-Jul-23,"£27,965.10"
Bolton MBC,Children's Services,Contracted Services,Backup North West#BYPHS,01-Jul-23,"£6,991.27"
Bolton MBC,Children's Services,Contracted Services,Backup North West#BYPHS,01-Jul-23,"£16,779.08"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Backup North West#BYPHS,01-Jul-23,"£2,316.10"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Backup North West#BYPHS,01-Jul-23,"£3,413.20"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Backup North West#BYPHS,01-Jul-23,"£1,352.82"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Backup North West#BYPHS,01-Jul-23,"£1,208.88"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Backup North West#BYPHS,01-Jul-23,"£3,165.68"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Backup North West#BYPHS,01-Jul-23,"£2,427.04"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Backup North West#BYPHS,01-Jul-23,"£1,034.88"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Backup North West#BYPHS,01-Jul-23,"£1,243.66"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Backup North West#BYPHS,01-Jul-23,"£1,037.60"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Backup North West#BYPHS,01-Jul-23,"£2,705.64"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Backup North West#BYPHS,01-Jul-23,"£2,705.64"
Bolton MBC,Children's Services,Operational Equipment Purchase,Baker Ross Ltd,17-Jul-23,£668.33
Bolton MBC,Children's Services,Vol Assoc Grants - General,Banya Family Placement Agency Limited,01-Jul-23,"£3,558.82"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Banya Family Placement Agency Limited,01-Jul-23,"£3,558.82"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Banya Family Placement Agency Limited,01-Jul-23,"£3,428.08"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Barnardo's,07-Jul-23,"£3,464.12"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Barnardo's,07-Jul-23,"£3,360.18"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Bear Care Services Limited,01-Jul-23,"£10,360.00"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Bear Care Services Limited,01-Jul-23,"£10,360.00"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Bear Care Services Limited,01-Jul-23,"£10,360.00"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Bear Care Services Limited,01-Jul-23,"£10,360.00"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Bear Care Services Limited,01-Jul-23,"£10,360.00"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Bear Care Services Limited,02-Jul-23,"£10,360.00"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Bear Care Services Limited,03-Jul-23,"£10,360.00"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Bear Care Services Limited,05-Jul-23,"£2,960.00"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Bear Care Services Limited,14-Jul-23,"£10,360.00"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Bear Care Services Limited,10-Jul-23,"£8,540.00"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Bear Care Services Limited,15-Jul-23,"£6,100.00"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Bear Care Services Limited,20-Jul-23,"£10,360.00"
Bolton MBC,Children's Services,Vol Assoc Grants - General,Bedspace Resource Limited,01-Jul-23,"£1,620.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Bestway Minibuses Limited,31-Jul-23,"£32,150.00"
Bolton MBC,Children's Services,Clients - Taxi Fares,Bestway Minibuses Limited,01-Jul-23,"£43,210.00"
Bolton MBC,Children's Services,Operational Equipment Purchase,Big Comedy Shop,11-Jul-23,£750.00
Bolton MBC,Children's Services,Fees/Expenses Schools,Big Education Trust,12-Jul-23,£934.90
Bolton MBC,Children's Services,Room Hire,Blackburn Empire Theatre#Limited,14-Jul-23,"£1,037.50"
Bolton MBC,Children's Services,Contracted Services,Bolton at Home Limited#HB Refunds & Invoices,04-Jul-23,"£6,802.47"
