DefnSheetName=_defntemp_,,,,,,,,,,,,,,,,,,
Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference,Unique Reference
Blackpool Council,SOTERA RISK SOLUTIONS LTD,295836,1142532,23/09/2024,"11,760.00","1,960.00",,,63413,Consultants,Community & Env Services - 1,BPLSER,HIGENG,Highways & Engineering - 3,TRAMWAY,Tramway - 5,J2097/I11170,1142532295836J2097/I11170
Blackpool Council,SOTERA RISK SOLUTIONS LTD,295837,1142532,23/09/2024,"11,520.00","1,920.00",,,63413,Consultants,Community & Env Services - 1,BPLSER,HIGENG,Highways & Engineering - 3,TRAMWAY,Tramway - 5,J2096/I11169,1142532295837J2096/I11169
Blackpool Council,Cassidy + Ashton Group Limited,297243,1000808,3/09/2024,"13,200.00","2,200.00",,,63413,Consultants,Communication & Regeneration - 1,AMCPI,HJ,Growth & Prosperity Team - 3,HJA1,Growth - 5,21297,100080829724321297
Blackpool Council,Prosolve,297255,1000831,3/09/2024,525.60,87.60,Highways & Engineering,90018,19514,Stocks Efin,Balance Sheet Blackpool Services - 1,ZBPLSER,ZBPLSER2,Balance Sheet Blackpool Services - 3,ZBPLSER4,Balance Sheet Blackpool Services - 5,0000487103,10008312972550000487103
Blackpool Council,Insight Direct (Uk) Ltd,297316,1001148,3/09/2024,823.82,137.30,Ict Recharge Account,40114,63533,Computer Software Purchases,Resources - 1,TRSTOT,FGAA,Ict Corporate Services - 3,FGAAAA1,Ict Corporate Services FGAAAA1 - 5,2100961905,10011482973162100961905
Blackpool Council,L & R Roadlines Ltd,297335,1000505,3/09/2024,"4,420.62",736.77,Street Naming And Numbering,30116,64501,Private Contractors,Community & Env Services - 1,BPLSER,TR,Transportation - 3,TRB1,Maintenance & W - 5,76981,100050529733576981
Blackpool Council,L & R Roadlines Ltd,297339,1000505,3/09/2024,471.24,78.54,Line Marking And Other Works,30202,61012,Maintenance Private Contractor,Community & Env Services - 1,BPLSER,HIGENG,Highways & Engineering - 3,ENGINE1,Engineering - 5,76969,100050529733976969
Blackpool Council,Cassidy + Ashton Group Limited,297775,1000808,3/09/2024,"3,600.00",600.00,,,63413,Consultants,Community & Env Services - 1,BPLSER,PARKS,Parks - 3,PRKDEV1,Parks Developme - 5,21299,100080829777521299
Blackpool Council,Idox Software Ltd,297786,1001907,6/09/2024,"3,312.67",552.11,Licensing - Miscellaneous,30001,63711,Subscriptions,Community & Env Services - 1,BPLSER,PUBPRO,Public Protection - 3,PYLA1,Licencing - 5,121079,1001907297786121079
Blackpool Council,Multipave (Nw) Ltd,297797,1004114,3/09/2024,"389,405.51","64,900.91",Carriageway Resurface -Ralumac,90000,64501,VAT ADJUSTMENT,Not Applicable - 1,NA,TR,Transportation - 3,TRB1,Not Applicable - 5,07954,100411429779707954
Blackpool Council,Centerprise International Ltd,297892,1003914,9/09/2024,"69,984.00","11,664.00",,,63531,Computer Hardware Purchase,Resources - 1,TRSTOT,FGAA,Ict Corporate Services - 3,FGAA2,Ict Corporate Services FGAA2 - 5,90322568,100391429789290322568
Blackpool Council,Prepaid Financial Services Limited,297896,1006274,3/09/2024,"2,238.00",373.00,Client Finances,40067,63401,General Services,Resources - 1,TRSTOT,FCAC1,Benefits - Admin - 3,FCAC3,Benefits - Admin - 5,INV111875,1006274297896INV111875
Blackpool Council,Cutlers Property Consultancy (Services),297898,1002238,6/09/2024,"2,080.00",0.00,Estates,40268,60791,Agency Staff,Resources - 1,TRSTOT,AEE,Estates - 3,AEE2,Estates - 5,0070550,10022382978980070550
Blackpool Council,Russell Bolton Consulting Limited,299056,1007300,3/09/2024,"1,260.00",210.00,Business Loan Overheads,60030,63413,Consultants,Budgets Outside Cash Limits - 1,BUDOCL,BPLOAN,Business Loans - 3,BPLOAN2,Business Loans - 5,INV-0553,1007300299056INV-0553
