FORMAT CIAXLONE REPORT,DefnSheetName=_defntemp_,,,,,,,,,,,,,,,,,
*,Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference
LIST,Blackpool Council,1decision Ltd,197842,1005008,8/04/2024,924.00,154.00,Stanley -PSHCE,10318,63711,Subscriptions,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED371,Stanley Primary School - 5,INV-3669
LIST,Blackpool Council,Konica Minolta Business (Uk) Ltd,197844,1000277,3/04/2024,"1,968.30",328.05,Bispham Endowed -Reprographics,10017,63305,Photocopying Charges,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED031,Bispham Endowed C Of E Primary - 5,1168838223
LIST,Blackpool Council,Automated Systems Group Limited,198708,1004651,4/04/2024,981.39,163.56,Moor Park -Office,90000,63305,VAT ADJUSTMENT,Not Applicable - 1,NA,NA,Schools - Delegated - 3,NA,Not Applicable - 5,0644815
LIST,Blackpool Council,Humly North West Limited,198785,1001787,3/04/2024,"2,367.00",394.50,Bispham Endowed -Supply Costs,10024,60794,Supply Teaching,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED031,Bispham Endowed C Of E Primary - 5,59444
LIST,Blackpool Council,Arbor Education Partners Ltd,198880,1003114,3/04/2024,"6,214.32","1,035.72",Stanley -Ict Maintenance,10328,63711,Subscriptions,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED371,Stanley Primary School - 5,INV202418062
LIST,Blackpool Council,North Liverpool Construction Ltd (Fac067),198926,1003477,8/04/2024,"2,542.06",423.68,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,130812
LIST,Blackpool Council,North Liverpool Construction Ltd (Fac067),198931,1003477,8/04/2024,425.66,70.94,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,130810
LIST,Blackpool Council,Stannah Lift Services Ltd,198962,1000811,19/04/2024,"2,202.78",367.13,Csdp,20443,65401,Major Contractual Works,Non-Repairs - 1,HRASEC,HBA,General Management - 3,HBA2,General Management - 5,1085645361
LIST,Blackpool Council,North Liverpool Construction Ltd (Fac067),198963,1003477,8/04/2024,794.66,132.44,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,130811
LIST,Blackpool Council,Integrity Print Ltd,199016,1003357,2/04/2024,"2,272.32",378.72,Administration - Car Parks,60042,63302,Stationery,Budgets Outside Cash Limits - 1,BUDOCL,PARADM,Parking Administration - 3,PARADM2,Parking Administration - 5,1368428
