Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference,Unique Reference
Blackpool Council,Lake View Rest Homes Ltd - Lakeview Lodge,350238,1000273,01/11/2024,"1,354.92",0,Respite Care,20226,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734249,1.00027E+18
Blackpool Council,Nightingales Care Limited,350240,1000201,01/11/2024,"23,769.99",0,Short Term Care,20225,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734250I,1000201350240734250I
Blackpool Council,Red Oak Rest Home,350241,1000152,01/11/2024,"3,815.25",0,Short Term Care,20429,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734251,1.00015E+18
Blackpool Council,Pro Care Homes (Blackpool) Ltd - Moor Villa,350242,1007934,01/11/2024,"1,784.61",0,Short Term Care,20288,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734252,1.00793E+18
Blackpool Council,Acorn Nursing Home,350243,1000494,01/11/2024,"1,978.28",0,Short Term Care,20356,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734253,1.00049E+18
Blackpool Council,Acorn Nursing Home,350244,1000494,01/11/2024,"7,118.23",0,Nursing Placements,20374,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734254,1.00049E+18
Blackpool Council,Haddon Court Rest Home,350245,1000489,01/11/2024,"5,528.99",0,Residential Placements,20220,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734255,1.00049E+18
Blackpool Council,Susash Blackpool Ltd - Carlin Lodge,350246,1003846,01/11/2024,"2,217.75",0,Short Term Care,20467,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734256,1.00385E+18
Blackpool Council,Parkview Care Home,350247,1003955,01/11/2024,"2,914.28",0,Short Term Care,20450,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734257,1.00396E+18
Blackpool Council,Blackpool Fylde & Wyre Society For The Blind,350248,1000445,01/11/2024,"2,725.79",0,Short Term Care,20384,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734258,1.00045E+18
Blackpool Council,Lytham Grange Care Home,350249,1005781,01/11/2024,"1,407.38",0,Residential Placements,20232,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734009I,1005781350249734009I
