"Service label","Service code","Organisational unit","Expenditure category","Expenditure code","Date","Transaction number","Amount","Supplier name",
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,23/10/2023,,1516.8,REDACTED,
11,11,Chorley Fostering LCC,Allowances - Fostering General,15040,09/10/2023,,758.4,REDACTED,
11,11,Family Support SGO - Central,Allowances - RO's/SGO's,15033,11/10/2023,,3631.26,REDACTED,
11,11,In House Fostering Mainstream Lancaster,Other Expenses,13547,23/10/2023,,22.02,REDACTED,
11,11,Chorley Fostering LCC,Allowances - Fostering General,15040,23/10/2023,,758.4,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,09/10/2023,,1920.96,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,23/10/2023,,1920.96,REDACTED,
11,11,Family Support SGO -North,Allowances - RO's/SGO's,15033,11/10/2023,,627.52,REDACTED,
11,11,Adoption - General,Allowances - Adoption,15035,10/10/2023,,521.3,REDACTED,
11,11,Family Support RO - Central,Allowances - RO's/SGO's,15033,11/10/2023,,-70.41,REDACTED,
11,11,Family Support RO - Chorley,Allowances - RO's/SGO's,15033,11/10/2023,,1104.27,REDACTED,
11,11,Family Support SGO - Chorley,Allowances - RO's/SGO's,15033,11/10/2023,,1736.45,REDACTED,
11,11,Family Support RO - Burnley,Allowances - RO's/SGO's,15033,11/10/2023,,810.88,REDACTED,
11,11,Family Support RO - Pendle,Allowances - RO's/SGO's,15033,11/10/2023,,810.88,REDACTED,
11,11,Chorley Fostering LCC,Allowances - Fostering General,15040,09/10/2023,,4718.8,REDACTED,
11,11,Chorley Fostering LCC,Allowances - Fostering General,15040,23/10/2023,,4718.8,REDACTED,
11,11,Family Support SGO - Pendle,Allowances - RO's/SGO's,15033,11/10/2023,,1585.88,REDACTED,
11,11,Family Support RO - Chorley,Allowances - RO's/SGO's,15033,11/10/2023,,833.74,REDACTED,
11,11,Adoption - General,Allowances - Adoption,15035,10/10/2023,,780.87,REDACTED,
11,11,Family Support RO - Pendle,Allowances - RO's/SGO's,15033,11/10/2023,,1033.86,REDACTED,
11,11,Family Support SGO - Pendle,Allowances - RO's/SGO's,15033,11/10/2023,,1621.76,REDACTED,
11,11,Family Support RO - Central,Allowances - RO's/SGO's,15033,11/10/2023,,719.42,REDACTED,
11,11,Family Support SGO - Fylde,Allowances - RO's/SGO's,15033,11/10/2023,,810.88,REDACTED,
11,11,Burnley Fostering LCC,Travelling Expenses Refunded,12103,09/10/2023,,65.8,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,09/10/2023,,1157.7,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,23/10/2023,,1157.7,REDACTED,
11,11,Chorley Fostering LCC,Travelling Expenses Refunded,12103,09/10/2023,,248.63,REDACTED,
11,11,Chorley Fostering LCC,Allowances - Fostering General,15040,09/10/2023,,2275.2,REDACTED,
11,11,Chorley Fostering LCC,Travelling Expenses Refunded,12103,23/10/2023,,491.62,REDACTED,
11,11,Chorley Fostering LCC,Allowances - Fostering General,15040,23/10/2023,,2275.2,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,09/10/2023,,994.48,REDACTED,
11,11,Burnley Fostering LCC,Allowances - Fostering General,15040,23/10/2023,,994.48,REDACTED,
11,11,Family Support SGO - Burnley,Allowances - RO's/SGO's,15033,11/10/2023,,997.98,REDACTED,
11,11,Fylde Fostering LCC,Allowances - Fostering Additional,15039,09/10/2023,,460,REDACTED,
11,11,Fylde Fostering LCC,Allowances - Fostering General,15040,09/10/2023,,318,REDACTED,
11,11,Fylde Fostering LCC,Allowances - Fostering General,15040,23/10/2023,,318,REDACTED,
11,11,Chorley Fostering LCC,Allowances - Fostering Birthday,15037,23/10/2023,,175,REDACTED,
11,11,Fylde Fostering LCC,Allowances - Fostering Birthday,15037,23/10/2023,,159,REDACTED,
11,11,Family Support SGO -North,Allowances - RO's/SGO's,15033,11/10/2023,,810.88,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/10/2023,,706.42,REDACTED,
11,11,Family Support SGO -North,Allowances - RO's/SGO's,15033,11/10/2023,,696.4,REDACTED,
11,11,Family Support SGO -North,Allowances - RO's/SGO's,15033,11/10/2023,,668.71,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/10/2023,,686.56,REDACTED,
11,11,Family Support RO - North,Allowances - RO's/SGO's,15033,11/10/2023,,1479.59,REDACTED,
11,11,Adoption - General,Allowances - Adoption,15035,10/10/2023,,1711.23,REDACTED,
11,11,Family Support SGO - Central,Allowances - RO's/SGO's,15033,11/10/2023,,1449.17,REDACTED,
11,11,CWD Agency Direct Payments - NORTH,Direct Payments-Personal Care,15029,19/10/2023,,335.7,REDACTED,
11,11,CWD Agency Direct Payments - NORTH,Direct Payments-Personal Care,15029,19/10/2023,,428.4,REDACTED,
11,11,CWD Agency Direct Payments - NORTH,Direct Payments-Personal Care,15030,19/10/2023,,223.8,REDACTED,
11,11,Chorley Fostering LCC,Allowances - Fostering General,15040,09/10/2023,,994.48,REDACTED,
11,11,Chorley Fostering LCC,Allowances - Fostering General,15040,23/10/2023,,994.48,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/10/2023,,704.59,REDACTED,
11,11,Family Support SGO - Central,Allowances - RO's/SGO's,15033,11/10/2023,,3394.09,REDACTED,
11,11,CLA Work Placements,Clients Needs,13192,31/10/2023,,400,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/10/2023,,1707.49,REDACTED,
11,11,Family Support SGO - Central,Allowances - RO's/SGO's,15033,11/10/2023,,1479.59,REDACTED,
11,11,CWD Agency Direct Payments - SOUTH,Direct Payments-Personal Care,15030,19/10/2023,,939.96,REDACTED,
11,11,CWD Agency Direct Payments - SOUTH,Direct Payments-Personal Care,15029,19/10/2023,,201.42,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/10/2023,,1621.76,REDACTED,
11,11,Family Support SGO - Central,Allowances - RO's/SGO's,15033,11/10/2023,,385.99,REDACTED,
11,11,Family Support SGO -North,Allowances - RO's/SGO's,15033,11/10/2023,,881.29,REDACTED,
11,11,Family Support RO - Central,Allowances - RO's/SGO's,15033,11/10/2023,,810.88,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/10/2023,,668.71,REDACTED,
