UID,Council,Contract Status,Name,Classification,Route to Market,Contract Type Detail,Start Date,End Date,Maximum Extension Date,Annual Contract Value (average),Value,Supplier Name,Company Registration Number,Postal Code,Supplier Type,Customer Name
6373, Trafford Borough Council,Live (On-going),"Call-off from AGMA: Electoral Management System (AGMA Framework, led by Trafford ReProcure of UID 1608)",271440 - Information Communication Technology - Software,Call Off (Internal), Call-off Contract,08/01/2019,07/01/2023,07/01/2025,"�23,000.00","�69,958.32",Various Suppliers,-,Various,-,"STAR, Trafford Borough Council, TRAFF - Adults' Services, TRAFF - Children's Services, TRAFF - Children, Families and Wellbeing, TRAFF - Finance and Systems, TRAFF - Governance and Community Strategy, TRAFF - Integrated Commissioning, TRAFF - Place, TRAFF - Strategy and Resources"
9545, Trafford Borough Council,Live (One Off),Davyhulme Primary School Expansion Works,"390000 - Works - Construction, Repair & Maintenance",Mini Competition (External), Contract,01/11/2022,30/06/2023,30/06/2023,"�2,455,000.00","�392,069.70",Warden Construction Limited,-,PR4 2HU,-,"STAR, TRAFF - Children's Services"
11715, Trafford Borough Council,Live (On-going),NFC126/EA21 Hardware for Local Authorities,271200 - Information Communication Technology - Hardware,Procured by Other, Call-off Contract,01/12/2021,30/11/2023,-,"�92,000.00","�92,000.00",Specialist Computer Centres Plc (SCC),1428210,B11 2LE,-,"STAR, TRAFF - Finance and Systems"
10689, Trafford Borough Council,Live (On-going),Trafford Carers Centre,321000 - Social Community Care Supplies & Services - Adult,OJEU Tender, Contract,01/04/2022,31/03/2025,31/03/2027,"�454,300.00","�2,271,500.00",Trafford Carers Centre,4695523, M33 7XX,-,"STAR, TRAFF - Adults' Services"
9651, Trafford Borough Council,Live (One Off),Enabling Works at The Former Sale Magistrates Court,"390000 - Works - Construction, Repair & Maintenance",Procured by Other, Contract,01/03/2022,28/02/2023,-,N/A,"�146,427.00",J Freeley Ltd,-,M28 3QN,-,"Trafford Borough Council, TRAFF - Place"
11774, Trafford Borough Council,Live (On-going),AVC Salary Sacrifice Scheme,271430 - Information Communication Technology - Software - Commercial Off-The-Shelf,Call Off (External), Call-off Contract,01/05/2022,30/04/2026,30/04/2026,"�25,000.00","�100,000.00",SME HCI Limited (trading as Vivup),-,RM2 5SH,-,"STAR, TRAFF - Strategy and Resources"
11734, Trafford Borough Council,Live (On-going),Mobile Voice & Data Services,271800 - Information Communication Technology - Telecommunications - Mobile,Call Off (External), Call-off Contract,01/05/2022,30/04/2024,-,"�121,000.00","�322,000.00",BT Plc,2216369,EC1A 7AJ,-,"STAR, TRAFF - Finance and Systems"
11784, Trafford Borough Council,Live (On-going),eDesigner,271501 - Information Communication Technology - Services,Exemption, No Contract,31/03/2022,30/03/2024,-,,"�70,000.00",IEG4 Ltd,5733146,SK9 7RR,-,"STAR, TRAFF - Finance and Systems"
11765, Trafford Borough Council,Live (On-going),Microsoft Enterprise Subscription Renewal (ESA),"270000 - Information Communication Technology, 271440 - Information Communication Technology - Software, 271430 - Information Communication Technology - Software - Commercial Off-The-Shelf",Call Off (External), Call-off Contract,01/07/2022,30/06/2025,-,"�992,297.04","�2,707,940.00",Phoenix Software Ltd,2548628,KT22 7TW,-,"STAR, Trafford Borough Council, TRAFF - Finance and Systems"
11907, Trafford Borough Council,Live (One Off),Ukraine Environmental Support Officer,260000 - Human Resources,RBS - Low - Quick Quote, Contract,12/07/2022,12/01/2023,-,"�42,000.00","�42,000.00",Vivid Resourcing Limited,-,M2 1EW,-,"STAR, TRAFF - Place"
