DIRECTORATE,SECTION,DIVISION,VENDOR_NAME,VENDOR_SITE_ID,PAYMENT_DATE,VOUCHER_NO,AMOUNT,IRRECOVERABLE VATE,PURPOSE_OF_SPEND,PROCUREMENT_CLASSIFICATION
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,09/03/2023,4186220,"1,160.55",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,09/03/2023,4185809,"1,234.96",0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,385453,28/03/2023,4211485,663.64,0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,577454,28/03/2023,4212538,"1,508.60",0.00,N/A,N/A
People Services - Adults and Health,Shared Lives,Community Support,REDACTED - PERSONAL DATA,1115469,14/03/2023,4187402,834.40,0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Community Support,REDACTED - PERSONAL DATA,175332,28/03/2023,4212668,765.28,0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,909469,28/03/2023,4211544,"1,224.88",0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,1519494,28/03/2023,4211946,802.32,0.00,N/A,N/A
People Services - Adults and Health,Mental Health Support,Mental Health,REDACTED - PERSONAL DATA,1599469,28/03/2023,4212327,847.24,0.00,N/A,N/A
People Services - Adults and Health,Mental Health Support,Mental Health,REDACTED - PERSONAL DATA,1202470,28/03/2023,4212172,"1,179.32",0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,2075479,28/03/2023,4212291,"2,271.04",0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,2075479,09/03/2023,4186528,"2,271.04",0.00,N/A,N/A
