DCC Supplier Payments Over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBYSHIRE COUNTY COUNCIL BRACKENFIELD SEND SCHOOL,02/07/2024,00113813,481792,"1,890.00",Pupil Premium Grant,40 - SME,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Culture, Business Development & Tourism",ENTERTAINERS SHOW PROVIDERS LTD,02/07/2024,00114829,481794,"12,541.89",Derby Live - Presented,10 - Company,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,CENTRAL CO-OPERATIVE LEARNING TRUST JOHN OF ROLLESTON PRIMARY SCHOOL,02/07/2024,00114639,481799,"2,100.00",Pupil Premium Grant,20 - Public/Government Agency,Public/Government Agency
Communities & Place,Communities,Strategic Housing,Housing and Advice,HEARTHFIRE PROPERTY INVESTMENTS LTD,02/07/2024,00114912,481800,665.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ICE HOTELS LTD T/A TYGER INN,02/07/2024,00114826,481808,"2,240.00",Housing Options (Private),10 - Company,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,ICE HOTELS LTD T/A TYGER INN,02/07/2024,00114826,481818,"2,640.00",Housing Options (Private),10 - Company,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,REDACTED,02/07/2024,00114704,481834,840.00,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,REDACTED,02/07/2024,00114704,481837,840.00,Housing Options (Private),60 - Sole Trader,Sole Trader
People Services - Children & Young People,Non-Schools,Integrated Services,Fostering,REDACTED,02/07/2024,00114945,481874,997.80,D2N2 - Marketing,60 - Sole Trader,Sole Trader
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,TETRA TECH LIMITED,02/07/2024,00114805,481875,818.91,Casualty Reduction: Osmaston Park Road/Portland Street,10 - Company,Company
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,Digital Enablement & Automation,Digital Services,CDW LTD,02/07/2024,00114191,481878,"16,934.84",IT Infrastructure,10 - Company,Company
People Services - Adults and Health,Adult Social Care,Mental Health,Social Care Activities,TRISHGANGOLLI LTD,02/07/2024,00114238,481880,586.50,Deprivation Of Liberty Safeguards,40 - SME,SME
Communities & Place,City Sustainability,Traffic & Transportation,Traffic and Transport other,TETRA TECH LIMITED,02/07/2024,00114805,481882,"1,891.39",Clean Air Zone,10 - Company,Company
Communities & Place,City Growth & Vibrancy,Regeneration and Economic Growth,Economic Growth,SOCIAL VENTURES PARTNERSHIP C.I.C.,02/07/2024,00114999,481883,"20,000.00",Ascend Revenue,10 - Company,Company
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,"Accommodation, Facilities and H&S",Cleaning & Caretaking,BUNZL CLEANING AND HYGIENE SUPPLIES,02/07/2024,00113798,481885,725.45,Cleaning Operating Account,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Grounds Maintenance,HENTON AND CHATTELL LTD,02/07/2024,00113855,481889,556.70,Grounds Maintenance,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Grounds Maintenance,HENTON AND CHATTELL LTD,02/07/2024,00113855,481890,527.10,Grounds Maintenance Derby Homes,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,HARTSHORNE MOTOR SERVICES LTD,02/07/2024,00113900,481896,511.24,Vehicle Maintenance,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,SUNBELT RENTALS LIMITED,02/07/2024,00114454,481904,553.15,Highways Maintenance Works,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,PARTSPLUS,02/07/2024,00114466,481911,558.52,Vehicle Maintenance,10 - Company,Company
People Services - Adults and Health,Adult Social Care,Mental Health,Social Care Activities,TRISHGANGOLLI LTD,02/07/2024,00114238,481915,559.00,Deprivation Of Liberty Safeguards,40 - SME,SME
People Services - Children & Young People,Non-Schools,Directorate Budgets,Management Team,THE ADCS LTD,02/07/2024,00114001,481919,911.00,Central Budget,10 - Company,Company
Corporate,Corporate,Corporate,Corporate Resources Other,MATRIX SCM LTD,02/07/2024,00113999,481924,"127,626.35",Temporary Workers Control A/C,10 - Company,Company
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,EAGLE CITY CARS,02/07/2024,00113979,481935,"1,649.00",Home To School Transport - SEN,60 - Sole Trader,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,EAGLE CITY CARS,02/07/2024,00113979,481936,"1,105.00",Home To School Transport - SEN,60 - Sole Trader,Sole Trader
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,02/07/2024,00115011,481940,600.00,Legal Fees,10 - Company,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,HEARTHFIRE PROPERTY INVESTMENTS LTD,02/07/2024,00114912,481941,"5,500.00",Housing Options (Private),40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Grounds Maintenance,HENTON AND CHATTELL LTD,02/07/2024,00113855,481948,"5,852.08",Grounds Maintenance,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Grounds Maintenance,HGV DIRECT,02/07/2024,00113869,481949,950.00,Grounds Maintenance,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,RAVENSWOOD RESIDENTIAL CARE,02/07/2024,00113836,482047,539.97,Ordinary Lives LD (under 65) - R/N,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,NEWLANDS HOUSE,02/07/2024,00113829,482048,528.00,Ordinary Lives PD Support (under 65) - R/N,40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,WHITEHOUSE CONSTRUCTION CO LTD,02/07/2024,00113791,482056,"9,080.76",Duffield Road/Broadway,40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,WHITEHOUSE CONSTRUCTION CO LTD,02/07/2024,00113791,482058,"29,058.08",Osmaston Road/Harvey Road,40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,FOSSE CONTRACTS LTD,02/07/2024,00114089,482087,811.20,Tennis Court Improvements,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,REDACTED,02/07/2024,00114292,482090,713.84,Central/East MH Support - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
