Directorate,PROCESSING DATE,MERCHANT NAME,GROSS AMOUNT,MERCHANT CATEGORY CODE DESCRIPTION
Derby Homes,28/06/2023,PREMIER INN,£885.36,PREMIER INN
Derby Homes,03/07/2023,TRAVELODGE,£365.11,TRAVELODGE
Derby Homes,03/07/2023,TRAVELODGE,£704.74,TRAVELODGE
Derby Homes,03/07/2023,PREMIER INN,£377.96,PREMIER INN
Derby Homes,03/07/2023,T Q HOTELS LIMITED,-£150.00,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Communities and Place,18/05/2023,CITROEN DERBY,£118.80,"AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING"
Communities and Place,19/05/2023,DVSA,£41.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
Communities and Place,25/05/2023,NISSAN DERBY,£140.27,"AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING"
Communities and Place,25/05/2023,DERBY.GOV.UK,£35.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
Communities and Place,25/05/2023,NISSAN DERBY,£557.06,"AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING"
Communities and Place,01/06/2023,TIMPSON LTD,£20.00,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Communities and Place,07/06/2023,DERBY.GOV.UK,£35.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
Communities and Place,20/06/2023,THE RANGE,£14.00,SUNDRY HOUSE FURNISHING SPECIALTY SHOPS
Communities and Place,27/06/2023,DVLA DUPLICATE V5C MID,£25.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
Communities and Place,27/06/2023,DVLA DUPLICATE V5C MID,£25.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
Communities and Place,03/07/2023,DVSA,£13.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,11/04/2023,PREMIER INN,62.90,PREMIER INN
People Services,15/05/2023,PREMIER INN,£54.40,PREMIER INN
Derby Homes,12/04/2023,HOLIDAY INNS,490.94,HOLIDAY INNS
Derby Homes,14/04/2023,KINGS HIGHWAY,449.50,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,14/04/2023,TRAVELODGE,604.68,TRAVELODGE
Derby Homes,14/04/2023,TRAVELODGE,256.99,TRAVELODGE
Derby Homes,14/04/2023,THE GEORGIAN HOUSE HOT,525.00,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,17/04/2023,PREMIER INN,212.00,PREMIER INN
Derby Homes,17/04/2023,PREMIER INN,419.00,PREMIER INN
Derby Homes,18/04/2023,BLUE JAY,249.61,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,24/04/2023,HOTEL AT BOOKING.COM,349.00,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,04/05/2023,TRAVELODGE,£697.94,TRAVELODGE
Derby Homes,15/05/2023,PREMIER INN,£187.85,PREMIER INN
Derby Homes,15/05/2023,PREMIER INN,£604.93,PREMIER INN
Derby Homes,15/05/2023,KINGS HIGHWAY,£166.50,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,18/05/2023,TRAVELODGE,£421.15,TRAVELODGE
Derby Homes,18/05/2023,TRAVELODGE,£496.63,TRAVELODGE
Derby Homes,18/05/2023,LEONARDO HTL DERBY ECO,£269.00,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,19/05/2023,THE GEORGIAN HOUSE HO,"£1,000.00","EATING PLACES, RESTAURANTS"
Derby Homes,19/05/2023,PREMIER INN,£74.00,PREMIER INN
Derby Homes,19/05/2023,BEECHWOOD PARK,£840.00,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,19/05/2023,TRAVELODGE,£732.13,TRAVELODGE
Derby Homes,19/05/2023,IBIS HOTEL - DERBY,£283.60,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,22/05/2023,PREMIER INN,£577.00,PREMIER INN
Derby Homes,22/05/2023,PREMIER INN,£196.35,PREMIER INN
Derby Homes,22/05/2023,IBIS HOTEL - DERBY,£558.60,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,22/05/2023,TRAVELODGE,£211.07,TRAVELODGE
Derby Homes,22/05/2023,HOLIDAY INNS,£114.99,HOLIDAY INNS
Derby Homes,22/05/2023,PREMIER INN,£67.00,PREMIER INN
Derby Homes,15/06/2023,T Q HOTELS LIMITED,£350.00,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,19/06/2023,PREMIER INN,£74.00,PREMIER INN
Derby Homes,19/06/2023,THE GEORGIAN HOUSE HO,£875.00,"EATING PLACES, RESTAURANTS"
Derby Homes,19/06/2023,PREMIER INN,£630.93,PREMIER INN
Derby Homes,19/06/2023,IBIS HOTEL - DERBY,£558.60,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,19/06/2023,LEONARDO HTL DERBY ECO,£215.00,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,26/06/2023,IBIS HOTEL - DERBY,£425.40,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,26/06/2023,PREMIER INN,£681.93,PREMIER INN
Derby Homes,26/06/2023,IBIS HOTEL - DERBY,£558.60,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,26/06/2023,PREMIER INN,£277.97,PREMIER INN
Derby Homes,26/06/2023,PREMIER INN,£700.93,PREMIER INN
Derby Homes,26/06/2023,TRAVELODGE,£779.20,TRAVELODGE
Derby Homes,26/06/2023,IBIS HOTEL - DERBY,£496.30,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,26/06/2023,PREMIER INN,£251.00,PREMIER INN
Derby Homes,26/06/2023,IBIS HOTEL - DERBY,-£850.80,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,26/06/2023,PREMIER INN,£60.35,PREMIER INN
Derby Homes,26/06/2023,PREMIER INN,£444.95,PREMIER INN
Derby Homes,29/06/2023,IBIS HOTEL - DERBY,£519.40,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,30/06/2023,HOLIDAY INNS,£828.94,HOLIDAY INNS
People Services,17/05/2023,ASDA SUPERSTORE,£29.75,"GROCERY STORES, SUPERMARKETS"
People Services,17/05/2023,ASDA SUPERSTORE,£135.41,"GROCERY STORES, SUPERMARKETS"
People Services,22/05/2023,TESCO STORE,£2.50,"GROCERY STORES, SUPERMARKETS"
People Services,22/05/2023,AMZNMKTPLACE AMAZON.CO,£11.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,22/05/2023,WWW.TAKEAWAY.JE,£24.89,DEPARTMENT STORES
People Services,22/05/2023,MCDONALDS 308,£4.29,"EATING PLACES, RESTAURANTS"
People Services,30/05/2023,RINGGO PARKING,£4.31,AUTOMOBILE PARKING LOTS AND GARAGES
People Services,30/05/2023,BURGER KING,£15.21,"EATING PLACES, RESTAURANTS"
People Services,05/06/2023,ASDA SUPERSTORE,£11.80,"GROCERY STORES, SUPERMARKETS"
People Services,05/06/2023,CAVENDISH KEBABS,£19.50,FAST FOOD RESTAURANTS
People Services,05/06/2023,AMZN DIGITAL,£20.00,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,05/06/2023,SAINSBURYS SMKT,£118.63,"GROCERY STORES, SUPERMARKETS"
People Services,05/06/2023,UBER    EATS,£22.44,"EATING PLACES, RESTAURANTS"
People Services,05/06/2023,UBER    EATS,£15.31,"EATING PLACES, RESTAURANTS"
People Services,06/06/2023,ASDA GROCERIES ONLINE,£197.55,"GROCERY STORES, SUPERMARKETS"
People Services,06/06/2023,ASDA GROCERIES ONLINE,-£1.60,"GROCERY STORES, SUPERMARKETS"
People Services,07/06/2023,WWW.ARGOS.CO.UK,£92.98,DEPARTMENT STORES
Corporate Resources,19/06/2023,WWW.ARGOS.CO.UK,£196.95,DEPARTMENT STORES
People Services,15/05/2023,BLUEBELL DAIRY FARM,£39.75,"AMUSEMENT PARKS,CARNIVALS,CIRCUS,FORTUNE TELLERS"
People Services,15/05/2023,MCDONALDS 308,£5.39,"EATING PLACES, RESTAURANTS"
People Services,15/05/2023,MCDONALDS 430,£18.07,FAST FOOD RESTAURANTS
People Services,15/05/2023,MCDONALDS 308,£16.37,"EATING PLACES, RESTAURANTS"
People Services,24/05/2023,AMZNMKTPLACE,£8.75,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,24/05/2023,AMZNMKTPLACE,£37.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,24/05/2023,AMZNMKTPLACE,£9.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,25/05/2023,AMZNMKTPLACE,£9.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,30/05/2023,AMZNMKTPLACE,£23.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,30/05/2023,AMZNMKTPLACE,£28.75,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,05/06/2023,MCDONALDS,£13.17,FAST FOOD RESTAURANTS
People Services,05/06/2023,BLUEBELL DAIRY FARM,£9.95,"AMUSEMENT PARKS,CARNIVALS,CIRCUS,FORTUNE TELLERS"
People Services,05/06/2023,BLUEBELL DAIRY FARM,£49.00,"AMUSEMENT PARKS,CARNIVALS,CIRCUS,FORTUNE TELLERS"
People Services,30/06/2023,DERBY LIVE,£40.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,30/06/2023,TICKETS 93746080,£78.50,"THEATRICAL PRODUCERS(EXCL MOTION PIX),TICKET AGNCY"
Communities and Place,19/04/2023,HOMEBASE LTD 475,60.97,HOME SUPPLY WAREHOUSE STORES
Corporate Resources,12/04/2023,IKEA LTD SHOP ONLINE,116.00,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)"
Corporate Resources,12/04/2023,SILLY SIDS,250.00,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)"
Corporate Resources,12/04/2023,WWW.ARGOS.CO.UK,15.95,DEPARTMENT STORES
Corporate Resources,12/04/2023,ASDA GEORGE COM LEEDS,97.00,"GROCERY STORES, SUPERMARKETS"
Corporate Resources,13/04/2023,ASDA GEORGE COM LEEDS,-4.50,"GROCERY STORES, SUPERMARKETS"
Corporate Resources,19/04/2023,ASDA GEORGE COM LEEDS,-46.50,"GROCERY STORES, SUPERMARKETS"
Corporate Resources,24/04/2023,ASDA GEORGE COM LEEDS,-46.00,"GROCERY STORES, SUPERMARKETS"
Corporate Resources,25/04/2023,WWW.ARGOS.CO.UK,127.95,DEPARTMENT STORES
Corporate Resources,27/04/2023,WWW.ARGOS.CO.UK,-12.00,DEPARTMENT STORES
Corporate Resources,02/05/2023,WWW.ARGOS.CO.UK,118.00,DEPARTMENT STORES
Corporate Resources,10/05/2023,WWW.ARGOS.CO.UK,-£33.00,DEPARTMENT STORES
Corporate Resources,30/05/2023,WWW.ARGOS.CO.UK,£151.95,DEPARTMENT STORES
Corporate Resources,09/06/2023,WWW.ARGOS.CO.UK,£42.95,DEPARTMENT STORES
Corporate Resources,09/06/2023,SILLY SIDS,£130.00,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)"
Corporate Resources,16/06/2023,WWW.ARGOS.CO.UK,£89.95,DEPARTMENT STORES
People Services,19/04/2023,HM PASSPORT OFFICE,58.50,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,19/04/2023,HM PASSPORT OFFICE,58.50,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,26/04/2023,HM PASSPORT OFFICE,58.50,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,26/04/2023,HM PASSPORT OFFICE,58.50,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,03/05/2023,HM PASSPORT OFFICE,£58.50,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,10/05/2023,DEPARTM-DOM,£15.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,24/05/2023,FCDO,£35.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,24/05/2023,GEN REGISTER OFFICE,£22.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,24/05/2023,FCDO,£125.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,07/06/2023,DVLA DRIVER ONLINE,£34.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,07/06/2023,HM PASSPORT OFFICE,£58.50,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,21/06/2023,GEN REGISTER OFFICE,£14.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,28/06/2023,HM PASSPORT OFFICE,£53.50,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,28/06/2023,HM PASSPORT OFFICE,£58.50,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,28/06/2023,HM PASSPORT OFFICE,£53.50,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,28/06/2023,HM PASSPORT OFFICE,£53.50,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,28/06/2023,HM PASSPORT OFFICE,£58.50,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,28/06/2023,HM PASSPORT OFFICE,£87.50,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,28/06/2023,GEN REGISTER OFFICE,£11.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,29/06/2023,STAFFORDSHIRE COUNTY C,£33.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,05/04/2023,TESCO STORES 2404,10.49,"GROCERY STORES, SUPERMARKETS"
People Services,05/04/2023,AMZNMKTPLACE AMAZON.CO,56.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,05/04/2023,AMZNMKTPLACE AMAZON.CO,18.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,06/04/2023,AMZNMKTPLACE AMAZON.CO,34.00,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,06/04/2023,AMZNMKTPLACE AMAZON.CO,37.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,06/04/2023,AMZNMKTPLACE AMAZON.CO,39.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,06/04/2023,AMZNMKTPLACE AMAZON.CO,45.53,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,06/04/2023,AMZNMKTPLACE AMAZON.CO,35.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,11/04/2023,SAINSBURYS S/MKTS,58.64,"GROCERY STORES, SUPERMARKETS"
People Services,11/04/2023,SAINSBURYS S/MKTS,20.64,"GROCERY STORES, SUPERMARKETS"
People Services,11/04/2023,SAINSBURYS S/MKTS,4.50,"GROCERY STORES, SUPERMARKETS"
People Services,11/04/2023,SAINSBURYS.CO.UK,66.82,"GROCERY STORES, SUPERMARKETS"
People Services,11/04/2023,SAINSBURYS S/MKTS,9.46,"GROCERY STORES, SUPERMARKETS"
People Services,12/04/2023,SAINSBURYS.CO.UK,52.99,"GROCERY STORES, SUPERMARKETS"
People Services,14/04/2023,NATIONAL FOREST ADVENT,30.48,"AMUSEMENT PARKS,CARNIVALS,CIRCUS,FORTUNE TELLERS"
People Services,14/04/2023,ASDA SUPERSTORE,37.65,"GROCERY STORES, SUPERMARKETS"
People Services,17/04/2023,SAINSBURYS S/MKTS,90.52,"GROCERY STORES, SUPERMARKETS"
People Services,17/04/2023,TESCO STORES 2404,7.40,"GROCERY STORES, SUPERMARKETS"
People Services,19/04/2023,TESCO STORES 2404,20.33,"GROCERY STORES, SUPERMARKETS"
People Services,21/04/2023,TESCO STORES 2404,76.02,"GROCERY STORES, SUPERMARKETS"
People Services,25/04/2023,TESCO STORES 2404,52.69,"GROCERY STORES, SUPERMARKETS"
People Services,02/05/2023,SAINSBURYS.CO.UK,74.68,"GROCERY STORES, SUPERMARKETS"
People Services,02/05/2023,GREGGS PLC,3.15,"EATING PLACES, RESTAURANTS"
People Services,05/05/2023,TESCO STORES 2404,£102.98,"GROCERY STORES, SUPERMARKETS"
People Services,09/05/2023,SAINSBURYS.CO.UK,£93.39,"GROCERY STORES, SUPERMARKETS"
People Services,09/05/2023,SAINSBURYS S/MKTS,£15.60,"GROCERY STORES, SUPERMARKETS"
People Services,11/05/2023,SAINSBURYS.CO.UK,£100.50,"GROCERY STORES, SUPERMARKETS"
People Services,12/05/2023,TESCO STORES 2404,£105.98,"GROCERY STORES, SUPERMARKETS"
People Services,15/05/2023,SAINSBURYS.CO.UK,£96.99,"GROCERY STORES, SUPERMARKETS"
People Services,17/05/2023,SAINSBURYS.CO.UK,£113.66,"GROCERY STORES, SUPERMARKETS"
People Services,17/05/2023,SAINSBURYS.CO.UK,£87.13,"GROCERY STORES, SUPERMARKETS"
People Services,22/05/2023,ALDI STORES,£9.93,"GROCERY STORES, SUPERMARKETS"
People Services,22/05/2023,SAINSBURYS S/MKTS,£69.54,"GROCERY STORES, SUPERMARKETS"
People Services,24/05/2023,SAINSBURYS.CO.UK,£73.59,"GROCERY STORES, SUPERMARKETS"
People Services,24/05/2023,SAINSBURYS.CO.UK,£130.46,"GROCERY STORES, SUPERMARKETS"
People Services,26/05/2023,AMZNMKTPLACE,£49.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,26/05/2023,TESCO STORES 2404,£83.58,"GROCERY STORES, SUPERMARKETS"
People Services,26/05/2023,AMZNMKTPLACE,£31.49,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,31/05/2023,SAINSBURYS.CO.UK,£73.73,"GROCERY STORES, SUPERMARKETS"
People Services,31/05/2023,SAINSBURYS.CO.UK,£183.13,"GROCERY STORES, SUPERMARKETS"
People Services,31/05/2023,GULLIVERS WORLD,£8.00,"AMUSEMENT PARKS,CARNIVALS,CIRCUS,FORTUNE TELLERS"
People Services,31/05/2023,SAINSBURYS S/MKTS,£16.15,"GROCERY STORES, SUPERMARKETS"
People Services,02/06/2023,TESCO STORES 2404,£129.05,"GROCERY STORES, SUPERMARKETS"
People Services,05/06/2023,HTTPS://OXYGENFREEJUMP,£22.00,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED)
People Services,05/06/2023,SAINSBURYS.CO.UK,£66.68,"GROCERY STORES, SUPERMARKETS"
People Services,05/06/2023,SAINSBURYS.CO.UK,-£66.68,"GROCERY STORES, SUPERMARKETS"
People Services,07/06/2023,TESCO STORES 2404,£88.39,"GROCERY STORES, SUPERMARKETS"
People Services,07/06/2023,ASDA SUPERSTORE,£44.50,"GROCERY STORES, SUPERMARKETS"
People Services,07/06/2023,ASDA SUPERSTORE,£225.20,"GROCERY STORES, SUPERMARKETS"
People Services,09/06/2023,FARMFOODS 541,£29.65,"GROCERY STORES, SUPERMARKETS"
People Services,12/06/2023,PRIMARK 546,£10.00,FAMILY CLOTHING STORES
People Services,12/06/2023,TESCO STORES 2404,£5.30,"GROCERY STORES, SUPERMARKETS"
People Services,12/06/2023,TESCO STORES 2404,£4.00,"GROCERY STORES, SUPERMARKETS"
People Services,12/06/2023,SAINSBURYS S/MKTS,£34.15,"GROCERY STORES, SUPERMARKETS"
People Services,12/06/2023,SAINSBURYS.CO.UK,£36.62,"GROCERY STORES, SUPERMARKETS"
People Services,14/06/2023,TESCO STORES 2404,£38.38,"GROCERY STORES, SUPERMARKETS"
People Services,14/06/2023,ASDA SUPERSTORE,£15.85,"GROCERY STORES, SUPERMARKETS"
People Services,14/06/2023,ASDA SUPERSTORE,£247.23,"GROCERY STORES, SUPERMARKETS"
People Services,16/06/2023,SAINSBURYS S/MKTS,£48.48,"GROCERY STORES, SUPERMARKETS"
People Services,16/06/2023,B&M 465 - HS DERBY,£9.99,SUNDRY GENERAL MERCHANDISE
People Services,16/06/2023,ARRIVA MIDLANDS LIMITE,£4.00,BUS LINES
People Services,16/06/2023,AMZNMKTPLACE AMAZON.CO,£7.70,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,20/06/2023,TESCO STORES 2404,£100.87,"GROCERY STORES, SUPERMARKETS"
People Services,21/06/2023,AMAZON.CO.UK WV5TI4YL5,£8.72,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,22/06/2023,SAINSBURYS.CO.UK,£178.17,"GROCERY STORES, SUPERMARKETS"
People Services,26/06/2023,TESCO STORES 2404,£13.70,"GROCERY STORES, SUPERMARKETS"
People Services,26/06/2023,TESCO STORES 2404,£4.49,"GROCERY STORES, SUPERMARKETS"
People Services,26/06/2023,HIGH SPEED TRAINING,£351.00,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED
People Services,26/06/2023,SAINSBURYS.CO.UK,£85.70,"GROCERY STORES, SUPERMARKETS"
People Services,26/06/2023,SAINSBURYS.CO.UK,-£1.50,"GROCERY STORES, SUPERMARKETS"
People Services,27/06/2023,AMZNMKTPLACE AMAZON.CO,£3.85,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,28/06/2023,TESCO STORES 2404,£38.88,"GROCERY STORES, SUPERMARKETS"
People Services,29/06/2023,TESCO STORES 2404,£8.59,"GROCERY STORES, SUPERMARKETS"
People Services,30/06/2023,TESCO STORES 2404,£14.79,"GROCERY STORES, SUPERMARKETS"
People Services,30/06/2023,CONKERS,£20.20,"AMUSEMENT PARKS,CARNIVALS,CIRCUS,FORTUNE TELLERS"
People Services,30/06/2023,PARADISE ISLAND (GLASG,£28.00,TOURIST ATTRACTIONS AND EXHIBITS
People Services,03/07/2023,SAINSBURYS S/MKTS,£111.68,"GROCERY STORES, SUPERMARKETS"
People Services,03/07/2023,SAINSBURYS.CO.UK,£49.91,"GROCERY STORES, SUPERMARKETS"
People Services,17/05/2023,HM PASSPORT OFFICE,£155.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,02/06/2023,HM PASSPORT OFFICE,-£155.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
Corporate Resources,25/04/2023,SUMUP   DERBY LIVE,42.50,"THEATRICAL PRODUCERS(EXCL MOTION PIX),TICKET AGNCY"
Corporate Resources,25/04/2023,SUMUP   DERBY LIVE,100.00,"THEATRICAL PRODUCERS(EXCL MOTION PIX),TICKET AGNCY"
Corporate Resources,26/04/2023,TFL BUSINESS BOPS WEB,30.00,"BRIDGE AND ROAD FEES, TOLLS"
People Services,18/04/2023,WWW.AEWMWEB.COM,35.00,"ORGANIZATIONS, MEMBERSHIP-NOT ELSEWHERE CLASSIFIED"
People Services,19/04/2023,AMZNMKTPLACE AMAZON.CO,88.95,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,19/06/2023,AMZNMKTPLACE,£27.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Communities and Place,05/04/2023,MILLETS,129.95,"SPORTS APPAREL, RIDING APPAREL STORES"
Communities and Place,13/06/2023,SIGNGEER LIMITED,£122.53,HARDWARE EQUIPMENT AND SUPPLIES
Communities and Place,16/06/2023,WWW.SCREWFIX.COM,£41.98,"BUILDING MATERIALS, LUMBER STORES"
Communities and Place,19/06/2023,WWW.SCREWFIX.COM,£29.97,"BUILDING MATERIALS, LUMBER STORES"
Communities and Place,28/06/2023,AMZNMKTPLACE,£136.65,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,21/04/2023,B&M 006 - DARLEY,67.51,MISCELLANEOUS GENERAL MERCHANDISE
People Services,25/04/2023,AMZNMKTPLACE,5.48,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,02/05/2023,TVLICENSING.CO.UK,159.00,"CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS"
People Services,15/06/2023,AMZNMKTPLACE AMAZON.CO,£14.24,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,15/06/2023,AMZNMKTPLACE AMAZON.CO,£8.92,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,22/06/2023,TVLICENSING.CO.UK,£159.00,"CONSULTING, MANAGEMENT AND PUBLIC RELATIONS SVCS"
People Services,05/04/2023,GEN REGISTER OFFICE,14.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,08/06/2023,SHEIN.COM,£6.50,MEN'S AND WOMEN'S CLOTHING STORES
People Services,08/06/2023,ASDA SUPERSTORE,£17.20,"GROCERY STORES, SUPERMARKETS"
People Services,12/06/2023,HTTPS://OXYGENFREEJUMP,£17.95,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED)
People Services,12/06/2023,HTTPS://OXYGENFREEJUMP,£35.90,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED)
People Services,12/06/2023,UBER    EATS,£74.69,"EATING PLACES, RESTAURANTS"
People Services,13/06/2023,SINFIN ASDA KFC,£2.49,FAST FOOD RESTAURANTS
People Services,14/06/2023,SHAKIN  IT LIMITED,£11.40,FAST FOOD RESTAURANTS
People Services,14/06/2023,WH SMITH DERBY,£34.28,NEWS DEALERS AND NEWSSTANDS
People Services,14/06/2023,THE WORKS,£15.50,DISCOUNT STORES
People Services,14/06/2023,DERBY HOUSE OF FRASER,£19.98,MEN'S AND WOMEN'S CLOTHING STORES
People Services,14/06/2023,FOOTASYLUM LIMITED,£45.24,SHOE STORES
People Services,15/06/2023,ASDA SUPERSTORE,£34.95,"GROCERY STORES, SUPERMARKETS"
People Services,19/06/2023,ASDA SUPERSTORE,£9.75,"GROCERY STORES, SUPERMARKETS"
People Services,19/06/2023,DOMINO S PIZZA,£25.49,"EATING PLACES, RESTAURANTS"
People Services,20/06/2023,ASDA SUPERSTORE,£15.80,"GROCERY STORES, SUPERMARKETS"
People Services,22/06/2023,SINFIN ASDA KFC,£2.49,FAST FOOD RESTAURANTS
People Services,26/06/2023,ASDA SUPERSTORE,£13.10,"GROCERY STORES, SUPERMARKETS"
People Services,30/06/2023,UBER    TRIP,£5.91,LIMOUSINES AND TAXICABS
People Services,03/05/2023,THE HEADSET STORE,£59.88,TELECOMMUNICATION EQUIPMENT INCL TELEPHONE SALES
Derby Homes,04/04/2023,TRAVELODGE,461.97,TRAVELODGE
Derby Homes,04/04/2023,HOLIDAY INNS,306.97,HOLIDAY INNS
Derby Homes,04/04/2023,KINGS HIGHWAY,530.06,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,04/04/2023,HOLIDAY INNS,306.97,HOLIDAY INNS
Derby Homes,05/04/2023,THE GEORGIAN HOUSE HOT,525.00,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,05/04/2023,TRAVELODGE,495.03,TRAVELODGE
Derby Homes,06/04/2023,PREMIER INN,529.93,PREMIER INN
Derby Homes,06/04/2023,KINGS HIGHWAY,448.20,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,06/04/2023,KINGS HIGHWAY,-337.92,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,06/04/2023,PREMIER INN,-74.00,PREMIER INN
