Body Name,Body,Date,Department,Beneficiary,Summary of Purpose (SeRCOP),Amount SUM,Merchant Code,Transaction Number,Supplier ID
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CUSTODIAN GROUP LTD,Childrens Services,630.00,Rents,2324P12_CR00095,151637
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CUSTODIAN GROUP LTD,Childrens Services,630.00,Rents,2324P12_CR00096,151637
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CUSTODIAN GROUP LTD,Childrens Services,630.00,Rents,2324P12_CR00097,151637
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CUSTODIAN GROUP LTD,Childrens Services,630.00,Rents,2324P12_CR00098,151637
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CUSTODIAN GROUP LTD,Childrens Services,630.00,Rents,2324P12_CR00099,151637
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CUSTODIAN GROUP LTD,Childrens Services,630.00,Rents,2324P12_CR00100,151637
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CUSTODIAN GROUP LTD,Childrens Services,630.00,Rents,2324P12_CR00101,151637
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CUSTODIAN GROUP LTD,Childrens Services,630.00,Rents,2324P12_CR00102,151637
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CUSTODIAN GROUP LTD,Childrens Services,630.00,Rents,2324P12_CR00103,151637
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CUSTODIAN GROUP LTD,Childrens Services,630.00,Rents,2324P12_CR00104,151637
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CUSTODIAN GROUP LTD,Childrens Services,630.00,Rents,2324P12_CR00105,151637
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CUSTODIAN GROUP LTD,Childrens Services,630.00,Rents,2324P12_CR00106,151637
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CUSTODIAN GROUP LTD,Childrens Services,630.00,Rents,2324P12_CR00107,151637
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CUSTODIAN GROUP LTD,Childrens Services,630.00,Rents,2324P12_CR00108,151637
