Aug-23,,,,,,,,
Body,Body Name,Effective Date,Transaction Number,Amount,Supplier Name,Supplier Number,Expense Area,Service Area
HCC,Hull City Council,24/08/2023,11257435,£82.40,REDACTED,10075206,Interpretation & Translation Service,Digital & ICT
HCC,Hull City Council,09/08/2023,11330847,£295.65,REDACTED,10075206,Interpretation & Translation Service,Digital & ICT
HCC,Hull City Council,16/08/2023,11358676,£295.65,REDACTED,10075206,Interpretation & Translation Service,Digital & ICT
HCC,Hull City Council,17/08/2023,11358678,£102.20,REDACTED,10075206,Interpretation & Translation Service,Digital & ICT
HCC,Hull City Council,16/08/2023,11358680,£102.20,REDACTED,10075206,Interpretation & Translation Service,Digital & ICT
HCC,Hull City Council,16/08/2023,11408213,£82.70,REDACTED,10075206,Interpretation & Translation Service,Digital & ICT
HCC,Hull City Council,16/08/2023,11408216,£82.70,REDACTED,10075206,Interpretation & Translation Service,Digital & ICT
HCC,Hull City Council,17/08/2023,11409484,£40.67,ABCA SYSTEMS,10054755,Adaptations Major/Minor (non KWL),CAPITAL
HCC,Hull City Council,17/08/2023,11409485,£257.01,ABCA SYSTEMS,10054755,Adaptations Major/Minor (non KWL),CAPITAL
HCC,Hull City Council,24/08/2023,11435420,£230.00,ABCA SYSTEMS,10054755,Adaptations Major/Minor (non KWL),CAPITAL
HCC,Hull City Council,03/08/2023,11358507,"£7,327.07",ABCA SYSTEMS,10054755,Renew Controlled Entry Systems,CAPITAL
HCC,Hull City Council,24/08/2023,11435425,"£2,607.47",ABCA SYSTEMS,10054755,Renew Controlled Entry Systems,CAPITAL
HCC,Hull City Council,03/08/2023,11358508,£126.33,ABCA SYSTEMS,10054755,R&M - Citywide,Neighbourhoods & Housing
HCC,Hull City Council,03/08/2023,11358509,£122.67,ABCA SYSTEMS,10054755,R&M - Citywide,Neighbourhoods & Housing
HCC,Hull City Council,03/08/2023,11358510,£123.07,ABCA SYSTEMS,10054755,R&M - Citywide,Neighbourhoods & Housing
HCC,Hull City Council,03/08/2023,11358511,£136.23,ABCA SYSTEMS,10054755,R&M - Citywide,Neighbourhoods & Housing
HCC,Hull City Council,03/08/2023,11358512,£137.22,ABCA SYSTEMS,10054755,R&M - Citywide,Neighbourhoods & Housing
HCC,Hull City Council,03/08/2023,11358513,£128.13,ABCA SYSTEMS,10054755,R&M - Citywide,Neighbourhoods & Housing
