Proclass,Proclass(T),Supplier,Supplier (T),Directorate(T),Cost Centre,Cost Centre(T),Account Code,Account Code(T),Transaction No,Period,Transaction Date,Amount
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,10317,MH Community Mental Health Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,157.31"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,10317,MH Community Mental Health Team,R1100,Agency Staff,20143074,202311,29/02/2024,980.64
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,10317,MH Community Mental Health Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,180.40"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,10317,MH Community Mental Health Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,355.29"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,10317,MH Community Mental Health Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,295.08"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,10317,MH Community Mental Health Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,459.86"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,10317,MH Community Mental Health Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,611.72"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,10317,MH Community Mental Health Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,611.73"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,10317,MH Community Mental Health Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,355.29"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,Place,10786,Streetpride Area 1,R1100,Agency Staff,20143074,202311,29/02/2024,630.48
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,Place,10786,Streetpride Area 1,R1100,Agency Staff,20143074,202311,29/02/2024,579.42
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,Place,10786,Streetpride Area 1,R1100,Agency Staff,20143074,202311,29/02/2024,630.48
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,Place,10786,Streetpride Area 1,R1100,Agency Staff,20143074,202311,29/02/2024,630.48
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,Place,10786,Streetpride Area 1,R1100,Agency Staff,20143074,202311,29/02/2024,734.84
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,Place,10786,Streetpride Area 1,R1100,Agency Staff,20143074,202311,29/02/2024,782.25
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,Place,10786,Streetpride Area 1,R1100,Agency Staff,20143074,202311,29/02/2024,805.95
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,Place,10786,Streetpride Area 1,R1100,Agency Staff,20143074,202311,29/02/2024,734.84
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,Place,10786,Streetpride Area 1,R1100,Agency Staff,20143074,202311,29/02/2024,505.80
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11355,E & TS Occupational Therapy Service,R1100,Agency Staff,20143074,202311,29/02/2024,"1,007.12"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11355,E & TS Occupational Therapy Service,R1100,Agency Staff,20143074,202311,29/02/2024,"1,007.12"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11355,E & TS Occupational Therapy Service,R1100,Agency Staff,20143074,202311,29/02/2024,"1,007.12"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11788,Housing Options - Homelessness Administration,R1100,Agency Staff,20143074,202311,29/02/2024,588.50
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11788,Housing Options - Homelessness Administration,R1100,Agency Staff,20143074,202311,29/02/2024,782.18
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11788,Housing Options - Homelessness Administration,R1100,Agency Staff,20143074,202311,29/02/2024,782.18
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11788,Housing Options - Homelessness Administration,R1100,Agency Staff,20143074,202311,29/02/2024,621.39
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11788,Housing Options - Homelessness Administration,R1100,Agency Staff,20143074,202311,29/02/2024,782.18
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11788,Housing Options - Homelessness Administration,R1100,Agency Staff,20143074,202311,29/02/2024,782.18
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11788,Housing Options - Homelessness Administration,R1100,Agency Staff,20143074,202311,29/02/2024,507.22
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,456.71"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,444.52"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,353.11"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,206.20"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,347.19"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,729.24
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,444.52"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,279.11"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,279.11"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,279.11"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,729.24
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,495.43"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,206.20"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,206.20"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,206.20"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,206.20"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,456.71"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,495.43"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,347.19"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,279.11"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,456.71"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,353.11"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11374,Initial Contact and Promoting Independence Team,R1100,Agency Staff,20143074,202311,29/02/2024,729.24
