Proclass,Proclass(T),Supplier,Supplier(T) 2,Directorate(T),Cost Centre,Cost Centre(T),Account Code,Account Code(T),Transaction No,Period,Transaction Date,Amount,Comments
320000,Social Community Care Supplies & Services,417203,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126681,202310,07/01/2024,985,
320000,Social Community Care Supplies & Services,417203,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126681,202310,07/01/2024,985,
320000,Social Community Care Supplies & Services,417203,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126681,202310,07/01/2024,985,
320000,Social Community Care Supplies & Services,417203,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126681,202310,07/01/2024,985,
320000,Social Community Care Supplies & Services,407204,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126553,202310,07/01/2024,889.95,
320000,Social Community Care Supplies & Services,407204,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126553,202310,07/01/2024,889.95,
320000,Social Community Care Supplies & Services,407204,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126553,202310,07/01/2024,889.95,
320000,Social Community Care Supplies & Services,407204,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126553,202310,07/01/2024,889.95,
320000,Social Community Care Supplies & Services,427780,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126739,202310,07/01/2024,597.2,
320000,Social Community Care Supplies & Services,427780,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126739,202310,07/01/2024,597.2,
320000,Social Community Care Supplies & Services,427780,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126739,202310,07/01/2024,597.2,
320000,Social Community Care Supplies & Services,427780,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126739,202310,07/01/2024,597.2,
320000,Social Community Care Supplies & Services,406463,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126669,202310,07/01/2024,578.54,
320000,Social Community Care Supplies & Services,406463,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126669,202310,07/01/2024,578.54,
320000,Social Community Care Supplies & Services,406463,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126669,202310,07/01/2024,578.54,
320000,Social Community Care Supplies & Services,406463,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126669,202310,07/01/2024,578.54,
320000,Social Community Care Supplies & Services,412749,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126552,202310,07/01/2024,732.9,
320000,Social Community Care Supplies & Services,412749,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126552,202310,07/01/2024,732.9,
320000,Social Community Care Supplies & Services,412749,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126552,202310,07/01/2024,732.9,
320000,Social Community Care Supplies & Services,412749,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126552,202310,07/01/2024,732.9,
320000,Social Community Care Supplies & Services,407119,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126815,202310,07/01/2024,789.58,
320000,Social Community Care Supplies & Services,407119,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126815,202310,07/01/2024,789.58,
320000,Social Community Care Supplies & Services,407119,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126815,202310,07/01/2024,789.58,
320000,Social Community Care Supplies & Services,407119,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126815,202310,07/01/2024,789.58,
320000,Social Community Care Supplies & Services,423736,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126482,202310,07/01/2024,580,
320000,Social Community Care Supplies & Services,423736,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126482,202310,07/01/2024,580,
320000,Social Community Care Supplies & Services,423736,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126482,202310,07/01/2024,580,
320000,Social Community Care Supplies & Services,423736,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126482,202310,07/01/2024,580,
320000,Social Community Care Supplies & Services,423736,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126482,202310,07/01/2024,580,
320000,Social Community Care Supplies & Services,423736,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126482,202310,07/01/2024,580,
320000,Social Community Care Supplies & Services,423736,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126482,202310,07/01/2024,580,
320000,Social Community Care Supplies & Services,423736,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126482,202310,07/01/2024,580,
320000,Social Community Care Supplies & Services,423736,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126482,202310,07/01/2024,559,
320000,Social Community Care Supplies & Services,423736,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126482,202310,07/01/2024,580,
320000,Social Community Care Supplies & Services,423736,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126482,202310,07/01/2024,580,
320000,Social Community Care Supplies & Services,427404,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126754,202310,07/01/2024,520,
320000,Social Community Care Supplies & Services,427404,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126754,202310,07/01/2024,520,
320000,Social Community Care Supplies & Services,427404,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126754,202310,07/01/2024,520,
320000,Social Community Care Supplies & Services,427404,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126754,202310,07/01/2024,520,
320000,Social Community Care Supplies & Services,406464,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126788,202310,07/01/2024,1809,
