Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,
Reporting Period:   3,,,,,,
Start Date:  28 May 2023,,,,,,
End Date:   24 June 2023,,,,,,
Financial Year:  2023/24,,,,,,
,,,,,,
Entity,Vendor Name,Expenditure Account ,Document Number,Clearing Date,Amount (£),Merchant Category
LONDON UNDERGROUND LTD,BALFOUR BEATTY GROUP LTD,Track General Maintenance,1005\5110280082,31 May 2023,"365,333.57",
TFL CORPORATE,BOXXE LTD,Computer Hardware,1001\5110285027,15 Jun 2023,"364,087.65",
SURFACE TRANSPORT CORP,CSTS LTD,Connect PFI Service Costs,1002\5110272354,07 Jun 2023,"362,591.66",
LONDON UNDERGROUND LTD,EQUANS SERVICES LIMITED,Building Maintenance & Repairs,1005\5110269045,02 Jun 2023,"357,747.15",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110280582,21 Jun 2023,"356,286.71",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110272693,07 Jun 2023,"353,340.95",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF LEWISHAM,Borough Services - Claim Against Pr Yr Accrual,1002\1900075000,09 Jun 2023,"351,050.00",
DOCKLANDS LIGHT RAILWAY,TIFLEX LTD,Maintenance Materials,1012\5110271229,06 Jun 2023,"350,067.76",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110280479,21 Jun 2023,"347,358.05",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF WALTHAM FOREST,Borough Services - Claim Against Pr Yr Accrual,1002\1900074889,06 Jun 2023,"336,680.64",
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES,Track General Maintenance,1005\5110283410,07 Jun 2023,"333,758.94",
TFL CORPORATE,DELOITTE MCS LIMITED ,Management & Support Consultancy,1001\5110275795,14 Jun 2023,"332,175.00",
