Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,
Reporting Period:  8,,,,,,,,,
Start Date: 15 October 2023,,,,,,,,,
End Date: 11 November 2023,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,
,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110337308,18/10/2023,"£500,000.16",,,,
RAIL FOR LONDON LIMITED,Cleshar Contract Services Limited,Maintenance of Plant & Equipment,1020/5110345250,31/10/2023,"£500,000.00",,,,
TTL PROPERTIES LTD,HA MARKS LTD,Building Maintenance & Repairs,1040/5110352039,08/11/2023,"£488,377.29",,,,
LUL NOMINEE SSL LIMITED,COMET FANS SRL A SOCIO UNICO,Exchange Gain Realised,1031/2000111532,08/11/2023,"£478,050.65",,,,
TRANSPORT TRADING LTD,Novacroft Direct Ltd,Cubic Oyster Contract Costs,1004/5110347289,26/10/2023,"£474,808.85",,,,
DOCKLANDS LIGHT RAILWAY,UK Power Networks Services (Co) Ltd,Civil Engineering Construction Works,1012/5110332849,18/10/2023,"£473,024.17",,,,
TRANSPORT TRADING LTD,MITIE FM LIMITED,Security Services (Guards),1004/5110330908,16/10/2023,"£468,378.39",,,,
SURFACE TRANSPORT CORP,EDF Energy,Electricity,1002/5110342767,24/10/2023,"£465,479.60",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110344613,08/11/2023,"£464,962.09",,,,
LONDON UNDERGROUND LTD,Balfour Beatty Group Ltd,MR Construction Costs,1005/5110353671,01/11/2023,"£461,683.83",,,,
TFL CORPORATE,Frankland (UK) Ltd,Building Maintenance & Repairs,1001/5110359131,10/11/2023,"£460,163.33",,,,
LONDON UNDERGROUND LTD,Balfour Beatty Group Ltd,Traction Current,1005/5110337536,19/10/2023,"£452,753.28",,,,
DOCKLANDS LIGHT RAILWAY,RTI LTD,Civil Engineering Construction Works,1012/5110357695,08/11/2023,"£452,472.60",,,,
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110335529,18/10/2023,"£443,765.20",,,,
LONDON UNDERGROUND LTD,KONE PLC,Escalators,1005/5110353123,31/10/2023,"£439,068.68",,,,
RFL (IINFRASTRUCTURE) LTD,EDF Energy,Electricity,1025/1900001787,31/10/2023,"£433,881.02",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110346282,08/11/2023,"£432,930.97",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110345650,08/11/2023,"£430,993.93",,,,
DOCKLANDS LIGHT RAILWAY,Mace Macro Ltd,Franchise/Concession Fixed Fee,1012/5110336622,23/10/2023,"£430,298.16",,,,
SURFACE TRANSPORT CORP,EDF Energy,Electricity,1002/5110343001,24/10/2023,"£413,024.84",,,,
TRANSPORT TRADING LTD,Novacroft Direct Ltd,Manage IT Services,1004/5110347303,23/10/2023,"£409,852.12",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110346347,08/11/2023,"£409,225.28",,,,
LONDON UNDERGROUND LTD,Cleshar Contract Services Limited,Operational Cleaning,1005/5110349555,25/10/2023,"£403,204.32",,,,
TRANSPORT TRADING LTD,GBM Services Limited,Office Cleaning,1004/5110339989,16/10/2023,"£398,832.84",,,,
LONDON UNDERGROUND LTD,NETWORK RAIL INFRASTRUCTURE,National Rail Fixed Track Access Charges,1005/5110343428,01/11/2023,"£397,245.36",,,,
LUL NOMINEE BCV LIMITED,Alstom Engineering & Services LTD,Exchange Loss Realised,1033/101711407,10/11/2023,"£393,399.54",,,,
SURFACE TRANSPORT CORP,GREATER LONDON AUTHORITY ,Section 159 Payments,1002/1900077323,08/11/2023,"£392,323.37",,,,
TFL CORPORATE,BERWIN LEIGHTON PAISNER,Legal Fees,1001/5110353078,01/11/2023,"£391,253.58",,,,
TFL CORPORATE,BOXXE Ltd,Computer Hardware,1001/5110342511,16/10/2023,"£385,900.43",,,,
LONDON UNDERGROUND LTD,GT GetTaxi (UK) Ltd,PCO Outsourced Services,1005/5110346889,23/10/2023,"£383,820.32",,,,
TRANSPORT TRADING LTD,VINCI Construction UK Limited,Building Maintenance & Repairs,1004/5110343664,19/10/2023,"£382,473.09",,,,
TRANSPORT TRADING LTD,PAYCOMPLETE UK LTD,Licence Fees,1004/5110338271,25/10/2023,"£382,008.00",,,,
LUL NOMINEE SSL LIMITED,CIRCET (UK) LIMITED,Civil Engineering Construction Works,1031/5110341249,19/10/2023,"£381,730.57",,,,
LONDON UNDERGROUND LTD,GT GetTaxi (UK) Ltd,PCO Outsourced Services,1005/5110351015,30/10/2023,"£380,123.23",,,,
TRANSPORT TRADING LTD,EDF Energy,Electricity,1004/1901697936,24/10/2023,"£372,705.43",,,,
TRANSPORT TRADING LTD,LONDON BOROUGH OF NEWHAM,Rates,1004/1901698424,01/11/2023,"£372,400.00",,,,
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LITD ,Bus Contract Payments,1006/1900049561,27/10/2023,"£365,517.10",,,,
LONDON UNDERGROUND LTD,TeleFonika Kable SA,Signalling Systems,1005/5110339223,26/10/2023,"£364,051.90",,,,
TFL CORPORATE,MediaEdge:CIA,Management & Support Consultancy,1001/5110344528,26/10/2023,"£361,675.00",,,,
DOCKLANDS LIGHT RAILWAY,CONST. Y AUX. DE FERROCARRILES S.A,Exchange Loss Realised,1012/100048530,06/11/2023,"£359,405.43",,,,
SURFACE TRANSPORT CORP,Kronos Systems Limited,Manage IT Services,1002/5110347963,23/10/2023,"£355,873.32",,,,
