Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,
Reporting Period:  09,,,,,,,,,
Start Date:  12 November 2023,,,,,,,,,
End Date: 09 December 2023,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,
,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,
DOCKLANDS LIGHT RAILWAY,EDF Energy,Electricity,1012/5110366108,23 November 2023,"1,014,686.49",,,,
RAIL FOR LONDON LIMITED,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1020/5110365957,29 November 2023,"1,014,681.61",,,,
SURFACE TRANSPORT CORP,Siemens Traffic Controls,Contracted Services - Roads,1002/5110353837,27 November 2023,"997,834.28",,,,
SURFACE TRANSPORT CORP,Ringway Infrastructure Services Ltd,Road Maintenance,1002/5110368374,06 December 2023,"996,673.03",,,,
RAIL FOR LONDON LIMITED,Octavius Infrastructure Ltd,Civil Engineering Construction Works,1020/5110361906,28 November 2023,"976,816.51",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110353165,22 November 2023,"973,612.16",,,,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,TLL Lease Costs,1005/5110353813,22 November 2023,"972,677.77",,,,
LONDON UNDERGROUND LTD,Cleshar Contract Services Limited,Fences & Vegetation,1005/5110358839,27 November 2023,"961,753.61",,,,
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD ,Bus Contract Payments,1006/1900049709,08 December 2023,"961,188.43",,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006/1900049652,24 November 2023,"939,142.90",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110353146,22 November 2023,"883,044.44",,,,
LONDON UNDERGROUND LTD,Ground Transportation Systems UKLtd,Radio Systems Equipment & Maintenance,1005/5110360310,06 December 2023,"870,173.58",,,,
CYCLE HIRE SCHEME,Serco Ltd,Franchise/Concession Fixed Fee,1016/5110353374,22 November 2023,"866,777.26",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110353970,22 November 2023,"866,615.18",,,,
LUL NOMINEE BCV LIMITED,Siemens Mobility Limited,Signalling Systems,1033/5110350482,15 November 2023,"859,324.29",,,,
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110364855,22 November 2023,"849,431.32",,,,
LONDON UNDERGROUND LTD,MITIE FM LIMITED,Security Services (Guards),1005/5110362561,22 November 2023,"805,167.07",,,,
LONDON UNDERGROUND LTD,UK Power Networks Services (Co) Ltd,Electrical Equipment Maintenance,1005/5110362532,29 November 2023,"804,270.69",,,,
SURFACE TRANSPORT CORP,Kier Highways Ltd t/a TarmacKier JV,Road Maintenance,1002/5110372212,06 December 2023,"801,971.38",,,,
TFL CORPORATE,CAPITA BUSINESS SERVICES LTD,IT Consultancy,1001/5110347954,15 November 2023,"788,328.13",,,,
LONDON BUS SERVICES LTD,Trapeze ITS Switzerland GmbH,Manage IT Services,1006/5110348075,17 November 2023,"784,185.34",,,,
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110357560,16 November 2023,"776,443.58",,,,
SURFACE TRANSPORT CORP,Metropolitan Police Authority,MPS Employment Costs SM,1002/5110361620,06 December 2023,"763,196.89",,,,
LONDON BUS SERVICES LTD,Volker Fitzpatrick Ltd,Infrastructure Maintenance and Repair,1006/5110372264,06 December 2023,"727,850.85",,,,
SURFACE TRANSPORT CORP,Siemens Traffic Controls,Cameras,1002/5110354460,27 November 2023,"702,316.00",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110351311,21 November 2023,"693,111.85",,,,
SURFACE TRANSPORT CORP,Ringway Infrastructure Services Ltd,Road Maintenance,1002/5110372401,06 December 2023,"682,526.73",,,,
LONDON BUS SERVICES LTD,Stagecoach London,Bus Contract Payments,1006/1900049706,08 December 2023,"679,885.69",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110356133,28 November 2023,"677,679.58",,,,
LONDON UNDERGROUND LTD,1stinrail LTD,Track General Maintenance,1005/5110364779,22 November 2023,"674,923.20",,,,
LONDON UNDERGROUND LTD,1stinrail LTD,Track General Maintenance,1005/5110371477,06 December 2023,"662,607.98",,,,
LONDON UNDERGROUND LTD,Balfour Beatty Group Ltd,MR Construction Costs,1005/5110368006,29 November 2023,"660,049.27",,,,
LONDON UNDERGROUND LTD,Equans Services Limited,Fire and Safety Equipment,1005/5110349636,15 November 2023,"652,458.79",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110355108,22 November 2023,"647,753.61",,,,
LONDON UNDERGROUND LTD,Dyer & Butler Ltd,Civil Engineering Construction Works,1005/5110346234,13 November 2023,"640,350.08",,,,
LONDON UNDERGROUND LTD,Telent Technology Services Ltd,Maintenance of Telecommunications Equipment,1005/5110368078,29 November 2023,"606,987.19",,,,
LONDON UNDERGROUND LTD,Schweerbau Gmbh & Co.KG *paid bacs*,Maintenance Materials,1005/5110359616,05 December 2023,"599,354.94",,,,
SURFACE TRANSPORT CORP,LONDON COUNCILS,Taxicard Funding,1002/1900077396,22 November 2023,"598,486.43",,,,
LONDON BUS SERVICES LTD,East London Bus & Coach Company Ltd,Bus Contract Payments,1006/1900049653,24 November 2023,"598,149.92",,,,
TRANSPORT TRADING LTD,LONDON BOROUGH OF SOUTHWARK,Rates,1004/1901699339,29 November 2023,"595,189.00",,,,
LONDON UNDERGROUND LTD,MULALLEY & CO LTD,Civil Engineering Construction Works,1005/5110365067,29 November 2023,"585,176.25",,,,
RFL (IINFRASTRUCTURE) LTD,Siemens Mobility Limited,Signalling Systems,1025/5110348107,14 November 2023,"583,433.00",,,,
SURFACE TRANSPORT CORP,TTC 2000 Limited,CCS Service Contract,1002/5110370527,04 December 2023,"581,065.39",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110353979,22 November 2023,"579,466.28",,,,
LONDON BUS SERVICES LTD,London Transit Limited,Bus Contract Payments,1006/1900049710,08 December 2023,"575,525.15",,,,
TFL CORPORATE,CAPITA BUSINESS SERVICES LTD,IT Consultancy,1001/5110352575,22 November 2023,"575,259.29",,,,
RAIL FOR LONDON LIMITED,Giffen Group Ltd,Infrastructure Maintenance and Repair,1020/5110364857,22 November 2023,"555,913.53",,,,
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110354717,13 November 2023,"547,956.89",,,,
RFL (IINFRASTRUCTURE) LTD,Mott MacDonald Limited,Professional Engineering Services,1025/5110359183,04 December 2023,"529,127.81",,,,
TFL CORPORATE,VCCP Group LLP,Production Artwork And Design For Marketing,1001/5110354455,22 November 2023,"525,000.00",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,IT Consultancy,1002/5110350078,15 November 2023,"516,617.60",,,,
LONDON BUS SERVICES LTD,SULLIVAN BUS & COACH LIMITED,Bus Contract Payments,1006/1900049675,24 November 2023,"516,424.32",,,,
TRANSPORT TRADING LTD,MORGAN SINDALL  PLC,Property Management Fees,1004/5110358837,16 November 2023,"500,772.51",,,,
SURFACE TRANSPORT CORP,Siemens Traffic Controls,Cameras,1002/5110354459,27 November 2023,"498,547.80",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110356812,22 November 2023,"476,461.15",,,,
TRANSPORT TRADING LTD,MITIE FM LIMITED,Security Services (Guards),1004/5110345902,13 November 2023,"470,531.34",,,,
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110357739,15 November 2023,"462,432.42",,,,
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005/5110364229,21 November 2023,"448,412.10",,,,
SURFACE TRANSPORT CORP,London Borough of Barking & Dagenha,Borough Services,1002/1900077068,14 November 2023,"442,039.37",,,,
SURFACE TRANSPORT CORP,P Ducker Systems Ltd,Computer Software,1002/5110374186,08 December 2023,"441,683.60",,,,
RFL (IINFRASTRUCTURE) LTD,EDF Energy,Electricity,1025/1900001814,24 November 2023,"440,100.30",,,,
LONDON UNDERGROUND LTD,KONE PLC,Escalators,1005/5110362783,17 November 2023,"439,068.68",,,,
SURFACE TRANSPORT CORP,EDF Energy,Electricity,1002/5110366119,01 December 2023,"434,912.97",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110355127,22 November 2023,"430,563.72",,,,
DOCKLANDS LIGHT RAILWAY,Mace Macro Ltd,Franchise/Concession Fixed Fee,1012/5110358308,27 November 2023,"430,298.16",,,,
LONDON UNDERGROUND LTD,Dragados S.A.,Civil Engineering Construction Works,1005/5110364035,06 December 2023,"422,067.25",,,,
TRANSPORT TRADING LTD,Novacroft Direct Ltd,Cubic Oyster Contract Costs,1004/5110361933,21 November 2023,"419,906.65",,,,
