Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,
Reporting Period:  13,,,,,,,,,
Start Date:  03 March 2024,,,,,,,,,
End Date: 31 March 2024,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,
,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Variable Fee,1012/5110426303,22 March 2024,"£613,887",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110414525,22 March 2024,"£611,909",,,,
SURFACE TRANSPORT CORP,MITIE FM LIMITED,Security Services (Guards),1002/5110411561,07 March 2024,"£600,894",,,,
SURFACE TRANSPORT CORP,LONDON COUNCILS,Taxicard Funding,1002/1900078510,19 March 2024,"£600,126",,,,
RFL (IINFRASTRUCTURE) LTD,Mott MacDonald Limited,Professional Engineering Services,1025/5110414493,22 March 2024,"£599,120",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110414585,22 March 2024,"£581,060",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110414523,22 March 2024,"£575,357",,,,
SURFACE TRANSPORT CORP,EDF Energy,Electricity,1002/5110418908,22 March 2024,"£558,361",,,,
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110411062,04 March 2024,"£547,957",,,,
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110426974,28 March 2024,"£547,957",,,,
TFL CORPORATE,CAPITA BUSINESS SERVICES LTD,IT Consultancy,1001/5110410262,19 March 2024,"£534,764",,,,
LUL NOMINEE BCV LIMITED,Siemens Mobility Limited,Signalling Systems,1033/5110403030,06 March 2024,"£522,286",,,,
SURFACE TRANSPORT CORP,London Borough of Waltham Forest,Borough Services,1002/1900077841,11 March 2024,"£521,755",,,,
TRANSPORT TRADING LTD,MITIE FM LIMITED,Security Services (Guards),1004/5110409055,22 March 2024,"£521,208",,,,
LONDON UNDERGROUND LTD,Cleshar Contract Services Limited,Fences & Vegetation,1005/5110417335,18 March 2024,"£519,076",,,,
TTL PROPERTIES LTD,CONAMAR BUILDING SERVICES LTD,Building Maintenance & Repairs,1040/5110414475,05 March 2024,"£517,683",,,,
LONDON BUS SERVICES LTD,SULLIVAN BUS & COACH LIMITED,Bus Contract Payments,1006/1900050087,15 March 2024,"£517,557",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110414538,22 March 2024,"£506,003",,,,
SURFACE TRANSPORT CORP,MITIE FM LIMITED,Security Services (Guards),1002/5110411566,07 March 2024,"£505,729",,,,
SURFACE TRANSPORT CORP,Yunex Limited,Contracted Services - Roads,1002/5110409744,18 March 2024,"£504,206",,,,
LUL NOMINEE BCV LIMITED,Siemens Mobility Limited,Signalling Systems,1033/5110411103,11 March 2024,"£501,921",,,,
LONDON UNDERGROUND LTD,1stinrail LTD,Track General Maintenance,1005/5110431837,28 March 2024,"£495,957",,,,
LONDON UNDERGROUND LTD,Cleshar Contract Services Limited,Track General Maintenance,1005/5110420013,22 March 2024,"£486,634",,,,
LONDON UNDERGROUND LTD,Schweerbau Gmbh & Co.KG *paid bacs*,Maintenance Materials,1005/5110406519,12 March 2024,"£483,163",,,,
DOCKLANDS LIGHT RAILWAY,Ground Transportation Systems UKLtd,Signalling Systems,1012/5110422582,12 March 2024,"£473,390",,,,
LONDON UNDERGROUND LTD,KONE PLC,Escalators,1005/5110407833,18 March 2024,"£471,083",,,,
TFL CORPORATE,COMPUTACENTER PLC,Computer Hardware,1001/5110416419,04 March 2024,"£462,385",,,,
LONDON BUS SERVICES LTD,TRUEFORM ENGINEERING LTD,Street Furniture,1006/5110430448,27 March 2024,"£460,315",,,,
SURFACE TRANSPORT CORP,EDF Energy,Electricity,1002/5110418330,08 March 2024,"£459,973",,,,
SURFACE TRANSPORT CORP,MORGAN SINDALL  PLC,Road Maintenance,1002/5110419805,12 March 2024,"£457,746",,,,
TFL CORPORATE,COMPUTACENTER PLC,Manage IT Services,1001/5110412208,20 March 2024,"£448,967",,,,
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006/1900050093,26 March 2024,"£445,511",,,,
DOCKLANDS LIGHT RAILWAY,UK Power Networks Services (Co) Ltd,Civil Engineering Construction Works,1012/5110404151,06 March 2024,"£442,372",,,,
LONDON UNDERGROUND LTD,KONE PLC,Escalators,1005/5110415959,18 March 2024,"£439,069",,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006/1900050132,28 March 2024,"£435,445",,,,
LONDON UNDERGROUND LTD,MTR Corporation (UK) Limited,Civil Engineering Construction Works,1005/5110430172,27 March 2024,"£434,082",,,,
SURFACE TRANSPORT CORP,Yunex Limited,Contracted Services - Roads,1002/5110416464,22 March 2024,"£433,303",,,,
DOCKLANDS LIGHT RAILWAY,Mace Operate Limited,Franchise/Concession Fixed Fee,1012/5110415898,22 March 2024,"£430,298",,,,
