,Payments for Publishing for Invoices paid between 01-AUG-2023 and 31-AUG-2023,,,,,,
AGE CONCERN WIRRAL T/A AGE UK WIRRAL,137008,30-AUG-2023,600.00,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
AGE CONCERN WIRRAL T/A AGE UK WIRRAL,130646,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6161,Social Care Activities,
AGE CONCERN WIRRAL T/A AGE UK WIRRAL,137008,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6161,Social Care Activities,
AINSLEY GOMMON ARCHITECTS,133271,14-AUG-2023,"6,145.00",Capital,C2157,Contractors - Main,
AINSLEY GOMMON ARCHITECTS,137128,30-AUG-2023,"4,500.00",Capital,C2189,Contractors - Main,
AINSLEY GOMMON ARCHITECTS,134739,18-AUG-2023,"9,000.00",Capital,C2189,Contractors - Main,
AINSLEY GOMMON ARCHITECTS,134739,18-AUG-2023,"9,000.00",Capital,C2189,Contractors - Main,
AINSLEY GOMMON ARCHITECTS,133271,14-AUG-2023,"3,780.00",Capital,C2302,Contractors - Main,
AINSLEY GOMMON ARCHITECTS,137128,30-AUG-2023,772.50,Capital,C8219,Contractors - Main,
Airborne Environmental Consultants,131882,04-AUG-2023,930.00,Regeneration & Place,D2020,"Equipment, Furniture & Materials",
AJ & FRIENDS LIMITED,135731,24-AUG-2023,"3,126.00",Adults Care and Health and Strategic Commissioning,E6760,Care Provision,
AJ & FRIENDS LIMITED,135731,24-AUG-2023,"3,736.50",Adults Care and Health and Strategic Commissioning,E6760,Care Provision,
ALAN HIGGINS LIMITED,134740,18-AUG-2023,"5,250.00",Adults Care and Health and Strategic Commissioning,P4201,Hired or Contracted services,
Alcedo Care,132130,07-AUG-2023,"19,000.50",Adults Care and Health and Strategic Commissioning,S6111,Physical Support - Older People (65+),
Alcedo Care,132130,07-AUG-2023,"7,293.60",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
Alcedo Care,132130,07-AUG-2023,"11,456.30",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
Alcedo Care,132130,07-AUG-2023,"4,265.20",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
Alcedo Care,132130,07-AUG-2023,627.40,Adults Care and Health and Strategic Commissioning,S6999,Physical Support - Adults (18-64),
Alcedo Care,132130,07-AUG-2023,"2,489.70",Adults Care and Health and Strategic Commissioning,S6999,Physical Support - Older People (65+),
ALEVE MEDICAL SERVICES LIMITED,134663,17-AUG-2023,"1,596.72",Adults Care and Health and Strategic Commissioning,S2280,Medical Service Provider,
ALEVE MEDICAL SERVICES LIMITED,133376,15-AUG-2023,"1,177.16",Adults Care and Health and Strategic Commissioning,S2280,Medical Service Provider,
ALINE MOBILITY,134815,18-AUG-2023,547.20,Adults Care and Health and Strategic Commissioning,S5130,"Equipment, Furniture & Materials",
ALINE MOBILITY,130647,02-AUG-2023,694.00,Regeneration & Place,D2130,"Repairs, alterations and maintenance",
ALINE MOBILITY,132025,07-AUG-2023,"5,913.72",Capital,C4117,Expenditure on Capital Grants,
ALL ROUND ROOFING SPECIALISTS,130060,01-AUG-2023,-20.00,Regeneration & Place,H7100,Consultants,
ALL ROUND ROOFING SPECIALISTS,130060,01-AUG-2023,-343.08,Regeneration & Place,H7100,Customer and Client Receipts - Vatable,
ALL ROUND ROOFING SPECIALISTS,130060,01-AUG-2023,"10,000.00",Capital,C4215,Expenditure on Capital Loans,
ALLANDALE CARE HOMES LIMITED,137009,30-AUG-2023,"2,472.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,"2,472.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,137009,30-AUG-2023,"2,472.00",Adults Care and Health and Strategic Commissioning,S6141,Mental Health Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,"2,472.00",Adults Care and Health and Strategic Commissioning,S6141,Mental Health Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,"2,128.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,"2,128.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,"2,128.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,"1,444.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,"2,128.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,"2,128.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,"2,128.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,"2,128.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,792.00,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,"2,128.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,922.36,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,"2,128.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,792.00,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,509.14,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,792.00,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,922.36,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,760.00,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,"2,128.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,137009,30-AUG-2023,"1,588.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,792.00,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,"2,472.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,792.00,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,137009,30-AUG-2023,922.36,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,137009,30-AUG-2023,"2,472.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,"2,128.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,792.00,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,792.00,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,792.00,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,"2,472.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,792.00,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,794.57,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,922.36,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,922.36,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,792.00,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,"2,472.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,792.00,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,"1,588.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,792.00,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,"2,128.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLANDALE CARE HOMES LIMITED,130648,02-AUG-2023,"2,472.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ALLIANCE LEISURE SERVICES LIMITED,134668,17-AUG-2023,"176,142.14",Capital,C8025,Miscellaneous,
ALLIANCE UK LIMITED,130451,01-AUG-2023,"1,190.00",Neighbourhood Services,L3950,"Repairs, alterations and maintenance",
ALLIANCE UK LIMITED,136688,29-AUG-2023,680.00,Neighbourhood Services,L3950,"Repairs, alterations and maintenance",
ALLIANCE UK LIMITED,132840,10-AUG-2023,510.00,Neighbourhood Services,L3952,Cleaning & Domestic Supplies,
ALLIANCE UK LIMITED,135400,23-AUG-2023,503.40,Neighbourhood Services,L3952,Cleaning & Domestic Supplies,
ALLIED PUBLICITY SERVICES (MANCHESTER) LIMITED,136689,29-AUG-2023,"2,211.11",Resources,F1120,Hired or Contracted services,
ALTERNATIVE APPROACH,135200,22-AUG-2023,5.41,"Children, Families & Education",E7033,Care Provision,
ALTERNATIVE APPROACH,135200,22-AUG-2023,5.41,"Children, Families & Education",E7033,Care Provision,
ALTERNATIVE APPROACH,135200,22-AUG-2023,5.41,"Children, Families & Education",E7035,Care Provision,
ALTERNATIVE APPROACH,135200,22-AUG-2023,5.41,"Children, Families & Education",E7037,Care Provision,
ALTERNATIVE APPROACH,135200,22-AUG-2023,5.41,"Children, Families & Education",E7038,Care Provision,
ALTERNATIVE APPROACH,135200,22-AUG-2023,"7,484.26","Children, Families & Education",E7080,Care Provision,
ALTERNATIVE APPROACH,135200,22-AUG-2023,"7,571.31","Children, Families & Education",E7080,Care Provision,
ALTERNATIVE APPROACH,135200,22-AUG-2023,"7,600.13","Children, Families & Education",E7080,Care Provision,
ALTERNATIVE APPROACH,135200,22-AUG-2023,"1,221.18","Children, Families & Education",E7080,Care Provision,
ALTERNATIVE APPROACH,135200,22-AUG-2023,"7,571.31","Children, Families & Education",E7080,Care Provision,
ALTERNATIVE APPROACH,135200,22-AUG-2023,"15,321.35","Children, Families & Education",E7080,Care Provision,
ALTERNATIVE APPROACH,135200,22-AUG-2023,"-6,350.13","Children, Families & Education",E7080,Care Provision,
ALTERNATIVE APPROACH,135200,22-AUG-2023,"6,350.13","Children, Families & Education",E7080,Care Provision,
ALTERNATIVE FUTURES LTD,134113,17-AUG-2023,"205,435.67",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
ALTERNATIVE FUTURES LTD,134113,17-AUG-2023,"110,491.55",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Older People (65+),
ALTERNATIVE FUTURES LTD,134941,21-AUG-2023,940.80,Adults Care and Health and Strategic Commissioning,S6131,Learning & Disability Support - Adults (18-64),
ALTERNATIVE FUTURES LTD,134113,17-AUG-2023,"30,342.13",Adults Care and Health and Strategic Commissioning,S6132,Learning & Disability Support - Adults (18-64),
ALTERNATIVE FUTURES LTD,134113,17-AUG-2023,705.60,Adults Care and Health and Strategic Commissioning,S6132,Mental Health Support - Adults (18-64),
ALTERNATIVE FUTURES LTD,134113,17-AUG-2023,"2,430.40",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Adults (18-64),
ALTERNATIVE FUTURES LTD,134113,17-AUG-2023,"3,893.43",Adults Care and Health and Strategic Commissioning,S6141,Learning & Disability Support - Adults (18-64),
ALTERNATIVE FUTURES LTD,134113,17-AUG-2023,"30,093.85",Adults Care and Health and Strategic Commissioning,S6142,Learning & Disability Support - Adults (18-64),
ALTERNATIVE FUTURES LTD,134113,17-AUG-2023,"18,781.65",Adults Care and Health and Strategic Commissioning,S6142,Learning & Disability Support - Older People (65+),
ALTERNATIVE FUTURES LTD,134113,17-AUG-2023,313.60,Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Adults (18-64),
ALTERNATIVE FUTURES LTD,134113,17-AUG-2023,"1,176.00",Adults Care and Health and Strategic Commissioning,S6165,Mental Health Support - Adults (18-64),
AMEY OW LIMITED,133277,14-AUG-2023,"5,352.67",Neighbourhood Services,V1100,Consultants,
AMEY OW LIMITED,137817,31-AUG-2023,"6,620.29",Capital,C5112,Contractors - Main,
AMG Consultancy Services,133041,11-AUG-2023,"2,108.88",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
AMORE SOCIAL CARE LIMITED,137818,31-AUG-2023,909.44,"Children, Families & Education",E6763,Agency Staff,
AMORE SOCIAL CARE LIMITED,137818,31-AUG-2023,909.44,"Children, Families & Education",E6763,Agency Staff,
AMY ROBINSON-CHILDMINDER,136694,29-AUG-2023,"1,039.50","Children, Families & Education",E1170,Services,
AMY'S CHILDMINDING SERVICES-AMY DINSDALE,136696,29-AUG-2023,903.42,"Children, Families & Education",E1170,Services,
ANCHOR CARE HOMES LIMITED (HURST PARK COURT),132658,09-AUG-2023,804.56,Adults Care and Health and Strategic Commissioning,S6142,Memory & Cognition Support - Older People (65+),
ANCHOR CARE HOMES LIMITED (HURST PARK COURT),137821,31-AUG-2023,"2,503.08",Adults Care and Health and Strategic Commissioning,S6142,Memory & Cognition Support - Older People (65+),
ANCHOR CARE HOMES LIMITED (HURST PARK COURT),136697,29-AUG-2023,"2,503.08",Adults Care and Health and Strategic Commissioning,S6142,Memory & Cognition Support - Older People (65+),
ANCHOR CARE HOMES LIMITED (HURST PARK COURT),130468,01-AUG-2023,"5,006.16",Adults Care and Health and Strategic Commissioning,S6142,Memory & Cognition Support - Older People (65+),
ANCHOR CARE HOMES LIMITED (HURST PARK COURT),132658,09-AUG-2023,"2,503.08",Adults Care and Health and Strategic Commissioning,S6142,Memory & Cognition Support - Older People (65+),
ANCHOR CAREHOMES GROUP LIMITED,130649,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6131,Memory & Cognition Support - Older People (65+),
ANCHOR CAREHOMES GROUP LIMITED,137011,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6131,Memory & Cognition Support - Older People (65+),
ANCHOR CAREHOMES GROUP LIMITED,130650,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
ANCHOR CAREHOMES GROUP LIMITED,137012,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
ANCHOR CAREHOMES GROUP LIMITED,130650,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
ANCHOR CAREHOMES GROUP LIMITED,137012,30-AUG-2023,"1,274.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
ANCHOR CAREHOMES GROUP LIMITED,130649,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
ANCHOR CAREHOMES GROUP LIMITED,137011,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
ANCHOR CAREHOMES GROUP LIMITED,130649,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
ANCHOR CAREHOMES GROUP LIMITED,137011,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
ANCHOR CAREHOMES GROUP LIMITED,137011,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
ANCHOR CAREHOMES GROUP LIMITED,130649,02-AUG-2023,"1,092.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
ANCHOR CAREHOMES GROUP LIMITED,130649,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
ANCHOR CAREHOMES GROUP LIMITED,130649,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Mental Health Support - Older People (65+),
ANCHOR CAREHOMES GROUP LIMITED,137011,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6132,Mental Health Support - Older People (65+),
ANCHOR CAREHOMES GROUP LIMITED,137011,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6132,Mental Health Support - Older People (65+),
ANCHOR CAREHOMES GROUP LIMITED,130649,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6132,Mental Health Support - Older People (65+),
