Payments for Publishing for Invoices paid between 01-OCT-2023 and 31-OCT-2023,,,,,,,
Supplier Name,Transaction Number,Paid Date,Paid Amount,Department ,Cost Centre,Description,Irrecoverable VAT
ADAMS & RUSSELL COFFEE ROASTERS,146166,04-OCT-2023,"1,023.43",Neighbourhood Services,L3951,Catering,
ADAPT (UK) TRAINING SERVICES LIMITED,146352,05-OCT-2023,850.00,Resources,P1042,APT&C,
ADEPT CLEANING SERVICES,151680,25-OCT-2023,873.17,Neighbourhood Services,L3950,Cleaning & Domestic Supplies,
ADEPT CLEANING SERVICES,151680,25-OCT-2023,"5,816.70",Neighbourhood Services,L3950,Cleaning & Domestic Supplies,
ADHD FOUNDATION LIMITED,148875,13-OCT-2023,850.00,"Children, Families & Education",E7483,Training Expenses,
ADLIB AUDIO LIMITED,145718,02-OCT-2023,"2,812.00",Neighbourhood Services,L3950,Services,
ADOPTION MATTERS,146078,03-OCT-2023,"35,565.00","Children, Families & Education",E7037,Care Provision,
ADT Wirral Ltd,146079,03-OCT-2023,441.60,"Children, Families & Education",E5731,School Transport - College,
ADT Wirral Ltd,146079,03-OCT-2023,441.60,"Children, Families & Education",E5731,School Transport - College,
ADT Wirral Ltd,151229,24-OCT-2023,441.60,"Children, Families & Education",E5731,School Transport - College,
ADT Wirral Ltd,147562,11-OCT-2023,441.60,"Children, Families & Education",E5731,School Transport - College,
ADT Wirral Ltd,148981,13-OCT-2023,441.60,"Children, Families & Education",E5731,School Transport - College,
ADT Wirral Ltd,149586,17-OCT-2023,441.60,"Children, Families & Education",E5731,School Transport - College,
ADT Wirral Ltd,148981,13-OCT-2023,"3,444.20","Children, Families & Education",E5731,School Transport - Special,
ADT Wirral Ltd,151229,24-OCT-2023,"3,444.20","Children, Families & Education",E5731,School Transport - Special,
ADT Wirral Ltd,146079,03-OCT-2023,"3,444.20","Children, Families & Education",E5731,School Transport - Special,
ADT Wirral Ltd,147562,11-OCT-2023,"3,444.20","Children, Families & Education",E5731,School Transport - Special,
ADT Wirral Ltd,149586,17-OCT-2023,"3,444.20","Children, Families & Education",E5731,School Transport - Special,
ADT Wirral Ltd,146079,03-OCT-2023,"3,444.20","Children, Families & Education",E5731,School Transport - Special,
ADT Wirral Ltd,148981,13-OCT-2023,"4,382.00",Neighbourhood Services,S5600,Care Provision,
ADT Wirral Ltd,149586,17-OCT-2023,"4,382.00",Neighbourhood Services,S5600,Care Provision,
ADT Wirral Ltd,146079,03-OCT-2023,"4,382.00",Neighbourhood Services,S5600,Care Provision,
ADT Wirral Ltd,151229,24-OCT-2023,"4,382.00",Neighbourhood Services,S5600,Care Provision,
ADT Wirral Ltd,147562,11-OCT-2023,"4,382.00",Neighbourhood Services,S5600,Care Provision,
ADT Wirral Ltd,146079,03-OCT-2023,"4,382.00",Neighbourhood Services,S5600,Care Provision,
ADVANCE SYSTEMS (NW) LIMITED,150394,20-OCT-2023,"5,422.04","Children, Families & Education",H4020,Hired or Contracted services,
ADVANCE SYSTEMS (NW) LIMITED,147251,10-OCT-2023,"5,542.00","Children, Families & Education",H4020,Hired or Contracted services,
AECOM INFRASTRUCTURE & ENVIRONMENT UK LIMITED,147686,11-OCT-2023,"6,983.24",Neighbourhood Services,L4972,"Repairs, alterations and maintenance",
AFFINITY SUPPORTING PEOPLE LIMITED,148876,13-OCT-2023,"3,153.03",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
AGE CONCERN WIRRAL T/A AGE UK WIRRAL,151965,25-OCT-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6131,Mental Health Support - Older People (65+),
