Internal Reference,Statement Period – End Date,Transaction – Transaction Date,Transaction – Transaction Type,Transaction – Billing Amount,Supplier
JR,26/10/2023,03/10/2023,Purchase,224,Http://Pmse.Ofcom.Org.
DS,26/10/2023,05/10/2023,Purchase,224.52,A.K. Williams And Sons
JB,26/10/2023,06/10/2023,Purchase,229.5,Pc Stop
JB,26/10/2023,06/10/2023,Purchase,229.5,Pc Stop
JB,26/10/2023,06/10/2023,Purchase,229.5,Pc Stop
JB,26/10/2023,06/10/2023,Purchase,229.5,Pc Stop
JB,26/10/2023,06/10/2023,Purchase,229.5,Pc Stop
JB,26/10/2023,06/10/2023,Purchase,229.5,Pc Stop
JB,26/10/2023,06/10/2023,Purchase,229.5,Pc Stop
JB,26/10/2023,06/10/2023,Purchase,229.5,Pc Stop
JB,26/10/2023,06/10/2023,Purchase,229.5,Pc Stop
JB,26/10/2023,06/10/2023,Purchase,229.5,Pc Stop
JB,26/10/2023,06/10/2023,Purchase,229.5,Pc Stop
JB,26/10/2023,06/10/2023,Purchase,229.5,Pc Stop
JB,26/10/2023,06/10/2023,Purchase,229.5,Pc Stop
JB,26/10/2023,06/10/2023,Purchase,229.5,Pc Stop
JB,26/10/2023,23/10/2023,Purchase,229.5,Pc Stop
JB,26/10/2023,25/10/2023,Purchase,229.95,Www.Argos.Co.Uk
DS,26/10/2023,16/10/2023,Purchase,231.19,Trainline
AA,26/10/2023,13/10/2023,Purchase,232.52,Travelodge Gb0000
AA,26/10/2023,29/09/2023,Purchase,234.9,Booker Ltd - 38598984
AA,26/10/2023,06/10/2023,Purchase,237,The White House Hotel
AA,26/10/2023,06/10/2023,Purchase,237.83,Travelodge Gb0000
JR,26/10/2023,04/10/2023,Purchase,238,Apple.Com/Uk
JB,26/10/2023,16/10/2023,Purchase,239.4,Cartwright Waste Dispo
JB,26/10/2023,23/10/2023,Purchase,239.4,Cartwright Waste Dispo
JR,26/10/2023,17/10/2023,Purchase,239.84,Uk Point Of Sale Group Lt
JR,26/10/2023,24/10/2023,Credit Voucher,239.84,Uk Point Of Sale Group Lt
AA,26/10/2023,06/10/2023,Purchase,239.91,Welcome Break Days Inn Te
AA,26/10/2023,20/10/2023,Purchase,242.5,The White House Hotel
AA,26/10/2023,04/10/2023,Purchase,244.38,Premier Inn
DS,26/10/2023,02/10/2023,Purchase,246,Llg Enterprises Ltd
JB,26/10/2023,04/10/2023,Purchase,249,Currys Online
JB,26/10/2023,30/09/2023,Purchase,251.28,Ast Floorcoverings Limit
DS,26/10/2023,27/09/2023,Purchase,251.59,Jax First Aid
AA,26/10/2023,06/10/2023,Purchase,257,Travelodge Gb0000
JB,26/10/2023,02/10/2023,Purchase,258.3,Cartwright Waste Dispo
JB,26/10/2023,11/10/2023,Purchase,258.3,Cartwright Waste Dispo
JB,26/10/2023,13/10/2023,Purchase,264.14,Travelodge Gb0000
JB,26/10/2023,09/10/2023,Purchase,266.13,Cross Country Rail
DS,26/10/2023,20/10/2023,Purchase,271.97,Premier Inn
AA,26/10/2023,02/10/2023,Purchase,275.36,Travelodge Gb0000
AA,26/10/2023,02/10/2023,Purchase,278.41,Travelodge Gb0000
JB,26/10/2023,09/10/2023,Purchase,279.65,Www.Argos.Co.Uk
AA,26/10/2023,20/10/2023,Purchase,280.46,Travelodge Gb0000
AA,26/10/2023,20/10/2023,Purchase,280.46,Travelodge Gb0000
JR,26/10/2023,27/09/2023,Purchase,284.15,Trainline
AA,26/10/2023,02/10/2023,Purchase,285.55,Travelodge Gb0000
AA,26/10/2023,02/10/2023,Purchase,285.55,Travelodge Gb0000
AA,26/10/2023,11/10/2023,Purchase,288.06,Www.Screwfix.Com
JR,26/10/2023,16/10/2023,Purchase,294,Ao Retail Limited
AA,26/10/2023,06/10/2023,Purchase,296.78,Travelodge Gb0000
JR,26/10/2023,10/10/2023,Purchase,299,Currys Online
AA,26/10/2023,06/10/2023,Purchase,299.84,Travelodge Gb0000
JB,26/10/2023,06/10/2023,Purchase,300.97,A2bgocarzabc
AA,26/10/2023,06/10/2023,Purchase,304.94,Travelodge Gb0000
JB,26/10/2023,05/10/2023,Purchase,305.32,Allpay *the Wrekin Housin
JB,26/10/2023,21/10/2023,Purchase,306.55,Facebk *t6t4dv74q2
AA,26/10/2023,29/09/2023,Purchase,306.85,Premier Inn
DS,26/10/2023,03/10/2023,Purchase,317.22,Www.Screwfix.Com
DS,26/10/2023,25/10/2023,Purchase,318.17,Trainline
AA,26/10/2023,18/10/2023,Purchase,322.5,Dvla Vehicle Tax
AA,26/10/2023,18/10/2023,Purchase,322.5,Dvla Vehicle Tax
DS,26/10/2023,26/09/2023,Purchase,322.5,Dvla Vehicle Tax
DS,26/10/2023,17/10/2023,Purchase,322.5,Dvla Vehicle Tax
JB,26/10/2023,12/10/2023,Purchase,328.86,Trainline
JB,26/10/2023,04/10/2023,Purchase,329,Currys Online
JR,26/10/2023,11/10/2023,Purchase,330,Allpay *sanctuary Care Lt
AA,26/10/2023,17/10/2023,Purchase,333,Premier Inn
JB,26/10/2023,17/10/2023,Purchase,349.45,Asda Store 4351
JR,26/10/2023,03/10/2023,Purchase,356.35,The White House Hotel
JR,26/10/2023,06/10/2023,Purchase,360,Green Skip Hire
