Beneficiary,Date,Merchant Category,Amount (Net of VAT)
Holiday Inn Express Leigh,07/06/2022,Payments to Private Contractors,2094.96
Hotel At Booking.Com,08/04/2022,Payments to Private Contractors,557.46
Hotel At Booking.Com,11/05/2022,Payments to Private Contractors,500
Hotel At Booking.Com,11/05/2022,Payments to Private Contractors,563.33
Hotel At Booking.Com,11/05/2022,Payments to Private Contractors,1250
Hotel At Booking.Com,11/05/2022,Payments to Private Contractors,1375
Hotel At Booking.Com,11/05/2022,Payments to Private Contractors,1721.98
Hotel At Booking.Com,01/06/2022,Payments to Private Contractors,704.5
Hotel At Booking.Com,01/06/2022,Payments to Private Contractors,704.5
Hotel At Booking.Com,01/06/2022,Payments to Private Contractors,1567.5
Hotel At Booking.Com,01/06/2022,Payments to Private Contractors,1567.5
Hotel At Booking.Com,07/07/2022,Payments to Private Contractors,536.46
Hotel At Booking.Com,07/07/2022,Payments to Private Contractors,854.17
Hotel At Booking.Com,07/07/2022,Payments to Private Contractors,854.17
Hotel At Booking.Com,07/07/2022,Payments to Private Contractors,854.17
Hotel At Booking.Com,07/07/2022,Payments to Private Contractors,1580.83
Hotel At Booking.Com,07/07/2022,Payments to Private Contractors,1580.83
Hotel At Booking.Com,07/07/2022,Payments to Private Contractors,1587.5
Hotel At Booking.Com,07/07/2022,Payments to Private Contractors,730
Hotel At Booking.Com,07/07/2022,Payments to Private Contractors,1030
Hotel At Booking.Com,05/08/2022,Payments to Private Contractors,1185
Hotel At Booking.Com,05/08/2022,Payments to Private Contractors,2261
Hotel At Booking.Com,06/09/2022,Payments to Private Contractors,553.5
Hotel At Booking.Com,04/10/2022,Payments to Private Contractors,973.33
Hotel At Booking.Com,05/12/2022,Payments to Private Contractors,1564.2
Hotel At Booking.Com,06/02/2023,Payments to Private Contractors,896.94
Hotel At Booking.Com,07/02/2023,Employee Subsistence,3089.24
Hotel On Booking.Com,01/06/2022,Payments to Private Contractors,1750
Mount,07/07/2022,Payments to Private Contractors,625.24
Mount,06/09/2022,Payments to Private Contractors,1181.3
Premier Inn,06/09/2022,Payments to Private Contractors,646.93
Premier Inn,06/09/2022,Payments to Private Contractors,887.74
Premier Inn,08/09/2022,Payments to Private Contractors,887.37
Premier Inn,08/09/2022,Payments to Private Contractors,887.37
Premier Inn,04/10/2022,Payments to Private Contractors,1504.77
Premier Inn,04/10/2022,Payments to Private Contractors,727.4
Premier Inn,04/10/2022,Payments to Private Contractors,727.4
Premier Inn,04/10/2022,Payments to Private Contractors,616.57
Premier Inn,06/10/2022,Payments to Private Contractors,880.86
Premier Inn,06/10/2022,Payments to Private Contractors,880.86
Premier Inn,05/12/2022,Payments to Private Contractors,1108.32
Premier Inn,05/12/2022,Payments to Private Contractors,1800.82
Premier Inn 44536565,08/04/2022,Payments to Private Contractors,539.94
Premier Inn 44536565,08/04/2022,Payments to Private Contractors,591.17
Premier Inn 44536565,08/04/2022,Payments to Private Contractors,652.44
Premier Inn 44536565,07/07/2022,Payments to Private Contractors,634.92
Premier Inn 44536565,07/07/2022,Payments to Private Contractors,647.8
Premier Inn 44536565,07/07/2022,Payments to Private Contractors,795.34
Premier Inn 44536565,05/08/2022,Payments to Private Contractors,674.47
Premier Inn 44536565,05/08/2022,Payments to Private Contractors,695.3
Premier Inn 44536600,08/04/2022,Payments to Private Contractors,558.69
Premier Inn 44536900,01/06/2022,Payments to Private Contractors,548.27
Premier Inn 44536900,01/06/2022,Payments to Private Contractors,554.52
Premier Inn 44536900,07/07/2022,Payments to Private Contractors,579.12
Premier Inn 44536900,07/07/2022,Payments to Private Contractors,797.84
Premier Inn 44537410,08/04/2022,Payments to Private Contractors,725.3
Premier Inn 44537410,08/04/2022,Payments to Private Contractors,725.3
Premier Inn44017435,10/05/2022,Payments to Private Contractors,853.62
Premier Inn44017435,10/05/2022,Payments to Private Contractors,544.53
Premier Inn44017435,11/05/2022,Payments to Private Contractors,517.86
Premier Inn44017435,11/05/2022,Payments to Private Contractors,529.9
Premier Inn44017435,11/05/2022,Payments to Private Contractors,612.85
Premier Inn44017435,11/05/2022,Payments to Private Contractors,777.78
Premier Inn44017435,01/06/2022,Payments to Private Contractors,544.94
Premier Inn44017435,01/06/2022,Payments to Private Contractors,544.94
Premier Inn44017435,01/06/2022,Payments to Private Contractors,534.11
Premier Inn44017435,07/06/2022,Payments to Private Contractors,586.15
Premier Inn44017435,05/08/2022,Payments to Private Contractors,686.61
Premier Inn44018615,08/04/2022,Payments to Private Contractors,514.07
Premier Inn44018615,08/04/2022,Payments to Private Contractors,752.37
Premier Inn44018615,08/04/2022,Payments to Private Contractors,752.37
