Beneficiary,Date,Merchant Category,Amount (Net of VAT)
Just Flutes,06/03/2025,Equipment Furniture & Materials,"2,582.50"
Facebk*,06/03/2025,Advertising (Non Employee),500
Payment To Cipr,06/03/2025,Subscriptions,555
Paypal *cdssupersto,07/03/2025,Grants to External Bodies,599
Paypal *wayfair,07/03/2025,Grants to External Bodies,549.99
Www.Argos.Co.Uk,07/03/2025,Grants to External Bodies,560.79
B&q Ltd,10/03/2025,Repairs & Maintenance (Non CPMF),520
Mercure Haydock,10/03/2025,Hospitality,"1,018.50"
Huws Gray - Wigan,10/03/2025,Repairs & Maintenance (Non CPMF),500
Facebk *w8j2xkqjv2,10/03/2025,Advertising (Non Employee),500
The Arboricultural Associ,11/03/2025,Equipment Furniture & Materials,660
Www.Adass.Org.Uk,11/03/2025,Equipment Furniture & Materials,705
Skills For Care,11/03/2025,Conferences,"1,700.00"
Holiday Inn Express Leigh,11/03/2025,Equipment Furniture & Materials,"1,306.32"
Htl*holidayinnexpr,11/03/2025,Employee Transport Costs,"1,409.18"
Rics Com Gbp Cybs,12/03/2025,Equipment Furniture & Materials,696
High Street Vouchers,12/03/2025,Equipment Furniture & Materials,756.25
High Street Vouchers,12/03/2025,Equipment Furniture & Materials,836.25
Avanti Groups Smart Pa,12/03/2025,Employee Transport Costs,721.6
Winstanleys Bikes,21/03/2025,Equipment Furniture & Materials,722.49
