Beneficiary,Date,Merchant Category,Amount (Net of VAT)
Argos,08/01/2026,Grants to External Bodies,704.75
Argos,08/01/2026,Grants to External Bodies,885.94
Paypal *argosdirect,08/01/2026,Grants to External Bodies,597.46
Paypal *argosdirect,08/01/2026,Grants to External Bodies,631.02
Holiday Inn Express Wiga,09/01/2026,Equipment Furniture & Materials,"1,267.38"
Gear4music Limited,09/01/2026,Equipment Furniture & Materials,599.16
Www.Sounda* Www.Sounda,09/01/2026,Equipment Furniture & Materials,749.17
Elmhurst Energy System,09/01/2026,Equipment Furniture & Materials,540
Sp Muckbootuk,12/01/2026,"Clothing, Uniform and Laundry",509.2
David S Sales,12/01/2026,Equipment Furniture & Materials,685.44
Cs *tesco Gc,13/01/2026,Equipment Furniture & Materials,"5,000.00"
Holiday Inn Express Wiga,14/01/2026,Hospitality,835
Wigan Roller Rink,15/01/2026,Employee Subsistence,504
Allpay *great Places Hous,15/01/2026,Rent,518.52
Facebk *424u3bhsw2,16/01/2026,Advertising (Non Employee),500
Facebk *bztju9vsw2,16/01/2026,Advertising (Non Employee),500
Facebk *fbayv7zsw2,16/01/2026,Advertising (Non Employee),500
Ar Pereira Homes,19/01/2026,Hospitality,"1,085.00"
Lgc*uber Giftcard,19/01/2026,Children�s ITU Contractor Costs,600
Resolve Poverty,19/01/2026,Equipment Furniture & Materials,750
Kilhey Court,19/01/2026,Payments to Private Contractors,573.33
Kilhey Court,19/01/2026,Payments to Private Contractors,650
Kilhey Court,19/01/2026,Payments to Private Contractors,758.33
Kilhey Court,19/01/2026,Payments to Private Contractors,758.33
Allpay *great Places Hous,19/01/2026,Rent,700.05
Kilhey Court,20/01/2026,Ground Rent,541.67
Kilhey Court,20/01/2026,Payments to Private Contractors,516
Premier Inn,20/01/2026,Equipment Furniture & Materials,625.93
The Cumberland Hotel,21/01/2026,Employee Subsistence,672
Allpay *great Places Hous,21/01/2026,Equipment Furniture & Materials,807.38
Kilhey Court,21/01/2026,Payments to Private Contractors,828.33
Www.Tlcstay.Co.Uk,21/01/2026,Hospitality,"2,848.50"
Hotel At Booking.Com,21/01/2026,Hospitality,518
