Payment date,Supplier Name,Purpose,Department,Amount
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",360
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",357
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",357
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",357
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",357
21/06/2023,KAAMIL EDUCATION LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",349.02
21/06/2023,PRIMERA ASSISTED LIVING LIMITED T/A,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",336.56
21/06/2023,PRIMERA ASSISTED LIVING LIMITED T/A,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",336.48
21/06/2023,PRIMERA ASSISTED LIVING LIMITED T/A,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",336.48
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",336
21/06/2023,GREENFIELDS RES CARE HOMES LTD,Priv - Res Long,"Dir of Adults, Health & Communities",329.54
21/06/2023,MILLENNIUM CARE LTD,Priv - Res Long,"Dir of Adults, Health & Communities",327.06
21/06/2023,EMBRACE UK COMMUNITY SUPPORT CENTRE,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",325.16
21/06/2023,Personal Data Redacted,Priv - Res Long,"Dir of Adults, Health & Communities",312.27
21/06/2023,THE HOTEL CO PROJECT LTD T/A GREEN,Room Hire,"Dir of Adults, Health & Communities",300
21/06/2023,EMBRACE UK COMMUNITY SUPPORT CENTRE,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",297.28
21/06/2023,FAYERS PLUMBING AND BUILDING SUPPLI,"Material - Purch,Rep",Housing Revenue Account,290.28
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",288
21/06/2023,PREMIER PRINT & PROMOTIONS LIMITED,Printing - Internal,"Dir of  Culture, Strategy & Engagement",286
21/06/2023,PRIMERA ASSISTED LIVING LIMITED T/A,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",280.4
21/06/2023,KAAMIL EDUCATION LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",276.31
21/06/2023,KAAMIL EDUCATION LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",271.46
21/06/2023,KAAMIL EDUCATION LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",271.46
21/06/2023,KAAMIL EDUCATION LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",271.46
21/06/2023,Personal Data Redacted,Sport & Fitness,Dir of Finance,270
21/06/2023,TOUCAN TOOL COMPANY LTD,Stock - Raw Material,Housing Revenue Account,262.01
21/06/2023,PRIMERA ASSISTED LIVING LIMITED T/A,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",261.8
21/06/2023,EMBRACE UK COMMUNITY SUPPORT CENTRE,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",260.12
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",256.5
21/06/2023,STOCKWELLCARE SUPPORT SERVICES LIMI,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",252.44
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",247
