Local Authority,Directorate,Service Area,Service Division,Expense Type,Supplier Name,Transaction Number,Payment Date,Expense Category,Invoice Value  £
SUNDERLAND CITY COUNCIL,"HEALTH, HOUSING & COMMUNITIES",SPORT AND LEISURE,SPORTS DEVELOPMENT,MISCELLANEOUS EXPENSES,GEAR4MUSIC,5122765459,26.09.2023,REVENUE,679.15
SUNDERLAND CITY COUNCIL,"HEALTH, HOUSING & COMMUNITIES",SPORT AND LEISURE,SPORTS DEVELOPMENT,MISCELLANEOUS EXPENSES,BISHOP SPORTS & LEISURE LIMITED,5122766164,28.09.2023,REVENUE,522.95
SUNDERLAND CITY COUNCIL,"HEALTH, HOUSING & COMMUNITIES",SPORT AND LEISURE,SPORTS DEVELOPMENT,RENTS,PALLION ACTION GROUP,5122756004,15.08.2023,REVENUE,700.00
SUNDERLAND CITY COUNCIL,"HEALTH, HOUSING & COMMUNITIES",SPORT AND LEISURE,SPORTS DEVELOPMENT,MISCELLANEOUS EXPENSES,PALLION ACTION GROUP,5122757166,22.08.2023,REVENUE,935.00
SUNDERLAND CITY COUNCIL,"HEALTH, HOUSING & COMMUNITIES",SPORT AND LEISURE,SPORTS DEVELOPMENT,MISCELLANEOUS EXPENSES,PHYSICAL COMPANY,5122756901,01.09.2023,REVENUE,511.48
SUNDERLAND CITY COUNCIL,"HEALTH, HOUSING & COMMUNITIES",SPORT AND LEISURE,SPORTS DEVELOPMENT,RENTS,PALLION ACTION GROUP,5122760643,08.09.2023,REVENUE,980.00
SUNDERLAND CITY COUNCIL,"HEALTH, HOUSING & COMMUNITIES",SPORT AND LEISURE,SPORTS DEVELOPMENT,SERVICES,W & M WHOLESALE LTD,5122754905,10.08.2023,REVENUE,877.50
SUNDERLAND CITY COUNCIL,"HEALTH, HOUSING & COMMUNITIES",SPORT AND LEISURE,SPORTS DEVELOPMENT,MISCELLANEOUS EXPENSES,BISHOP SPORTS & LEISURE LIMITED,5122748460,13.07.2023,REVENUE,744.95
SUNDERLAND CITY COUNCIL,"HEALTH, HOUSING & COMMUNITIES",SPORT AND LEISURE,SPORTS DEVELOPMENT,MISCELLANEOUS EXPENSES,WF EDUCATION GROUP LTD,5122746835,13.07.2023,REVENUE,487.80
SUNDERLAND CITY COUNCIL,"HEALTH, HOUSING & COMMUNITIES",SPORT AND LEISURE,SPORTS DEVELOPMENT,MISCELLANEOUS EXPENSES,NEWITT & CO LIMITED,5122747002,14.09.2023,REVENUE,761.96
SUNDERLAND CITY COUNCIL,"HEALTH, HOUSING & COMMUNITIES",SPORT AND LEISURE,SPORTS DEVELOPMENT,GROUNDS MAINTENANCE,SPORTEX GROUP LIMITED,5122763376,19.09.2023,REVENUE,460.00
SUNDERLAND CITY COUNCIL,"HEALTH, HOUSING & COMMUNITIES",SPORT AND LEISURE,SPORTS DEVELOPMENT,MISCELLANEOUS EXPENSES,SPORTS & LEISURE MANAGEMENT LTD,5122764790,22.09.2023,REVENUE,"1,108.92"
SUNDERLAND CITY COUNCIL,"HEALTH, HOUSING & COMMUNITIES",SPORT AND LEISURE,SPORTS DEVELOPMENT,MISCELLANEOUS EXPENSES,SPORTS & LEISURE MANAGEMENT LTD,5122764791,22.09.2023,REVENUE,728.34
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,CAPITAL,ICT / ASSISTIVE TECHNOLOGY,"VEHICLES, PLANT, FURNITURE & EQUIPMENT",LIQUIDLOGIC LTD,5122749415,18.07.2023,CAPITAL,"2,000.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,CAPITAL,ICT / ASSISTIVE TECHNOLOGY,"VEHICLES, PLANT, FURNITURE & EQUIPMENT",LIQUIDLOGIC LTD,5122762800,15.09.2023,CAPITAL,"13,500.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,CAPITAL,TECHNOLOGY DEVELOPMENTS ADULT SERVICES,"VEHICLES, PLANT, FURNITURE & EQUIPMENT",LIQUIDLOGIC LTD,5122750226,27.07.2023,CAPITAL,"241,350.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,CAPITAL,TECHNOLOGY DEVELOPMENTS ADULT SERVICES,"VEHICLES, PLANT, FURNITURE & EQUIPMENT",LIQUIDLOGIC LTD,5122760238,11.09.2023,CAPITAL,"2,375.00"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,DIGITISATION OF LOCAL HISTORY & LIBRARY COLLECTIONS,OTHER FEES & SERVICES, TOWNSWEB ARCHIVING LTD,5122758331,29.08.2023,CAPITAL,"5,262.25"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,DIGITISATION OF LOCAL HISTORY & LIBRARY COLLECTIONS,OTHER FEES & SERVICES, TOWNSWEB ARCHIVING LTD,5122761363,11.09.2023,CAPITAL,"8,740.00"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,A19/A690 DOXFORD PARK JUNCTION IMPROVEMENT SCHEME,EQUIPMENT/FURNITURE/MATERIALS,DEERNESS FENCING & LANDSCAPING LTD,5122751164,26.07.2023,CAPITAL,"1,480.94"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,WILLOW FIELDS COMMUNITY PRIMARY SCHOOL,CONSTRUCTION WORKS,ESH CONSTRUCTION LTD,5122756626,21.08.2023,CAPITAL,"68,256.97"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,FARRINGDON ACADEMY,CONSTRUCTION WORKS,DEPARTMENT FOR EDUCATION,5122744817,03.07.2023,CAPITAL,"4,114,903.85"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,SCHOOL CLOSURES MISCELLANEOUS COSTS,PURCHASE OF LAND & BUILDINGS ETC,CONNELL BROTHERS LTD,5122759286,01.09.2023,CAPITAL,"46,112.59"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,SCHOOLS CAPITAL MAINTENANCE WORKS,PURCHASE OF LAND & BUILDINGS ETC,SGS UNITED KINGDOM LIMITED,5122753231,04.08.2023,CAPITAL,700.00
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,FULWELL JUNIOR SCHOOL,EXTERNAL PROFESSIONAL FEES,BSG ECOLOGY LTD,5122744845,03.07.2023,CAPITAL,"1,253.00"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,FULWELL JUNIOR SCHOOL,EXTERNAL PROFESSIONAL FEES,AINSWORTH SPARK ASSOCIATES,5122747057,10.07.2023,CAPITAL,"1,280.00"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,FULWELL JUNIOR SCHOOL,EXTERNAL PROFESSIONAL FEES,AINSWORTH SPARK ASSOCIATES,5122747254,10.07.2023,CAPITAL,"9,000.00"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,FULWELL JUNIOR SCHOOL,EXTERNAL PROFESSIONAL FEES,AINSWORTH SPARK ASSOCIATES,5122747255,10.07.2023,CAPITAL,"2,895.00"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,FULWELL JUNIOR SCHOOL,EXTERNAL PROFESSIONAL FEES,AINSWORTH SPARK ASSOCIATES,5122747256,10.07.2023,CAPITAL,"1,550.00"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,FULWELL JUNIOR SCHOOL,EXTERNAL PROFESSIONAL FEES,AINSWORTH SPARK ASSOCIATES,5122754244,07.08.2023,CAPITAL,"4,300.00"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,FULWELL JUNIOR SCHOOL,EXTERNAL PROFESSIONAL FEES,AINSWORTH SPARK ASSOCIATES,5122754245,07.08.2023,CAPITAL,"1,225.00"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,FULWELL JUNIOR SCHOOL,CONSTRUCTION WORKS,T MANNERS & SONS LIMITED,5122760230,06.09.2023,CAPITAL,"52,584.82"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,FULWELL JUNIOR SCHOOL,PURCHASE OF LAND & BUILDINGS ETC,SGS UNITED KINGDOM LIMITED,5122761214,13.09.2023,CAPITAL,"1,750.00"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,FULWELL JUNIOR SCHOOL,CONSTRUCTION WORKS,PWG CONNECTIONS LTD,5122763378,19.09.2023,CAPITAL,"9,576.59"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,FULWELL JUNIOR SCHOOL,EXTERNAL PROFESSIONAL FEES,BSG ECOLOGY LTD,5122763731,20.09.2023,CAPITAL,"2,562.20"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,FULWELL JUNIOR SCHOOL,EXTERNAL PROFESSIONAL FEES,BSG ECOLOGY LTD,5122763732,20.09.2023,CAPITAL,"1,645.10"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,FULWELL JUNIOR SCHOOL,EXTERNAL PROFESSIONAL FEES,AINSWORTH SPARK ASSOCIATES,5122764111,21.09.2023,CAPITAL,"2,000.00"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,FULWELL JUNIOR SCHOOL,EXTERNAL PROFESSIONAL FEES,AINSWORTH SPARK ASSOCIATES,5122764112,21.09.2023,CAPITAL,"1,000.00"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,FULWELL JUNIOR SCHOOL,OTHER FEES & SERVICES,LOW FELL REMOVALS,5122764798,22.09.2023,CAPITAL,"1,680.00"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,FULWELL JUNIOR SCHOOL,CONSTRUCTION WORKS,PWG CONNECTIONS LTD,5122765567,26.09.2023,CAPITAL,"4,788.30"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,FULWELL JUNIOR SCHOOL,EXTERNAL PROFESSIONAL FEES,BSG ECOLOGY LTD,5122766178,28.09.2023,CAPITAL,465.00
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,FULWELL JUNIOR SCHOOL,CONSTRUCTION WORKS,T MANNERS & SONS LIMITED,5122765702,29.09.2023,CAPITAL,"116,047.82"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,SCHOOLS CAPITAL MAINTENANCE WORKS,PURCHASE OF LAND & BUILDINGS ETC,SGS UNITED KINGDOM LIMITED,5122756545,21.08.2023,CAPITAL,"1,800.00"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,SCHOOLS CAPITAL MAINTENANCE WORKS,PURCHASE OF LAND & BUILDINGS ETC,RHODAR LIMITED,5122755626,25.08.2023,CAPITAL,"58,388.00"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,SCHOOL AMP - SECONDARY,CONSTRUCTION WORKS,PORTAKABIN LTD,5122763336,22.09.2023,CAPITAL,"37,114.00"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,SCHOOL MECHANICAL WORKS,CONSTRUCTION WORKS,JH MECHANICAL SERVICES LTD,5122756537,17.08.2023,CAPITAL,"94,846.24"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,SCHOOL MECHANICAL WORKS,CONSTRUCTION WORKS,COMPAC SERVICES (NE) LTD,5122755678,15.08.2023,CAPITAL,"53,685.45"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,SCHOOL MECHANICAL WORKS,CONSTRUCTION WORKS,COMPAC SERVICES (NE) LTD,5122765725,27.09.2023,CAPITAL,"60,559.68"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,SCHOOLS CAPITAL MAINTENANCE WORKS,PURCHASE OF LAND & BUILDINGS ETC,RHODAR LIMITED,5122759339,14.09.2023,CAPITAL,"9,873.00"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,SUNNINGDALE SCHOOL ,EXTERNAL PROFESSIONAL FEES,PREMIER MIST UK LTD,5122744012,25.07.2023,CAPITAL,"1,916.92"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,SUNNINGDALE PRIMARY SCHOOL,CONSTRUCTION WORKS,KIER CONSTRUCTION LTD,5122759482,04.09.2023,CAPITAL,"132,881.08"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,THORNEY CLOSE PRIMARY SCHOOL ,EXTERNAL PROFESSIONAL FEES,CASTLE KEEP SURVEYS LTD,5122756383,18.08.2023,CAPITAL,495.00
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,HETTON PRIMARY SCHOOL ,CONSTRUCTION WORKS,ROBERTSON CONSTRUCTION GROUP LTD,5122744849,03.07.2023,CAPITAL,"11,590.87"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,HETTON PRIMARY SCHOOL ,CONSTRUCTION WORKS,ROBERTSON CONSTRUCTION GROUP LTD,5122744855,03.07.2023,CAPITAL,"15,996.82"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,HETTON PRIMARY SCHOOL ,CONSTRUCTION WORKS,ROBERTSON CONSTRUCTION GROUP LTD,5122746876,12.07.2023,CAPITAL,"17,714.08"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,BARNES JUNIOR SCHOOL,CONSTRUCTION WORKS,ROBERTSON CONSTRUCTION GROUP LTD,5122744698,03.07.2023,CAPITAL,"258,121.35"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,BARNES JUNIOR SCHOOL,CONSTRUCTION WORKS,ROBERTSON CONSTRUCTION GROUP LTD,5122744829,03.07.2023,CAPITAL,"90,892.93"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,BARNES JUNIOR SCHOOL,EXTERNAL PROFESSIONAL FEES,AINSWORTH SPARK ASSOCIATES,5122747058,10.07.2023,CAPITAL,"1,500.00"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,BARNES JUNIOR SCHOOL,CONSTRUCTION WORKS,ROBERTSON CONSTRUCTION GROUP LTD,5122746667,10.07.2023,CAPITAL,"52,155.40"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,BARNES JUNIOR SCHOOL,EXTERNAL PROFESSIONAL FEES,AINSWORTH SPARK ASSOCIATES,5122747194,25.07.2023,CAPITAL,"1,100.00"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,BARNES JUNIOR SCHOOL,EXTERNAL PROFESSIONAL FEES,AINSWORTH SPARK ASSOCIATES,5122747257,25.07.2023,CAPITAL,750.00
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,BARNES JUNIOR SCHOOL,CONSTRUCTION WORKS,ROBERTSON CONSTRUCTION GROUP LTD,5122754181,07.08.2023,CAPITAL,"23,439.82"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,BARNES JUNIOR SCHOOL,OTHER FEES & SERVICES,LOW FELL REMOVALS,5122756470,17.08.2023,CAPITAL,"1,120.00"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,CHILDREN'S RESIDENTIAL HOMES,EXTERNAL PROFESSIONAL FEES,CARNEY CDM LTD,5122754194,14.08.2023,CAPITAL,875.00
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,CHILDREN'S RESIDENTIAL HOMES,"VEHICLES, PLANT, FURNITURE & EQUIPMENT",CAE TECHNOLOGY SERVICES LTD,5122755084,17.08.2023,CAPITAL,"2,041.71"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,CHILDREN'S RESIDENTIAL HOMES,PURCHASE OF LAND & BUILDINGS ETC,RHODAR LIMITED,5122755053,23.08.2023,CAPITAL,"4,605.00"
SUNDERLAND CITY COUNCIL,CHILDREN'S SERVICES,CAPITAL,"1-4 LOMBARD STREET, SUNDERLAND",EXTERNAL PROFESSIONAL FEES,CARNEY CDM LTD,5122754192,04.09.2023,CAPITAL,875.00
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,CED LIMITED,5122743891,03.07.2023,CAPITAL,"21,958.20"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EXTERNAL PROFESSIONAL FEES,CASTLE KEEP SURVEYS LTD,5122744768,03.07.2023,CAPITAL,495.00
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,NIXON HIRE,5122746085,06.07.2023,CAPITAL,"1,013.71"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,WEAR MINI MIX,5122747014,10.07.2023,CAPITAL,"1,363.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122746978,10.07.2023,CAPITAL,882.00
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122747010,10.07.2023,CAPITAL,882.00
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,OTHER FEES & SERVICES,JPIMEDIA PUBLISHING LTD,5122744856,11.07.2023,CAPITAL,955.08
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,W & M THOMPSON (QUARRIES) LTD,5122749093,17.07.2023,CAPITAL,"1,067.82"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122749769,19.07.2023,CAPITAL,"1,554.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122749795,19.07.2023,CAPITAL,"1,881.60"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122749816,19.07.2023,CAPITAL,"1,554.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,CONSTRUCTION WORKS,PORTABLE SPACE LTD,5122747613,24.07.2023,CAPITAL,"28,071.25"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,CONSTRUCTION WORKS,PORTABLE SPACE LTD,5122751320,25.07.2023,CAPITAL,"28,071.25"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,WEAR MINI MIX,5122752552,28.07.2023,CAPITAL,"1,194.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122753048,31.07.2023,CAPITAL,"1,881.60"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122753067,31.07.2023,CAPITAL,672.00
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122753487,02.08.2023,CAPITAL,"3,108.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122753489,02.08.2023,CAPITAL,"1,554.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122753493,02.08.2023,CAPITAL,"1,554.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122753503,02.08.2023,CAPITAL,"1,881.60"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122753509,02.08.2023,CAPITAL,"1,554.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122753514,02.08.2023,CAPITAL,546.00
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,WEAR MINI MIX,5122753606,04.08.2023,CAPITAL,524.00
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,CONSTRUCTION WORKS,PORTABLE SPACE LTD,5122754030,04.08.2023,CAPITAL,"5,741.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,NIXON HIRE,5122754481,08.08.2023,CAPITAL,898.80
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,WEAR MINI MIX,5122754635,11.08.2023,CAPITAL,579.00
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122756817,18.08.2023,CAPITAL,"1,724.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122756834,18.08.2023,CAPITAL,"1,881.60"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,NIXON HIRE,5122756849,18.08.2023,CAPITAL,941.60
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,NORTH EAST CONCRETE LTD,5122757525,22.08.2023,CAPITAL,439.50
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,NORTH EAST CONCRETE LTD,5122757526,22.08.2023,CAPITAL,728.40
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,J T DOVE LTD,5122757946,25.08.2023,CAPITAL,596.22
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,JOHN DAVIDSON (PIPES) LTD,5122757354,25.08.2023,CAPITAL,963.20
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,WEAR MINI MIX,5122757520,25.08.2023,CAPITAL,897.00
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122758861,31.08.2023,CAPITAL,"1,360.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122759021,31.08.2023,CAPITAL,"1,881.60"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,WEAR MINI MIX,5122759328,01.09.2023,CAPITAL,"1,103.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,UNIVERSAL SEALANTS (UK) LTD,5122759371,05.09.2023,CAPITAL,"1,104.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,CONSTRUCTION WORKS,MACDONALD MARTIN LTD,5122758196,05.09.2023,CAPITAL,"1,250.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,CONSTRUCTION WORKS,PORTABLE SPACE LTD,5122760265,06.09.2023,CAPITAL,"6,740.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,NIXON HIRE,5122761627,12.09.2023,CAPITAL,984.40
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,NIXON HIRE,5122762044,13.09.2023,CAPITAL,984.40
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,WEAR MINI MIX,5122762364,14.09.2023,CAPITAL,"1,022.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122763230,18.09.2023,CAPITAL,"1,881.60"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122763232,18.09.2023,CAPITAL,"1,881.60"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122763385,19.09.2023,CAPITAL,"1,881.60"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122763386,19.09.2023,CAPITAL,"1,881.60"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122764213,21.09.2023,CAPITAL,"1,387.50"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122764297,21.09.2023,CAPITAL,"1,318.30"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CAPITAL,ROKER PARK LODGE,EQUIPMENT/FURNITURE/MATERIALS,GEORGE VARDY LIMITED,5122764304,21.09.2023,CAPITAL,"1,200.00"
