Local Authority,Directorate,Service Area,Service Division,Expense Type,Supplier Name,Transaction Number,Payment Date,Expense Category, Invoice Value  £ ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HILL CARE SERVICES LIMITED,7003675092,18.04.2023,REVENUE, 602.87 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOPE BANK VIEW CARE HOME,5122724777,18.04.2023,REVENUE," 8,742.15 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MALHOTRA CARE HOMES LIMITED,7003675046,18.04.2023,REVENUE," 40,153.73 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MAPLE LODGE N/H,7003675120,18.04.2023,REVENUE," 18,288.41 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MARQUIS COURT,7003675079,18.04.2023,REVENUE," 27,721.38 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PADDOCK STILE MANOR,7003675034,18.04.2023,REVENUE," 23,735.36 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,SLW LIMITED - SYCAMORE LODGE,7003675033,18.04.2023,REVENUE," 72,776.88 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,SPRINGFIELD HOUSE R/H,7003675073,18.04.2023,REVENUE," 29,405.92 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THE CROFT CARE HOME,7003675026,18.04.2023,REVENUE," 16,888.71 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THE MEWS,7003675018,18.04.2023,REVENUE," 27,067.35 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,VILLAGE CARE HOME LTD,7003675056,18.04.2023,REVENUE," 15,819.84 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,WELLBURN CARE HOMES,7003675060,18.04.2023,REVENUE," 6,808.37 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,WEST LODGE CARE HOMES LTD,7003674944,18.04.2023,REVENUE, 685.56 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,YOHDEN CARE COMPLEX,7003675006,18.04.2023,REVENUE, 677.02 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOPE BANK VIEW CARE HOME,5122725263,19.04.2023,REVENUE," 8,773.90 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOPE BANK VIEW CARE HOME,5122725264,19.04.2023,REVENUE," 8,742.15 ",,,,,,
