Posting date,Supplier number,Supplier name,Expense type,Department,Amount
16/08/2023,1243458,Cocklebury Farmhouse Homes Ltd,,Bi-Borough Director of Integrated Care,7028
16/08/2023,1243458,Cocklebury Farmhouse Homes Ltd,,Bi-Borough Director of Integrated Care,4952
13/09/2023,1243458,Cocklebury Farmhouse Homes Ltd,,Bi-Borough Director of Integrated Care,5536
13/09/2023,1243458,Cocklebury Farmhouse Homes Ltd,,Bi-Borough Director of Integrated Care,6408
13/09/2023,1243458,Cocklebury Farmhouse Homes Ltd,,Bi-Borough Director of Integrated Care,4952
13/09/2023,1243458,Cocklebury Farmhouse Homes Ltd,,Bi-Borough Director of Integrated Care,5568
13/09/2023,1243458,Cocklebury Farmhouse Homes Ltd,,Bi-Borough Director of Integrated Care,7028
05/07/2023,1246600,Community Focus Inclusive Arts,B*Voluntary-Spot-V Dep-Enhanced - do not u,Bi-Borough Director of Integrated Care,1180
19/07/2023,1280687,Community Integrated Care,,Bi-Borough Director of Integrated Care,8742.92
19/07/2023,1280687,Community Integrated Care,,Bi-Borough Director of Integrated Care,10808.64
19/07/2023,1280687,Community Integrated Care,,Bi-Borough Director of Integrated Care,10822.08
19/07/2023,1280687,Community Integrated Care,,Bi-Borough Director of Integrated Care,7903.24
19/07/2023,1280687,Community Integrated Care,,Bi-Borough Director of Integrated Care,10822.08
19/07/2023,1280687,Community Integrated Care,,Bi-Borough Director of Integrated Care,10493.84
19/07/2023,1280687,Community Integrated Care,,Bi-Borough Director of Integrated Care,6397.36
16/08/2023,1280687,Community Integrated Care,,Bi-Borough Director of Integrated Care,10822.08
16/08/2023,1280687,Community Integrated Care,,Bi-Borough Director of Integrated Care,10550.89
16/08/2023,1280687,Community Integrated Care,,Bi-Borough Director of Integrated Care,10822.08
16/08/2023,1280687,Community Integrated Care,,Bi-Borough Director of Integrated Care,11671.77
16/08/2023,1280687,Community Integrated Care,,Bi-Borough Director of Integrated Care,14429.51
16/08/2023,1280687,Community Integrated Care,,Bi-Borough Director of Integrated Care,10493.84
16/08/2023,1280687,Community Integrated Care,,Bi-Borough Director of Integrated Care,6397.36
13/09/2023,1280687,Community Integrated Care,,Bi-Borough Director of Integrated Care,10822.08
13/09/2023,1280687,Community Integrated Care,,Bi-Borough Director of Integrated Care,8456.48
13/09/2023,1280687,Community Integrated Care,,Bi-Borough Director of Integrated Care,10493.84
13/09/2023,1280687,Community Integrated Care,,Bi-Borough Director of Integrated Care,10822.08
13/09/2023,1280687,Community Integrated Care,,Bi-Borough Director of Integrated Care,11565.24
13/09/2023,1280687,Community Integrated Care,,Bi-Borough Director of Integrated Care,6397.36
19/07/2023,1243470,Downing (Chertsey Road) Ltd,,Bi-Borough Director of Integrated Care,5971.2
16/08/2023,1243470,Downing (Chertsey Road) Ltd,,Bi-Borough Director of Integrated Care,5971.2
13/09/2023,1243470,Downing (Chertsey Road) Ltd,,Bi-Borough Director of Integrated Care,5971.2
19/07/2023,1247651,London Care Partnership Ltd,,Bi-Borough Director of Integrated Care,8941.32
16/08/2023,1247651,London Care Partnership Ltd,,Bi-Borough Director of Integrated Care,8941.32
13/09/2023,1247651,London Care Partnership Ltd,,Bi-Borough Director of Integrated Care,8941.32
19/07/2023,1245108,Elysium Healthcare No 2 Ltd,,Bi-Borough Director of Integrated Care,9341.48
16/08/2023,1245108,Elysium Healthcare No 2 Ltd,,Bi-Borough Director of Integrated Care,9341.48
13/09/2023,1245108,Elysium Healthcare No 2 Ltd,,Bi-Borough Director of Integrated Care,9341.48
24/07/2023,1246934,Equal People Mencap (Kensington &,B*Voluntary-Spot-V Dep-Enhanced - do not u,Bi-Borough Director of Integrated Care,551
14/08/2023,1246934,Equal People Mencap (Kensington &,B*Voluntary-Spot-V Dep-Enhanced - do not u,Bi-Borough Director of Integrated Care,1121
14/08/2023,1246934,Equal People Mencap (Kensington &,B*Voluntary-Spot-V Dep-Enhanced - do not u,Bi-Borough Director of Integrated Care,1292.25
14/08/2023,1246934,Equal People Mencap (Kensington &,B*Voluntary-Spot-V Dep-Enhanced - do not u,Bi-Borough Director of Integrated Care,912
13/09/2023,1245110,Eric Patrick Care Ltd,,Bi-Borough Director of Integrated Care,7645.57
28/07/2023,1259597,Ethica Services LTD,,Bi-Borough Director of Integrated Care,1656
07/09/2023,1259597,Ethica Services LTD,,Bi-Borough Director of Integrated Care,1383.12
20/09/2023,1259597,Ethica Services LTD,,Bi-Borough Director of Integrated Care,4120.54
23/08/2023,1252498,Field Court Chambers,Legal Costs,Bi-Borough Director of Integrated Care,985
19/07/2023,1243483,Greenview Healthcare Ltd,,Bi-Borough Director of Integrated Care,4471
16/08/2023,1243483,Greenview Healthcare Ltd,,Bi-Borough Director of Integrated Care,4471
13/09/2023,1243483,Greenview Healthcare Ltd,,Bi-Borough Director of Integrated Care,4471
19/07/2023,1243485,Grove Care Partnership Ltd,,Bi-Borough Director of Integrated Care,10431.04
16/08/2023,1243485,Grove Care Partnership Ltd,,Bi-Borough Director of Integrated Care,10431.04
13/09/2023,1243485,Grove Care Partnership Ltd,,Bi-Borough Director of Integrated Care,10431.04
19/07/2023,1258503,Guyatt House Care Limited,,Bi-Borough Director of Integrated Care,7557.16
16/08/2023,1258503,Guyatt House Care Limited,,Bi-Borough Director of Integrated Care,7557.16
13/09/2023,1258503,Guyatt House Care Limited,,Bi-Borough Director of Integrated Care,7557.16
17/07/2023,1244531,HCP Staffing Services Ltd,,Bi-Borough Director of Integrated Care,717.88
07/09/2023,1244531,HCP Staffing Services Ltd,,Bi-Borough Director of Integrated Care,717.88
20/09/2023,1244531,HCP Staffing Services Ltd,,Bi-Borough Director of Integrated Care,717.88
21/09/2023,1244531,HCP Staffing Services Ltd,,Bi-Borough Director of Integrated Care,717.88
19/07/2023,1244549,HF Trust Ltd,,Bi-Borough Director of Integrated Care,3900.64
19/07/2023,1244549,HF Trust Ltd,,Bi-Borough Director of Integrated Care,15117.84
16/08/2023,1244549,HF Trust Ltd,,Bi-Borough Director of Integrated Care,3900.64
16/08/2023,1244549,HF Trust Ltd,,Bi-Borough Director of Integrated Care,15117.84
13/09/2023,1244549,HF Trust Ltd,,Bi-Borough Director of Integrated Care,15117.84
13/09/2023,1244549,HF Trust Ltd,,Bi-Borough Director of Integrated Care,3900.64
19/07/2023,1244515,Hampshire Autistic Society,,Bi-Borough Director of Integrated Care,9411.32
16/08/2023,1244515,Hampshire Autistic Society,,Bi-Borough Director of Integrated Care,9411.32
13/09/2023,1244515,Hampshire Autistic Society,,Bi-Borough Director of Integrated Care,9411.32
19/07/2023,1243490,Haydon Park Lodge Ltd,,Bi-Borough Director of Integrated Care,4000
16/08/2023,1243490,Haydon Park Lodge Ltd,,Bi-Borough Director of Integrated Care,4000
13/09/2023,1243490,Haydon Park Lodge Ltd,,Bi-Borough Director of Integrated Care,4000
19/07/2023,1260257,Hazel Homes for Autism Ltd,,Bi-Borough Director of Integrated Care,14885.24
19/07/2023,1260257,Hazel Homes for Autism Ltd,,Bi-Borough Director of Integrated Care,861
16/08/2023,1260257,Hazel Homes for Autism Ltd,,Bi-Borough Director of Integrated Care,14885.24
16/08/2023,1260257,Hazel Homes for Autism Ltd,,Bi-Borough Director of Integrated Care,861
13/09/2023,1260257,Hazel Homes for Autism Ltd,,Bi-Borough Director of Integrated Care,14885.24
13/09/2023,1260257,Hazel Homes for Autism Ltd,,Bi-Borough Director of Integrated Care,861
19/07/2023,1245125,Heathcotes (Southern) Ltd,,Bi-Borough Director of Integrated Care,12189.16
16/08/2023,1245125,Heathcotes (Southern) Ltd,,Bi-Borough Director of Integrated Care,12189.16
13/09/2023,1245125,Heathcotes (Southern) Ltd,,Bi-Borough Director of Integrated Care,12189.16
13/09/2023,1254857,Hope Care Agency,,Bi-Borough Director of Integrated Care,8606.08
13/09/2023,1254857,Hope Care Agency,,Bi-Borough Director of Integrated Care,1844.16
13/09/2023,1254857,Hope Care Agency,,Bi-Borough Director of Integrated Care,8606.08
