Organisation Name,Barnsley Metropolitan Borough Council,,,,,,
Organisation Code,http://opendatacommunities.org/id/metropolitan-district-council/barnsley,,,,,,
Document Title,"Expenditure Exceeding £500/Grants to Voluntary, Community and Social Enterprise Organisations -May 2023",,,,,,
Effective Date,01/05/2023 - 31/05/2023,,,,,,
,,,,,,,
Transaction Date,Gross Amount £,Supplier Name,Expense Area,Expense Type,Expense Code,VCSE,Charity Number
03.05.2023,"1,228.00",BM TRAVEL LTD,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
03.05.2023,"3,780.00",BM TRAVEL LTD,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
03.05.2023,"29,205.72",COMMUNITY INTEGRATED CARE,Place Health & Adult Social Care,Residential short term,506026,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,617.15,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,900,awesome.,Growth & Sustainability,Business Coaching,424051,N,N/A
03.05.2023,513.16,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,617.15,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,"1,234.30",REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,"13,002.00",TLC Homecare Ltd,Place Health & Adult Social Care,Community: Homecare,506020,N,N/A
03.05.2023,"1,026.32",REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,513.16,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,617.15,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,617.15,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,"2,160.00",CIRESON SOFTWARE UK Ltd,Core Services ,Consultants Fees,424007,N,N/A
03.05.2023,807,Kip McGrath Education Centre,Childrens Services,Out Of Borough Placements,501004,N,N/A
03.05.2023,513.16,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,750,Number 10 Interim Ltd,Core Services ,Basic pay - Agency Fees,104001,N,N/A
03.05.2023,"3,300.00",Number 10 Interim Ltd,Core Services ,Basic pay - Agency Fees,104001,N,N/A
03.05.2023,"3,300.00",Number 10 Interim Ltd,Core Services ,Basic pay - Agency Fees,104001,N,N/A
03.05.2023,780,ACS Ltd,Core Services ,Subscriptions & Contributions,430002,N,N/A
03.05.2023,"2,604.03",Strafford View,Place Health & Adult Social Care,Residential long term,506023,N,N/A
03.05.2023,"16,900.77",Strafford View,Place Health & Adult Social Care,Residential long term,506023,N,N/A
03.05.2023,708.61,Global Care,Place Health & Adult Social Care,Carers - Respite,506058,N,N/A
03.05.2023,"39,454.56",Patience Care Solutions Limited,Place Health & Adult Social Care,Community: Homecare,506020,N,N/A
03.05.2023,"2,559.90",Pearl Home Care Ltd,Place Health & Adult Social Care,Community: Homecare,506020,N,N/A
03.05.2023,"2,685.48",SM Travel Yorkshire LTD,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
03.05.2023,"6,844.80",SM Travel Yorkshire LTD,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
03.05.2023,"5,224.68",SM Travel Yorkshire LTD,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
03.05.2023,"5,335.08",SM Travel Yorkshire LTD,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
03.05.2023,"5,486.88",SM Travel Yorkshire LTD,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
03.05.2023,"5,859.48",SM Travel Yorkshire LTD,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
03.05.2023,"6,502.56",SM Travel Yorkshire LTD,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
03.05.2023,"5,261.52",SM Travel Yorkshire LTD,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
03.05.2023,"5,197.08",SM Travel Yorkshire LTD,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
03.05.2023,"4,836.48",SM Travel Yorkshire LTD,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
03.05.2023,"3,653.76",SM Travel Yorkshire LTD,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
03.05.2023,"6,301.08",SM Travel Yorkshire LTD,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
03.05.2023,"5,417.88",SM Travel Yorkshire LTD,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
03.05.2023,"1,800.00",North Lincolnshire Council,Growth & Sustainability,Postage,426005,N,N/A
03.05.2023,626.4,AC Tyres LTD,Growth & Sustainability,Waste & Recycling contract,506021,N,N/A
03.05.2023,"10,850.00",ABUNDANTIA CARE,Childrens Services,Voluntary Associations,505001,N,N/A
03.05.2023,"10,850.00",ABUNDANTIA CARE,Childrens Services,Voluntary Associations,505001,N,N/A
