Organisation Name,Barnsley Metropolitan Borough Council,,,,,,
Organisation Code,http://opendatacommunities.org/id/metropolitan-district-council/barnsley,,,,,,
Document Title,"Expenditure Exceeding £500/Grants to Voluntary, Community and Social Enterprise Organisations - Jan 2024",,,,,,
Effective Date,01/01/2024 - 31/01/2024,,,,,,
,,,,,,,
Transaction Date,Gross Amount £,Supplier Name,Expense Area,Expense Type,Expense Code,VCSE,Charity Number
02.01.2024,528,Prospero Teaching,Childrens Services,Community Services,505045,N,N/A
02.01.2024,528,Prospero Teaching,Childrens Services,Community Services,505045,N,N/A
02.01.2024,594,Prospero Teaching,Childrens Services,Community Services,505045,N,N/A
02.01.2024,660,Prospero Teaching,Childrens Services,Community Services,505045,N,N/A
02.01.2024,528,Prospero Teaching,Childrens Services,Community Services,505045,N,N/A
02.01.2024,990,Prospero Teaching,Childrens Services,Community Services,505045,N,N/A
02.01.2024,528,Prospero Teaching,Childrens Services,Community Services,505045,N,N/A
02.01.2024,990,Prospero Teaching,Childrens Services,Community Services,505045,N,N/A
02.01.2024,660,Prospero Teaching,Childrens Services,Community Services,505045,N,N/A
02.01.2024,"1,980.00",AMP Biomass Fuel Ltd TA AMP Clean E,Core Services ,Energy - Fuel Oil,210003,N,N/A
02.01.2024,"2,400.00",Swaine Direct Taxis,Growth & Sustainability,Transport Services - Home to School,424046,N,N/A
02.01.2024,"15,991.09",CERTAS ENERGY UK LTD,Growth & Sustainability,Stock Materials,,N,N/A
02.01.2024,505,REDACTED PERSONAL DATA,Public Health & Communities,Property Rents,211002,N,N/A
02.01.2024,600,REDACTED PERSONAL DATA,Public Health & Communities,Property Rents,211002,N,N/A
02.01.2024,"8,564.89",CHEVRON TRAFFIC MANAGEMENT LTD,Growth & Sustainability,Main contractor,506011,N,N/A
02.01.2024,925.91,CHEVRON TRAFFIC MANAGEMENT LTD,Growth & Sustainability,Main contractor,506011,N,N/A
02.01.2024,936.06,CHEVRON TRAFFIC MANAGEMENT LTD,Growth & Sustainability,Main contractor,506011,N,N/A
02.01.2024,"3,240.00",Nationwide Data Collection,Growth & Sustainability,Repair & Maintenance Of Buildings,200003,N,N/A
02.01.2024,"5,414.76",Yunex Limited,Growth & Sustainability,Direct - Highway Materials,403012,N,N/A
02.01.2024,"3,352.80",Yunex Limited,Growth & Sustainability,Direct - Highway Materials,403012,N,N/A
02.01.2024,690,GRASSROOTS SPORTS ACADEMY,Public Health & Communities,Miscellaneous Materials,402009,N,N/A
02.01.2024,"8,327.90",PARK NOW LTD,Growth & Sustainability,Main contractor,506011,N,N/A
02.01.2024,"1,050.00",REDACTED PERSONAL DATA,Growth & Sustainability,Professional fees,424006,N,N/A
02.01.2024,500,EQUIPT THERAPEUTIC SERVICES LTD,Childrens Services,Family Support,424033,N,N/A
02.01.2024,666,EQUIPT THERAPEUTIC SERVICES LTD,Childrens Services,Family Support,424033,N,N/A
02.01.2024,828,EQUIPT THERAPEUTIC SERVICES LTD,Childrens Services,Family Support,424033,N,N/A
02.01.2024,500,EQUIPT THERAPEUTIC SERVICES LTD,Childrens Services,Family Support,424033,N,N/A
02.01.2024,600,EQUIPT THERAPEUTIC SERVICES LTD,Childrens Services,Family Support,424033,N,N/A
02.01.2024,600,EQUIPT THERAPEUTIC SERVICES LTD,Childrens Services,Family Support,424033,N,N/A
02.01.2024,500,EQUIPT THERAPEUTIC SERVICES LTD,Childrens Services,Family Support,424033,N,N/A
02.01.2024,750,EQUIPT THERAPEUTIC SERVICES LTD,Childrens Services,Family Support,424033,N,N/A
02.01.2024,625,AW Estate Agents Ltd,Childrens Services,Childrens Act Section 17,505004,N,N/A
02.01.2024,"2,659.20",Doro Care (UK) Limited,Public Health & Communities,Telephones - Call charges,426002,N,N/A
02.01.2024,990,imageHOLDERS Ltd,Public Health & Communities,Fixtures and Fittings - Purchase,220001,N,N/A
02.01.2024,878.28,Kenyon Block Consultants Ltd,Growth & Sustainability,Basic pay - Agency Fees,104001,N,N/A
02.01.2024,667.6,Specialist Fleet Services,Growth & Sustainability,Vehicle Maintenance,300001,N,N/A
02.01.2024,"1,110.00",Utility Construction Ltd,Growth & Sustainability,Plant hire,320002,N,N/A
02.01.2024,"1,110.00",Utility Construction Ltd,Growth & Sustainability,Plant hire,320002,N,N/A
02.01.2024,"1,110.00",Utility Construction Ltd,Growth & Sustainability,Plant hire,320002,N,N/A
02.01.2024,"1,110.00",Utility Construction Ltd,Growth & Sustainability,Plant hire,320002,N,N/A
02.01.2024,"1,110.00",Utility Construction Ltd,Growth & Sustainability,Plant hire,320002,N,N/A
02.01.2024,"1,110.00",Utility Construction Ltd,Growth & Sustainability,Plant hire,320002,N,N/A
02.01.2024,"3,757.20",Independent Living Project Ltd,Childrens Services,Voluntary Associations,505001,N,N/A
02.01.2024,540,Charles Wilson Engineers Ltd,Growth & Sustainability,Plant hire,320002,N,N/A
02.01.2024,540,Fossu Limited,Growth & Sustainability,Business Coaching,424051,N,N/A
02.01.2024,"7,407.05",Cheery Blossom Supported Living Ltd,Childrens Services,Residential long term,506023,N,N/A
02.01.2024,750,Holly Greenwood Design,Growth & Sustainability,Publicity / Advertising (non staff),460013,N,N/A
02.01.2024,"2,004.00",Ashlar Stone Products Ltd,Growth & Sustainability,Direct - Building Items,403013,N,N/A
02.01.2024,"1,493.11",Blue Diamond Hygiene Supplies Ltd,Growth & Sustainability,Personal Needs,424005,N,N/A
02.01.2024,"2,200.02",Andy Lancashire Consultancy Limited,Childrens Services,Professional fees,424006,N,N/A
02.01.2024,"1,074.00",First Response Training & Consultan,Growth & Sustainability,Other Training Providers,506001,N,N/A
02.01.2024,"1,074.00",First Response Training & Consultan,Growth & Sustainability,Other Training Providers,506001,N,N/A
