Body Name,Vendor Number,Vendor Name,Cost Centre,Service Label,BV Code,Amount,Period
Slough Borough Council,3001,Langley Haven Care Homes Ltd,M26E,Adult Social Care Operations,Supplies and Services,"4,571.84",Oct-23
Slough Borough Council,3001,Langley Haven Care Homes Ltd,M26E,Adult Social Care Operations,Supplies and Services,"4,571.84",Oct-23
Slough Borough Council,3001,Langley Haven Care Homes Ltd,M27C,Adult Social Care Operations,Supplies and Services,"4,430.12",Oct-23
Slough Borough Council,3001,Langley Haven Care Homes Ltd,M27C,Adult Social Care Operations,Supplies and Services,"4,430.12",Oct-23
Slough Borough Council,3001,Langley Haven Care Homes Ltd,M27C,Adult Social Care Operations,Supplies and Services,"4,430.12",Oct-23
Slough Borough Council,3001,Langley Haven Care Homes Ltd,M27C,Adult Social Care Operations,Supplies and Services,"4,430.12",Oct-23
Slough Borough Council,3001,Langley Haven Care Homes Ltd,M27C,Adult Social Care Operations,Supplies and Services,"4,430.12",Oct-23
Slough Borough Council,3001,Langley Haven Care Homes Ltd,M27F,Adult Social Care Operations,Supplies and Services,"4,898.40",Oct-23
Slough Borough Council,3001,Langley Haven Care Homes Ltd,M27F,Adult Social Care Operations,Supplies and Services,"4,430.12",Oct-23
Slough Borough Council,3001,Langley Haven Care Homes Ltd,M27F,Adult Social Care Operations,Supplies and Services,"4,430.12",Oct-23
Slough Borough Council,3001,Langley Haven Care Homes Ltd,M27F,Adult Social Care Operations,Supplies and Services,"4,430.12",Oct-23
Slough Borough Council,3001,Langley Haven Care Homes Ltd,M27F,Adult Social Care Operations,Supplies and Services,"2,313.13",Oct-23
Slough Borough Council,3001,Langley Haven Care Homes Ltd,M28C,Adult Social Care Operations,Supplies and Services,"3,001.05",Oct-23
Slough Borough Council,3001,Langley Haven Care Homes Ltd,M28C,Adult Social Care Operations,Supplies and Services,"1,550.56",Oct-23
Slough Borough Council,3001,Langley Haven Care Homes Ltd,M29C,Adult Social Care Operations,Supplies and Services,"4,430.12",Oct-23
Slough Borough Council,3001,Langley Haven Care Homes Ltd,M29C,Adult Social Care Operations,Supplies and Services,"-1,286.16",Oct-23
Slough Borough Council,3001,Langley Haven Care Homes Ltd,M29C,Adult Social Care Operations,Supplies and Services,"1,286.16",Oct-23
Slough Borough Council,3001,Langley Haven Care Homes Ltd,M29C,Adult Social Care Operations,Supplies and Services,"-1,285.71",Oct-23
Slough Borough Council,803686,Lascelles Park Nursery,F909,Children & Families,Supplies and Services,"1,903.82",Oct-23
Slough Borough Council,803686,Lascelles Park Nursery,F909,Children & Families,Supplies and Services,"18,949.31",Oct-23
Slough Borough Council,803686,Lascelles Park Nursery,F909,Children & Families,Supplies and Services,"1,903.82",Oct-23
Slough Borough Council,808423,Leo's Circus CIC,F382,Children & Families,Supplies and Services,"11,919.43",Oct-23
Slough Borough Council,808892,Letee Limited,H205,Housing (People) Services,Supplies and Services,"1,900.00",Oct-23
Slough Borough Council,808892,Letee Limited,H205,Housing (People) Services,Supplies and Services,"1,650.00",Oct-23
Slough Borough Council,808892,Letee Limited,H205,Housing (People) Services,Supplies and Services,"6,600.00",Oct-23
