Body Name,Vendor Number,Vendor Name,Cost Centre,Service Label,BV Code,Amount,Period
Slough Borough Council,3611,Birch Assist Ltd T/A Bluebird Care (South Bucks & Slough),M44D,Adult Social Care Operations,Supplies and Services,"2,982.00",Nov-23
Slough Borough Council,803828,Blue Willow Day Nursery Ltd,F909,Children & Families,Supplies and Services,"2,002.96",Nov-23
Slough Borough Council,803828,Blue Willow Day Nursery Ltd,F909,Children & Families,Supplies and Services,"23,486.65",Nov-23
Slough Borough Council,803828,Blue Willow Day Nursery Ltd,F909,Children & Families,Supplies and Services,"1,544.40",Nov-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,External Receipts,778.32,Nov-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,External Receipts,"2,017.02",Nov-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,External Receipts,800.37,Nov-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,External Receipts,800.37,Nov-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,External Receipts,"3,983.65",Nov-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,External Receipts,613.97,Nov-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,External Receipts,"1,784.40",Nov-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,External Receipts,"5,169.17",Nov-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,External Receipts,613.97,Nov-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,External Receipts,778.32,Nov-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,External Receipts,778.32,Nov-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,External Receipts,613.97,Nov-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,External Receipts,995.38,Nov-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,External Receipts,"1,609.35",Nov-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,External Receipts,"1,609.35",Nov-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,External Receipts,778.32,Nov-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,External Receipts,778.32,Nov-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,External Receipts,"6,454.64",Nov-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,External Receipts,"2,518.60",Nov-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,External Receipts,"5,960.00",Nov-23
Slough Borough Council,807297,BNP Paribas Real Estate Advisory & Property Management UK Limited,B079,Place Strategy & Infrastructure,External Receipts,"5,303.93",Nov-23
Slough Borough Council,805160,Bouygues E&S FM UK Limited,B060,Business Services,Premises,"5,186.96",Nov-23
Slough Borough Council,805160,Bouygues E&S FM UK Limited,B060,Business Services,Premises,"5,186.96",Nov-23
Slough Borough Council,2856,Brain Injury Rehabilitation Trust,M26E,Adult Social Care Operations,Supplies and Services,"5,937.65",Nov-23
Slough Borough Council,2856,Brain Injury Rehabilitation Trust,M26E,Adult Social Care Operations,Supplies and Services,"5,746.11",Nov-23
Slough Borough Council,2856,Brain Injury Rehabilitation Trust,M27C,Adult Social Care Operations,Supplies and Services,"7,481.67",Nov-23
Slough Borough Council,2856,Brain Injury Rehabilitation Trust,M27C,Adult Social Care Operations,Supplies and Services,"7,240.33",Nov-23
Slough Borough Council,805817,Bright World Nurseries,F909,Children & Families,Supplies and Services,"1,562.59",Nov-23
Slough Borough Council,805817,Bright World Nurseries,F909,Children & Families,Supplies and Services,"9,463.88",Nov-23
Slough Borough Council,805817,Bright World Nurseries,F909,Children & Families,Supplies and Services,567.00,Nov-23
Slough Borough Council,3409,British Gas,J015,Place Management,Premises,"1,967.97",Nov-23
Slough Borough Council,504,Britwell Baptist Pre School,F909,Children & Families,Supplies and Services,"1,107.39",Nov-23
Slough Borough Council,504,Britwell Baptist Pre School,F909,Children & Families,Supplies and Services,"3,392.11",Nov-23
Slough Borough Council,504,Britwell Baptist Pre School,F909,Children & Families,Supplies and Services,"1,134.00",Nov-23
Slough Borough Council,2852,Britwell Youth & Community Project,F382,Children & Families,Supplies and Services,"12,159.48",Nov-23
Slough Borough Council,803873,Buckinghamshire County Council,B203,Finance & Commercial,Supplies and Services,"2,300.00",Nov-23
Slough Borough Council,803873,Buckinghamshire County Council,F551,Children & Families,Supplies and Services,"75,817.00",Nov-23
Slough Borough Council,803873,Buckinghamshire County Council,F551,Children & Families,Supplies and Services,"-10,270.00",Nov-23
Slough Borough Council,803873,Buckinghamshire County Council,F552,Children & Families,Supplies and Services,"12,321.50",Nov-23
