Authority,Supplier,Expenditure Category,Directorate,Service,Cost Centre,Cost Centre Name,Revenue / Capital,TransNo,Posted amount,Date Paid
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40779982,622.2,2024-11-05 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40779983,622.2,2024-11-05 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40779984,622.2,2024-11-05 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40779985,1037,2024-11-05 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40779986,1493.28,2024-11-05 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40779988,1244.4,2024-11-05 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40779989,622.2,2024-11-05 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40779990,1244.4,2024-11-05 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40779991,1037,2024-11-05 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40779992,1617.72,2024-11-05 00:00:00
