Authority,Supplier,Expenditure Category,Directorate,Service,Cost Centre,Cost Centre Name,Revenue / Capital,TransNo,Posted amount,Date Paid
Redcar & Cleveland Borough Council,Northfield School,General Supplies & Services,Children & Families,Education and Skills,10580,Pupil Premium,Revenue,40790126,1500,2024-12-19 00:00:00
Redcar & Cleveland Borough Council,Northgate Vehicle Hire Ltd,Hire of Transport,"Growth, Enterprise and Environment",Fleet,10796,Vehicle Fleet And Workshops,Revenue,40788044,675.08,2024-12-19 00:00:00
Redcar & Cleveland Borough Council,Northgate Vehicle Hire Ltd,Hire of Transport,"Growth, Enterprise and Environment",Fleet,10796,Vehicle Fleet And Workshops,Revenue,40788069,822.92,2024-12-19 00:00:00
Redcar & Cleveland Borough Council,Northumberland County Council,General Supplies & Services,Children & Families,Education and Skills,10580,Pupil Premium,Revenue,40790093,1500,2024-12-19 00:00:00
Redcar & Cleveland Borough Council,Northumbria Healthcare NHS Foundation Trust,Holding Accounts - Debtors (OEI),Resources,HR,10076,Car Rental - Salary Sacrifice,Revenue,40774586,2050.94,2024-12-11 00:00:00
Redcar & Cleveland Borough Council,Northumbria Healthcare NHS Foundation Trust,Holding Accounts - Debtors (OEI),Resources,HR,10076,Car Rental - Salary Sacrifice,Revenue,40781539,525.76,2024-12-04 00:00:00
Redcar & Cleveland Borough Council,Northumbria Healthcare NHS Foundation Trust,Holding Accounts - Debtors (OEI),Resources,HR,10076,Car Rental - Salary Sacrifice,Revenue,40781568,5575.34,2024-12-04 00:00:00
Redcar & Cleveland Borough Council,Northumbria Healthcare NHS Foundation Trust,Holding Accounts - Debtors (OEI),Resources,HR,10076,Car Rental - Salary Sacrifice,Revenue,40788099,1951.95,2024-12-23 00:00:00
Redcar & Cleveland Borough Council,Nunthorpe Academy Ltd,General Supplies & Services,Children & Families,Education and Skills,10580,Pupil Premium,Revenue,40790127,500,2024-12-19 00:00:00
Redcar & Cleveland Borough Council,Nunthorpe Nurseries Group Ltd,Miscellaneous Capital Costs,Children & Families,Education and Skills,C20465,Wraparound & Early Years Expansion,Capital,40787263,9580,2024-12-06 00:00:00
Redcar & Cleveland Borough Council,Nunthorpe Nurseries Group Ltd,Grants & Donations,Children & Families,Education DSG Funded,10786,Two Year Old Basic Entitlement (Was 2 Yr Old Offer),Revenue,40789292,16537.5,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Nunthorpe Nurseries Group Ltd,Grants & Donations,Children & Families,Education DSG Funded,11483,Under 2 Yr Old Basic Entitlement,Revenue,40789318,17896.72,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Nunthorpe Nurseries Group Ltd,Grants & Donations,Children & Families,Education DSG Funded,10502,3 & 4 Basic Entitlement (PVI & Childminders),Revenue,40789414,11273.17,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Nunthorpe Primary Academy,Grants & Donations,Children & Families,Education DSG Funded,10560,3 & 4 Basic Entitlement (All schools),Revenue,40789446,16407.3,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Nunthorpe Primary Academy,Grants & Donations,Children & Families,Education DSG Funded,10518,IPS - Mainstream,Revenue,40791475,554.04,2024-12-23 00:00:00
Redcar & Cleveland Borough Council,NWA Social & Market Research Ltd,Private Contractors,Adults & Communities,Public Health R&C,11274,Sport England Local Delivery Pilot,Revenue,40785952,9720,2024-12-23 00:00:00
Redcar & Cleveland Borough Council,Oakdale (NE) Ltd,Construction,Children & Families,Education and Skills,C20381,KHS Expansion of Special Needs Provision,Capital,40784088,800,2024-12-04 00:00:00
Redcar & Cleveland Borough Council,Objective Keystone Ltd,Computer Software,"Growth, Enterprise and Environment","Planning, Development & Housing Strategy",10547,Strategic Planning,Revenue,40786472,12008.57,2024-12-23 00:00:00
Redcar & Cleveland Borough Council,Olam Care Services,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40786124,743.7,2024-12-02 00:00:00
Redcar & Cleveland Borough Council,Olam Care Services,Private Contractors,Adults & Communities,Home Care,10542,Personal Care PD,Revenue,40786124,1552.8,2024-12-02 00:00:00
Redcar & Cleveland Borough Council,Olam Care Services,Private Contractors,Adults & Communities,Home Care,10456,Mental Health Personal Care,Revenue,40786124,230.9,2024-12-02 00:00:00
Redcar & Cleveland Borough Council,Olam Care Services,Private Contractors,Adults & Communities,Home Care,10541,Personal Care OP,Revenue,40786124,369.34,2024-12-02 00:00:00
Redcar & Cleveland Borough Council,Olam Care Services,Private Contractors,Adults & Communities,Home Care,10541,Personal Care OP,Revenue,40786124,9567.7,2024-12-02 00:00:00
Redcar & Cleveland Borough Council,Olam Care Services,Private Contractors,Adults & Communities,Home Care,10456,Mental Health Personal Care,Revenue,40789052,121.22,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Olam Care Services,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40789052,743.7,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Olam Care Services,Private Contractors,Adults & Communities,Home Care,10542,Personal Care PD,Revenue,40789052,1881.84,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Olam Care Services,Private Contractors,Adults & Communities,Home Care,10541,Personal Care OP,Revenue,40789052,9493.43,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Olam Care Services,Private Contractors,Adults & Communities,Home Care,10541,Personal Care OP,Revenue,40790280,9544.62,2024-12-20 00:00:00
Redcar & Cleveland Borough Council,Olam Care Services,Private Contractors,Adults & Communities,Home Care,10456,Mental Health Personal Care,Revenue,40790280,121.22,2024-12-20 00:00:00
Redcar & Cleveland Borough Council,Olam Care Services,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40790280,743.7,2024-12-20 00:00:00
Redcar & Cleveland Borough Council,Olam Care Services,Private Contractors,Adults & Communities,Home Care,10542,Personal Care PD,Revenue,40790280,1795.25,2024-12-20 00:00:00
Redcar & Cleveland Borough Council,Olam Care Services,Private Contractors,Adults & Communities,Home Care,10456,Mental Health Personal Care,Revenue,40792329,121.22,2024-12-23 00:00:00
Redcar & Cleveland Borough Council,Olam Care Services,Private Contractors,Adults & Communities,Home Care,10542,Personal Care PD,Revenue,40792329,1581.67,2024-12-23 00:00:00
Redcar & Cleveland Borough Council,Olam Care Services,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40792329,743.7,2024-12-23 00:00:00
Redcar & Cleveland Borough Council,Olam Care Services,Private Contractors,Adults & Communities,Home Care,10541,Personal Care OP,Revenue,40792329,9013.55,2024-12-23 00:00:00
Redcar & Cleveland Borough Council,On the B4NK ltd,Private Contractors,Children & Families,Safeguarding And CF,11363,Supported Accommodation (Children),Revenue,40781390,12702.38,2024-12-02 00:00:00
Redcar & Cleveland Borough Council,On the B4NK ltd,Services - Professional Fees,Children & Families,Early Help,10021,Childrens Short Breaks,Revenue,40785969,532.05,2024-12-02 00:00:00
Redcar & Cleveland Borough Council,On the B4NK ltd,Services - Professional Fees,Children & Families,Early Help,10021,Childrens Short Breaks,Revenue,40787296,521.93,2024-12-06 00:00:00
Redcar & Cleveland Borough Council,On the B4NK ltd,Private Contractors,Children & Families,Safeguarding And CF,11363,Supported Accommodation (Children),Revenue,40788116,11760.15,2024-12-18 00:00:00
Redcar & Cleveland Borough Council,On the B4NK ltd,Private Contractors,Children & Families,Safeguarding And CF,11363,Supported Accommodation (Children),Revenue,40788125,12138.79,2024-12-17 00:00:00
Redcar & Cleveland Borough Council,On the B4NK ltd,Private Contractors,Children & Families,Safeguarding And CF,11363,Supported Accommodation (Children),Revenue,40788127,11980.63,2024-12-12 00:00:00
Redcar & Cleveland Borough Council,On the B4NK ltd,Services - Professional Fees,Children & Families,Early Help,10021,Childrens Short Breaks,Revenue,40790018,532.05,2024-12-18 00:00:00
Redcar & Cleveland Borough Council,On the B4NK ltd,Services - Professional Fees,Children & Families,Early Help,10021,Childrens Short Breaks,Revenue,40790019,532.05,2024-12-18 00:00:00
Redcar & Cleveland Borough Council,One Plus One Marriage & Partnership Research,Training Expenses - Employees,Children & Families,Safeguarding And CF,11283,Edge of Care,Revenue,40787278,7405,2024-12-23 00:00:00
Redcar & Cleveland Borough Council,One Plus One Marriage & Partnership Research,Training Expenses - Employees,Children & Families,Safeguarding And CF,11283,Edge of Care,Revenue,40787328,3250,2024-12-23 00:00:00
Redcar & Cleveland Borough Council,Opus Pharmacy Services Ltd,Training Expenses - Employees,Resources,Corporate Services,10350,Social Care Specific,Revenue,40785333,500,2024-12-23 00:00:00
Redcar & Cleveland Borough Council,Orchard Care (North East Ltd),Boarding Out Allowance - Basic,Children & Families,Safeguarding And CF,10689,Independent Fostering Agencies,Revenue,40787518,4292.66,2024-12-09 00:00:00
Redcar & Cleveland Borough Council,Orchard Care (North East Ltd),Boarding Out Allowance - Basic,Children & Families,Safeguarding And CF,10689,Independent Fostering Agencies,Revenue,40787531,4292.66,2024-12-09 00:00:00
Redcar & Cleveland Borough Council,Orchard Care (North East Ltd),Boarding Out Allowance - Basic,Children & Families,Safeguarding And CF,10689,Independent Fostering Agencies,Revenue,40787532,4154.19,2024-12-09 00:00:00
Redcar & Cleveland Borough Council,Orchard Care (North East Ltd),Boarding Out Allowance - Basic,Children & Families,Safeguarding And CF,10689,Independent Fostering Agencies,Revenue,40787541,4154.19,2024-12-23 00:00:00
Redcar & Cleveland Borough Council,Orchard Care (North East Ltd),Boarding Out Allowance - Basic,Children & Families,Safeguarding And CF,10689,Independent Fostering Agencies,Revenue,40787545,4292.66,2024-12-09 00:00:00
Redcar & Cleveland Borough Council,Orchard Care (North East Ltd),Boarding Out Allowance - Basic,Children & Families,Safeguarding And CF,10689,Independent Fostering Agencies,Revenue,40788224,3986.74,2024-12-12 00:00:00
Redcar & Cleveland Borough Council,Ormesby Primary School (Academy),Grants & Donations,Children & Families,Education DSG Funded,10560,3 & 4 Basic Entitlement (All schools),Revenue,40789447,5994.96,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Ormesby Primary School (Academy),General Supplies & Services,Children & Families,Education and Skills,10580,Pupil Premium,Revenue,40790128,500,2024-12-19 00:00:00
Redcar & Cleveland Borough Council,Our Lady & St Bede Catholic Academy,General Supplies & Services,Children & Families,Education and Skills,10580,Pupil Premium,Revenue,40790129,500,2024-12-19 00:00:00
