Authority,Supplier,Expenditure Category,Directorate,Service,Cost Centre,Cost Centre Name,Revenue / Capital,TransNo,Posted amount,Date Paid
Redcar & Cleveland Borough Council,Apollo Arts Ltd,Services - Professional Fees,"Growth, Enterprise and Environment",Culture & Tourism,11273,Events,Revenue,40777314,900,2024-10-25 00:00:00
Redcar & Cleveland Borough Council,Apollo Arts Ltd,Services - Professional Fees,"Growth, Enterprise and Environment",Culture & Tourism,11273,Events,Revenue,40777321,1300,2024-10-25 00:00:00
Redcar & Cleveland Borough Council,Ar Cúram Limited,Private Contractors,Children & Families,Safeguarding And CF,10020,Residential (formerly Agency),Revenue,40770493,23130.8,2024-10-24 00:00:00
Redcar & Cleveland Borough Council,Ar Cúram Limited,Private Contractors,Children & Families,Safeguarding And CF,10020,Residential (formerly Agency),Revenue,40770516,17785.5,2024-10-24 00:00:00
Redcar & Cleveland Borough Council,Ar Cúram Limited,Private Contractors,Children & Families,Safeguarding And CF,10020,Residential (formerly Agency),Revenue,40770537,17785.5,2024-10-24 00:00:00
Redcar & Cleveland Borough Council,Ar Cúram Limited,Private Contractors,Children & Families,Safeguarding And CF,10020,Residential (formerly Agency),Revenue,40770539,17785.5,2024-10-24 00:00:00
Redcar & Cleveland Borough Council,Ar Cúram Limited,Private Contractors,Children & Families,Safeguarding And CF,10020,Residential (formerly Agency),Revenue,40770836,17785.5,2024-10-24 00:00:00
Redcar & Cleveland Borough Council,Ar Cúram Limited,Private Contractors,Children & Families,Safeguarding And CF,10020,Residential (formerly Agency),Revenue,40770879,5928.5,2024-10-01 00:00:00
Redcar & Cleveland Borough Council,Aran Hall School,Private Contractors,Children & Families,Safeguarding And CF,10020,Residential (formerly Agency),Revenue,40774886,126312.56,2024-10-15 00:00:00
Redcar & Cleveland Borough Council,Aran Hall School,Private Contractors,Children & Families,Safeguarding And CF,10020,Residential (formerly Agency),Revenue,40774887,174157.67,2024-10-15 00:00:00
Redcar & Cleveland Borough Council,Arco Professional Safety Services,Services - Professional Fees,"Growth, Enterprise and Environment",Culture & Tourism,10107,Cliff Tramway,Revenue,40768950,1190,2024-10-16 00:00:00
Redcar & Cleveland Borough Council,Ark Consultants (UK) Ltd,Services - Professional Fees,Children & Families,Early Help,10021,Childrens Short Breaks,Revenue,40772050,825,2024-10-03 00:00:00
Redcar & Cleveland Borough Council,Ark Consultants (UK) Ltd,Respite Care,Children & Families,Safeguarding And CF,10254,Fostering Staff,Revenue,40774366,2241,2024-10-14 00:00:00
Redcar & Cleveland Borough Council,Ark Consultants (UK) Ltd,Services - Professional Fees,Children & Families,Early Help,10021,Childrens Short Breaks,Revenue,40774367,825,2024-10-14 00:00:00
Redcar & Cleveland Borough Council,Ark Consultants (UK) Ltd,Services - Professional Fees,Children & Families,Early Help,10021,Childrens Short Breaks,Revenue,40774368,825,2024-10-14 00:00:00
Redcar & Cleveland Borough Council,Ark Consultants (UK) Ltd,Services - Professional Fees,Children & Families,Early Help,10021,Childrens Short Breaks,Revenue,40774706,825,2024-10-15 00:00:00
Redcar & Cleveland Borough Council,Ark Consultants (UK) Ltd,Services - Professional Fees,Children & Families,Early Help,10021,Childrens Short Breaks,Revenue,40774707,1080,2024-10-15 00:00:00
Redcar & Cleveland Borough Council,Ark Consultants (UK) Ltd,Services - Professional Fees,Children & Families,Early Help,10021,Childrens Short Breaks,Revenue,40774708,825,2024-10-15 00:00:00
Redcar & Cleveland Borough Council,Ark Consultants (UK) Ltd,Services - Professional Fees,Children & Families,Early Help,10021,Childrens Short Breaks,Revenue,40774710,2160,2024-10-15 00:00:00
Redcar & Cleveland Borough Council,Ark Consultants (UK) Ltd,Respite Care,Children & Families,Safeguarding And CF,10254,Fostering Staff,Revenue,40774716,1728,2024-10-15 00:00:00
Redcar & Cleveland Borough Council,Ark Consultants (UK) Ltd,Respite Care,Children & Families,Safeguarding And CF,10254,Fostering Staff,Revenue,40776476,2115,2024-10-23 00:00:00
Redcar & Cleveland Borough Council,Ark Consultants (UK) Ltd,Respite Care,Children & Families,Safeguarding And CF,10254,Fostering Staff,Revenue,40776476,126,2024-10-23 00:00:00
Redcar & Cleveland Borough Council,Ark Consultants (UK) Ltd,Services - Professional Fees,Children & Families,Early Help,10021,Childrens Short Breaks,Revenue,40776477,1080,2024-10-23 00:00:00
Redcar & Cleveland Borough Council,Ark Consultants (UK) Ltd,Services - Professional Fees,Children & Families,Early Help,10021,Childrens Short Breaks,Revenue,40777247,825,2024-10-24 00:00:00
Redcar & Cleveland Borough Council,Arlingclose Ltd,Services - Professional Fees,Resources,Accountancy,10005,Financial Services - Accountancy,Revenue,40772846,20250,2024-10-29 00:00:00
Redcar & Cleveland Borough Council,Armour Coatings LTD,R & M of Land & Infrastructure,"Growth, Enterprise and Environment",Streetscene,10104,Clean & Green - Greater Eston,Revenue,40770916,10622.5,2024-10-03 00:00:00
Redcar & Cleveland Borough Council,Arriva North East Ltd,General Supplies & Services,Children & Families,Education and Skills,10359,SEN Service,Revenue,40768993,1800,2024-10-14 00:00:00
Redcar & Cleveland Borough Council,Askews & Holts Library Services Ltd,Books and Publications,"Growth, Enterprise and Environment",Libraries and Customer Services,10405,Libraries General,Revenue,40771023,708.34,2024-10-02 00:00:00
Redcar & Cleveland Borough Council,Askham Bryan College,Termly Course Fees,Children & Families,Education DSG Funded,10690,Specialist Placements In FE,Revenue,40765684,1560,2024-10-01 00:00:00
Redcar & Cleveland Borough Council,Aspire Technology Solutions Ltd,Datalink,Resources,IT and Digital,10747,Telecomms,Revenue,40766563,3335.08,2024-10-07 00:00:00
Redcar & Cleveland Borough Council,Aspire Technology Solutions Ltd,Datalink,Resources,IT and Digital,10747,Telecomms,Revenue,40777416,4811.4,2024-10-29 00:00:00
Redcar & Cleveland Borough Council,Aspire Technology Solutions Ltd,Datalink,Resources,IT and Digital,10747,Telecomms,Revenue,40777538,3335.08,2024-10-29 00:00:00
Redcar & Cleveland Borough Council,Association of Directors of Public Health,Private Contractors,Adults & Communities,Public Health R&C,10835,Public Health - Locality Team,Revenue,40774799,4400,2024-10-15 00:00:00
Redcar & Cleveland Borough Council,Association Of Town Centre Management,Subscriptions,"Growth, Enterprise and Environment",Business Engagement,11375,Redcar Town Centre Transformation,Revenue,40775646,790,2024-10-18 00:00:00
Redcar & Cleveland Borough Council,AtkinsRéalis,Professional Fees (formerly Agency),"Growth, Enterprise and Environment",Place Investment Development (West),C20427,LUF Eston Precinct,Capital,40765012,7900,2024-10-01 00:00:00
Redcar & Cleveland Borough Council,AVC Wise Ltd,Services - Professional Fees,Resources,Accountancy,11438,Salary Sacrifice Savings,Revenue,40769772,2035.9,2024-10-21 00:00:00
