Transaction Date,Local Authority Department,BENEFICIARY,Purpose,Amount,Non Recoverable,Merchant Category
07-02-2024,Adults & Health,Matrix Scm,Agency Staff,1277.28,0,COMMERCIAL SUPPLIER
07-02-2024,Adults & Health,Matrix Scm,Agency Staff,1637.28,0,COMMERCIAL SUPPLIER
07-02-2024,Adults & Health,Matrix Scm,Agency Staff,1231.92,0,COMMERCIAL SUPPLIER
07-02-2024,Adults & Health,Matrix Scm,Agency Staff,1342.8,0,COMMERCIAL SUPPLIER
07-02-2024,Children and Young People,Matrix Scm,Agency Staff,1833.92,0,COMMERCIAL SUPPLIER
07-02-2024,Children and Young People,Matrix Scm,Agency Staff,1833.92,0,COMMERCIAL SUPPLIER
07-02-2024,Children and Young People,Matrix Scm,Agency Staff,1153.4,0,COMMERCIAL SUPPLIER
07-02-2024,Children and Young People,Matrix Scm,Agency Staff,1153.4,0,COMMERCIAL SUPPLIER
07-02-2024,Resources,Matrix Scm,Agency Staff,1386.02,0,COMMERCIAL SUPPLIER
07-02-2024,Resources,Matrix Scm,Agency Staff,2525.45,0,COMMERCIAL SUPPLIER
07-02-2024,Resources,Matrix Scm,Agency Staff,1188,0,COMMERCIAL SUPPLIER
07-02-2024,Resources,Matrix Scm,Agency Staff,2525.45,0,COMMERCIAL SUPPLIER
07-02-2024,Resources,Matrix Scm,Agency Staff,1238.4,0,COMMERCIAL SUPPLIER
07-02-2024,Adults & Health,Matrix Scm,Agency Staff,1462,0,COMMERCIAL SUPPLIER
07-02-2024,Children and Young People,Matrix Scm,Agency Staff,781.9,0,COMMERCIAL SUPPLIER
07-02-2024,Children and Young People,Matrix Scm,Agency Staff,2618.24,0,COMMERCIAL SUPPLIER
07-02-2024,Children and Young People,Matrix Scm,Agency Staff,870.54,0,COMMERCIAL SUPPLIER
07-02-2024,Children and Young People,Matrix Scm,Agency Staff,1235.4,0,COMMERCIAL SUPPLIER
07-02-2024,Children and Young People,Matrix Scm,Agency Staff,1251.36,0,COMMERCIAL SUPPLIER
07-02-2024,Children and Young People,Matrix Scm,Agency Staff,1736.4,0,COMMERCIAL SUPPLIER
07-02-2024,Children and Young People,Matrix Scm,Agency Staff,1589.3,0,COMMERCIAL SUPPLIER
07-02-2024,Environment and Sustainable Transport,Matrix Scm,Agency Staff,-65,0,COMMERCIAL SUPPLIER
